* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:10:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten Deep Insert
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.877 50.0202
20.140070 92.896 49.5115
20.286013 92.915 49.0037
20.433014 92.933 48.4968
20.581080 92.950 47.9910
20.730219 92.967 47.4861
20.880438 92.983 46.9824
21.031747 92.998 46.4797
21.184151 93.014 45.9781
21.337660 93.028 45.4777
21.492282 93.043 44.9785
21.648024 93.057 44.4804
21.804894 93.070 43.9836
21.962902 93.083 43.4880
22.122054 93.096 42.9936
22.282359 93.108 42.5005
22.443827 93.120 42.0087
22.606464 93.132 41.5181
22.770280 93.143 41.0289
22.935282 93.153 40.5409
23.101481 93.163 40.0542
23.268884 93.173 39.5687
23.437500 93.182 39.0846
23.607337 93.190 38.6017
23.778406 93.199 38.1201
23.950714 93.206 37.6397
24.124271 93.214 37.1606
24.299085 93.221 36.6828
24.475166 93.228 36.2062
24.652524 93.234 35.7308
24.831166 93.240 35.2567
25.011103 93.246 34.7839
25.192344 93.251 34.3123
25.374898 93.255 33.8419
25.558775 93.259 33.3728
25.743984 93.263 32.9050
25.930536 93.267 32.4385
26.118439 93.270 31.9734
26.307704 93.273 31.5097
26.498340 93.275 31.0475
26.690358 93.278 30.5868
26.883768 93.279 30.1277
27.078578 93.280 29.6702
27.274801 93.281 29.2144
27.472445 93.281 28.7603
27.671522 93.281 28.3081
27.872041 93.280 27.8577
28.074014 93.279 27.4091
28.277450 93.277 26.9623
28.482360 93.276 26.5172
28.688755 93.274 26.0739
28.896645 93.272 25.6322
29.106042 93.269 25.1920
29.316956 93.267 24.7533
29.529399 93.264 24.3159
29.743381 93.261 23.8799
29.958914 93.257 23.4449
30.176009 93.253 23.0110
30.394677 93.249 22.5781
30.614929 93.245 22.1462
30.836777 93.240 21.7153
31.060233 93.235 21.2854
31.285309 93.230 20.8564
31.512015 93.224 20.4285
31.740364 93.218 20.0017
31.970368 93.212 19.5760
32.202038 93.205 19.1515
32.435387 93.198 18.7283
32.670428 93.191 18.3064
32.907171 93.183 17.8860
33.145630 93.175 17.4669
33.385817 93.166 17.0494
33.627744 93.158 16.6335
33.871425 93.148 16.2193
34.116871 93.139 15.8067
34.364096 93.129 15.3958
34.613112 93.119 14.9867
34.863933 93.108 14.5795
35.116572 93.097 14.1741
35.371041 93.085 13.7708
35.627354 93.073 13.3695
35.885524 93.061 12.9703
36.145566 93.049 12.5733
36.407491 93.036 12.1786
36.671315 93.023 11.7861
36.937051 93.009 11.3961
37.204712 92.996 11.0084
37.474312 92.982 10.6232
37.745867 92.968 10.2402
38.019389 92.953 9.8597
38.294893 92.939 9.4813
38.572393 92.925 9.1050
38.851905 92.910 8.7307
39.133442 92.895 8.3582
39.417019 92.880 7.9873
39.702651 92.865 7.6180
39.990353 92.850 7.2502
40.280139 92.834 6.8839
40.572026 92.818 6.5188
40.866027 92.801 6.1552
41.162159 92.784 5.7931
41.460437 92.768 5.4324
41.760877 92.751 5.0735
42.063493 92.733 4.7162
42.368303 92.716 4.3607
42.675321 92.698 4.0070
42.984564 92.680 3.6550
43.296048 92.662 3.3050
43.609789 92.644 2.9567
43.925803 92.625 2.6102
44.244108 92.607 2.2655
44.564719 92.588 1.9225
44.887653 92.568 1.5812
45.212928 92.549 1.2417
45.540559 92.529 0.9039
45.870565 92.509 0.5680
46.202962 92.489 0.2339
46.537767 92.468 -0.0982
46.874999 92.448 -0.4282
47.214675 92.427 -0.7560
47.556812 92.405 -1.0815
47.901428 92.383 -1.4044
48.248542 92.361 -1.7246
48.598170 92.339 -2.0423
48.950333 92.316 -2.3573
49.305047 92.293 -2.6699
49.662332 92.270 -2.9801
50.022206 92.247 -3.2883
50.384687 92.223 -3.5946
50.749795 92.200 -3.8993
51.117549 92.177 -4.2024
51.487968 92.153 -4.5039
51.861071 92.130 -4.8040
52.236878 92.106 -5.1025
52.615408 92.082 -5.3994
52.996681 92.059 -5.6945
53.380716 92.035 -5.9879
53.767535 92.011 -6.2794
54.157157 91.987 -6.5689
54.549602 91.963 -6.8564
54.944891 91.937 -7.1418
55.343044 91.911 -7.4248
55.744083 91.885 -7.7054
56.148027 91.859 -7.9831
56.554899 91.834 -8.2578
56.964719 91.809 -8.5292
57.377509 91.783 -8.7974
57.793290 91.758 -9.0621
58.212084 91.732 -9.3240
58.633913 91.706 -9.5831
59.058798 91.679 -9.8401
59.486763 91.652 -10.0951
59.917828 91.625 -10.3485
60.352018 91.598 -10.6005
60.789353 91.570 -10.8509
61.229858 91.541 -11.0997
61.673555 91.511 -11.3467
62.120467 91.480 -11.5916
62.570617 91.449 -11.8340
63.024030 91.420 -12.0740
63.480728 91.391 -12.3114
63.940735 91.365 -12.5464
64.404076 91.338 -12.7789
64.870775 91.310 -13.0093
65.340855 91.281 -13.2375
65.814342 91.251 -13.4639
66.291260 91.220 -13.6884
66.771634 91.188 -13.9108
67.255488 91.157 -14.1312
67.742849 91.127 -14.3494
68.233742 91.097 -14.5652
68.728192 91.066 -14.7783
69.226225 91.036 -14.9889
69.727866 91.006 -15.1968
70.233143 90.977 -15.4020
70.742082 90.947 -15.6046
71.254708 90.919 -15.8047
71.771049 90.890 -16.0026
72.291131 90.862 -16.1981
72.814983 90.833 -16.3915
73.342630 90.803 -16.5829
73.874101 90.773 -16.7725
74.409423 90.742 -16.9603
74.948625 90.711 -17.1464
75.491733 90.679 -17.3309
76.038777 90.647 -17.5138
76.589786 90.616 -17.6948
77.144787 90.583 -17.8737
77.703810 90.551 -18.0502
78.266884 90.517 -18.2241
78.834038 90.484 -18.3952
79.405302 90.451 -18.5636
79.980705 90.418 -18.7297
80.560278 90.387 -18.8938
81.144051 90.356 -19.0563
81.732055 90.325 -19.2173
82.324319 90.294 -19.3770
82.920875 90.263 -19.5348
83.521754 90.231 -19.6907
84.126987 90.199 -19.8444
84.736605 90.166 -19.9958
85.350642 90.133 -20.1450
85.969128 90.100 -20.2920
86.592096 90.068 -20.4369
87.219578 90.035 -20.5798
87.851607 90.003 -20.7209
88.488216 89.972 -20.8602
89.129438 89.940 -20.9974
89.775306 89.908 -21.1321
90.425855 89.874 -21.2640
91.081118 89.840 -21.3928
91.741129 89.805 -21.5184
92.405924 89.771 -21.6409
93.075535 89.737 -21.7607
93.749999 89.703 -21.8782
94.429350 89.670 -21.9934
95.113624 89.636 -22.1066
95.802856 89.601 -22.2173
96.497083 89.565 -22.3254
97.196341 89.528 -22.4307
97.900666 89.492 -22.5332
98.610094 89.456 -22.6330
99.324664 89.421 -22.7303
100.044411 89.385 -22.8256
100.769374 89.350 -22.9188
101.499591 89.315 -23.0094
102.235098 89.280 -23.0969
102.975936 89.244 -23.1805
103.722142 89.208 -23.2601
104.473756 89.172 -23.3363
105.230815 89.135 -23.4097
105.993361 89.098 -23.4807
106.761433 89.060 -23.5492
107.535070 89.021 -23.6150
108.314314 88.982 -23.6774
109.099204 88.943 -23.7352
109.889782 88.903 -23.7869
110.686088 88.863 -23.8304
111.488165 88.823 -23.8644
112.296055 88.783 -23.8881
113.109798 88.743 -23.9011
113.929438 88.703 -23.9034
114.755018 88.662 -23.8941
115.586580 88.622 -23.8715
116.424168 88.582 -23.8338
117.267826 88.544 -23.7804
118.117597 88.507 -23.7117
118.973525 88.474 -23.6291
119.835657 88.443 -23.5353
120.704035 88.417 -23.4343
121.578706 88.394 -23.3331
122.459716 88.375 -23.2405
123.347109 88.360 -23.1660
124.240933 88.347 -23.1162
125.141234 88.335 -23.0936
126.048059 88.324 -23.0961
126.961456 88.312 -23.1199
127.881471 88.299 -23.1608
128.808153 88.284 -23.2152
129.741550 88.267 -23.2798
130.681710 88.248 -23.3505
131.628684 88.227 -23.4235
132.582520 88.204 -23.4947
133.543267 88.180 -23.5613
134.510977 88.155 -23.6218
135.485699 88.129 -23.6761
136.467484 88.103 -23.7256
137.456384 88.077 -23.7725
138.452449 88.051 -23.8187
139.455733 88.026 -23.8654
140.466286 88.000 -23.9124
141.484163 87.974 -23.9590
142.509416 87.947 -24.0043
143.542098 87.919 -24.0470
144.582263 87.891 -24.0860
145.629965 87.862 -24.1201
146.685260 87.832 -24.1486
147.748202 87.803 -24.1713
148.818846 87.773 -24.1891
149.897249 87.743 -24.2035
150.983466 87.713 -24.2155
152.077555 87.684 -24.2252
153.179572 87.654 -24.2328
154.289574 87.625 -24.2385
155.407620 87.595 -24.2420
156.533767 87.566 -24.2432
157.668076 87.537 -24.2421
158.810603 87.509 -24.2388
159.961411 87.483 -24.2328
161.120557 87.458 -24.2235
162.288103 87.436 -24.2107
163.464109 87.416 -24.1945
164.648638 87.399 -24.1749
165.841750 87.386 -24.1522
167.043507 87.375 -24.1261
168.253973 87.363 -24.0966
169.473211 87.348 -24.0637
170.701284 87.325 -24.0271
171.938256 87.294 -23.9868
173.184191 87.255 -23.9432
174.439155 87.208 -23.8970
175.703213 87.152 -23.8475
176.976431 87.089 -23.7941
178.258875 87.022 -23.7360
179.550613 86.957 -23.6729
180.851710 86.896 -23.6052
182.162236 86.842 -23.5330
183.482259 86.795 -23.4571
184.811847 86.755 -23.3789
186.151070 86.723 -23.3007
187.499997 86.696 -23.2250
188.858700 86.674 -23.1528
190.227248 86.652 -23.0828
191.605713 86.632 -23.0118
192.994167 86.611 -22.9365
194.392682 86.590 -22.8543
195.801331 86.570 -22.7634
197.220189 86.551 -22.6625
198.649327 86.533 -22.5512
200.088822 86.516 -22.4316
201.538748 86.500 -22.3083
202.999181 86.486 -22.1881
204.470197 86.473 -22.0768
205.951872 86.461 -21.9776
207.444284 86.447 -21.8912
208.947511 86.434 -21.8170
210.461631 86.419 -21.7539
211.986723 86.402 -21.7002
213.522866 86.384 -21.6527
215.070141 86.363 -21.6074
216.628627 86.341 -21.5612
218.198408 86.317 -21.5118
219.779563 86.292 -21.4581
221.372177 86.266 -21.3992
222.976331 86.239 -21.3347
224.592109 86.212 -21.2645
226.219596 86.184 -21.1893
227.858877 86.155 -21.1095
229.510036 86.126 -21.0237
231.173160 86.096 -20.9295
232.848336 86.066 -20.8256
234.535651 86.037 -20.7128
236.235193 86.009 -20.5947
237.947051 85.981 -20.4741
239.671313 85.953 -20.3508
241.408071 85.926 -20.2220
243.157413 85.900 -20.0852
244.919432 85.875 -19.9399
246.694219 85.851 -19.7889
248.481867 85.829 -19.6356
250.282469 85.809 -19.4835
252.096119 85.791 -19.3375
253.922911 85.775 -19.2023
255.762941 85.759 -19.0797
257.616305 85.744 -18.9685
259.483099 85.727 -18.8664
261.363421 85.710 -18.7700
263.257368 85.692 -18.6758
265.165039 85.672 -18.5808
267.086534 85.651 -18.4837
269.021953 85.629 -18.3835
270.971397 85.607 -18.2791
272.934968 85.584 -18.1699
274.912767 85.561 -18.0565
276.904898 85.538 -17.9395
278.911465 85.515 -17.8197
280.932573 85.493 -17.6984
282.968326 85.470 -17.5751
285.018831 85.447 -17.4481
287.084195 85.425 -17.3176
289.164526 85.403 -17.1851
291.259931 85.382 -17.0510
293.370520 85.360 -16.9145
295.496404 85.338 -16.7742
297.637693 85.317 -16.6309
299.794498 85.296 -16.4869
301.966933 85.274 -16.3431
304.155110 85.253 -16.1993
306.359143 85.232 -16.0555
308.579148 85.212 -15.9104
310.815239 85.191 -15.7624
313.067535 85.171 -15.6112
315.336151 85.151 -15.4575
317.621207 85.132 -15.3019
319.922821 85.113 -15.1451
322.241114 85.094 -14.9882
324.576206 85.075 -14.8320
326.928219 85.056 -14.6770
329.297275 85.038 -14.5217
331.683499 85.019 -14.3636
334.087014 85.001 -14.2020
336.507947 84.982 -14.0378
338.946422 84.964 -13.8716
341.402567 84.946 -13.7040
343.876511 84.928 -13.5358
346.368382 84.911 -13.3671
348.878310 84.894 -13.1990
351.406426 84.877 -13.0322
