* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:52:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten L KZ Foam Tips Yellow Core
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 91.498 -135.2840
20.140070 91.511 -135.7429
20.286013 91.525 -136.2008
20.433014 91.537 -136.6575
20.581080 91.550 -137.1130
20.730219 91.562 -137.5674
20.880438 91.573 -138.0205
21.031747 91.585 -138.4723
21.184151 91.595 -138.9228
21.337660 91.606 -139.3720
21.492282 91.616 -139.8198
21.648024 91.625 -140.2662
21.804894 91.635 -140.7112
21.962902 91.644 -141.1548
22.122054 91.652 -141.5969
22.282359 91.660 -142.0376
22.443827 91.668 -142.4769
22.606464 91.675 -142.9147
22.770280 91.682 -143.3512
22.935282 91.689 -143.7861
23.101481 91.695 -144.2196
23.268884 91.701 -144.6516
23.437500 91.707 -145.0821
23.607337 91.712 -145.5110
23.778406 91.717 -145.9385
23.950714 91.721 -146.3643
24.124271 91.726 -146.7885
24.299085 91.729 -147.2111
24.475166 91.733 -147.6319
24.652524 91.736 -148.0510
24.831166 91.739 -148.4683
25.011103 91.741 -148.8838
25.192344 91.743 -149.2973
25.374898 91.745 -149.7089
25.558775 91.746 -150.1185
25.743984 91.748 -150.5260
25.930536 91.749 -150.9316
26.118439 91.749 -151.3351
26.307704 91.750 -151.7365
26.498340 91.750 -152.1360
26.690358 91.750 -152.5336
26.883768 91.750 -152.9294
27.078578 91.749 -153.3236
27.274801 91.749 -153.7162
27.472445 91.749 -154.1076
27.671522 91.748 -154.4979
27.872041 91.747 -154.8872
28.074014 91.746 -155.2759
28.277450 91.745 -155.6640
28.482360 91.743 -156.0518
28.688755 91.742 -156.4392
28.896645 91.740 -156.8265
29.106042 91.738 -157.2134
29.316956 91.735 -157.6001
29.529399 91.732 -157.9862
29.743381 91.729 -158.3717
29.958914 91.725 -158.7562
30.176009 91.721 -159.1395
30.394677 91.716 -159.5214
30.614929 91.711 -159.9015
30.836777 91.706 -160.2796
31.060233 91.700 -160.6555
31.285309 91.693 -161.0289
31.512015 91.687 -161.3998
31.740364 91.680 -161.7680
31.970368 91.673 -162.1337
32.202038 91.665 -162.4968
32.435387 91.658 -162.8575
32.670428 91.650 -163.2158
32.907171 91.642 -163.5721
33.145630 91.634 -163.9266
33.385817 91.626 -164.2794
33.627744 91.618 -164.6307
33.871425 91.610 -164.9807
34.116871 91.602 -165.3296
34.364096 91.593 -165.6773
34.613112 91.584 -166.0240
34.863933 91.575 -166.3697
35.116572 91.566 -166.7141
35.371041 91.557 -167.0573
35.627354 91.547 -167.3991
35.885524 91.537 -167.7393
36.145566 91.527 -168.0779
36.407491 91.516 -168.4149
36.671315 91.506 -168.7500
36.937051 91.495 -169.0835
37.204712 91.484 -169.4153
37.474312 91.473 -169.7455
37.745867 91.461 -170.0743
38.019389 91.450 -170.4017
38.294893 91.438 -170.7278
38.572393 91.426 -171.0527
38.851905 91.414 -171.3764
39.133442 91.402 -171.6990
39.417019 91.390 -172.0203
39.702651 91.377 -172.3402
39.990353 91.364 -172.6587
40.280139 91.350 -172.9757
40.572026 91.337 -173.2909
40.866027 91.323 -173.6043
41.162159 91.309 -173.9159
41.460437 91.295 -174.2255
41.760877 91.280 -174.5332
42.063493 91.265 -174.8390
42.368303 91.251 -175.1429
42.675321 91.236 -175.4452
42.984564 91.220 -175.7457
43.296048 91.205 -176.0447
43.609789 91.189 -176.3422
43.925803 91.174 -176.6382
44.244108 91.158 -176.9327
44.564719 91.142 -177.2256
44.887653 91.125 -177.5168
45.212928 91.109 -177.8063
45.540559 91.092 -178.0939
45.870565 91.075 -178.3797
46.202962 91.058 -178.6635
46.537767 91.040 -178.9454
46.874999 91.023 -179.2253
47.214675 91.005 -179.5033
47.556812 90.987 -179.7794
47.901428 90.969 179.9463
48.248542 90.951 179.6739
48.598170 90.933 179.4032
48.950333 90.915 179.1343
49.305047 90.896 178.8670
49.662332 90.877 178.6014
50.022206 90.859 178.3374
50.384687 90.840 178.0750
50.749795 90.821 177.8139
51.117549 90.802 177.5541
51.487968 90.783 177.2952
51.861071 90.764 177.0370
52.236878 90.745 176.7792
52.615408 90.726 176.5214
52.996681 90.707 176.2635
53.380716 90.687 176.0058
53.767535 90.666 175.7483
54.157157 90.646 175.4916
54.549602 90.625 175.2362
54.944891 90.603 174.9828
55.343044 90.581 174.7321
55.744083 90.558 174.4847
56.148027 90.535 174.2409
56.554899 90.512 174.0008
56.964719 90.489 173.7643
57.377509 90.466 173.5312
57.793290 90.443 173.3009
58.212084 90.419 173.0730
58.633913 90.396 172.8471
59.058798 90.373 172.6229
59.486763 90.349 172.4004
59.917828 90.326 172.1796
60.352018 90.302 171.9607
60.789353 90.279 171.7436
61.229858 90.255 171.5285
61.673555 90.231 171.3152
62.120467 90.208 171.1037
62.570617 90.184 170.8936
63.024030 90.160 170.6848
63.480728 90.136 170.4767
63.940735 90.112 170.2696
64.404076 90.088 170.0632
64.870775 90.064 169.8578
65.340855 90.039 169.6536
65.814342 90.014 169.4508
66.291260 89.989 169.2498
66.771634 89.964 169.0510
67.255488 89.938 168.8544
67.742849 89.913 168.6602
68.233742 89.887 168.4688
68.728192 89.861 168.2798
69.226225 89.835 168.0932
69.727866 89.809 167.9085
70.233143 89.783 167.7255
70.742082 89.757 167.5437
71.254708 89.730 167.3633
71.771049 89.704 167.1842
72.291131 89.678 167.0068
72.814983 89.651 166.8312
73.342630 89.624 166.6576
73.874101 89.597 166.4858
74.409423 89.570 166.3159
74.948625 89.543 166.1478
75.491733 89.516 165.9813
76.038777 89.489 165.8166
76.589786 89.462 165.6537
77.144787 89.434 165.4926
77.703810 89.407 165.3331
78.266884 89.380 165.1754
78.834038 89.352 165.0191
79.405302 89.324 164.8643
79.980705 89.296 164.7110
80.560278 89.268 164.5591
81.144051 89.240 164.4089
81.732055 89.212 164.2604
82.324319 89.184 164.1140
82.920875 89.155 163.9702
83.521754 89.126 163.8290
84.126987 89.097 163.6904
84.736605 89.068 163.5542
85.350642 89.039 163.4202
85.969128 89.010 163.2885
86.592096 88.981 163.1594
87.219578 88.951 163.0336
87.851607 88.922 162.9109
88.488216 88.893 162.7911
89.129438 88.863 162.6732
89.775306 88.834 162.5566
90.425855 88.805 162.4411
91.081118 88.776 162.3269
91.741129 88.747 162.2143
92.405924 88.717 162.1034
93.075535 88.688 161.9941
93.749999 88.658 161.8864
94.429350 88.628 161.7803
95.113624 88.598 161.6762
95.802856 88.568 161.5742
96.497083 88.538 161.4747
97.196341 88.507 161.3777
97.900666 88.477 161.2833
98.610094 88.446 161.1917
99.324664 88.416 161.1028
100.044411 88.386 161.0164
100.769374 88.356 160.9318
101.499591 88.326 160.8484
102.235098 88.296 160.7657
102.975936 88.266 160.6833
103.722142 88.236 160.6013
104.473756 88.205 160.5204
105.230815 88.175 160.4412
105.993361 88.144 160.3645
106.761433 88.113 160.2909
107.535070 88.082 160.2203
108.314314 88.051 160.1525
109.099204 88.020 160.0869
109.889782 87.990 160.0235
110.686088 87.959 159.9622
111.488165 87.928 159.9024
112.296055 87.898 159.8439
113.109798 87.867 159.7866
113.929438 87.836 159.7314
114.755018 87.805 159.6790
115.586580 87.774 159.6295
116.424168 87.744 159.5824
117.267826 87.713 159.5368
118.117597 87.683 159.4919
118.973525 87.652 159.4476
119.835657 87.622 159.4038
120.704035 87.591 159.3611
121.578706 87.560 159.3210
122.459716 87.529 159.2844
123.347109 87.497 159.2521
124.240933 87.466 159.2233
125.141234 87.435 159.1969
126.048059 87.405 159.1718
126.961456 87.374 159.1478
127.881471 87.344 159.1250
128.808153 87.313 159.1029
129.741550 87.283 159.0810
130.681710 87.253 159.0592
131.628684 87.222 159.0389
132.582520 87.191 159.0221
133.543267 87.160 159.0098
134.510977 87.129 159.0015
135.485699 87.098 158.9952
136.467484 87.068 158.9893
137.456384 87.037 158.9839
138.452449 87.007 158.9804
139.455733 86.976 158.9807
140.466286 86.945 158.9849
141.484163 86.915 158.9912
142.509416 86.886 158.9966
143.542098 86.856 159.0004
144.582263 86.825 159.0048
145.629965 86.795 159.0135
146.685260 86.764 159.0280
147.748202 86.734 159.0457
148.818846 86.704 159.0632
149.897249 86.675 159.0792
150.983466 86.644 159.0950
152.077555 86.614 159.1138
153.179572 86.583 159.1382
154.289574 86.553 159.1691
155.407620 86.523 159.2041
156.533767 86.494 159.2388
157.668076 86.465 159.2700
158.810603 86.436 159.2980
159.961411 86.407 159.3269
161.120557 86.376 159.3612
162.288103 86.346 159.4039
163.464109 86.316 159.4551
164.648638 86.287 159.5116
165.841750 86.259 159.5687
167.043507 86.232 159.6226
168.253973 86.206 159.6721
169.473211 86.179 159.7177
170.701284 86.152 159.7595
171.938256 86.125 159.7972
173.184191 86.097 159.8307
174.439155 86.067 159.8629
175.703213 86.036 159.9016
176.976431 86.004 159.9562
178.258875 85.971 160.0302
179.550613 85.941 160.1169
180.851710 85.912 160.2060
182.162236 85.884 160.2920
183.482259 85.857 160.3752
184.811847 85.830 160.4582
186.151070 85.804 160.5415
187.499997 85.777 160.6245
188.858700 85.751 160.7062
190.227248 85.725 160.7872
191.605713 85.699 160.8684
192.994167 85.673 160.9509
194.392682 85.647 161.0355
195.801331 85.621 161.1231
197.220189 85.595 161.2140
198.649327 85.570 161.3082
200.088822 85.545 161.4050
201.538748 85.521 161.5032
202.999181 85.498 161.6019
204.470197 85.475 161.7008
205.951872 85.452 161.8003
207.444284 85.429 161.9008
208.947511 85.406 162.0025
210.461631 85.383 162.1060
211.986723 85.360 162.2126
213.522866 85.336 162.3236
215.070141 85.313 162.4386
216.628627 85.291 162.5568
218.198408 85.269 162.6768
219.779563 85.249 162.7972
221.372177 85.228 162.9170
222.976331 85.209 163.0362
224.592109 85.189 163.1546
226.219596 85.171 163.2709
227.858877 85.153 163.3831
229.510036 85.134 163.4917
231.173160 85.116 163.5990
232.848336 85.097 163.7065
234.535651 85.079 163.8141
236.235193 85.060 163.9214
237.947051 85.042 164.0290
239.671313 85.025 164.1370
241.408071 85.007 164.2448
243.157413 84.990 164.3516
244.919432 84.973 164.4572
246.694219 84.956 164.5610
248.481867 84.940 164.6626
250.282469 84.923 164.7614
252.096119 84.907 164.8575
253.922911 84.889 164.9529
255.762941 84.871 165.0492
257.616305 84.854 165.1469
259.483099 84.835 165.2443
261.363421 84.817 165.3405
263.257368 84.798 165.4370
265.165039 84.780 165.5352
267.086534 84.761 165.6341
269.021953 84.741 165.7332
270.971397 84.722 165.8340
272.934968 84.702 165.9384
274.912767 84.683 166.0467
276.904898 84.663 166.1583
278.911465 84.643 166.2716
280.932573 84.623 166.3852
282.968326 84.604 166.4996
285.018831 84.584 166.6161
287.084195 84.564 166.7351
289.164526 84.544 166.8561
291.259931 84.524 166.9799
293.370520 84.504 167.1078
295.496404 84.485 167.2396
297.637693 84.466 167.3724
299.794498 84.447 167.5031
301.966933 84.428 167.6312
304.155110 84.410 167.7586
306.359143 84.391 167.8873
308.579148 84.372 168.0186
310.815239 84.353 168.1530
313.067535 84.334 168.2916
315.336151 84.315 168.4344
317.621207 84.297 168.5812
319.922821 84.278 168.7300
322.241114 84.261 168.8784
324.576206 84.243 169.0262
326.928219 84.225 169.1752
329.297275 84.208 169.3254
331.683499 84.190 169.4766
334.087014 84.173 169.6301
336.507947 84.155 169.7869
338.946422 84.138 169.9470
341.402567 84.121 170.1089
343.876511 84.104 170.2706
346.368382 84.088 170.4307
348.878310 84.072 170.5889
351.406426 84.056 170.7467
353.952862 84.040 170.9055
356.517750 84.024 171.0663
359.101225 84.008 171.2302
361.703421 83.992 171.3987
364.324473 83.976 171.5722
366.964518 83.961 171.7475
369.623694 83.946 171.9223
372.302140 83.931 172.0975
374.999995 83.917 172.2748
377.717399 83.902 172.4543
