* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:55:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten R KZ Foam Tips Yellow Core
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 91.762 -122.4633
20.140070 91.788 -122.9632
20.286013 91.813 -123.4622
20.433014 91.839 -123.9606
20.581080 91.863 -124.4581
20.730219 91.887 -124.9549
20.880438 91.911 -125.4510
21.031747 91.934 -125.9462
21.184151 91.957 -126.4406
21.337660 91.980 -126.9343
21.492282 92.001 -127.4271
21.648024 92.023 -127.9191
21.804894 92.044 -128.4102
21.962902 92.065 -128.9006
22.122054 92.085 -129.3902
22.282359 92.104 -129.8789
22.443827 92.124 -130.3668
22.606464 92.143 -130.8539
22.770280 92.161 -131.3402
22.935282 92.179 -131.8258
23.101481 92.197 -132.3105
23.268884 92.214 -132.7945
23.437500 92.231 -133.2778
23.607337 92.247 -133.7602
23.778406 92.263 -134.2418
23.950714 92.278 -134.7226
24.124271 92.293 -135.2026
24.299085 92.307 -135.6818
24.475166 92.321 -136.1600
24.652524 92.335 -136.6372
24.831166 92.348 -137.1135
25.011103 92.361 -137.5887
25.192344 92.373 -138.0629
25.374898 92.385 -138.5359
25.558775 92.396 -139.0078
25.743984 92.407 -139.4785
25.930536 92.418 -139.9480
26.118439 92.428 -140.4163
26.307704 92.438 -140.8834
26.498340 92.447 -141.3493
26.690358 92.456 -141.8140
26.883768 92.464 -142.2775
27.078578 92.472 -142.7399
27.274801 92.480 -143.2011
27.472445 92.487 -143.6613
27.671522 92.494 -144.1202
27.872041 92.501 -144.5781
28.074014 92.507 -145.0348
28.277450 92.513 -145.4904
28.482360 92.518 -145.9448
28.688755 92.523 -146.3980
28.896645 92.527 -146.8500
29.106042 92.532 -147.3007
29.316956 92.535 -147.7501
29.529399 92.539 -148.1982
29.743381 92.542 -148.6450
29.958914 92.544 -149.0904
30.176009 92.547 -149.5344
30.394677 92.548 -149.9771
30.614929 92.550 -150.4183
30.836777 92.551 -150.8582
31.060233 92.552 -151.2966
31.285309 92.552 -151.7337
31.512015 92.552 -152.1692
31.740364 92.552 -152.6033
31.970368 92.551 -153.0359
32.202038 92.550 -153.4670
32.435387 92.549 -153.8965
32.670428 92.547 -154.3246
32.907171 92.545 -154.7511
33.145630 92.543 -155.1760
33.385817 92.540 -155.5995
33.627744 92.537 -156.0214
33.871425 92.533 -156.4419
34.116871 92.530 -156.8609
34.364096 92.526 -157.2785
34.613112 92.521 -157.6946
34.863933 92.517 -158.1092
35.116572 92.512 -158.5224
35.371041 92.507 -158.9341
35.627354 92.501 -159.3443
35.885524 92.495 -159.7529
36.145566 92.489 -160.1599
36.407491 92.482 -160.5653
36.671315 92.475 -160.9690
36.937051 92.468 -161.3711
37.204712 92.461 -161.7714
37.474312 92.453 -162.1700
37.745867 92.445 -162.5669
38.019389 92.436 -162.9620
38.294893 92.428 -163.3554
38.572393 92.419 -163.7472
38.851905 92.410 -164.1372
39.133442 92.400 -164.5255
39.417019 92.390 -164.9122
39.702651 92.380 -165.2973
39.990353 92.370 -165.6808
40.280139 92.359 -166.0628
40.572026 92.349 -166.4433
40.866027 92.338 -166.8224
41.162159 92.326 -167.2001
41.460437 92.315 -167.5764
41.760877 92.303 -167.9515
42.063493 92.291 -168.3252
42.368303 92.278 -168.6974
42.675321 92.265 -169.0682
42.984564 92.252 -169.4372
43.296048 92.238 -169.8043
43.609789 92.224 -170.1693
43.925803 92.210 -170.5320
44.244108 92.195 -170.8922
44.564719 92.181 -171.2499
44.887653 92.165 -171.6051
45.212928 92.150 -171.9577
45.540559 92.134 -172.3081
45.870565 92.119 -172.6563
46.202962 92.103 -173.0026
46.537767 92.087 -173.3471
46.874999 92.071 -173.6901
47.214675 92.054 -174.0315
47.556812 92.038 -174.3714
47.901428 92.021 -174.7097
48.248542 92.004 -175.0463
48.598170 91.986 -175.3811
48.950333 91.968 -175.7139
49.305047 91.950 -176.0446
49.662332 91.932 -176.3732
50.022206 91.914 -176.6996
50.384687 91.895 -177.0237
50.749795 91.876 -177.3455
51.117549 91.857 -177.6652
51.487968 91.838 -177.9827
51.861071 91.818 -178.2981
52.236878 91.799 -178.6116
52.615408 91.779 -178.9231
52.996681 91.759 -179.2329
53.380716 91.738 -179.5408
53.767535 91.718 -179.8467
54.157157 91.697 179.8492
54.549602 91.676 179.5473
54.944891 91.655 179.2475
55.343044 91.634 178.9500
55.744083 91.612 178.6546
56.148027 91.591 178.3614
56.554899 91.569 178.0702
56.964719 91.547 177.7808
57.377509 91.525 177.4932
57.793290 91.502 177.2073
58.212084 91.480 176.9230
58.633913 91.457 176.6405
59.058798 91.434 176.3601
59.486763 91.410 176.0820
59.917828 91.387 175.8065
60.352018 91.363 175.5338
60.789353 91.339 175.2639
61.229858 91.315 174.9967
61.673555 91.290 174.7321
62.120467 91.266 174.4698
62.570617 91.242 174.2097
63.024030 91.217 173.9516
63.480728 91.193 173.6953
63.940735 91.168 173.4409
64.404076 91.143 173.1881
64.870775 91.119 172.9371
65.340855 91.094 172.6879
65.814342 91.068 172.4405
66.291260 91.043 172.1948
66.771634 91.018 171.9509
67.255488 90.992 171.7087
67.742849 90.966 171.4683
68.233742 90.940 171.2298
68.728192 90.914 170.9932
69.226225 90.887 170.7586
69.727866 90.861 170.5262
70.233143 90.834 170.2961
70.742082 90.807 170.0684
71.254708 90.780 169.8430
71.771049 90.753 169.6197
72.291131 90.726 169.3984
72.814983 90.698 169.1792
73.342630 90.671 168.9619
73.874101 90.643 168.7468
74.409423 90.615 168.5339
74.948625 90.587 168.3235
75.491733 90.559 168.1157
76.038777 90.531 167.9105
76.589786 90.502 167.7078
77.144787 90.474 167.5075
77.703810 90.445 167.3094
78.266884 90.417 167.1133
78.834038 90.388 166.9190
79.405302 90.359 166.7267
79.980705 90.330 166.5365
80.560278 90.301 166.3487
81.144051 90.272 166.1637
81.732055 90.242 165.9815
82.324319 90.213 165.8021
82.920875 90.184 165.6251
83.521754 90.154 165.4503
84.126987 90.125 165.2771
84.736605 90.095 165.1053
85.350642 90.066 164.9350
85.969128 90.036 164.7661
86.592096 90.006 164.5989
87.219578 89.976 164.4335
87.851607 89.946 164.2703
88.488216 89.915 164.1097
89.129438 89.885 163.9520
89.775306 89.854 163.7973
90.425855 89.823 163.6458
91.081118 89.792 163.4971
91.741129 89.761 163.3510
92.405924 89.730 163.2071
93.075535 89.699 163.0650
93.749999 89.668 162.9245
94.429350 89.637 162.7857
95.113624 89.606 162.6487
95.802856 89.575 162.5140
96.497083 89.544 162.3817
97.196341 89.512 162.2521
97.900666 89.481 162.1248
98.610094 89.449 161.9998
99.324664 89.418 161.8768
100.044411 89.386 161.7559
100.769374 89.355 161.6371
101.499591 89.323 161.5207
102.235098 89.291 161.4069
102.975936 89.260 161.2957
103.722142 89.228 161.1870
104.473756 89.196 161.0802
105.230815 89.165 160.9754
105.993361 89.133 160.8723
106.761433 89.101 160.7712
107.535070 89.069 160.6721
108.314314 89.037 160.5751
109.099204 89.005 160.4801
109.889782 88.973 160.3873
110.686088 88.941 160.2966
111.488165 88.909 160.2084
112.296055 88.877 160.1224
113.109798 88.845 160.0386
113.929438 88.813 159.9568
114.755018 88.780 159.8770
115.586580 88.748 159.7995
116.424168 88.716 159.7247
117.267826 88.683 159.6526
118.117597 88.651 159.5827
118.973525 88.619 159.5146
119.835657 88.587 159.4481
120.704035 88.555 159.3835
121.578706 88.522 159.3211
122.459716 88.490 159.2609
123.347109 88.458 159.2024
124.240933 88.426 159.1453
125.141234 88.394 159.0898
126.048059 88.362 159.0364
126.961456 88.330 158.9860
127.881471 88.297 158.9390
128.808153 88.265 158.8952
129.741550 88.233 158.8538
130.681710 88.202 158.8141
131.628684 88.170 158.7756
132.582520 88.138 158.7381
133.543267 88.107 158.7020
134.510977 88.075 158.6678
135.485699 88.043 158.6362
136.467484 88.012 158.6071
137.456384 87.980 158.5803
138.452449 87.948 158.5551
139.455733 87.917 158.5312
140.466286 87.885 158.5091
141.484163 87.853 158.4891
142.509416 87.821 158.4716
143.542098 87.789 158.4564
144.582263 87.757 158.4435
145.629965 87.725 158.4330
146.685260 87.693 158.4253
147.748202 87.662 158.4204
148.818846 87.630 158.4178
149.897249 87.598 158.4173
150.983466 87.567 158.4185
152.077555 87.536 158.4215
153.179572 87.505 158.4263
154.289574 87.474 158.4323
155.407620 87.443 158.4390
156.533767 87.411 158.4465
157.668076 87.380 158.4551
158.810603 87.349 158.4649
159.961411 87.318 158.4761
161.120557 87.287 158.4894
162.288103 87.256 158.5058
163.464109 87.225 158.5255
164.648638 87.194 158.5482
165.841750 87.163 158.5735
167.043507 87.133 158.6010
168.253973 87.103 158.6306
169.473211 87.073 158.6622
170.701284 87.043 158.6953
171.938256 87.013 158.7294
173.184191 86.984 158.7642
174.439155 86.954 158.7997
175.703213 86.924 158.8371
176.976431 86.894 158.8779
178.258875 86.864 158.9230
179.550613 86.834 158.9718
180.851710 86.804 159.0227
182.162236 86.775 159.0749
183.482259 86.745 159.1284
184.811847 86.716 159.1836
186.151070 86.687 159.2404
187.499997 86.658 159.2982
188.858700 86.629 159.3570
190.227248 86.601 159.4169
191.605713 86.572 159.4783
192.994167 86.543 159.5411
194.392682 86.514 159.6058
195.801331 86.485 159.6742
197.220189 86.456 159.7471
198.649327 86.428 159.8232
200.088822 86.399 159.9012
201.538748 86.371 159.9807
202.999181 86.343 160.0619
204.470197 86.316 160.1447
205.951872 86.288 160.2291
207.444284 86.261 160.3157
208.947511 86.233 160.4052
210.461631 86.206 160.4983
211.986723 86.179 160.5942
213.522866 86.153 160.6912
215.070141 86.127 160.7876
216.628627 86.102 160.8831
218.198408 86.076 160.9791
219.779563 86.049 161.0770
221.372177 86.023 161.1779
222.976331 85.997 161.2822
224.592109 85.972 161.3898
226.219596 85.947 161.5009
227.858877 85.922 161.6150
229.510036 85.899 161.7300
231.173160 85.876 161.8443
232.848336 85.854 161.9576
234.535651 85.831 162.0704
236.235193 85.809 162.1834
237.947051 85.788 162.2970
239.671313 85.766 162.4120
241.408071 85.744 162.5290
243.157413 85.723 162.6478
244.919432 85.702 162.7676
246.694219 85.681 162.8879
248.481867 85.661 163.0084
250.282469 85.641 163.1280
252.096119 85.621 163.2465
253.922911 85.602 163.3648
255.762941 85.583 163.4832
257.616305 85.565 163.6002
259.483099 85.546 163.7142
261.363421 85.528 163.8266
263.257368 85.509 163.9397
265.165039 85.491 164.0538
267.086534 85.472 164.1665
269.021953 85.453 164.2772
270.971397 85.435 164.3881
272.934968 85.416 164.5004
274.912767 85.397 164.6125
276.904898 85.379 164.7225
278.911465 85.360 164.8315
280.932573 85.341 164.9417
282.968326 85.322 165.0540
285.018831 85.303 165.1677
287.084195 85.283 165.2823
289.164526 85.263 165.3975
291.259931 85.243 165.5138
293.370520 85.223 165.6310
295.496404 85.203 165.7488
297.637693 85.183 165.8676
299.794498 85.163 165.9877
301.966933 85.143 166.1100
304.155110 85.124 166.2356
306.359143 85.104 166.3636
308.579148 85.085 166.4920
310.815239 85.066 166.6200
313.067535 85.047 166.7485
315.336151 85.028 166.8795
317.621207 85.008 167.0146
319.922821 84.988 167.1537
322.241114 84.969 167.2962
324.576206 84.949 167.4417
326.928219 84.930 167.5892
329.297275 84.911 167.7376
331.683499 84.892 167.8866
334.087014 84.874 168.0363
336.507947 84.855 168.1857
338.946422 84.837 168.3352
341.402567 84.818 168.4872
343.876511 84.800 168.6428
346.368382 84.782 168.8008
348.878310 84.764 168.9592
351.406426 84.747 169.1173
353.952862 84.729 169.2760
356.517750 84.711 169.4360
359.101225 84.694 169.5974
361.703421 84.676 169.7607
364.324473 84.659 169.9265
366.964518 84.642 170.0950
369.623694 84.625 170.2653
372.302140 84.609 170.4353
374.999995 84.593 170.6040
