* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:42:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten L Radius Deepmounts
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.962 -141.7278
20.140070 92.968 -142.1985
20.286013 92.973 -142.6677
20.433014 92.979 -143.1355
20.581080 92.983 -143.6019
20.730219 92.988 -144.0668
20.880438 92.992 -144.5303
21.031747 92.996 -144.9924
21.184151 92.999 -145.4530
21.337660 93.002 -145.9121
21.492282 93.005 -146.3697
21.648024 93.007 -146.8257
21.804894 93.009 -147.2803
21.962902 93.011 -147.7332
22.122054 93.012 -148.1845
22.282359 93.013 -148.6342
22.443827 93.013 -149.0822
22.606464 93.013 -149.5284
22.770280 93.013 -149.9730
22.935282 93.013 -150.4158
23.101481 93.012 -150.8568
23.268884 93.011 -151.2961
23.437500 93.009 -151.7336
23.607337 93.007 -152.1693
23.778406 93.005 -152.6032
23.950714 93.003 -153.0353
24.124271 93.000 -153.4657
24.299085 92.997 -153.8944
24.475166 92.994 -154.3213
24.652524 92.991 -154.7466
24.831166 92.987 -155.1702
25.011103 92.983 -155.5922
25.192344 92.979 -156.0127
25.374898 92.975 -156.4317
25.558775 92.970 -156.8492
25.743984 92.966 -157.2653
25.930536 92.961 -157.6801
26.118439 92.955 -158.0937
26.307704 92.950 -158.5060
26.498340 92.944 -158.9171
26.690358 92.938 -159.3270
26.883768 92.932 -159.7358
27.078578 92.925 -160.1434
27.274801 92.918 -160.5499
27.472445 92.911 -160.9553
27.671522 92.904 -161.3594
27.872041 92.896 -161.7623
28.074014 92.888 -162.1638
28.277450 92.880 -162.5640
28.482360 92.871 -162.9628
28.688755 92.862 -163.3600
28.896645 92.853 -163.7556
29.106042 92.843 -164.1495
29.316956 92.833 -164.5416
29.529399 92.823 -164.9320
29.743381 92.812 -165.3205
29.958914 92.801 -165.7071
30.176009 92.790 -166.0918
30.394677 92.779 -166.4745
30.614929 92.767 -166.8553
30.836777 92.755 -167.2343
31.060233 92.743 -167.6113
31.285309 92.731 -167.9864
31.512015 92.719 -168.3598
31.740364 92.706 -168.7314
31.970368 92.693 -169.1013
32.202038 92.680 -169.4695
32.435387 92.666 -169.8361
32.670428 92.653 -170.2011
32.907171 92.639 -170.5645
33.145630 92.625 -170.9262
33.385817 92.610 -171.2864
33.627744 92.596 -171.6449
33.871425 92.581 -172.0016
34.116871 92.566 -172.3565
34.364096 92.550 -172.7096
34.613112 92.535 -173.0608
34.863933 92.519 -173.4100
35.116572 92.503 -173.7571
35.371041 92.487 -174.1023
35.627354 92.470 -174.4454
35.885524 92.453 -174.7866
36.145566 92.437 -175.1259
36.407491 92.419 -175.4633
36.671315 92.402 -175.7989
36.937051 92.385 -176.1328
37.204712 92.367 -176.4649
37.474312 92.349 -176.7953
37.745867 92.331 -177.1239
38.019389 92.312 -177.4505
38.294893 92.294 -177.7751
38.572393 92.275 -178.0975
38.851905 92.256 -178.4173
39.133442 92.236 -178.7346
39.417019 92.217 -179.0490
39.702651 92.197 -179.3605
39.990353 92.177 -179.6690
40.280139 92.157 -179.9746
40.572026 92.137 179.7226
40.866027 92.117 179.4224
41.162159 92.097 179.1247
41.460437 92.077 178.8292
41.760877 92.057 178.5356
42.063493 92.037 178.2437
42.368303 92.017 177.9532
42.675321 91.997 177.6640
42.984564 91.977 177.3757
43.296048 91.958 177.0883
43.609789 91.938 176.8014
43.925803 91.918 176.5149
44.244108 91.898 176.2288
44.564719 91.878 175.9429
44.887653 91.858 175.6572
45.212928 91.837 175.3719
45.540559 91.816 175.0870
45.870565 91.795 174.8029
46.202962 91.774 174.5197
46.537767 91.752 174.2378
46.874999 91.730 173.9575
47.214675 91.707 173.6789
47.556812 91.684 173.4025
47.901428 91.661 173.1285
48.248542 91.638 172.8573
48.598170 91.614 172.5889
48.950333 91.590 172.3237
49.305047 91.566 172.0616
49.662332 91.541 171.8027
50.022206 91.517 171.5469
50.384687 91.493 171.2938
50.749795 91.468 171.0432
51.117549 91.444 170.7944
51.487968 91.420 170.5472
51.861071 91.396 170.3010
52.236878 91.372 170.0557
52.615408 91.347 169.8110
52.996681 91.323 169.5671
53.380716 91.298 169.3242
53.767535 91.273 169.0825
54.157157 91.248 168.8425
54.549602 91.223 168.6043
54.944891 91.198 168.3680
55.343044 91.172 168.1338
55.744083 91.146 167.9013
56.148027 91.121 167.6703
56.554899 91.095 167.4404
56.964719 91.069 167.2114
57.377509 91.043 166.9829
57.793290 91.017 166.7551
58.212084 90.990 166.5281
58.633913 90.963 166.3022
59.058798 90.936 166.0779
59.486763 90.908 165.8557
59.917828 90.881 165.6357
60.352018 90.852 165.4183
60.789353 90.824 165.2036
61.229858 90.795 164.9913
61.673555 90.767 164.7815
62.120467 90.738 164.5743
62.570617 90.708 164.3697
63.024030 90.679 164.1679
63.480728 90.650 163.9689
63.940735 90.620 163.7728
64.404076 90.591 163.5793
64.870775 90.561 163.3882
65.340855 90.532 163.1993
65.814342 90.502 163.0123
66.291260 90.472 162.8270
66.771634 90.443 162.6432
67.255488 90.413 162.4611
67.742849 90.383 162.2805
68.233742 90.353 162.1017
68.728192 90.322 161.9249
69.226225 90.292 161.7504
69.727866 90.261 161.5783
70.233143 90.230 161.4088
70.742082 90.200 161.2420
71.254708 90.169 161.0776
71.771049 90.138 160.9156
72.291131 90.107 160.7560
72.814983 90.075 160.5985
73.342630 90.044 160.4434
73.874101 90.013 160.2904
74.409423 89.982 160.1394
74.948625 89.950 159.9902
75.491733 89.919 159.8425
76.038777 89.887 159.6964
76.589786 89.856 159.5518
77.144787 89.824 159.4091
77.703810 89.792 159.2685
78.266884 89.760 159.1304
78.834038 89.727 158.9950
79.405302 89.695 158.8624
79.980705 89.662 158.7323
80.560278 89.630 158.6047
81.144051 89.597 158.4792
81.732055 89.565 158.3556
82.324319 89.533 158.2334
82.920875 89.500 158.1124
83.521754 89.468 157.9925
84.126987 89.435 157.8738
84.736605 89.402 157.7566
85.350642 89.368 157.6417
85.969128 89.335 157.5295
86.592096 89.301 157.4207
87.219578 89.268 157.3152
87.851607 89.234 157.2129
88.488216 89.200 157.1135
89.129438 89.166 157.0164
89.775306 89.133 156.9211
90.425855 89.099 156.8276
91.081118 89.065 156.7358
91.741129 89.032 156.6458
92.405924 88.998 156.5580
93.075535 88.964 156.4724
93.749999 88.930 156.3889
94.429350 88.895 156.3074
95.113624 88.861 156.2276
95.802856 88.827 156.1499
96.497083 88.792 156.0744
97.196341 88.758 156.0017
97.900666 88.723 155.9318
98.610094 88.688 155.8647
99.324664 88.654 155.8002
100.044411 88.619 155.7376
100.769374 88.585 155.6765
101.499591 88.550 155.6161
102.235098 88.516 155.5565
102.975936 88.481 155.4977
103.722142 88.446 155.4407
104.473756 88.410 155.3867
105.230815 88.375 155.3369
105.993361 88.339 155.2918
106.761433 88.302 155.2515
107.535070 88.266 155.2153
108.314314 88.230 155.1826
109.099204 88.194 155.1525
109.889782 88.158 155.1249
110.686088 88.122 155.1002
111.488165 88.086 155.0790
112.296055 88.049 155.0621
113.109798 88.012 155.0498
113.929438 87.976 155.0417
114.755018 87.939 155.0377
115.586580 87.902 155.0375
116.424168 87.864 155.0418
117.267826 87.827 155.0515
118.117597 87.789 155.0679
118.973525 87.751 155.0922
119.835657 87.714 155.1248
120.704035 87.676 155.1656
121.578706 87.640 155.2143
122.459716 87.603 155.2709
123.347109 87.567 155.3361
124.240933 87.533 155.4104
125.141234 87.499 155.4942
126.048059 87.466 155.5876
126.961456 87.435 155.6901
127.881471 87.406 155.8009
128.808153 87.379 155.9182
129.741550 87.354 156.0399
130.681710 87.333 156.1633
131.628684 87.314 156.2842
132.582520 87.298 156.3982
133.543267 87.286 156.5000
134.510977 87.275 156.5850
135.485699 87.267 156.6489
136.467484 87.259 156.6897
137.456384 87.251 156.7071
138.452449 87.242 156.7031
139.455733 87.232 156.6806
140.466286 87.220 156.6433
141.484163 87.206 156.5948
142.509416 87.190 156.5384
143.542098 87.171 156.4768
144.582263 87.151 156.4125
145.629965 87.128 156.3481
146.685260 87.103 156.2864
147.748202 87.077 156.2298
148.818846 87.049 156.1804
149.897249 87.020 156.1386
150.983466 86.990 156.1035
152.077555 86.960 156.0730
153.179572 86.930 156.0450
154.289574 86.899 156.0198
155.407620 86.867 155.9996
156.533767 86.834 155.9881
157.668076 86.801 155.9865
158.810603 86.767 155.9930
159.961411 86.734 156.0056
161.120557 86.701 156.0230
162.288103 86.668 156.0452
163.464109 86.634 156.0728
164.648638 86.601 156.1069
165.841750 86.568 156.1484
167.043507 86.535 156.1963
168.253973 86.504 156.2477
169.473211 86.472 156.3001
170.701284 86.441 156.3525
171.938256 86.410 156.4060
173.184191 86.379 156.4619
174.439155 86.347 156.5208
175.703213 86.316 156.5824
176.976431 86.284 156.6469
178.258875 86.253 156.7140
179.550613 86.221 156.7837
180.851710 86.190 156.8560
182.162236 86.158 156.9318
183.482259 86.127 157.0120
184.811847 86.096 157.0963
186.151070 86.065 157.1844
187.499997 86.034 157.2767
188.858700 86.004 157.3733
190.227248 85.974 157.4733
191.605713 85.945 157.5755
192.994167 85.917 157.6793
194.392682 85.889 157.7846
195.801331 85.861 157.8919
197.220189 85.833 158.0017
198.649327 85.806 158.1143
200.088822 85.779 158.2301
201.538748 85.752 158.3485
202.999181 85.727 158.4682
204.470197 85.702 158.5876
205.951872 85.678 158.7065
207.444284 85.654 158.8255
208.947511 85.631 158.9446
210.461631 85.608 159.0629
211.986723 85.586 159.1790
213.522866 85.564 159.2933
215.070141 85.541 159.4071
216.628627 85.520 159.5211
218.198408 85.498 159.6352
219.779563 85.476 159.7483
221.372177 85.455 159.8594
222.976331 85.433 159.9688
224.592109 85.412 160.0778
226.219596 85.390 160.1875
227.858877 85.368 160.2981
229.510036 85.347 160.4080
231.173160 85.325 160.5156
232.848336 85.303 160.6210
234.535651 85.281 160.7257
236.235193 85.259 160.8318
237.947051 85.236 160.9402
239.671313 85.213 161.0506
241.408071 85.191 161.1619
243.157413 85.168 161.2734
244.919432 85.145 161.3856
246.694219 85.122 161.4996
248.481867 85.099 161.6171
250.282469 85.075 161.7386
252.096119 85.052 161.8636
253.922911 85.029 161.9909
255.762941 85.005 162.1198
257.616305 84.982 162.2505
259.483099 84.959 162.3839
261.363421 84.936 162.5211
263.257368 84.913 162.6636
265.165039 84.891 162.8124
267.086534 84.868 162.9669
269.021953 84.847 163.1260
270.971397 84.826 163.2886
272.934968 84.806 163.4539
274.912767 84.786 163.6204
276.904898 84.767 163.7874
278.911465 84.749 163.9553
280.932573 84.731 164.1246
282.968326 84.715 164.2931
285.018831 84.700 164.4580
287.084195 84.685 164.6170
289.164526 84.672 164.7695
291.259931 84.659 164.9157
293.370520 84.645 165.0560
295.496404 84.632 165.1907
297.637693 84.618 165.3201
299.794498 84.603 165.4454
301.966933 84.587 165.5690
304.155110 84.569 165.6936
306.359143 84.551 165.8211
308.579148 84.533 165.9517
310.815239 84.514 166.0849
313.067535 84.495 166.2206
315.336151 84.476 166.3595
317.621207 84.457 166.5020
319.922821 84.438 166.6476
322.241114 84.419 166.7965
324.576206 84.400 166.9491
326.928219 84.382 167.1053
329.297275 84.364 167.2633
331.683499 84.347 167.4214
334.087014 84.330 167.5802
336.507947 84.312 167.7399
338.946422 84.295 167.9011
341.402567 84.277 168.0645
343.876511 84.259 168.2303
346.368382 84.242 168.3979
348.878310 84.225 168.5668
351.406426 84.208 168.7382
353.952862 84.191 168.9121
356.517750 84.174 169.0878
359.101225 84.158 169.2651
361.703421 84.142 169.4440
364.324473 84.126 169.6236
366.964518 84.110 169.8043
369.623694 84.095 169.9868
372.302140 84.079 170.1713
374.999995 84.064 170.3583
377.717399 84.049 170.5474
380.454495 84.035 170.7368
383.211425 84.020 170.9263
