* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:42:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten R Radius Deepmounts
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 93.262 -132.3547
20.140070 93.276 -132.8621
20.286013 93.291 -133.3690
20.433014 93.304 -133.8754
20.581080 93.318 -134.3814
20.730219 93.331 -134.8869
20.880438 93.344 -135.3921
21.031747 93.356 -135.8969
21.184151 93.368 -136.4013
21.337660 93.379 -136.9052
21.492282 93.390 -137.4087
21.648024 93.400 -137.9116
21.804894 93.410 -138.4138
21.962902 93.420 -138.9152
22.122054 93.428 -139.4158
22.282359 93.437 -139.9155
22.443827 93.445 -140.4141
22.606464 93.452 -140.9116
22.770280 93.459 -141.4078
22.935282 93.466 -141.9028
23.101481 93.472 -142.3966
23.268884 93.477 -142.8890
23.437500 93.482 -143.3801
23.607337 93.487 -143.8699
23.778406 93.491 -144.3584
23.950714 93.495 -144.8457
24.124271 93.499 -145.3319
24.299085 93.502 -145.8169
24.475166 93.504 -146.3007
24.652524 93.507 -146.7834
24.831166 93.508 -147.2649
25.011103 93.510 -147.7451
25.192344 93.511 -148.2240
25.374898 93.511 -148.7015
25.558775 93.511 -149.1774
25.743984 93.510 -149.6515
25.930536 93.509 -150.1237
26.118439 93.508 -150.5939
26.307704 93.506 -151.0619
26.498340 93.503 -151.5275
26.690358 93.501 -151.9906
26.883768 93.498 -152.4512
27.078578 93.494 -152.9093
27.274801 93.491 -153.3649
27.472445 93.487 -153.8181
27.671522 93.482 -154.2691
27.872041 93.478 -154.7179
28.074014 93.474 -155.1649
28.277450 93.469 -155.6102
28.482360 93.464 -156.0541
28.688755 93.459 -156.4968
28.896645 93.454 -156.9385
29.106042 93.449 -157.3794
29.316956 93.443 -157.8196
29.529399 93.437 -158.2592
29.743381 93.431 -158.6982
29.958914 93.424 -159.1366
30.176009 93.417 -159.5741
30.394677 93.410 -160.0108
30.614929 93.402 -160.4463
30.836777 93.394 -160.8804
31.060233 93.386 -161.3131
31.285309 93.377 -161.7439
31.512015 93.367 -162.1728
31.740364 93.357 -162.5995
31.970368 93.347 -163.0240
32.202038 93.336 -163.4462
32.435387 93.326 -163.8660
32.670428 93.315 -164.2836
32.907171 93.303 -164.6989
33.145630 93.292 -165.1120
33.385817 93.280 -165.5232
33.627744 93.268 -165.9324
33.871425 93.255 -166.3399
34.116871 93.243 -166.7456
34.364096 93.230 -167.1497
34.613112 93.217 -167.5523
34.863933 93.204 -167.9533
35.116572 93.190 -168.3526
35.371041 93.176 -168.7503
35.627354 93.162 -169.1462
35.885524 93.147 -169.5403
36.145566 93.133 -169.9324
36.407491 93.117 -170.3223
36.671315 93.102 -170.7100
36.937051 93.086 -171.0954
37.204712 93.070 -171.4782
37.474312 93.054 -171.8585
37.745867 93.037 -172.2361
38.019389 93.021 -172.6110
38.294893 93.004 -172.9833
38.572393 92.987 -173.3529
38.851905 92.970 -173.7200
39.133442 92.952 -174.0848
39.417019 92.935 -174.4474
39.702651 92.918 -174.8080
39.990353 92.901 -175.1668
40.280139 92.883 -175.5242
40.572026 92.866 -175.8803
40.866027 92.848 -176.2354
41.162159 92.831 -176.5898
41.460437 92.813 -176.9436
41.760877 92.795 -177.2970
42.063493 92.777 -177.6501
42.368303 92.759 -178.0029
42.675321 92.740 -178.3553
42.984564 92.721 -178.7072
43.296048 92.701 -179.0585
43.609789 92.682 -179.4089
43.925803 92.661 -179.7581
44.244108 92.641 179.8942
44.564719 92.619 179.5483
44.887653 92.597 179.2046
45.212928 92.575 178.8635
45.540559 92.552 178.5254
45.870565 92.529 178.1906
46.202962 92.506 177.8595
46.537767 92.482 177.5322
46.874999 92.457 177.2087
47.214675 92.433 176.8889
47.556812 92.409 176.5724
47.901428 92.384 176.2593
48.248542 92.359 175.9492
48.598170 92.334 175.6425
48.950333 92.309 175.3392
49.305047 92.284 175.0396
49.662332 92.258 174.7437
50.022206 92.233 174.4510
50.384687 92.208 174.1609
50.749795 92.184 173.8724
51.117549 92.159 173.5840
51.487968 92.135 173.2950
51.861071 92.110 173.0051
52.236878 92.085 172.7147
52.615408 92.060 172.4250
52.996681 92.034 172.1374
53.380716 92.007 171.8530
53.767535 91.981 171.5724
54.157157 91.954 171.2952
54.549602 91.927 171.0201
54.944891 91.901 170.7457
55.343044 91.874 170.4708
55.744083 91.847 170.1953
56.148027 91.820 169.9201
56.554899 91.791 169.6477
56.964719 91.762 169.3807
57.377509 91.732 169.1218
57.793290 91.701 168.8719
58.212084 91.672 168.6309
58.633913 91.643 168.3961
59.058798 91.615 168.1641
59.486763 91.589 167.9311
59.917828 91.562 167.6940
60.352018 91.536 167.4517
60.789353 91.509 167.2055
61.229858 91.481 166.9587
61.673555 91.452 166.7160
62.120467 91.421 166.4817
62.570617 91.391 166.2581
63.024030 91.361 166.0451
63.480728 91.333 165.8393
63.940735 91.305 165.6354
64.404076 91.280 165.4278
64.870775 91.255 165.2119
65.340855 91.230 164.9859
65.814342 91.204 164.7509
66.291260 91.177 164.5102
66.771634 91.148 164.2683
67.255488 91.118 164.0298
67.742849 91.086 163.7979
68.233742 91.053 163.5745
68.728192 91.020 163.3601
69.226225 90.987 163.1541
69.727866 90.954 162.9550
70.233143 90.922 162.7611
70.742082 90.890 162.5705
71.254708 90.859 162.3813
71.771049 90.828 162.1920
72.291131 90.797 162.0018
72.814983 90.766 161.8103
73.342630 90.735 161.6181
73.874101 90.703 161.4261
74.409423 90.671 161.2357
74.948625 90.639 161.0478
75.491733 90.606 160.8632
76.038777 90.573 160.6823
76.589786 90.540 160.5048
77.144787 90.506 160.3308
77.703810 90.473 160.1599
78.266884 90.439 159.9920
78.834038 90.406 159.8270
79.405302 90.372 159.6649
79.980705 90.338 159.5059
80.560278 90.304 159.3499
81.144051 90.270 159.1971
81.732055 90.236 159.0474
82.324319 90.202 158.9005
82.920875 90.168 158.7562
83.521754 90.134 158.6146
84.126987 90.100 158.4755
84.736605 90.066 158.3389
85.350642 90.032 158.2046
85.969128 89.998 158.0719
86.592096 89.964 157.9403
87.219578 89.930 157.8093
87.851607 89.896 157.6787
88.488216 89.861 157.5491
89.129438 89.826 157.4212
89.775306 89.791 157.2960
90.425855 89.755 157.1746
91.081118 89.719 157.0584
91.741129 89.682 156.9483
92.405924 89.646 156.8444
93.075535 89.610 156.7459
93.749999 89.574 156.6514
94.429350 89.539 156.5594
95.113624 89.505 156.4690
95.802856 89.470 156.3798
96.497083 89.436 156.2915
97.196341 89.401 156.2040
97.900666 89.367 156.1169
98.610094 89.333 156.0300
99.324664 89.299 155.9438
100.044411 89.264 155.8593
100.769374 89.229 155.7772
101.499591 89.195 155.6978
102.235098 89.160 155.6203
102.975936 89.125 155.5443
103.722142 89.090 155.4695
104.473756 89.055 155.3965
105.230815 89.019 155.3262
105.993361 88.983 155.2593
106.761433 88.947 155.1965
107.535070 88.911 155.1384
108.314314 88.874 155.0850
109.099204 88.837 155.0364
109.889782 88.801 154.9924
110.686088 88.764 154.9523
111.488165 88.727 154.9160
112.296055 88.690 154.8843
113.109798 88.653 154.8582
113.929438 88.616 154.8387
114.755018 88.579 154.8261
115.586580 88.542 154.8190
116.424168 88.506 154.8152
117.267826 88.471 154.8121
118.117597 88.435 154.8077
118.973525 88.399 154.8028
119.835657 88.363 154.8006
120.704035 88.326 154.8057
121.578706 88.289 154.8215
122.459716 88.253 154.8475
123.347109 88.218 154.8797
124.240933 88.185 154.9133
125.141234 88.153 154.9453
126.048059 88.121 154.9754
126.961456 88.090 155.0055
127.881471 88.059 155.0380
128.808153 88.028 155.0756
129.741550 87.998 155.1206
130.681710 87.968 155.1738
131.628684 87.941 155.2343
132.582520 87.915 155.2993
133.543267 87.891 155.3654
134.510977 87.869 155.4282
135.485699 87.849 155.4829
136.467484 87.831 155.5251
137.456384 87.814 155.5521
138.452449 87.796 155.5628
139.455733 87.779 155.5579
140.466286 87.759 155.5402
141.484163 87.738 155.5151
142.509416 87.715 155.4893
143.542098 87.691 155.4676
144.582263 87.667 155.4512
145.629965 87.642 155.4378
146.685260 87.618 155.4241
147.748202 87.594 155.4076
148.818846 87.570 155.3868
149.897249 87.546 155.3618
150.983466 87.521 155.3340
152.077555 87.495 155.3056
153.179572 87.468 155.2792
154.289574 87.439 155.2573
155.407620 87.410 155.2421
156.533767 87.381 155.2343
157.668076 87.351 155.2335
158.810603 87.321 155.2387
159.961411 87.291 155.2487
161.120557 87.261 155.2624
162.288103 87.232 155.2780
163.464109 87.202 155.2935
164.648638 87.172 155.3080
165.841750 87.142 155.3217
167.043507 87.111 155.3359
168.253973 87.080 155.3515
169.473211 87.048 155.3694
170.701284 87.015 155.3900
171.938256 86.983 155.4145
173.184191 86.950 155.4438
174.439155 86.917 155.4780
175.703213 86.884 155.5165
176.976431 86.851 155.5588
178.258875 86.818 155.6050
179.550613 86.786 155.6556
180.851710 86.753 155.7108
182.162236 86.720 155.7706
183.482259 86.687 155.8340
184.811847 86.655 155.8997
186.151070 86.622 155.9668
187.499997 86.590 156.0350
188.858700 86.558 156.1049
190.227248 86.526 156.1767
191.605713 86.494 156.2503
192.994167 86.463 156.3251
194.392682 86.432 156.4009
195.801331 86.401 156.4784
197.220189 86.371 156.5582
198.649327 86.341 156.6400
200.088822 86.312 156.7234
201.538748 86.283 156.8088
202.999181 86.254 156.8969
204.470197 86.225 156.9891
205.951872 86.196 157.0864
207.444284 86.167 157.1892
208.947511 86.138 157.2980
210.461631 86.109 157.4135
211.986723 86.080 157.5356
213.522866 86.052 157.6639
215.070141 86.024 157.7973
216.628627 85.997 157.9341
218.198408 85.970 158.0724
219.779563 85.944 158.2102
221.372177 85.919 158.3467
222.976331 85.895 158.4821
224.592109 85.872 158.6155
226.219596 85.849 158.7454
227.858877 85.827 158.8713
229.510036 85.806 158.9925
231.173160 85.785 159.1086
232.848336 85.764 159.2204
234.535651 85.743 159.3285
236.235193 85.722 159.4330
237.947051 85.700 159.5353
239.671313 85.678 159.6370
241.408071 85.656 159.7393
243.157413 85.633 159.8432
244.919432 85.610 159.9490
246.694219 85.585 160.0576
248.481867 85.561 160.1707
250.282469 85.536 160.2885
252.096119 85.511 160.4099
253.922911 85.486 160.5345
255.762941 85.461 160.6617
257.616305 85.436 160.7900
259.483099 85.411 160.9196
261.363421 85.386 161.0529
263.257368 85.361 161.1904
265.165039 85.338 161.3296
267.086534 85.315 161.4684
269.021953 85.293 161.6081
270.971397 85.271 161.7506
272.934968 85.250 161.8953
274.912767 85.230 162.0400
276.904898 85.211 162.1843
278.911465 85.192 162.3300
280.932573 85.174 162.4784
282.968326 85.157 162.6281
285.018831 85.140 162.7763
287.084195 85.123 162.9223
289.164526 85.106 163.0685
291.259931 85.089 163.2174
293.370520 85.071 163.3658
295.496404 85.053 163.5084
297.637693 85.035 163.6450
299.794498 85.015 163.7832
301.966933 84.994 163.9286
304.155110 84.975 164.0769
306.359143 84.956 164.2173
308.579148 84.936 164.3464
310.815239 84.914 164.4749
313.067535 84.892 164.6166
315.336151 84.871 164.7723
317.621207 84.852 164.9282
319.922821 84.834 165.0720
322.241114 84.815 165.2082
324.576206 84.794 165.3525
326.928219 84.774 165.5123
329.297275 84.755 165.6778
331.683499 84.738 165.8345
334.087014 84.721 165.9789
336.507947 84.702 166.1206
338.946422 84.682 166.2725
341.402567 84.661 166.4408
343.876511 84.641 166.6219
346.368382 84.622 166.8077
348.878310 84.603 166.9936
351.406426 84.585 167.1788
353.952862 84.566 167.3621
356.517750 84.548 167.5415
359.101225 84.530 167.7181
361.703421 84.511 167.8958
364.324473 84.493 168.0772
366.964518 84.475 168.2615
369.623694 84.458 168.4456
372.302140 84.441 168.6280
374.999995 84.425 168.8107
377.717399 84.409 168.9958
380.454495 84.394 169.1826
