* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 7, 2026 9:47:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GK Kunten L Sample 2
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 93.147 36.3332
20.140070 93.154 35.8759
20.286013 93.160 35.4195
20.433014 93.166 34.9641
20.581080 93.171 34.5094
20.730219 93.177 34.0557
20.880438 93.181 33.6028
21.031747 93.186 33.1508
21.184151 93.190 32.6996
21.337660 93.193 32.2493
21.492282 93.196 31.7997
21.648024 93.199 31.3508
21.804894 93.201 30.9027
21.962902 93.203 30.4554
22.122054 93.205 30.0088
22.282359 93.205 29.5631
22.443827 93.206 29.1184
22.606464 93.205 28.6749
22.770280 93.204 28.2329
22.935282 93.203 27.7925
23.101481 93.201 27.3544
23.268884 93.198 26.9187
23.437500 93.194 26.4861
23.607337 93.190 26.0571
23.778406 93.185 25.6323
23.950714 93.179 25.2122
24.124271 93.173 24.7972
24.299085 93.167 24.3879
24.475166 93.160 23.9847
24.652524 93.153 23.5875
24.831166 93.146 23.1965
25.011103 93.139 22.8116
25.192344 93.132 22.4324
25.374898 93.125 22.0583
25.558775 93.119 21.6888
25.743984 93.113 21.3230
25.930536 93.107 20.9600
26.118439 93.103 20.5986
26.307704 93.099 20.2382
26.498340 93.095 19.8776
26.690358 93.092 19.5161
26.883768 93.089 19.1531
27.078578 93.086 18.7880
27.274801 93.083 18.4205
27.472445 93.080 18.0505
27.671522 93.077 17.6783
27.872041 93.074 17.3039
28.074014 93.070 16.9277
28.277450 93.066 16.5504
28.482360 93.061 16.1723
28.688755 93.056 15.7942
28.896645 93.050 15.4164
29.106042 93.043 15.0398
29.316956 93.036 14.6646
29.529399 93.028 14.2914
29.743381 93.020 13.9205
29.958914 93.012 13.5522
30.176009 93.002 13.1868
30.394677 92.993 12.8243
30.614929 92.983 12.4650
30.836777 92.973 12.1089
31.060233 92.962 11.7561
31.285309 92.952 11.4065
31.512015 92.941 11.0599
31.740364 92.930 10.7164
31.970368 92.918 10.3758
32.202038 92.907 10.0378
32.435387 92.895 9.7021
32.670428 92.884 9.3687
32.907171 92.873 9.0369
33.145630 92.861 8.7065
33.385817 92.850 8.3773
33.627744 92.839 8.0488
33.871425 92.827 7.7208
34.116871 92.816 7.3929
34.364096 92.805 7.0650
34.613112 92.793 6.7368
34.863933 92.781 6.4084
35.116572 92.769 6.0797
35.371041 92.757 5.7507
35.627354 92.744 5.4216
35.885524 92.731 5.0928
36.145566 92.718 4.7643
36.407491 92.704 4.4366
36.671315 92.690 4.1098
36.937051 92.675 3.7842
37.204712 92.660 3.4601
37.474312 92.645 3.1375
37.745867 92.629 2.8165
38.019389 92.613 2.4973
38.294893 92.597 2.1797
38.572393 92.580 1.8636
38.851905 92.563 1.5492
39.133442 92.546 1.2362
39.417019 92.529 0.9248
39.702651 92.511 0.6149
39.990353 92.493 0.3068
40.280139 92.474 0.0004
40.572026 92.455 -0.3038
40.866027 92.436 -0.6057
41.162159 92.417 -0.9053
41.460437 92.397 -1.2021
41.760877 92.377 -1.4965
42.063493 92.357 -1.7884
42.368303 92.337 -2.0779
42.675321 92.317 -2.3654
42.984564 92.297 -2.6512
43.296048 92.277 -2.9357
43.609789 92.256 -3.2189
43.925803 92.236 -3.5013
44.244108 92.215 -3.7830
44.564719 92.194 -4.0637
44.887653 92.173 -4.3433
45.212928 92.151 -4.6213
45.540559 92.130 -4.8976
45.870565 92.107 -5.1718
46.202962 92.085 -5.4435
46.537767 92.063 -5.7125
46.874999 92.040 -5.9791
47.214675 92.017 -6.2434
47.556812 91.994 -6.5057
47.901428 91.971 -6.7664
48.248542 91.948 -7.0259
48.598170 91.925 -7.2842
48.950333 91.902 -7.5415
49.305047 91.878 -7.7975
49.662332 91.854 -8.0521
50.022206 91.830 -8.3047
50.384687 91.805 -8.5549
50.749795 91.780 -8.8024
51.117549 91.755 -9.0471
51.487968 91.730 -9.2888
51.861071 91.704 -9.5277
52.236878 91.679 -9.7642
52.615408 91.654 -9.9987
52.996681 91.628 -10.2316
53.380716 91.603 -10.4633
53.767535 91.578 -10.6941
54.157157 91.552 -10.9241
54.549602 91.527 -11.1536
54.944891 91.501 -11.3821
55.343044 91.475 -11.6097
55.744083 91.449 -11.8359
56.148027 91.422 -12.0607
56.554899 91.396 -12.2837
56.964719 91.369 -12.5048
57.377509 91.342 -12.7240
57.793290 91.315 -12.9413
58.212084 91.287 -13.1567
58.633913 91.259 -13.3702
59.058798 91.231 -13.5817
59.486763 91.203 -13.7908
59.917828 91.175 -13.9976
60.352018 91.146 -14.2017
60.789353 91.118 -14.4033
61.229858 91.089 -14.6023
61.673555 91.060 -14.7988
62.120467 91.032 -14.9927
62.570617 91.003 -15.1841
63.024030 90.974 -15.3733
63.480728 90.946 -15.5608
63.940735 90.918 -15.7472
64.404076 90.890 -15.9332
64.870775 90.862 -16.1193
65.340855 90.834 -16.3055
65.814342 90.805 -16.4915
66.291260 90.776 -16.6763
66.771634 90.747 -16.8587
67.255488 90.717 -17.0380
67.742849 90.687 -17.2133
68.233742 90.657 -17.3845
68.728192 90.626 -17.5519
69.226225 90.596 -17.7161
69.727866 90.566 -17.8779
70.233143 90.537 -18.0383
70.742082 90.507 -18.1981
71.254708 90.477 -18.3577
71.771049 90.448 -18.5176
72.291131 90.418 -18.6774
72.814983 90.387 -18.8368
73.342630 90.357 -18.9950
73.874101 90.326 -19.1509
74.409423 90.294 -19.3035
74.948625 90.262 -19.4521
75.491733 90.230 -19.5967
76.038777 90.199 -19.7377
76.589786 90.167 -19.8762
77.144787 90.135 -20.0134
77.703810 90.104 -20.1505
78.266884 90.073 -20.2877
78.834038 90.041 -20.4247
79.405302 90.008 -20.5605
79.980705 89.976 -20.6938
80.560278 89.943 -20.8236
81.144051 89.910 -20.9492
81.732055 89.876 -21.0708
82.324319 89.843 -21.1887
82.920875 89.810 -21.3040
83.521754 89.778 -21.4172
84.126987 89.745 -21.5293
84.736605 89.713 -21.6406
85.350642 89.680 -21.7518
85.969128 89.647 -21.8629
86.592096 89.615 -21.9739
87.219578 89.581 -22.0837
87.851607 89.547 -22.1912
88.488216 89.513 -22.2947
89.129438 89.478 -22.3931
89.775306 89.443 -22.4859
90.425855 89.409 -22.5734
91.081118 89.374 -22.6565
91.741129 89.340 -22.7363
92.405924 89.305 -22.8138
93.075535 89.271 -22.8896
93.749999 89.238 -22.9647
94.429350 89.204 -23.0408
95.113624 89.170 -23.1206
95.802856 89.135 -23.2057
96.497083 89.098 -23.2938
97.196341 89.060 -23.3776
97.900666 89.020 -23.4472
98.610094 88.979 -23.4977
99.324664 88.941 -23.5351
100.044411 88.906 -23.5773
100.769374 88.872 -23.6459
101.499591 88.837 -23.7527
102.235098 88.795 -23.8902
102.975936 88.746 -24.0320
103.722142 88.687 -24.1434
104.473756 88.623 -24.1957
105.230815 88.557 -24.1762
105.993361 88.493 -24.0891
106.761433 88.435 -23.9500
107.535070 88.384 -23.7780
108.314314 88.340 -23.5912
109.099204 88.302 -23.4021
109.889782 88.267 -23.2142
110.686088 88.236 -23.0212
111.488165 88.206 -22.8109
112.296055 88.181 -22.5728
113.109798 88.163 -22.3074
113.929438 88.155 -22.0294
114.755018 88.158 -21.7665
115.586580 88.170 -21.5483
116.424168 88.190 -21.3948
117.267826 88.213 -21.3105
118.117597 88.237 -21.2915
118.973525 88.259 -21.3339
119.835657 88.280 -21.4367
120.704035 88.295 -21.5980
121.578706 88.303 -21.8090
122.459716 88.302 -22.0530
123.347109 88.292 -22.3088
124.240933 88.273 -22.5556
125.141234 88.248 -22.7786
126.048059 88.219 -22.9713
126.961456 88.187 -23.1346
127.881471 88.154 -23.2725
128.808153 88.120 -23.3885
129.741550 88.085 -23.4849
130.681710 88.051 -23.5630
131.628684 88.017 -23.6268
132.582520 87.983 -23.6832
133.543267 87.951 -23.7386
134.510977 87.918 -23.7946
135.485699 87.884 -23.8470
136.467484 87.849 -23.8893
137.456384 87.814 -23.9164
138.452449 87.779 -23.9292
139.455733 87.746 -23.9318
140.466286 87.715 -23.9287
141.484163 87.684 -23.9219
142.509416 87.656 -23.9120
143.542098 87.628 -23.9001
144.582263 87.601 -23.8886
145.629965 87.575 -23.8798
146.685260 87.548 -23.8743
147.748202 87.522 -23.8717
148.818846 87.494 -23.8690
149.897249 87.465 -23.8621
150.983466 87.434 -23.8464
152.077555 87.404 -23.8201
153.179572 87.373 -23.7843
154.289574 87.343 -23.7430
155.407620 87.314 -23.7004
156.533767 87.285 -23.6596
157.668076 87.256 -23.6222
158.810603 87.226 -23.5876
159.961411 87.194 -23.5535
161.120557 87.159 -23.5171
162.288103 87.123 -23.4764
163.464109 87.086 -23.4293
164.648638 87.048 -23.3734
165.841750 87.011 -23.3075
167.043507 86.974 -23.2335
168.253973 86.939 -23.1555
169.473211 86.905 -23.0779
170.701284 86.871 -23.0034
171.938256 86.838 -22.9319
173.184191 86.804 -22.8616
174.439155 86.770 -22.7899
175.703213 86.736 -22.7152
176.976431 86.702 -22.6368
178.258875 86.668 -22.5546
179.550613 86.633 -22.4668
180.851710 86.600 -22.3722
182.162236 86.567 -22.2716
183.482259 86.535 -22.1686
184.811847 86.504 -22.0664
186.151070 86.474 -21.9675
187.499997 86.445 -21.8723
188.858700 86.415 -21.7797
190.227248 86.385 -21.6879
191.605713 86.355 -21.5952
192.994167 86.324 -21.5001
194.392682 86.294 -21.4004
195.801331 86.264 -21.2950
197.220189 86.235 -21.1846
198.649327 86.207 -21.0709
200.088822 86.181 -20.9576
201.538748 86.157 -20.8488
202.999181 86.134 -20.7463
204.470197 86.111 -20.6493
205.951872 86.088 -20.5544
207.444284 86.064 -20.4586
208.947511 86.040 -20.3593
210.461631 86.016 -20.2545
211.986723 85.992 -20.1426
213.522866 85.968 -20.0225
215.070141 85.944 -19.8944
216.628627 85.922 -19.7620
218.198408 85.901 -19.6306
219.779563 85.882 -19.5049
221.372177 85.862 -19.3867
222.976331 85.843 -19.2753
224.592109 85.824 -19.1680
226.219596 85.804 -19.0620
227.858877 85.784 -18.9547
229.510036 85.764 -18.8447
231.173160 85.743 -18.7314
232.848336 85.722 -18.6147
234.535651 85.702 -18.4956
236.235193 85.682 -18.3763
237.947051 85.663 -18.2604
239.671313 85.644 -18.1499
241.408071 85.624 -18.0449
243.157413 85.604 -17.9423
244.919432 85.583 -17.8364
246.694219 85.561 -17.7230
248.481867 85.538 -17.6008
250.282469 85.514 -17.4698
252.096119 85.490 -17.3322
253.922911 85.466 -17.1917
255.762941 85.443 -17.0516
257.616305 85.420 -16.9142
259.483099 85.398 -16.7811
261.363421 85.376 -16.6517
263.257368 85.354 -16.5228
265.165039 85.331 -16.3913
267.086534 85.307 -16.2546
269.021953 85.284 -16.1104
270.971397 85.260 -15.9566
272.934968 85.236 -15.7947
274.912767 85.214 -15.6288
276.904898 85.193 -15.4634
278.911465 85.173 -15.3010
280.932573 85.154 -15.1432
282.968326 85.135 -14.9901
285.018831 85.117 -14.8409
287.084195 85.097 -14.6936
289.164526 85.077 -14.5447
291.259931 85.056 -14.3903
293.370520 85.034 -14.2284
295.496404 85.012 -14.0609
297.637693 84.991 -13.8906
299.794498 84.972 -13.7190
301.966933 84.953 -13.5472
304.155110 84.936 -13.3764
306.359143 84.919 -13.2069
308.579148 84.902 -13.0391
310.815239 84.884 -12.8721
313.067535 84.865 -12.7039
315.336151 84.845 -12.5331
317.621207 84.825 -12.3588
319.922821 84.805 -12.1804
322.241114 84.786 -11.9990
324.576206 84.768 -11.8149
326.928219 84.751 -11.6285
329.297275 84.736 -11.4410
331.683499 84.721 -11.2540
334.087014 84.706 -11.0681
336.507947 84.691 -10.8839
338.946422 84.675 -10.7019
341.402567 84.659 -10.5206
343.876511 84.641 -10.3384
346.368382 84.624 -10.1543
