* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 7, 2026 9:48:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GK Kunten R Sample 2
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 93.856 36.6093
20.140070 93.862 36.1342
20.286013 93.867 35.6591
20.433014 93.872 35.1840
20.581080 93.876 34.7083
20.730219 93.880 34.2321
20.880438 93.884 33.7550
21.031747 93.887 33.2767
21.184151 93.890 32.7971
21.337660 93.893 32.3159
21.492282 93.895 31.8330
21.648024 93.896 31.3482
21.804894 93.897 30.8616
21.962902 93.897 30.3733
22.122054 93.896 29.8835
22.282359 93.894 29.3925
22.443827 93.890 28.9012
22.606464 93.885 28.4102
22.770280 93.879 27.9205
22.935282 93.872 27.4335
23.101481 93.862 26.9504
23.268884 93.852 26.4731
23.437500 93.839 26.0032
23.607337 93.825 25.5426
23.778406 93.810 25.0930
23.950714 93.794 24.6564
24.124271 93.777 24.2340
24.299085 93.759 23.8273
24.475166 93.742 23.4369
24.652524 93.724 23.0632
24.831166 93.708 22.7058
25.011103 93.692 22.3640
25.192344 93.678 22.0361
25.374898 93.666 21.7199
25.558775 93.656 21.4129
25.743984 93.649 21.1118
25.930536 93.644 20.8136
26.118439 93.642 20.5148
26.307704 93.642 20.2120
26.498340 93.644 19.9026
26.690358 93.648 19.5842
26.883768 93.653 19.2546
27.078578 93.659 18.9131
27.274801 93.666 18.5590
27.472445 93.673 18.1924
27.671522 93.679 17.8143
27.872041 93.685 17.4260
28.074014 93.689 17.0288
28.277450 93.693 16.6248
28.482360 93.695 16.2156
28.688755 93.696 15.8033
28.896645 93.695 15.3896
29.106042 93.694 14.9760
29.316956 93.691 14.5635
29.529399 93.687 14.1533
29.743381 93.682 13.7458
29.958914 93.676 13.3417
30.176009 93.670 12.9410
30.394677 93.663 12.5437
30.614929 93.656 12.1496
30.836777 93.648 11.7586
31.060233 93.639 11.3704
31.285309 93.630 10.9847
31.512015 93.621 10.6014
31.740364 93.611 10.2202
31.970368 93.601 9.8413
32.202038 93.590 9.4647
32.435387 93.578 9.0905
32.670428 93.566 8.7191
32.907171 93.554 8.3508
33.145630 93.541 7.9860
33.385817 93.527 7.6249
33.627744 93.513 7.2677
33.871425 93.499 6.9143
34.116871 93.485 6.5645
34.364096 93.471 6.2180
34.613112 93.457 5.8740
34.863933 93.442 5.5319
35.116572 93.428 5.1909
35.371041 93.414 4.8502
35.627354 93.399 4.5094
35.885524 93.384 4.1680
36.145566 93.369 3.8262
36.407491 93.353 3.4843
36.671315 93.337 3.1429
36.937051 93.320 2.8029
37.204712 93.302 2.4653
37.474312 93.283 2.1312
37.745867 93.264 1.8013
38.019389 93.244 1.4762
38.294893 93.224 1.1560
38.572393 93.204 0.8406
38.851905 93.184 0.5294
39.133442 93.164 0.2216
39.417019 93.145 -0.0839
39.702651 93.125 -0.3878
39.990353 93.105 -0.6909
40.280139 93.086 -0.9935
40.572026 93.065 -1.2955
40.866027 93.045 -1.5966
41.162159 93.024 -1.8960
41.460437 93.003 -2.1929
41.760877 92.982 -2.4867
42.063493 92.960 -2.7766
42.368303 92.938 -3.0623
42.675321 92.915 -3.3439
42.984564 92.893 -3.6217
43.296048 92.871 -3.8964
43.609789 92.850 -4.1683
43.925803 92.828 -4.4382
44.244108 92.806 -4.7064
44.564719 92.785 -4.9728
44.887653 92.763 -5.2372
45.212928 92.741 -5.4990
45.540559 92.719 -5.7579
45.870565 92.697 -6.0132
46.202962 92.676 -6.2650
46.537767 92.654 -6.5135
46.874999 92.634 -6.7596
47.214675 92.613 -7.0046
47.556812 92.594 -7.2502
47.901428 92.575 -7.4984
48.248542 92.556 -7.7504
48.598170 92.538 -8.0076
48.950333 92.519 -8.2702
49.305047 92.500 -8.5380
49.662332 92.480 -8.8096
50.022206 92.458 -9.0830
50.384687 92.436 -9.3560
50.749795 92.412 -9.6261
51.117549 92.387 -9.8916
51.487968 92.362 -10.1512
51.861071 92.336 -10.4047
52.236878 92.311 -10.6528
52.615408 92.285 -10.8971
52.996681 92.260 -11.1392
53.380716 92.236 -11.3810
53.767535 92.211 -11.6238
54.157157 92.186 -11.8679
54.549602 92.160 -12.1128
54.944891 92.134 -12.3571
55.343044 92.107 -12.5986
55.744083 92.080 -12.8355
56.148027 92.052 -13.0659
56.554899 92.024 -13.2889
56.964719 91.996 -13.5052
57.377509 91.970 -13.7167
57.793290 91.944 -13.9261
58.212084 91.919 -14.1368
58.633913 91.895 -14.3521
59.058798 91.871 -14.5740
59.486763 91.847 -14.8031
59.917828 91.823 -15.0385
60.352018 91.797 -15.2774
60.789353 91.769 -15.5162
61.229858 91.740 -15.7511
61.673555 91.710 -15.9784
62.120467 91.679 -16.1963
62.570617 91.649 -16.4044
63.024030 91.619 -16.6044
63.480728 91.591 -16.7997
63.940735 91.563 -16.9944
64.404076 91.536 -17.1920
64.870775 91.510 -17.3951
65.340855 91.483 -17.6042
65.814342 91.456 -17.8178
66.291260 91.427 -18.0325
66.771634 91.397 -18.2443
67.255488 91.365 -18.4493
67.742849 91.333 -18.6450
68.233742 91.301 -18.8303
68.728192 91.269 -19.0064
69.226225 91.238 -19.1759
69.727866 91.208 -19.3422
70.233143 91.179 -19.5090
70.742082 91.150 -19.6793
71.254708 91.122 -19.8542
71.771049 91.093 -20.0338
72.291131 91.063 -20.2159
72.814983 91.032 -20.3976
73.342630 91.000 -20.5749
73.874101 90.968 -20.7446
74.409423 90.935 -20.9048
74.948625 90.902 -21.0558
75.491733 90.870 -21.1998
76.038777 90.839 -21.3407
76.589786 90.809 -21.4829
77.144787 90.780 -21.6296
77.703810 90.751 -21.7827
78.266884 90.722 -21.9417
78.834038 90.691 -22.1044
79.405302 90.659 -22.2681
79.980705 90.626 -22.4296
80.560278 90.592 -22.5856
81.144051 90.557 -22.7332
81.732055 90.521 -22.8700
82.324319 90.485 -22.9954
82.920875 90.451 -23.1106
83.521754 90.417 -23.2192
84.126987 90.385 -23.3264
84.736605 90.354 -23.4374
85.350642 90.324 -23.5560
85.969128 90.294 -23.6833
86.592096 90.262 -23.8176
87.219578 90.229 -23.9545
87.851607 90.195 -24.0886
88.488216 90.159 -24.2146
89.129438 90.122 -24.3286
89.775306 90.086 -24.4292
90.425855 90.050 -24.5179
91.081118 90.016 -24.5992
91.741129 89.983 -24.6787
92.405924 89.952 -24.7625
93.075535 89.922 -24.8550
93.749999 89.892 -24.9580
94.429350 89.861 -25.0704
95.113624 89.828 -25.1885
95.802856 89.793 -25.3069
96.497083 89.757 -25.4200
97.196341 89.718 -25.5223
97.900666 89.679 -25.6099
98.610094 89.640 -25.6808
99.324664 89.602 -25.7371
100.044411 89.566 -25.7848
100.769374 89.532 -25.8327
101.499591 89.500 -25.8895
102.235098 89.469 -25.9608
102.975936 89.437 -26.0471
103.722142 89.403 -26.1438
104.473756 89.367 -26.2437
105.230815 89.329 -26.3381
105.993361 89.289 -26.4201
106.761433 89.248 -26.4852
107.535070 89.208 -26.5329
108.314314 89.169 -26.5676
109.099204 89.133 -26.5972
109.889782 89.099 -26.6305
110.686088 89.066 -26.6741
111.488165 89.033 -26.7308
112.296055 88.998 -26.7980
113.109798 88.962 -26.8679
113.929438 88.923 -26.9312
114.755018 88.882 -26.9802
115.586580 88.841 -27.0120
116.424168 88.799 -27.0278
117.267826 88.758 -27.0315
118.117597 88.718 -27.0264
118.973525 88.678 -27.0146
119.835657 88.639 -26.9971
120.704035 88.600 -26.9743
121.578706 88.561 -26.9474
122.459716 88.522 -26.9188
123.347109 88.484 -26.8904
124.240933 88.445 -26.8610
125.141234 88.404 -26.8244
126.048059 88.364 -26.7701
126.961456 88.323 -26.6874
127.881471 88.284 -26.5695
128.808153 88.249 -26.4174
129.741550 88.220 -26.2411
130.681710 88.199 -26.0569
131.628684 88.186 -25.8845
132.582520 88.179 -25.7423
133.543267 88.177 -25.6434
134.510977 88.176 -25.5914
135.485699 88.173 -25.5793
136.467484 88.167 -25.5927
137.456384 88.158 -25.6158
138.452449 88.147 -25.6398
139.455733 88.134 -25.6640
140.466286 88.120 -25.6927
141.484163 88.105 -25.7292
142.509416 88.088 -25.7719
143.542098 88.070 -25.8167
144.582263 88.051 -25.8622
145.629965 88.031 -25.9130
146.685260 88.010 -25.9752
147.748202 87.988 -26.0503
148.818846 87.962 -26.1317
149.897249 87.933 -26.2089
150.983466 87.902 -26.2720
152.077555 87.868 -26.3142
153.179572 87.834 -26.3315
154.289574 87.801 -26.3251
155.407620 87.771 -26.3021
156.533767 87.743 -26.2740
157.668076 87.716 -26.2518
158.810603 87.689 -26.2417
159.961411 87.661 -26.2427
161.120557 87.628 -26.2485
162.288103 87.592 -26.2501
163.464109 87.553 -26.2388
164.648638 87.512 -26.2073
165.841750 87.472 -26.1537
167.043507 87.433 -26.0820
168.253973 87.398 -26.0021
169.473211 87.365 -25.9248
170.701284 87.334 -25.8600
171.938256 87.304 -25.8134
173.184191 87.273 -25.7853
174.439155 87.239 -25.7686
175.703213 87.203 -25.7528
176.976431 87.165 -25.7294
178.258875 87.125 -25.6925
179.550613 87.084 -25.6373
180.851710 87.045 -25.5610
182.162236 87.007 -25.4662
183.482259 86.972 -25.3621
184.811847 86.941 -25.2616
186.151070 86.911 -25.1765
187.499997 86.882 -25.1128
188.858700 86.852 -25.0677
190.227248 86.819 -25.0312
191.605713 86.783 -24.9907
192.994167 86.745 -24.9363
194.392682 86.706 -24.8625
195.801331 86.668 -24.7683
197.220189 86.631 -24.6555
198.649327 86.597 -24.5288
200.088822 86.566 -24.3971
201.538748 86.540 -24.2725
202.999181 86.515 -24.1658
204.470197 86.491 -24.0815
205.951872 86.466 -24.0154
207.444284 86.438 -23.9569
208.947511 86.408 -23.8932
210.461631 86.376 -23.8121
211.986723 86.343 -23.7054
213.522866 86.310 -23.5715
215.070141 86.280 -23.4160
216.628627 86.252 -23.2504
218.198408 86.228 -23.0895
219.779563 86.207 -22.9460
221.372177 86.186 -22.8265
222.976331 86.165 -22.7286
224.592109 86.142 -22.6424
226.219596 86.117 -22.5542
227.858877 86.090 -22.4512
229.510036 86.062 -22.3254
231.173160 86.034 -22.1759
232.848336 86.008 -22.0084
234.535651 85.985 -21.8337
236.235193 85.965 -21.6646
237.947051 85.947 -21.5135
239.671313 85.932 -21.3894
241.408071 85.916 -21.2928
243.157413 85.899 -21.2154
244.919432 85.878 -21.1421
246.694219 85.853 -21.0571
248.481867 85.826 -20.9495
250.282469 85.797 -20.8149
252.096119 85.767 -20.6569
253.922911 85.739 -20.4854
255.762941 85.714 -20.3132
257.616305 85.692 -20.1521
259.483099 85.672 -20.0099
261.363421 85.653 -19.8885
263.257368 85.634 -19.7826
265.165039 85.612 -19.6805
267.086534 85.588 -19.5690
269.021953 85.560 -19.4382
270.971397 85.530 -19.2844
272.934968 85.500 -19.1110
274.912767 85.471 -18.9270
276.904898 85.444 -18.7418
278.911465 85.421 -18.5625
280.932573 85.402 -18.3945
282.968326 85.384 -18.2397
285.018831 85.367 -18.0958
287.084195 85.349 -17.9584
289.164526 85.329 -17.8215
291.259931 85.304 -17.6782
293.370520 85.276 -17.5212
295.496404 85.246 -17.3468
297.637693 85.217 -17.1560
299.794498 85.190 -16.9540
301.966933 85.168 -16.7482
304.155110 85.150 -16.5457
306.359143 85.136 -16.3514
308.579148 85.123 -16.1667
310.815239 85.109 -15.9904
313.067535 85.093 -15.8198
315.336151 85.073 -15.6494
317.621207 85.050 -15.4727
319.922821 85.027 -15.2854
322.241114 85.004 -15.0881
324.576206 84.984 -14.8843
326.928219 84.969 -14.6794
329.297275 84.959 -14.4800
331.683499 84.951 -14.2921
334.087014 84.943 -14.1200
336.507947 84.933 -13.9630
338.946422 84.919 -13.8163
341.402567 84.899 -13.6729
343.876511 84.875 -13.5251
346.368382 84.849 -13.3647
