* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:38:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten L Softears UC Tips
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.963 -141.6908
20.140070 92.969 -142.1619
20.286013 92.974 -142.6314
20.433014 92.979 -143.0993
20.581080 92.984 -143.5656
20.730219 92.989 -144.0302
20.880438 92.993 -144.4932
21.031747 92.997 -144.9546
21.184151 93.000 -145.4145
21.337660 93.003 -145.8728
21.492282 93.006 -146.3296
21.648024 93.008 -146.7850
21.804894 93.011 -147.2388
21.962902 93.013 -147.6913
22.122054 93.014 -148.1423
22.282359 93.015 -148.5920
22.443827 93.016 -149.0404
22.606464 93.017 -149.4875
22.770280 93.017 -149.9333
22.935282 93.018 -150.3778
23.101481 93.017 -150.8211
23.268884 93.017 -151.2631
23.437500 93.016 -151.7039
23.607337 93.014 -152.1433
23.778406 93.013 -152.5815
23.950714 93.011 -153.0182
24.124271 93.009 -153.4535
24.299085 93.006 -153.8873
24.475166 93.003 -154.3195
24.652524 92.999 -154.7500
24.831166 92.996 -155.1788
25.011103 92.992 -155.6057
25.192344 92.987 -156.0308
25.374898 92.983 -156.4540
25.558775 92.978 -156.8753
25.743984 92.973 -157.2946
25.930536 92.967 -157.7121
26.118439 92.962 -158.1278
26.307704 92.956 -158.5417
26.498340 92.950 -158.9539
26.690358 92.943 -159.3646
26.883768 92.937 -159.7739
27.078578 92.930 -160.1817
27.274801 92.923 -160.5883
27.472445 92.916 -160.9936
27.671522 92.908 -161.3977
27.872041 92.900 -161.8006
28.074014 92.892 -162.2023
28.277450 92.884 -162.6027
28.482360 92.876 -163.0018
28.688755 92.867 -163.3994
28.896645 92.857 -163.7956
29.106042 92.848 -164.1902
29.316956 92.838 -164.5832
29.529399 92.828 -164.9745
29.743381 92.818 -165.3640
29.958914 92.807 -165.7518
30.176009 92.796 -166.1379
30.394677 92.785 -166.5221
30.614929 92.774 -166.9046
30.836777 92.762 -167.2854
31.060233 92.750 -167.6644
31.285309 92.738 -168.0417
31.512015 92.726 -168.4172
31.740364 92.714 -168.7910
31.970368 92.701 -169.1631
32.202038 92.688 -169.5335
32.435387 92.675 -169.9022
32.670428 92.661 -170.2692
32.907171 92.648 -170.6345
33.145630 92.634 -170.9981
33.385817 92.620 -171.3601
33.627744 92.605 -171.7204
33.871425 92.591 -172.0790
34.116871 92.576 -172.4360
34.364096 92.561 -172.7914
34.613112 92.546 -173.1450
34.863933 92.531 -173.4970
35.116572 92.515 -173.8472
35.371041 92.499 -174.1956
35.627354 92.483 -174.5422
35.885524 92.467 -174.8870
36.145566 92.450 -175.2299
36.407491 92.433 -175.5710
36.671315 92.416 -175.9101
36.937051 92.399 -176.2474
37.204712 92.382 -176.5828
37.474312 92.364 -176.9164
37.745867 92.347 -177.2482
38.019389 92.329 -177.5782
38.294893 92.311 -177.9064
38.572393 92.293 -178.2330
38.851905 92.274 -178.5579
39.133442 92.256 -178.8812
39.417019 92.237 -179.2029
39.702651 92.218 -179.5229
39.990353 92.199 -179.8415
40.280139 92.180 179.8416
40.572026 92.160 179.5263
40.866027 92.141 179.2126
41.162159 92.121 178.9005
41.460437 92.100 178.5902
41.760877 92.080 178.2817
42.063493 92.059 177.9750
42.368303 92.039 177.6702
42.675321 92.018 177.3674
42.984564 91.996 177.0667
43.296048 91.975 176.7679
43.609789 91.953 176.4713
43.925803 91.932 176.1767
44.244108 91.910 175.8841
44.564719 91.888 175.5934
44.887653 91.865 175.3048
45.212928 91.843 175.0180
45.540559 91.821 174.7332
45.870565 91.798 174.4502
46.202962 91.775 174.1691
46.537767 91.752 173.8898
46.874999 91.729 173.6123
47.214675 91.706 173.3365
47.556812 91.682 173.0626
47.901428 91.659 172.7902
48.248542 91.635 172.5195
48.598170 91.611 172.2505
48.950333 91.587 171.9830
49.305047 91.562 171.7173
49.662332 91.538 171.4533
50.022206 91.513 171.1912
50.384687 91.488 170.9312
50.749795 91.463 170.6734
51.117549 91.437 170.4179
51.487968 91.412 170.1649
51.861071 91.386 169.9145
52.236878 91.360 169.6665
52.615408 91.334 169.4210
52.996681 91.308 169.1778
53.380716 91.281 168.9369
53.767535 91.255 168.6980
54.157157 91.228 168.4609
54.549602 91.202 168.2256
54.944891 91.175 167.9919
55.343044 91.148 167.7596
55.744083 91.121 167.5289
56.148027 91.094 167.2998
56.554899 91.066 167.0725
56.964719 91.039 166.8475
57.377509 91.011 166.6250
57.793290 90.982 166.4054
58.212084 90.954 166.1889
58.633913 90.925 165.9757
59.058798 90.896 165.7657
59.486763 90.867 165.5587
59.917828 90.838 165.3546
60.352018 90.810 165.1529
60.789353 90.781 164.9535
61.229858 90.752 164.7561
61.673555 90.723 164.5608
62.120467 90.694 164.3675
62.570617 90.665 164.1764
63.024030 90.635 163.9878
63.480728 90.606 163.8018
63.940735 90.576 163.6188
64.404076 90.547 163.4391
64.870775 90.517 163.2629
65.340855 90.487 163.0903
65.814342 90.458 162.9215
66.291260 90.429 162.7560
66.771634 90.400 162.5932
67.255488 90.372 162.4322
67.742849 90.344 162.2720
68.233742 90.316 162.1116
68.728192 90.289 161.9502
69.226225 90.262 161.7874
69.727866 90.234 161.6230
70.233143 90.207 161.4575
70.742082 90.179 161.2912
71.254708 90.151 161.1248
71.771049 90.123 160.9590
72.291131 90.094 160.7941
72.814983 90.065 160.6306
73.342630 90.036 160.4685
73.874101 90.007 160.3080
74.409423 89.977 160.1489
74.948625 89.947 159.9912
75.491733 89.917 159.8348
76.038777 89.887 159.6799
76.589786 89.856 159.5268
77.144787 89.825 159.3757
77.703810 89.794 159.2269
78.266884 89.762 159.0806
78.834038 89.731 158.9368
79.405302 89.699 158.7956
79.980705 89.667 158.6570
80.560278 89.635 158.5211
81.144051 89.604 158.3878
81.732055 89.572 158.2567
82.324319 89.540 158.1273
82.920875 89.508 157.9995
83.521754 89.476 157.8727
84.126987 89.444 157.7471
84.736605 89.411 157.6233
85.350642 89.379 157.5015
85.969128 89.346 157.3825
86.592096 89.313 157.2664
87.219578 89.280 157.1534
87.851607 89.246 157.0434
88.488216 89.213 156.9360
89.129438 89.180 156.8311
89.775306 89.147 156.7284
90.425855 89.113 156.6277
91.081118 89.080 156.5289
91.741129 89.046 156.4321
92.405924 89.013 156.3372
93.075535 88.979 156.2444
93.749999 88.945 156.1539
94.429350 88.911 156.0658
95.113624 88.877 155.9802
95.802856 88.843 155.8973
96.497083 88.808 155.8173
97.196341 88.774 155.7402
97.900666 88.740 155.6658
98.610094 88.706 155.5938
99.324664 88.672 155.5237
100.044411 88.638 155.4552
100.769374 88.604 155.3880
101.499591 88.570 155.3220
102.235098 88.536 155.2571
102.975936 88.502 155.1935
103.722142 88.468 155.1310
104.473756 88.434 155.0700
105.230815 88.400 155.0107
105.993361 88.365 154.9532
106.761433 88.331 154.8980
107.535070 88.296 154.8453
108.314314 88.261 154.7952
109.099204 88.226 154.7480
109.889782 88.191 154.7036
110.686088 88.156 154.6619
111.488165 88.121 154.6226
112.296055 88.086 154.5854
113.109798 88.051 154.5504
113.929438 88.015 154.5175
114.755018 87.980 154.4866
115.586580 87.945 154.4576
116.424168 87.910 154.4303
117.267826 87.874 154.4045
118.117597 87.838 154.3808
118.973525 87.802 154.3597
119.835657 87.766 154.3421
120.704035 87.729 154.3279
121.578706 87.693 154.3169
122.459716 87.656 154.3078
123.347109 87.620 154.2997
124.240933 87.583 154.2925
125.141234 87.546 154.2868
126.048059 87.508 154.2842
126.961456 87.470 154.2864
127.881471 87.431 154.2941
128.808153 87.392 154.3074
129.741550 87.353 154.3261
130.681710 87.314 154.3503
131.628684 87.274 154.3803
132.582520 87.234 154.4172
133.543267 87.193 154.4625
134.510977 87.152 154.5178
135.485699 87.111 154.5855
136.467484 87.069 154.6678
137.456384 87.028 154.7663
138.452449 86.987 154.8826
139.455733 86.947 155.0173
140.466286 86.909 155.1711
141.484163 86.873 155.3441
142.509416 86.840 155.5351
143.542098 86.811 155.7408
144.582263 86.787 155.9551
145.629965 86.768 156.1699
146.685260 86.755 156.3759
147.748202 86.747 156.5633
148.818846 86.744 156.7226
149.897249 86.743 156.8463
150.983466 86.744 156.9299
152.077555 86.745 156.9724
153.179572 86.745 156.9771
154.289574 86.741 156.9507
155.407620 86.733 156.9033
156.533767 86.720 156.8456
157.668076 86.704 156.7869
158.810603 86.684 156.7335
159.961411 86.661 156.6885
161.120557 86.636 156.6539
162.288103 86.610 156.6307
163.464109 86.582 156.6191
164.648638 86.554 156.6179
165.841750 86.527 156.6243
167.043507 86.499 156.6354
168.253973 86.471 156.6493
169.473211 86.444 156.6648
170.701284 86.416 156.6815
171.938256 86.389 156.6994
173.184191 86.361 156.7194
174.439155 86.332 156.7421
175.703213 86.304 156.7676
176.976431 86.275 156.7953
178.258875 86.246 156.8252
179.550613 86.216 156.8581
180.851710 86.186 156.8952
182.162236 86.156 156.9370
183.482259 86.126 156.9830
184.811847 86.096 157.0328
186.151070 86.065 157.0868
187.499997 86.035 157.1459
188.858700 86.004 157.2103
190.227248 85.974 157.2784
191.605713 85.944 157.3479
192.994167 85.914 157.4182
194.392682 85.883 157.4901
195.801331 85.853 157.5651
197.220189 85.823 157.6433
198.649327 85.792 157.7234
200.088822 85.762 157.8046
201.538748 85.732 157.8869
202.999181 85.701 157.9716
204.470197 85.671 158.0592
205.951872 85.641 158.1494
207.444284 85.612 158.2419
208.947511 85.582 158.3369
210.461631 85.553 158.4348
211.986723 85.524 158.5363
213.522866 85.495 158.6421
215.070141 85.465 158.7524
216.628627 85.436 158.8671
218.198408 85.407 158.9865
219.779563 85.378 159.1119
221.372177 85.348 159.2446
222.976331 85.319 159.3843
224.592109 85.291 159.5293
226.219596 85.263 159.6777
227.858877 85.235 159.8284
229.510036 85.208 159.9816
231.173160 85.181 160.1389
232.848336 85.155 160.3016
234.535651 85.129 160.4687
236.235193 85.105 160.6375
237.947051 85.083 160.8047
239.671313 85.062 160.9688
241.408071 85.041 161.1294
243.157413 85.022 161.2861
244.919432 85.003 161.4382
246.694219 84.984 161.5854
248.481867 84.965 161.7294
250.282469 84.947 161.8702
252.096119 84.928 162.0072
253.922911 84.909 162.1407
255.762941 84.888 162.2727
257.616305 84.867 162.4056
259.483099 84.845 162.5414
261.363421 84.822 162.6835
263.257368 84.798 162.8352
265.165039 84.774 162.9979
267.086534 84.750 163.1713
269.021953 84.725 163.3559
270.971397 84.702 163.5529
272.934968 84.678 163.7652
274.912767 84.657 163.9954
276.904898 84.638 164.2422
278.911465 84.622 164.4998
280.932573 84.612 164.7598
282.968326 84.605 165.0134
285.018831 84.604 165.2509
287.084195 84.606 165.4623
289.164526 84.611 165.6391
291.259931 84.617 165.7770
293.370520 84.622 165.8767
295.496404 84.625 165.9442
297.637693 84.624 165.9890
299.794498 84.618 166.0224
301.966933 84.608 166.0547
304.155110 84.595 166.0940
306.359143 84.579 166.1439
308.579148 84.561 166.2050
310.815239 84.542 166.2776
313.067535 84.521 166.3622
315.336151 84.499 166.4580
317.621207 84.477 166.5637
319.922821 84.455 166.6777
322.241114 84.433 166.7992
324.576206 84.411 166.9277
326.928219 84.390 167.0620
329.297275 84.369 167.2004
331.683499 84.348 167.3418
334.087014 84.328 167.4865
336.507947 84.308 167.6367
338.946422 84.288 167.7929
341.402567 84.269 167.9531
343.876511 84.250 168.1155
346.368382 84.231 168.2803
348.878310 84.213 168.4472
351.406426 84.194 168.6152
353.952862 84.177 168.7835
356.517750 84.159 168.9523
359.101225 84.142 169.1216
361.703421 84.125 169.2910
364.324473 84.107 169.4622
366.964518 84.090 169.6366
369.623694 84.074 169.8140
372.302140 84.058 169.9938
374.999995 84.042 170.1761
377.717399 84.026 170.3608
380.454495 84.011 170.5463
383.211425 83.996 170.7308
