* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:39:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten R Softears UC Tips
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 93.341 -131.9877
20.140070 93.356 -132.5014
20.286013 93.370 -133.0142
20.433014 93.383 -133.5260
20.581080 93.397 -134.0368
20.730219 93.409 -134.5466
20.880438 93.421 -135.0552
21.031747 93.433 -135.5628
21.184151 93.444 -136.0692
21.337660 93.455 -136.5744
21.492282 93.465 -137.0783
21.648024 93.475 -137.5809
21.804894 93.484 -138.0822
21.962902 93.493 -138.5822
22.122054 93.502 -139.0807
22.282359 93.510 -139.5778
22.443827 93.517 -140.0734
22.606464 93.524 -140.5676
22.770280 93.531 -141.0603
22.935282 93.537 -141.5515
23.101481 93.543 -142.0412
23.268884 93.549 -142.5295
23.437500 93.554 -143.0164
23.607337 93.559 -143.5019
23.778406 93.563 -143.9860
23.950714 93.567 -144.4688
24.124271 93.571 -144.9503
24.299085 93.574 -145.4305
24.475166 93.577 -145.9096
24.652524 93.580 -146.3874
24.831166 93.582 -146.8642
25.011103 93.584 -147.3398
25.192344 93.586 -147.8143
25.374898 93.587 -148.2876
25.558775 93.588 -148.7599
25.743984 93.589 -149.2310
25.930536 93.589 -149.7010
26.118439 93.588 -150.1699
26.307704 93.588 -150.6375
26.498340 93.587 -151.1038
26.690358 93.585 -151.5689
26.883768 93.583 -152.0326
27.078578 93.581 -152.4950
27.274801 93.578 -152.9559
27.472445 93.576 -153.4154
27.671522 93.572 -153.8734
27.872041 93.568 -154.3299
28.074014 93.564 -154.7849
28.277450 93.560 -155.2384
28.482360 93.555 -155.6903
28.688755 93.550 -156.1407
28.896645 93.545 -156.5896
29.106042 93.539 -157.0369
29.316956 93.533 -157.4827
29.529399 93.526 -157.9269
29.743381 93.519 -158.3694
29.958914 93.512 -158.8103
30.176009 93.504 -159.2495
30.394677 93.496 -159.6868
30.614929 93.488 -160.1223
30.836777 93.479 -160.5560
31.060233 93.470 -160.9877
31.285309 93.461 -161.4174
31.512015 93.452 -161.8452
31.740364 93.442 -162.2711
31.970368 93.432 -162.6950
32.202038 93.421 -163.1171
32.435387 93.411 -163.5373
32.670428 93.400 -163.9558
32.907171 93.389 -164.3726
33.145630 93.377 -164.7878
33.385817 93.366 -165.2014
33.627744 93.354 -165.6134
33.871425 93.342 -166.0239
34.116871 93.329 -166.4328
34.364096 93.316 -166.8400
34.613112 93.303 -167.2456
34.863933 93.290 -167.6495
35.116572 93.276 -168.0516
35.371041 93.262 -168.4518
35.627354 93.248 -168.8500
35.885524 93.233 -169.2463
36.145566 93.218 -169.6405
36.407491 93.203 -170.0327
36.671315 93.188 -170.4227
36.937051 93.172 -170.8106
37.204712 93.156 -171.1964
37.474312 93.140 -171.5800
37.745867 93.124 -171.9615
38.019389 93.107 -172.3410
38.294893 93.091 -172.7184
38.572393 93.074 -173.0938
38.851905 93.057 -173.4672
39.133442 93.039 -173.8387
39.417019 93.022 -174.2083
39.702651 93.004 -174.5762
39.990353 92.986 -174.9422
40.280139 92.968 -175.3066
40.572026 92.950 -175.6693
40.866027 92.931 -176.0305
41.162159 92.913 -176.3900
41.460437 92.894 -176.7480
41.760877 92.875 -177.1045
42.063493 92.856 -177.4595
42.368303 92.836 -177.8130
42.675321 92.816 -178.1650
42.984564 92.796 -178.5155
43.296048 92.776 -178.8644
43.609789 92.755 -179.2115
43.925803 92.734 -179.5566
44.244108 92.712 -179.8995
44.564719 92.691 179.7603
44.887653 92.669 179.4230
45.212928 92.646 179.0889
45.540559 92.624 178.7580
45.870565 92.601 178.4302
46.202962 92.578 178.1054
46.537767 92.555 177.7834
46.874999 92.532 177.4638
47.214675 92.509 177.1464
47.556812 92.486 176.8309
47.901428 92.463 176.5173
48.248542 92.440 176.2055
48.598170 92.416 175.8957
48.950333 92.393 175.5878
49.305047 92.369 175.2818
49.662332 92.345 174.9778
50.022206 92.321 174.6757
50.384687 92.297 174.3754
50.749795 92.272 174.0769
51.117549 92.248 173.7802
51.487968 92.223 173.4854
51.861071 92.198 173.1924
52.236878 92.173 172.9015
52.615408 92.147 172.6128
52.996681 92.122 172.3264
53.380716 92.096 172.0425
53.767535 92.070 171.7612
54.157157 92.044 171.4826
54.549602 92.018 171.2067
54.944891 91.991 170.9335
55.343044 91.965 170.6627
55.744083 91.938 170.3941
56.148027 91.912 170.1274
56.554899 91.885 169.8623
56.964719 91.859 169.5986
57.377509 91.832 169.3361
57.793290 91.805 169.0749
58.212084 91.778 168.8151
58.633913 91.751 168.5569
59.058798 91.723 168.3005
59.486763 91.696 168.0463
59.917828 91.668 167.7942
60.352018 91.639 167.5443
60.789353 91.611 167.2967
61.229858 91.583 167.0512
61.673555 91.554 166.8077
62.120467 91.525 166.5662
62.570617 91.497 166.3264
63.024030 91.468 166.0886
63.480728 91.438 165.8528
63.940735 91.409 165.6190
64.404076 91.379 165.3874
64.870775 91.349 165.1580
65.340855 91.319 164.9309
65.814342 91.289 164.7060
66.291260 91.259 164.4835
66.771634 91.228 164.2635
67.255488 91.198 164.0461
67.742849 91.167 163.8317
68.233742 91.135 163.6201
68.728192 91.104 163.4114
69.226225 91.073 163.2056
69.727866 91.042 163.0023
70.233143 91.010 162.8015
70.742082 90.979 162.6031
71.254708 90.947 162.4071
71.771049 90.916 162.2135
72.291131 90.884 162.0223
72.814983 90.852 161.8335
73.342630 90.820 161.6471
73.874101 90.788 161.4629
74.409423 90.756 161.2809
74.948625 90.724 161.1010
75.491733 90.692 160.9232
76.038777 90.660 160.7474
76.589786 90.627 160.5737
77.144787 90.595 160.4019
77.703810 90.562 160.2321
78.266884 90.530 160.0643
78.834038 90.497 159.8986
79.405302 90.464 159.7351
79.980705 90.430 159.5743
80.560278 90.397 159.4165
81.144051 90.364 159.2617
81.732055 90.331 159.1096
82.324319 90.297 158.9597
82.920875 90.264 158.8112
83.521754 90.231 158.6641
84.126987 90.198 158.5184
84.736605 90.164 158.3748
85.350642 90.131 158.2339
85.969128 90.097 158.0961
86.592096 90.063 157.9614
87.219578 90.029 157.8292
87.851607 89.996 157.6986
88.488216 89.962 157.5693
89.129438 89.928 157.4412
89.775306 89.895 157.3149
90.425855 89.860 157.1913
91.081118 89.826 157.0710
91.741129 89.792 156.9543
92.405924 89.758 156.8406
93.075535 89.724 156.7290
93.749999 89.690 156.6188
94.429350 89.656 156.5097
95.113624 89.622 156.4017
95.802856 89.588 156.2950
96.497083 89.553 156.1901
97.196341 89.519 156.0869
97.900666 89.484 155.9858
98.610094 89.449 155.8871
99.324664 89.414 155.7911
100.044411 89.378 155.6982
100.769374 89.343 155.6086
101.499591 89.307 155.5222
102.235098 89.272 155.4388
102.975936 89.237 155.3581
103.722142 89.201 155.2795
104.473756 89.166 155.2029
105.230815 89.130 155.1280
105.993361 89.095 155.0549
106.761433 89.059 154.9837
107.535070 89.023 154.9144
108.314314 88.987 154.8477
109.099204 88.951 154.7843
109.889782 88.915 154.7249
110.686088 88.878 154.6697
111.488165 88.842 154.6179
112.296055 88.806 154.5681
113.109798 88.770 154.5189
113.929438 88.734 154.4702
114.755018 88.698 154.4228
115.586580 88.661 154.3784
116.424168 88.624 154.3380
117.267826 88.587 154.3019
118.117597 88.549 154.2699
118.973525 88.512 154.2416
119.835657 88.475 154.2168
120.704035 88.438 154.1952
121.578706 88.400 154.1768
122.459716 88.363 154.1618
123.347109 88.325 154.1511
124.240933 88.288 154.1453
125.141234 88.250 154.1450
126.048059 88.213 154.1502
126.961456 88.175 154.1610
127.881471 88.138 154.1772
128.808153 88.101 154.1992
129.741550 88.064 154.2275
130.681710 88.027 154.2634
131.628684 87.991 154.3073
132.582520 87.956 154.3580
133.543267 87.922 154.4116
134.510977 87.888 154.4636
135.485699 87.854 154.5114
136.467484 87.818 154.5598
137.456384 87.781 154.6205
138.452449 87.743 154.7065
139.455733 87.707 154.8207
140.466286 87.675 154.9533
141.484163 87.646 155.0906
142.509416 87.621 155.2247
143.542098 87.599 155.3538
144.582263 87.580 155.4777
145.629965 87.563 155.5954
146.685260 87.550 155.7042
147.748202 87.539 155.7991
148.818846 87.531 155.8728
149.897249 87.525 155.9185
150.983466 87.520 155.9331
152.077555 87.513 155.9185
153.179572 87.503 155.8804
154.289574 87.491 155.8254
155.407620 87.476 155.7597
156.533767 87.457 155.6883
157.668076 87.436 155.6154
158.810603 87.411 155.5446
159.961411 87.385 155.4789
161.120557 87.356 155.4200
162.288103 87.326 155.3684
163.464109 87.295 155.3233
164.648638 87.263 155.2854
165.841750 87.230 155.2566
167.043507 87.196 155.2381
168.253973 87.161 155.2287
169.473211 87.127 155.2261
170.701284 87.093 155.2293
171.938256 87.059 155.2381
173.184191 87.024 155.2528
174.439155 86.990 155.2732
175.703213 86.955 155.2990
176.976431 86.921 155.3300
178.258875 86.886 155.3655
179.550613 86.852 155.4044
180.851710 86.817 155.4464
182.162236 86.783 155.4919
183.482259 86.748 155.5421
184.811847 86.714 155.5975
186.151070 86.679 155.6576
187.499997 86.645 155.7204
188.858700 86.612 155.7847
190.227248 86.578 155.8507
191.605713 86.544 155.9202
192.994167 86.510 155.9948
194.392682 86.477 156.0750
195.801331 86.443 156.1592
197.220189 86.410 156.2460
198.649327 86.376 156.3358
200.088822 86.343 156.4295
201.538748 86.310 156.5273
202.999181 86.277 156.6281
204.470197 86.243 156.7316
205.951872 86.210 156.8388
207.444284 86.176 156.9512
208.947511 86.142 157.0706
210.461631 86.108 157.1995
211.986723 86.075 157.3395
213.522866 86.041 157.4909
215.070141 86.009 157.6524
216.628627 85.978 157.8227
218.198408 85.949 158.0016
219.779563 85.921 158.1888
221.372177 85.895 158.3836
222.976331 85.871 158.5829
224.592109 85.851 158.7826
226.219596 85.833 158.9786
227.858877 85.817 159.1671
229.510036 85.805 159.3428
231.173160 85.794 159.5004
232.848336 85.783 159.6376
234.535651 85.773 159.7547
236.235193 85.763 159.8525
237.947051 85.751 159.9337
239.671313 85.736 160.0036
241.408071 85.720 160.0674
243.157413 85.701 160.1277
244.919432 85.680 160.1865
246.694219 85.657 160.2478
248.481867 85.632 160.3156
250.282469 85.606 160.3890
252.096119 85.579 160.4667
253.922911 85.550 160.5507
255.762941 85.521 160.6441
257.616305 85.491 160.7481
259.483099 85.461 160.8618
261.363421 85.430 160.9842
263.257368 85.399 161.1160
265.165039 85.368 161.2590
267.086534 85.337 161.4141
269.021953 85.305 161.5823
270.971397 85.273 161.7662
272.934968 85.241 161.9696
274.912767 85.211 162.1953
276.904898 85.182 162.4431
278.911465 85.155 162.7117
280.932573 85.132 163.0008
282.968326 85.115 163.3072
285.018831 85.103 163.6230
287.084195 85.098 163.9359
289.164526 85.101 164.2311
291.259931 85.109 164.4930
293.370520 85.122 164.7061
295.496404 85.137 164.8601
297.637693 85.150 164.9554
299.794498 85.159 165.0015
301.966933 85.161 165.0138
304.155110 85.158 165.0108
306.359143 85.148 165.0086
308.579148 85.133 165.0179
310.815239 85.115 165.0430
313.067535 85.095 165.0836
315.336151 85.073 165.1384
317.621207 85.050 165.2072
319.922821 85.027 165.2899
322.241114 85.003 165.3863
324.576206 84.980 165.4941
326.928219 84.956 165.6102
329.297275 84.932 165.7335
331.683499 84.909 165.8644
334.087014 84.885 166.0026
336.507947 84.863 166.1472
338.946422 84.841 166.2970
341.402567 84.819 166.4503
343.876511 84.799 166.6050
346.368382 84.778 166.7596
348.878310 84.758 166.9155
351.406426 84.738 167.0737
353.952862 84.718 167.2339
356.517750 84.697 167.3970
359.101225 84.677 167.5639
361.703421 84.658 167.7336
364.324473 84.639 167.9050
366.964518 84.620 168.0792
369.623694 84.602 168.2572
372.302140 84.583 168.4374
374.999995 84.566 168.6193
377.717399 84.548 168.8041
380.454495 84.530 168.9905
