* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:07:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.237 38.4610
20.140070 92.246 37.9959
20.286013 92.255 37.5324
20.433014 92.263 37.0702
20.581080 92.271 36.6094
20.730219 92.278 36.1500
20.880438 92.285 35.6918
21.031747 92.292 35.2349
21.184151 92.299 34.7792
21.337660 92.305 34.3248
21.492282 92.310 33.8716
21.648024 92.316 33.4197
21.804894 92.321 32.9689
21.962902 92.326 32.5194
22.122054 92.331 32.0712
22.282359 92.335 31.6242
22.443827 92.339 31.1786
22.606464 92.343 30.7343
22.770280 92.346 30.2913
22.935282 92.349 29.8497
23.101481 92.351 29.4095
23.268884 92.353 28.9708
23.437500 92.355 28.5335
23.607337 92.356 28.0977
23.778406 92.357 27.6634
23.950714 92.357 27.2305
24.124271 92.358 26.7992
24.299085 92.358 26.3693
24.475166 92.358 25.9408
24.652524 92.357 25.5139
24.831166 92.357 25.0884
25.011103 92.355 24.6643
25.192344 92.354 24.2417
25.374898 92.352 23.8206
25.558775 92.349 23.4009
25.743984 92.347 22.9828
25.930536 92.344 22.5660
26.118439 92.341 22.1508
26.307704 92.338 21.7369
26.498340 92.335 21.3246
26.690358 92.331 20.9137
26.883768 92.327 20.5043
27.078578 92.323 20.0963
27.274801 92.318 19.6896
27.472445 92.312 19.2844
27.671522 92.306 18.8806
27.872041 92.300 18.4781
28.074014 92.294 18.0771
28.277450 92.287 17.6775
28.482360 92.280 17.2793
28.688755 92.273 16.8826
28.896645 92.265 16.4874
29.106042 92.257 16.0940
29.316956 92.249 15.7023
29.529399 92.240 15.3124
29.743381 92.231 14.9246
29.958914 92.222 14.5389
30.176009 92.212 14.1555
30.394677 92.202 13.7744
30.614929 92.192 13.3959
30.836777 92.181 13.0198
31.060233 92.170 12.6464
31.285309 92.159 12.2755
31.512015 92.148 11.9071
31.740364 92.136 11.5411
31.970368 92.125 11.1775
32.202038 92.113 10.8160
32.435387 92.102 10.4565
32.670428 92.090 10.0990
32.907171 92.078 9.7430
33.145630 92.066 9.3885
33.385817 92.054 9.0353
33.627744 92.043 8.6833
33.871425 92.031 8.3323
34.116871 92.018 7.9822
34.364096 92.006 7.6329
34.613112 91.993 7.2844
34.863933 91.980 6.9365
35.116572 91.966 6.5895
35.371041 91.953 6.2433
35.627354 91.939 5.8981
35.885524 91.924 5.5540
36.145566 91.910 5.2113
36.407491 91.895 4.8701
36.671315 91.880 4.5308
36.937051 91.864 4.1934
37.204712 91.848 3.8584
37.474312 91.831 3.5256
37.745867 91.815 3.1954
38.019389 91.798 2.8676
38.294893 91.781 2.5422
38.572393 91.764 2.2192
38.851905 91.747 1.8983
39.133442 91.729 1.5796
39.417019 91.712 1.2628
39.702651 91.694 0.9479
39.990353 91.676 0.6349
40.280139 91.657 0.3239
40.572026 91.638 0.0151
40.866027 91.619 -0.2915
41.162159 91.600 -0.5956
41.460437 91.580 -0.8970
41.760877 91.561 -1.1957
42.063493 91.542 -1.4917
42.368303 91.522 -1.7853
42.675321 91.503 -2.0767
42.984564 91.484 -2.3666
43.296048 91.465 -2.6558
43.609789 91.447 -2.9451
43.925803 91.428 -3.2354
44.244108 91.409 -3.5273
44.564719 91.390 -3.8214
44.887653 91.371 -4.1175
45.212928 91.351 -4.4154
45.540559 91.331 -4.7141
45.870565 91.309 -5.0123
46.202962 91.287 -5.3087
46.537767 91.263 -5.6018
46.874999 91.240 -5.8903
47.214675 91.215 -6.1735
47.556812 91.190 -6.4509
47.901428 91.165 -6.7229
48.248542 91.140 -6.9899
48.598170 91.114 -7.2529
48.950333 91.089 -7.5128
49.305047 91.064 -7.7704
49.662332 91.039 -8.0264
50.022206 91.014 -8.2812
50.384687 90.989 -8.5352
50.749795 90.964 -8.7882
51.117549 90.939 -9.0404
51.487968 90.914 -9.2915
51.861071 90.888 -9.5416
52.236878 90.863 -9.7903
52.615408 90.838 -10.0377
52.996681 90.813 -10.2834
53.380716 90.788 -10.5273
53.767535 90.762 -10.7693
54.157157 90.737 -11.0090
54.549602 90.711 -11.2463
54.944891 90.684 -11.4814
55.343044 90.657 -11.7142
55.744083 90.631 -11.9453
56.148027 90.604 -12.1749
56.554899 90.579 -12.4031
56.964719 90.553 -12.6299
57.377509 90.528 -12.8552
57.793290 90.502 -13.0786
58.212084 90.475 -13.2997
58.633913 90.448 -13.5183
59.058798 90.421 -13.7347
59.486763 90.393 -13.9492
59.917828 90.365 -14.1625
60.352018 90.337 -14.3755
60.789353 90.308 -14.5884
61.229858 90.277 -14.8009
61.673555 90.246 -15.0120
62.120467 90.213 -15.2201
62.570617 90.180 -15.4235
63.024030 90.148 -15.6211
63.480728 90.117 -15.8125
63.940735 90.088 -15.9984
64.404076 90.060 -16.1803
64.870775 90.032 -16.3602
65.340855 90.002 -16.5396
65.814342 89.972 -16.7196
66.291260 89.941 -16.9003
66.771634 89.909 -17.0814
67.255488 89.878 -17.2622
67.742849 89.848 -17.4421
68.233742 89.817 -17.6209
68.728192 89.787 -17.7983
69.226225 89.757 -17.9743
69.727866 89.727 -18.1489
70.233143 89.696 -18.3218
70.742082 89.666 -18.4926
71.254708 89.636 -18.6609
71.771049 89.607 -18.8260
72.291131 89.577 -18.9876
72.814983 89.547 -19.1453
73.342630 89.516 -19.2992
73.874101 89.484 -19.4498
74.409423 89.452 -19.5981
74.948625 89.420 -19.7452
75.491733 89.388 -19.8922
76.038777 89.356 -20.0392
76.589786 89.324 -20.1860
77.144787 89.290 -20.3317
77.703810 89.257 -20.4750
78.266884 89.222 -20.6153
78.834038 89.187 -20.7521
79.405302 89.153 -20.8853
79.980705 89.119 -21.0150
80.560278 89.085 -21.1414
81.144051 89.052 -21.2642
81.732055 89.020 -21.3837
82.324319 88.988 -21.5002
82.920875 88.955 -21.6144
83.521754 88.922 -21.7272
84.126987 88.889 -21.8396
84.736605 88.856 -21.9520
85.350642 88.823 -22.0646
85.969128 88.789 -22.1771
86.592096 88.755 -22.2888
87.219578 88.721 -22.3989
87.851607 88.687 -22.5063
88.488216 88.654 -22.6101
89.129438 88.620 -22.7098
89.775306 88.586 -22.8053
90.425855 88.550 -22.8976
91.081118 88.515 -22.9877
91.741129 88.479 -23.0763
92.405924 88.443 -23.1634
93.075535 88.407 -23.2485
93.749999 88.372 -23.3311
94.429350 88.336 -23.4108
95.113624 88.300 -23.4874
95.802856 88.262 -23.5604
96.497083 88.224 -23.6293
97.196341 88.185 -23.6937
97.900666 88.146 -23.7535
98.610094 88.108 -23.8094
99.324664 88.069 -23.8617
100.044411 88.030 -23.9102
100.769374 87.991 -23.9537
101.499591 87.952 -23.9904
102.235098 87.912 -24.0179
102.975936 87.872 -24.0347
103.722142 87.831 -24.0397
104.473756 87.790 -24.0331
105.230815 87.749 -24.0150
105.993361 87.709 -23.9851
106.761433 87.668 -23.9421
107.535070 87.628 -23.8849
108.314314 87.590 -23.8123
109.099204 87.554 -23.7246
109.889782 87.521 -23.6242
110.686088 87.492 -23.5156
111.488165 87.467 -23.4050
112.296055 87.446 -23.2985
113.109798 87.428 -23.2015
113.929438 87.413 -23.1179
114.755018 87.400 -23.0502
115.586580 87.389 -23.0005
116.424168 87.378 -22.9712
117.267826 87.368 -22.9641
118.117597 87.358 -22.9799
118.973525 87.347 -23.0164
119.835657 87.335 -23.0694
120.704035 87.320 -23.1334
121.578706 87.303 -23.2036
122.459716 87.284 -23.2766
123.347109 87.263 -23.3511
124.240933 87.240 -23.4263
125.141234 87.216 -23.5018
126.048059 87.190 -23.5763
126.961456 87.163 -23.6484
127.881471 87.135 -23.7166
128.808153 87.106 -23.7797
129.741550 87.076 -23.8364
130.681710 87.045 -23.8860
131.628684 87.014 -23.9282
132.582520 86.983 -23.9637
133.543267 86.952 -23.9942
134.510977 86.921 -24.0211
135.485699 86.890 -24.0450
136.467484 86.858 -24.0652
137.456384 86.827 -24.0803
138.452449 86.796 -24.0898
139.455733 86.765 -24.0939
140.466286 86.734 -24.0926
141.484163 86.703 -24.0862
142.509416 86.673 -24.0745
143.542098 86.643 -24.0581
144.582263 86.614 -24.0378
145.629965 86.585 -24.0150
146.685260 86.555 -23.9902
147.748202 86.526 -23.9637
148.818846 86.497 -23.9357
149.897249 86.469 -23.9069
150.983466 86.440 -23.8779
152.077555 86.411 -23.8481
153.179572 86.382 -23.8157
154.289574 86.352 -23.7786
155.407620 86.324 -23.7366
156.533767 86.296 -23.6909
157.668076 86.269 -23.6427
158.810603 86.243 -23.5923
159.961411 86.220 -23.5403
161.120557 86.199 -23.4873
162.288103 86.181 -23.4340
163.464109 86.166 -23.3809
164.648638 86.155 -23.3280
165.841750 86.147 -23.2748
167.043507 86.142 -23.2206
168.253973 86.136 -23.1661
169.473211 86.127 -23.1132
170.701284 86.111 -23.0632
171.938256 86.086 -23.0167
173.184191 86.053 -22.9720
174.439155 86.012 -22.9266
175.703213 85.961 -22.8790
176.976431 85.903 -22.8295
178.258875 85.842 -22.7796
179.550613 85.782 -22.7318
180.851710 85.727 -22.6879
182.162236 85.676 -22.6464
183.482259 85.630 -22.6013
184.811847 85.590 -22.5466
186.151070 85.556 -22.4811
187.499997 85.528 -22.4087
188.858700 85.504 -22.3334
190.227248 85.482 -22.2574
191.605713 85.461 -22.1804
192.994167 85.440 -22.1014
194.392682 85.420 -22.0196
195.801331 85.401 -21.9349
197.220189 85.382 -21.8479
198.649327 85.363 -21.7585
200.088822 85.343 -21.6660
201.538748 85.323 -21.5696
202.999181 85.302 -21.4686
204.470197 85.280 -21.3636
205.951872 85.259 -21.2562
207.444284 85.236 -21.1476
208.947511 85.214 -21.0378
210.461631 85.191 -20.9254
211.986723 85.167 -20.8087
213.522866 85.144 -20.6871
215.070141 85.120 -20.5611
216.628627 85.096 -20.4307
218.198408 85.073 -20.2961
219.779563 85.050 -20.1591
221.372177 85.027 -20.0211
222.976331 85.004 -19.8813
224.592109 84.982 -19.7358
226.219596 84.961 -19.5798
227.858877 84.944 -19.4149
229.510036 84.931 -19.2581
231.173160 84.921 -19.1299
232.848336 84.911 -19.0344
234.535651 84.899 -18.9606
236.235193 84.885 -18.8967
237.947051 84.869 -18.8365
239.671313 84.851 -18.7776
241.408071 84.830 -18.7167
243.157413 84.808 -18.6505
244.919432 84.784 -18.5764
246.694219 84.760 -18.4941
248.481867 84.735 -18.4045
250.282469 84.711 -18.3091
252.096119 84.687 -18.2100
253.922911 84.663 -18.1086
255.762941 84.638 -18.0038
257.616305 84.614 -17.8940
259.483099 84.590 -17.7783
261.363421 84.566 -17.6578
263.257368 84.543 -17.5336
265.165039 84.520 -17.4070
267.086534 84.497 -17.2804
269.021953 84.475 -17.1549
270.971397 84.452 -17.0286
272.934968 84.430 -16.8989
274.912767 84.408 -16.7663
276.904898 84.387 -16.6317
278.911465 84.365 -16.4941
280.932573 84.344 -16.3522
282.968326 84.322 -16.2054
285.018831 84.301 -16.0547
287.084195 84.280 -15.9022
289.164526 84.259 -15.7511
291.259931 84.239 -15.6019
293.370520 84.218 -15.4523
295.496404 84.197 -15.3006
297.637693 84.177 -15.1487
299.794498 84.157 -14.9988
301.966933 84.137 -14.8495
304.155110 84.116 -14.6972
306.359143 84.096 -14.5399
308.579148 84.077 -14.3792
310.815239 84.058 -14.2177
313.067535 84.041 -14.0568
315.336151 84.023 -13.8962
317.621207 84.005 -13.7352
319.922821 83.986 -13.5729
322.241114 83.968 -13.4097
324.576206 83.950 -13.2467
326.928219 83.933 -13.0831
329.297275 83.915 -12.9171
331.683499 83.897 -12.7482
334.087014 83.880 -12.5771
336.507947 83.863 -12.4045
338.946422 83.846 -12.2289
341.402567 83.829 -12.0493
343.876511 83.813 -11.8680
346.368382 83.797 -11.6888
348.878310 83.781 -11.5142
