* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:08:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kunten R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.594 47.8134
20.140070 92.612 47.3042
20.286013 92.630 46.7958
20.433014 92.647 46.2882
20.581080 92.663 45.7814
20.730219 92.679 45.2755
20.880438 92.694 44.7705
21.031747 92.709 44.2664
21.184151 92.723 43.7633
21.337660 92.737 43.2611
21.492282 92.750 42.7600
21.648024 92.763 42.2599
21.804894 92.775 41.7610
21.962902 92.788 41.2631
22.122054 92.799 40.7664
22.282359 92.811 40.2709
22.443827 92.821 39.7766
22.606464 92.832 39.2835
22.770280 92.842 38.7917
22.935282 92.851 38.3010
23.101481 92.860 37.8116
23.268884 92.868 37.3234
23.437500 92.876 36.8365
23.607337 92.884 36.3508
23.778406 92.891 35.8663
23.950714 92.897 35.3831
24.124271 92.904 34.9013
24.299085 92.909 34.4207
24.475166 92.915 33.9415
24.652524 92.920 33.4637
24.831166 92.925 32.9874
25.011103 92.929 32.5125
25.192344 92.932 32.0393
25.374898 92.935 31.5677
25.558775 92.937 31.0979
25.743984 92.940 30.6298
25.930536 92.941 30.1635
26.118439 92.943 29.6990
26.307704 92.945 29.2364
26.498340 92.946 28.7755
26.690358 92.947 28.3165
26.883768 92.947 27.8592
27.078578 92.947 27.4036
27.274801 92.947 26.9495
27.472445 92.946 26.4968
27.671522 92.944 26.0454
27.872041 92.943 25.5953
28.074014 92.941 25.1465
28.277450 92.939 24.6986
28.482360 92.936 24.2518
28.688755 92.933 23.8059
28.896645 92.930 23.3611
29.106042 92.927 22.9172
29.316956 92.923 22.4745
29.529399 92.919 22.0328
29.743381 92.914 21.5924
29.958914 92.909 21.1533
30.176009 92.904 20.7155
30.394677 92.898 20.2793
30.614929 92.891 19.8446
30.836777 92.885 19.4116
31.060233 92.877 18.9802
31.285309 92.870 18.5507
31.512015 92.862 18.1230
31.740364 92.854 17.6971
31.970368 92.846 17.2731
32.202038 92.837 16.8510
32.435387 92.829 16.4306
32.670428 92.819 16.0120
32.907171 92.810 15.5951
33.145630 92.800 15.1798
33.385817 92.790 14.7659
33.627744 92.780 14.3535
33.871425 92.770 13.9423
34.116871 92.759 13.5323
34.364096 92.748 13.1234
34.613112 92.737 12.7158
34.863933 92.725 12.3093
35.116572 92.712 11.9041
35.371041 92.699 11.5002
35.627354 92.686 11.0980
35.885524 92.672 10.6975
36.145566 92.659 10.2991
36.407491 92.644 9.9028
36.671315 92.629 9.5090
36.937051 92.614 9.1177
37.204712 92.599 8.7291
37.474312 92.583 8.3433
37.745867 92.567 7.9603
38.019389 92.551 7.5801
38.294893 92.534 7.2025
38.572393 92.518 6.8275
38.851905 92.501 6.4550
39.133442 92.485 6.0845
39.417019 92.468 5.7160
39.702651 92.451 5.3493
39.990353 92.433 4.9843
40.280139 92.416 4.6207
40.572026 92.398 4.2585
40.866027 92.379 3.8977
41.162159 92.361 3.5383
41.460437 92.342 3.1804
41.760877 92.323 2.8240
42.063493 92.304 2.4694
42.368303 92.285 2.1165
42.675321 92.265 1.7656
42.984564 92.245 1.4167
43.296048 92.225 1.0701
43.609789 92.204 0.7257
43.925803 92.184 0.3837
44.244108 92.163 0.0441
44.564719 92.142 -0.2933
44.887653 92.120 -0.6283
45.212928 92.099 -0.9611
45.540559 92.077 -1.2917
45.870565 92.055 -1.6204
46.202962 92.033 -1.9470
46.537767 92.011 -2.2718
46.874999 91.988 -2.5948
47.214675 91.966 -2.9160
47.556812 91.943 -3.2354
47.901428 91.920 -3.5528
48.248542 91.896 -3.8683
48.598170 91.872 -4.1816
48.950333 91.847 -4.4929
49.305047 91.822 -4.8018
49.662332 91.797 -5.1083
50.022206 91.772 -5.4126
50.384687 91.747 -5.7145
50.749795 91.721 -6.0142
51.117549 91.696 -6.3116
51.487968 91.670 -6.6071
51.861071 91.644 -6.9005
52.236878 91.618 -7.1919
52.615408 91.592 -7.4815
52.996681 91.567 -7.7691
53.380716 91.541 -8.0547
53.767535 91.515 -8.3382
54.157157 91.489 -8.6195
54.549602 91.462 -8.8986
54.944891 91.435 -9.1755
55.343044 91.407 -9.4502
55.744083 91.379 -9.7227
56.148027 91.352 -9.9928
56.554899 91.324 -10.2605
56.964719 91.297 -10.5253
57.377509 91.270 -10.7867
57.793290 91.242 -11.0446
58.212084 91.214 -11.2985
58.633913 91.186 -11.5485
59.058798 91.157 -11.7952
59.486763 91.128 -12.0388
59.917828 91.099 -12.2803
60.352018 91.070 -12.5199
60.789353 91.040 -12.7582
61.229858 91.010 -12.9955
61.673555 90.979 -13.2315
62.120467 90.947 -13.4663
62.570617 90.915 -13.6997
63.024030 90.884 -13.9316
63.480728 90.855 -14.1619
63.940735 90.827 -14.3903
64.404076 90.798 -14.6166
64.870775 90.769 -14.8407
65.340855 90.739 -15.0625
65.814342 90.707 -15.2819
66.291260 90.674 -15.4989
66.771634 90.641 -15.7141
67.255488 90.608 -15.9275
67.742849 90.576 -16.1396
68.233742 90.544 -16.3505
68.728192 90.512 -16.5594
69.226225 90.480 -16.7656
69.727866 90.447 -16.9678
70.233143 90.415 -17.1649
70.742082 90.383 -17.3564
71.254708 90.352 -17.5425
71.771049 90.322 -17.7248
72.291131 90.292 -17.9059
72.814983 90.263 -18.0891
73.342630 90.233 -18.2770
73.874101 90.202 -18.4705
74.409423 90.169 -18.6678
74.948625 90.135 -18.8646
75.491733 90.099 -19.0553
76.038777 90.062 -19.2357
76.589786 90.025 -19.4050
77.144787 89.988 -19.5654
77.703810 89.952 -19.7211
78.266884 89.916 -19.8757
78.834038 89.880 -20.0309
79.405302 89.844 -20.1863
79.980705 89.809 -20.3403
80.560278 89.775 -20.4918
81.144051 89.741 -20.6406
81.732055 89.707 -20.7871
82.324319 89.673 -20.9323
82.920875 89.639 -21.0764
83.521754 89.604 -21.2192
84.126987 89.569 -21.3602
84.736605 89.533 -21.4990
85.350642 89.497 -21.6351
85.969128 89.461 -21.7687
86.592096 89.425 -21.8998
87.219578 89.389 -22.0284
87.851607 89.354 -22.1545
88.488216 89.318 -22.2781
89.129438 89.283 -22.3989
89.775306 89.247 -22.5172
90.425855 89.209 -22.6329
91.081118 89.171 -22.7463
91.741129 89.132 -22.8569
92.405924 89.092 -22.9642
93.075535 89.053 -23.0675
93.749999 89.013 -23.1660
94.429350 88.973 -23.2594
95.113624 88.932 -23.3476
95.802856 88.890 -23.4304
96.497083 88.846 -23.5075
97.196341 88.801 -23.5785
97.900666 88.756 -23.6425
98.610094 88.711 -23.6979
99.324664 88.664 -23.7430
100.044411 88.618 -23.7758
100.769374 88.571 -23.7946
101.499591 88.523 -23.7974
102.235098 88.476 -23.7816
102.975936 88.427 -23.7434
103.722142 88.378 -23.6780
104.473756 88.330 -23.5802
105.230815 88.284 -23.4466
105.993361 88.241 -23.2757
106.761433 88.203 -23.0692
107.535070 88.172 -22.8325
108.314314 88.150 -22.5751
109.099204 88.138 -22.3123
109.889782 88.138 -22.0646
110.686088 88.150 -21.8558
111.488165 88.170 -21.7092
112.296055 88.196 -21.6426
113.109798 88.225 -21.6638
113.929438 88.250 -21.7695
114.755018 88.270 -21.9465
115.586580 88.281 -22.1755
116.424168 88.284 -22.4359
117.267826 88.278 -22.7103
118.117597 88.264 -22.9855
118.973525 88.244 -23.2516
119.835657 88.218 -23.5015
120.704035 88.188 -23.7306
121.578706 88.154 -23.9369
122.459716 88.117 -24.1210
123.347109 88.079 -24.2844
124.240933 88.039 -24.4295
125.141234 87.998 -24.5577
126.048059 87.958 -24.6705
126.961456 87.917 -24.7687
127.881471 87.876 -24.8535
128.808153 87.837 -24.9263
129.741550 87.797 -24.9890
130.681710 87.759 -25.0437
131.628684 87.721 -25.0925
132.582520 87.684 -25.1371
133.543267 87.647 -25.1774
134.510977 87.610 -25.2122
135.485699 87.574 -25.2415
136.467484 87.539 -25.2673
137.456384 87.505 -25.2935
138.452449 87.472 -25.3223
139.455733 87.438 -25.3530
140.466286 87.404 -25.3833
141.484163 87.369 -25.4097
142.509416 87.334 -25.4294
143.542098 87.299 -25.4414
144.582263 87.264 -25.4465
145.629965 87.229 -25.4467
146.685260 87.194 -25.4436
147.748202 87.158 -25.4373
148.818846 87.123 -25.4269
149.897249 87.087 -25.4120
150.983466 87.052 -25.3932
152.077555 87.016 -25.3702
153.179572 86.980 -25.3420
154.289574 86.944 -25.3064
155.407620 86.908 -25.2618
156.533767 86.873 -25.2074
157.668076 86.839 -25.1440
158.810603 86.807 -25.0743
159.961411 86.778 -25.0007
161.120557 86.751 -24.9236
162.288103 86.728 -24.8419
163.464109 86.708 -24.7544
164.648638 86.692 -24.6616
165.841750 86.681 -24.5642
167.043507 86.674 -24.4637
168.253973 86.668 -24.3620
169.473211 86.661 -24.2626
170.701284 86.648 -24.1696
171.938256 86.628 -24.0872
173.184191 86.602 -24.0181
174.439155 86.568 -23.9633
175.703213 86.525 -23.9230
176.976431 86.473 -23.8965
178.258875 86.417 -23.8817
179.550613 86.361 -23.8740
180.851710 86.306 -23.8690
182.162236 86.256 -23.8633
183.482259 86.211 -23.8544
184.811847 86.170 -23.8402
186.151070 86.134 -23.8182
187.499997 86.103 -23.7857
188.858700 86.075 -23.7405
190.227248 86.048 -23.6804
191.605713 86.023 -23.6043
192.994167 85.999 -23.5133
194.392682 85.979 -23.4114
195.801331 85.961 -23.3052
197.220189 85.947 -23.2028
198.649327 85.934 -23.1123
200.088822 85.921 -23.0386
201.538748 85.906 -22.9814
202.999181 85.888 -22.9344
204.470197 85.868 -22.8885
205.951872 85.844 -22.8360
207.444284 85.819 -22.7736
208.947511 85.792 -22.7009
210.461631 85.764 -22.6193
211.986723 85.737 -22.5295
213.522866 85.709 -22.4315
215.070141 85.681 -22.3252
216.628627 85.654 -22.2126
218.198408 85.628 -22.0969
219.779563 85.603 -21.9804
221.372177 85.579 -21.8650
222.976331 85.555 -21.7533
224.592109 85.533 -21.6477
226.219596 85.511 -21.5488
227.858877 85.490 -21.4551
229.510036 85.468 -21.3646
231.173160 85.447 -21.2771
232.848336 85.425 -21.1926
234.535651 85.402 -21.1116
236.235193 85.377 -21.0332
237.947051 85.351 -20.9523
239.671313 85.322 -20.8590
241.408071 85.294 -20.7500
243.157413 85.266 -20.6341
244.919432 85.238 -20.5204
246.694219 85.211 -20.4085
248.481867 85.184 -20.2949
250.282469 85.157 -20.1777
252.096119 85.131 -20.0582
253.922911 85.106 -19.9384
255.762941 85.081 -19.8188
257.616305 85.056 -19.6981
259.483099 85.031 -19.5749
261.363421 85.007 -19.4493
263.257368 84.982 -19.3212
265.165039 84.958 -19.1895
267.086534 84.934 -19.0532
269.021953 84.910 -18.9133
270.971397 84.887 -18.7715
272.934968 84.864 -18.6288
274.912767 84.841 -18.4849
276.904898 84.819 -18.3404
278.911465 84.797 -18.1982
280.932573 84.776 -18.0610
282.968326 84.753 -17.9270
285.018831 84.731 -17.7905
287.084195 84.708 -17.6479
289.164526 84.685 -17.5010
291.259931 84.663 -17.3528
293.370520 84.642 -17.2040
295.496404 84.620 -17.0547
297.637693 84.598 -16.9033
299.794498 84.576 -16.7489
301.966933 84.554 -16.5922
304.155110 84.533 -16.4332
306.359143 84.512 -16.2726
308.579148 84.491 -16.1105
310.815239 84.471 -15.9480
313.067535 84.452 -15.7859
315.336151 84.432 -15.6252
317.621207 84.413 -15.4667
319.922821 84.393 -15.3097
322.241114 84.373 -15.1511
324.576206 84.353 -14.9879
326.928219 84.333 -14.8217
329.297275 84.314 -14.6554
331.683499 84.295 -14.4875
334.087014 84.277 -14.3165
336.507947 84.259 -14.1460
338.946422 84.241 -13.9775
341.402567 84.223 -13.8069
343.876511 84.205 -13.6324
346.368382 84.188 -13.4550
348.878310 84.171 -13.2766
