* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 8:59:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Duonic Silver L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 85.641 -130.7788
20.140070 85.659 -131.1583
20.286013 85.677 -131.5337
20.433014 85.695 -131.9048
20.581080 85.712 -132.2713
20.730219 85.728 -132.6329
20.880438 85.745 -132.9894
21.031747 85.761 -133.3405
21.184151 85.777 -133.6862
21.337660 85.793 -134.0262
21.492282 85.809 -134.3606
21.648024 85.826 -134.6897
21.804894 85.843 -135.0135
21.962902 85.861 -135.3327
22.122054 85.880 -135.6479
22.282359 85.899 -135.9598
22.443827 85.919 -136.2696
22.606464 85.940 -136.5783
22.770280 85.962 -136.8873
22.935282 85.985 -137.1979
23.101481 86.009 -137.5116
23.268884 86.034 -137.8299
23.437500 86.059 -138.1541
23.607337 86.085 -138.4855
23.778406 86.111 -138.8249
23.950714 86.138 -139.1733
24.124271 86.164 -139.5308
24.299085 86.190 -139.8976
24.475166 86.215 -140.2733
24.652524 86.239 -140.6572
24.831166 86.262 -141.0481
25.011103 86.283 -141.4447
25.192344 86.303 -141.8454
25.374898 86.321 -142.2482
25.558775 86.337 -142.6515
25.743984 86.352 -143.0533
25.930536 86.365 -143.4520
26.118439 86.377 -143.8459
26.307704 86.387 -144.2339
26.498340 86.397 -144.6152
26.690358 86.406 -144.9893
26.883768 86.415 -145.3560
27.078578 86.423 -145.7157
27.274801 86.431 -146.0690
27.472445 86.439 -146.4168
27.671522 86.446 -146.7602
27.872041 86.454 -147.1003
28.074014 86.463 -147.4382
28.277450 86.471 -147.7751
28.482360 86.480 -148.1118
28.688755 86.488 -148.4491
28.896645 86.497 -148.7872
29.106042 86.505 -149.1265
29.316956 86.513 -149.4667
29.529399 86.521 -149.8074
29.743381 86.528 -150.1483
29.958914 86.534 -150.4884
30.176009 86.539 -150.8273
30.394677 86.544 -151.1639
30.614929 86.548 -151.4977
30.836777 86.551 -151.8280
31.060233 86.554 -152.1543
31.285309 86.556 -152.4762
31.512015 86.558 -152.7935
31.740364 86.560 -153.1060
31.970368 86.562 -153.4137
32.202038 86.564 -153.7170
32.435387 86.566 -154.0159
32.670428 86.567 -154.3109
32.907171 86.569 -154.6024
33.145630 86.571 -154.8909
33.385817 86.573 -155.1767
33.627744 86.576 -155.4605
33.871425 86.579 -155.7426
34.116871 86.582 -156.0236
34.364096 86.585 -156.3039
34.613112 86.588 -156.5837
34.863933 86.591 -156.8634
35.116572 86.594 -157.1432
35.371041 86.597 -157.4231
35.627354 86.600 -157.7032
35.885524 86.602 -157.9835
36.145566 86.605 -158.2638
36.407491 86.608 -158.5442
36.671315 86.610 -158.8245
36.937051 86.612 -159.1045
37.204712 86.614 -159.3843
37.474312 86.615 -159.6638
37.745867 86.616 -159.9429
38.019389 86.617 -160.2216
38.294893 86.618 -160.4996
38.572393 86.619 -160.7770
38.851905 86.619 -161.0534
39.133442 86.618 -161.3285
39.417019 86.618 -161.6019
39.702651 86.617 -161.8730
39.990353 86.615 -162.1415
40.280139 86.613 -162.4070
40.572026 86.610 -162.6691
40.866027 86.607 -162.9278
41.162159 86.604 -163.1830
41.460437 86.602 -163.4350
41.760877 86.600 -163.6844
42.063493 86.598 -163.9316
42.368303 86.596 -164.1775
42.675321 86.594 -164.4228
42.984564 86.593 -164.6681
43.296048 86.591 -164.9140
43.609789 86.590 -165.1607
43.925803 86.588 -165.4084
44.244108 86.587 -165.6569
44.564719 86.585 -165.9055
44.887653 86.582 -166.1536
45.212928 86.579 -166.4003
45.540559 86.576 -166.6448
45.870565 86.572 -166.8862
46.202962 86.568 -167.1240
46.537767 86.564 -167.3580
46.874999 86.559 -167.5883
47.214675 86.556 -167.8152
47.556812 86.552 -168.0395
47.901428 86.548 -168.2619
48.248542 86.545 -168.4832
48.598170 86.541 -168.7042
48.950333 86.538 -168.9254
49.305047 86.535 -169.1474
49.662332 86.532 -169.3703
50.022206 86.529 -169.5943
50.384687 86.525 -169.8193
50.749795 86.522 -170.0453
51.117549 86.519 -170.2720
51.487968 86.515 -170.4993
51.861071 86.511 -170.7267
52.236878 86.506 -170.9537
52.615408 86.502 -171.1798
52.996681 86.497 -171.4045
53.380716 86.492 -171.6271
53.767535 86.487 -171.8472
54.157157 86.482 -172.0644
54.549602 86.476 -172.2788
54.944891 86.470 -172.4902
55.343044 86.463 -172.6988
55.744083 86.456 -172.9048
56.148027 86.450 -173.1084
56.554899 86.445 -173.3100
56.964719 86.441 -173.5100
57.377509 86.436 -173.7089
57.793290 86.432 -173.9075
58.212084 86.428 -174.1067
58.633913 86.423 -174.3069
59.058798 86.419 -174.5090
59.486763 86.413 -174.7130
59.917828 86.408 -174.9189
60.352018 86.401 -175.1262
60.789353 86.394 -175.3342
61.229858 86.386 -175.5421
61.673555 86.376 -175.7490
62.120467 86.366 -175.9543
62.570617 86.355 -176.1572
63.024030 86.345 -176.3578
63.480728 86.338 -176.5560
63.940735 86.331 -176.7525
64.404076 86.325 -176.9478
64.870775 86.318 -177.1427
65.340855 86.310 -177.3375
65.814342 86.300 -177.5322
66.291260 86.290 -177.7264
66.771634 86.279 -177.9195
67.255488 86.269 -178.1113
67.742849 86.260 -178.3021
68.233742 86.252 -178.4927
68.728192 86.244 -178.6847
69.226225 86.237 -178.8796
69.727866 86.230 -179.0785
70.233143 86.222 -179.2818
70.742082 86.215 -179.4886
71.254708 86.207 -179.6973
71.771049 86.198 -179.9056
72.291131 86.189 179.8891
72.814983 86.178 179.6886
73.342630 86.166 179.4942
73.874101 86.153 179.3061
74.409423 86.139 179.1239
74.948625 86.126 178.9467
75.491733 86.112 178.7733
76.038777 86.099 178.6024
76.589786 86.087 178.4330
77.144787 86.074 178.2644
77.703810 86.061 178.0963
78.266884 86.048 177.9294
78.834038 86.035 177.7651
79.405302 86.022 177.6059
79.980705 86.011 177.4538
80.560278 86.001 177.3085
81.144051 85.995 177.1653
81.732055 85.992 177.0139
82.324319 85.992 176.8409
82.920875 85.991 176.6357
83.521754 85.989 176.3962
84.126987 85.981 176.1322
84.736605 85.967 175.8619
85.350642 85.947 175.6051
85.969128 85.924 175.3755
86.592096 85.899 175.1771
87.219578 85.876 175.0045
87.851607 85.855 174.8475
88.488216 85.837 174.6949
89.129438 85.820 174.5383
89.775306 85.804 174.3726
90.425855 85.787 174.1962
91.081118 85.767 174.0102
91.741129 85.745 173.8182
92.405924 85.721 173.6272
93.075535 85.694 173.4480
93.749999 85.665 173.2943
94.429350 85.637 173.1765
95.113624 85.611 173.0939
95.802856 85.590 173.0292
96.497083 85.576 172.9542
97.196341 85.566 172.8429
97.900666 85.557 172.6860
98.610094 85.545 172.4940
99.324664 85.529 172.2891
100.044411 85.508 172.0924
100.769374 85.485 171.9167
101.499591 85.460 171.7657
102.235098 85.436 171.6385
102.975936 85.413 171.5327
103.722142 85.392 171.4459
104.473756 85.374 171.3754
105.230815 85.358 171.3171
105.993361 85.347 171.2631
106.761433 85.341 171.2008
107.535070 85.340 171.1140
108.314314 85.341 170.9890
109.099204 85.342 170.8218
109.889782 85.340 170.6216
110.686088 85.335 170.4057
111.488165 85.326 170.1907
112.296055 85.314 169.9853
113.109798 85.302 169.7897
113.929438 85.290 169.5989
114.755018 85.278 169.4059
115.586580 85.265 169.2051
116.424168 85.251 168.9937
117.267826 85.235 168.7734
118.117597 85.215 168.5510
118.973525 85.193 168.3372
119.835657 85.168 168.1414
120.704035 85.142 167.9680
121.578706 85.116 167.8137
122.459716 85.091 167.6707
123.347109 85.067 167.5314
124.240933 85.043 167.3905
125.141234 85.019 167.2469
126.048059 84.994 167.1020
126.961456 84.968 166.9587
127.881471 84.942 166.8199
128.808153 84.915 166.6882
129.741550 84.889 166.5650
130.681710 84.863 166.4500
131.628684 84.838 166.3395
132.582520 84.815 166.2275
133.543267 84.794 166.1064
134.510977 84.773 165.9691
135.485699 84.751 165.8146
136.467484 84.727 165.6522
137.456384 84.701 165.4969
138.452449 84.673 165.3575
139.455733 84.646 165.2305
140.466286 84.620 165.1085
141.484163 84.594 164.9901
142.509416 84.567 164.8818
143.542098 84.542 164.7888
144.582263 84.520 164.7034
145.629965 84.500 164.6077
146.685260 84.481 164.4870
147.748202 84.461 164.3401
148.818846 84.438 164.1772
149.897249 84.411 164.0122
150.983466 84.380 163.8572
152.077555 84.348 163.7192
153.179572 84.316 163.5991
154.289574 84.284 163.4907
155.407620 84.254 163.3840
156.533767 84.224 163.2687
157.668076 84.194 163.1394
158.810603 84.161 163.0020
159.961411 84.126 162.8792
161.120557 84.091 162.7974
162.288103 84.061 162.7563
163.464109 84.040 162.7200
164.648638 84.026 162.6494
165.841750 84.015 162.5386
167.043507 84.001 162.4118
168.253973 83.983 162.2949
169.473211 83.959 162.1981
170.701284 83.927 162.1193
171.938256 83.888 162.0527
173.184191 83.842 161.9944
174.439155 83.788 161.9425
175.703213 83.726 161.8964
176.976431 83.657 161.8548
178.258875 83.586 161.8152
179.550613 83.516 161.7753
180.851710 83.450 161.7356
182.162236 83.391 161.6982
183.482259 83.338 161.6632
184.811847 83.291 161.6285
186.151070 83.251 161.5911
187.499997 83.216 161.5501
188.858700 83.183 161.5078
190.227248 83.150 161.4684
191.605713 83.118 161.4353
192.994167 83.085 161.4091
194.392682 83.053 161.3897
195.801331 83.020 161.3777
197.220189 82.989 161.3733
198.649327 82.957 161.3744
200.088822 82.925 161.3780
201.538748 82.892 161.3828
202.999181 82.859 161.3908
204.470197 82.824 161.4049
205.951872 82.788 161.4267
207.444284 82.751 161.4559
208.947511 82.714 161.4913
210.461631 82.677 161.5341
211.986723 82.641 161.5856
213.522866 82.605 161.6389
215.070141 82.570 161.6823
216.628627 82.534 161.7148
218.198408 82.495 161.7490
219.779563 82.455 161.7965
221.372177 82.415 161.8572
222.976331 82.376 161.9247
224.592109 82.338 161.9944
226.219596 82.300 162.0648
227.858877 82.263 162.1353
229.510036 82.225 162.2057
231.173160 82.188 162.2774
232.848336 82.152 162.3515
234.535651 82.116 162.4232
236.235193 82.081 162.4842
237.947051 82.045 162.5337
239.671313 82.006 162.5823
241.408071 81.966 162.6414
243.157413 81.925 162.7153
244.919432 81.883 162.8029
246.694219 81.841 162.9008
248.481867 81.798 163.0061
250.282469 81.756 163.1168
252.096119 81.714 163.2312
253.922911 81.673 163.3481
255.762941 81.632 163.4663
257.616305 81.592 163.5852
259.483099 81.552 163.7072
261.363421 81.511 163.8372
263.257368 81.471 163.9770
265.165039 81.432 164.1247
267.086534 81.392 164.2773
269.021953 81.353 164.4344
270.971397 81.314 164.5975
272.934968 81.275 164.7661
274.912767 81.237 164.9368
276.904898 81.199 165.1086
278.911465 81.161 165.2838
280.932573 81.123 165.4665
282.968326 81.087 165.6582
285.018831 81.051 165.8571
287.084195 81.016 166.0599
289.164526 80.981 166.2655
291.259931 80.947 166.4754
293.370520 80.913 166.6893
295.496404 80.879 166.9041
297.637693 80.846 167.1179
299.794498 80.812 167.3328
301.966933 80.778 167.5508
304.155110 80.745 167.7720
306.359143 80.713 167.9955
308.579148 80.681 168.2221
310.815239 80.650 168.4541
313.067535 80.620 168.6923
315.336151 80.590 168.9365
317.621207 80.560 169.1866
319.922821 80.531 169.4400
322.241114 80.503 169.6919
324.576206 80.476 169.9402
326.928219 80.450 170.1888
329.297275 80.425 170.4410
331.683499 80.401 170.6973
334.087014 80.378 170.9565
336.507947 80.355 171.2177
338.946422 80.333 171.4788
341.402567 80.310 171.7390
343.876511 80.287 171.9996
346.368382 80.264 172.2649
348.878310 80.242 172.5361
351.406426 80.221 172.8083
353.952862 80.201 173.0776
356.517750 80.182 173.3474
359.101225 80.163 173.6219
361.703421 80.145 173.9018
364.324473 80.128 174.1858
366.964518 80.111 174.4718
369.623694 80.095 174.7559
