* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:01:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Duonic Silver R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 85.175 -125.8298
20.140070 85.203 -126.2243
20.286013 85.231 -126.6180
20.433014 85.258 -127.0110
20.581080 85.285 -127.4032
20.730219 85.312 -127.7945
20.880438 85.338 -128.1848
21.031747 85.363 -128.5743
21.184151 85.389 -128.9628
21.337660 85.414 -129.3503
21.492282 85.439 -129.7367
21.648024 85.464 -130.1222
21.804894 85.488 -130.5066
21.962902 85.512 -130.8900
22.122054 85.536 -131.2725
22.282359 85.560 -131.6541
22.443827 85.584 -132.0348
22.606464 85.607 -132.4148
22.770280 85.630 -132.7941
22.935282 85.652 -133.1727
23.101481 85.675 -133.5508
23.268884 85.697 -133.9284
23.437500 85.718 -134.3055
23.607337 85.739 -134.6821
23.778406 85.760 -135.0582
23.950714 85.781 -135.4337
24.124271 85.801 -135.8086
24.299085 85.821 -136.1828
24.475166 85.841 -136.5562
24.652524 85.860 -136.9286
24.831166 85.879 -137.2999
25.011103 85.897 -137.6699
25.192344 85.915 -138.0387
25.374898 85.932 -138.4060
25.558775 85.949 -138.7720
25.743984 85.966 -139.1365
25.930536 85.983 -139.4997
26.118439 85.999 -139.8616
26.307704 86.016 -140.2223
26.498340 86.032 -140.5821
26.690358 86.048 -140.9410
26.883768 86.064 -141.2993
27.078578 86.079 -141.6571
27.274801 86.094 -142.0145
27.472445 86.108 -142.3717
27.671522 86.122 -142.7286
27.872041 86.136 -143.0852
28.074014 86.149 -143.4415
28.277450 86.161 -143.7972
28.482360 86.173 -144.1522
28.688755 86.185 -144.5061
28.896645 86.196 -144.8586
29.106042 86.206 -145.2093
29.316956 86.216 -145.5578
29.529399 86.226 -145.9038
29.743381 86.235 -146.2468
29.958914 86.244 -146.5865
30.176009 86.252 -146.9227
30.394677 86.259 -147.2552
30.614929 86.267 -147.5838
30.836777 86.274 -147.9087
31.060233 86.281 -148.2298
31.285309 86.288 -148.5476
31.512015 86.296 -148.8624
31.740364 86.303 -149.1748
31.970368 86.311 -149.4852
32.202038 86.319 -149.7944
32.435387 86.328 -150.1029
32.670428 86.336 -150.4113
32.907171 86.344 -150.7201
33.145630 86.353 -151.0297
33.385817 86.361 -151.3401
33.627744 86.369 -151.6514
33.871425 86.378 -151.9635
34.116871 86.385 -152.2762
34.364096 86.393 -152.5892
34.613112 86.400 -152.9020
34.863933 86.406 -153.2146
35.116572 86.412 -153.5266
35.371041 86.418 -153.8380
35.627354 86.423 -154.1486
35.885524 86.429 -154.4585
36.145566 86.434 -154.7676
36.407491 86.438 -155.0759
36.671315 86.443 -155.3834
36.937051 86.446 -155.6899
37.204712 86.450 -155.9951
37.474312 86.453 -156.2989
37.745867 86.456 -156.6009
38.019389 86.458 -156.9009
38.294893 86.460 -157.1988
38.572393 86.463 -157.4944
38.851905 86.464 -157.7879
39.133442 86.466 -158.0793
39.417019 86.468 -158.3686
39.702651 86.469 -158.6560
39.990353 86.470 -158.9416
40.280139 86.470 -159.2253
40.572026 86.471 -159.5070
40.866027 86.471 -159.7868
41.162159 86.471 -160.0644
41.460437 86.471 -160.3400
41.760877 86.471 -160.6136
42.063493 86.471 -160.8855
42.368303 86.471 -161.1559
42.675321 86.471 -161.4251
42.984564 86.471 -161.6936
43.296048 86.471 -161.9615
43.609789 86.471 -162.2290
43.925803 86.471 -162.4962
44.244108 86.470 -162.7631
44.564719 86.470 -163.0294
44.887653 86.469 -163.2949
45.212928 86.467 -163.5592
45.540559 86.465 -163.8218
45.870565 86.463 -164.0824
46.202962 86.461 -164.3403
46.537767 86.458 -164.5952
46.874999 86.455 -164.8468
47.214675 86.452 -165.0949
47.556812 86.448 -165.3397
47.901428 86.445 -165.5817
48.248542 86.442 -165.8216
48.598170 86.439 -166.0603
48.950333 86.436 -166.2988
49.305047 86.432 -166.5378
49.662332 86.429 -166.7778
50.022206 86.426 -167.0188
50.384687 86.422 -167.2606
50.749795 86.417 -167.5022
51.117549 86.413 -167.7427
51.487968 86.407 -167.9810
51.861071 86.402 -168.2161
52.236878 86.396 -168.4475
52.615408 86.390 -168.6748
52.996681 86.384 -168.8981
53.380716 86.379 -169.1177
53.767535 86.374 -169.3342
54.157157 86.369 -169.5481
54.549602 86.364 -169.7603
54.944891 86.359 -169.9716
55.343044 86.353 -170.1829
55.744083 86.349 -170.3948
56.148027 86.345 -170.6082
56.554899 86.341 -170.8234
56.964719 86.338 -171.0404
57.377509 86.335 -171.2587
57.793290 86.331 -171.4776
58.212084 86.326 -171.6962
58.633913 86.321 -171.9138
59.058798 86.315 -172.1298
59.486763 86.308 -172.3444
59.917828 86.302 -172.5579
60.352018 86.294 -172.7708
60.789353 86.287 -172.9832
61.229858 86.278 -173.1949
61.673555 86.268 -173.4052
62.120467 86.256 -173.6130
62.570617 86.245 -173.8176
63.024030 86.235 -174.0186
63.480728 86.227 -174.2161
63.940735 86.221 -174.4109
64.404076 86.215 -174.6039
64.870775 86.208 -174.7959
65.340855 86.200 -174.9875
65.814342 86.191 -175.1789
66.291260 86.182 -175.3703
66.771634 86.172 -175.5620
67.255488 86.163 -175.7540
67.742849 86.155 -175.9469
68.233742 86.147 -176.1408
68.728192 86.139 -176.3353
69.226225 86.131 -176.5297
69.727866 86.123 -176.7230
70.233143 86.114 -176.9140
70.742082 86.106 -177.1018
71.254708 86.099 -177.2862
71.771049 86.092 -177.4675
72.291131 86.086 -177.6468
72.814983 86.080 -177.8254
73.342630 86.074 -178.0050
73.874101 86.067 -178.1869
74.409423 86.060 -178.3720
74.948625 86.053 -178.5605
75.491733 86.045 -178.7519
76.038777 86.037 -178.9452
76.589786 86.028 -179.1393
77.144787 86.018 -179.3331
77.703810 86.008 -179.5259
78.266884 85.997 -179.7172
78.834038 85.986 -179.9066
79.405302 85.975 179.9061
79.980705 85.964 179.7211
80.560278 85.954 179.5384
81.144051 85.945 179.3575
81.732055 85.935 179.1780
82.324319 85.926 178.9992
82.920875 85.917 178.8207
83.521754 85.907 178.6423
84.126987 85.896 178.4640
84.736605 85.885 178.2864
85.350642 85.874 178.1099
85.969128 85.863 177.9344
86.592096 85.852 177.7595
87.219578 85.842 177.5839
87.851607 85.832 177.4065
88.488216 85.823 177.2265
89.129438 85.813 177.0442
89.775306 85.802 176.8607
90.425855 85.789 176.6776
91.081118 85.776 176.4955
91.741129 85.761 176.3149
92.405924 85.747 176.1352
93.075535 85.733 175.9561
93.749999 85.719 175.7781
94.429350 85.704 175.6037
95.113624 85.687 175.4359
95.802856 85.670 175.2776
96.497083 85.652 175.1289
97.196341 85.635 174.9876
97.900666 85.620 174.8495
98.610094 85.606 174.7111
99.324664 85.593 174.5699
100.044411 85.581 174.4252
100.769374 85.569 174.2773
101.499591 85.557 174.1272
102.235098 85.544 173.9765
102.975936 85.531 173.8270
103.722142 85.517 173.6805
104.473756 85.502 173.5382
105.230815 85.487 173.4010
105.993361 85.472 173.2691
106.761433 85.456 173.1428
107.535070 85.440 173.0218
108.314314 85.425 172.9055
109.099204 85.411 172.7926
109.889782 85.399 172.6815
110.686088 85.388 172.5701
111.488165 85.378 172.4566
112.296055 85.369 172.3389
113.109798 85.361 172.2152
113.929438 85.354 172.0834
114.755018 85.346 171.9414
115.586580 85.338 171.7884
116.424168 85.329 171.6260
117.267826 85.320 171.4578
118.117597 85.310 171.2872
118.973525 85.300 171.1135
119.835657 85.290 170.9316
120.704035 85.280 170.7358
121.578706 85.269 170.5259
122.459716 85.254 170.3093
123.347109 85.236 170.0959
124.240933 85.216 169.8915
125.141234 85.195 169.6957
126.048059 85.175 169.5051
126.961456 85.154 169.3162
127.881471 85.133 169.1276
128.808153 85.112 168.9394
129.741550 85.089 168.7535
130.681710 85.066 168.5725
131.628684 85.041 168.3980
132.582520 85.017 168.2304
133.543267 84.992 168.0694
134.510977 84.966 167.9155
135.485699 84.941 167.7698
136.467484 84.917 167.6337
137.456384 84.893 167.5075
138.452449 84.871 167.3901
139.455733 84.851 167.2782
140.466286 84.833 167.1668
141.484163 84.817 167.0501
142.509416 84.802 166.9258
143.542098 84.787 166.7989
144.582263 84.771 166.6782
145.629965 84.756 166.5662
146.685260 84.744 166.4535
147.748202 84.733 166.3258
148.818846 84.722 166.1758
149.897249 84.710 166.0061
150.983466 84.695 165.8238
152.077555 84.678 165.6356
153.179572 84.658 165.4457
154.289574 84.637 165.2569
155.407620 84.613 165.0718
156.533767 84.588 164.8919
157.668076 84.563 164.7177
158.810603 84.538 164.5489
159.961411 84.515 164.3849
161.120557 84.492 164.2250
162.288103 84.472 164.0675
163.464109 84.455 163.9109
164.648638 84.440 163.7546
165.841750 84.428 163.5992
167.043507 84.418 163.4460
168.253973 84.407 163.2955
169.473211 84.391 163.1469
170.701284 84.368 162.9999
171.938256 84.336 162.8560
173.184191 84.295 162.7170
174.439155 84.246 162.5840
175.703213 84.188 162.4559
176.976431 84.122 162.3313
178.258875 84.053 162.2093
179.550613 83.985 162.0893
180.851710 83.922 161.9706
182.162236 83.864 161.8528
183.482259 83.812 161.7351
184.811847 83.766 161.6177
186.151070 83.726 161.5024
187.499997 83.690 161.3917
188.858700 83.656 161.2874
190.227248 83.625 161.1901
191.605713 83.594 161.0984
192.994167 83.563 161.0098
194.392682 83.533 160.9221
195.801331 83.503 160.8364
197.220189 83.472 160.7560
198.649327 83.441 160.6830
200.088822 83.408 160.6176
201.538748 83.375 160.5596
202.999181 83.341 160.5084
204.470197 83.306 160.4622
205.951872 83.271 160.4188
207.444284 83.234 160.3771
208.947511 83.197 160.3370
210.461631 83.159 160.2990
211.986723 83.119 160.2639
213.522866 83.079 160.2323
215.070141 83.038 160.2053
216.628627 82.996 160.1853
218.198408 82.953 160.1757
219.779563 82.911 160.1787
221.372177 82.870 160.1933
222.976331 82.830 160.2162
224.592109 82.791 160.2439
226.219596 82.753 160.2752
227.858877 82.717 160.3109
229.510036 82.682 160.3505
231.173160 82.649 160.3893
232.848336 82.619 160.4166
234.535651 82.589 160.4213
236.235193 82.559 160.4013
237.947051 82.526 160.3647
239.671313 82.491 160.3219
241.408071 82.453 160.2809
243.157413 82.413 160.2473
244.919432 82.371 160.2226
246.694219 82.329 160.2052
248.481867 82.286 160.1938
250.282469 82.242 160.1879
252.096119 82.198 160.1872
253.922911 82.153 160.1906
255.762941 82.107 160.1983
257.616305 82.061 160.2128
259.483099 82.014 160.2378
261.363421 81.966 160.2750
263.257368 81.920 160.3237
265.165039 81.873 160.3814
267.086534 81.828 160.4434
269.021953 81.783 160.5063
270.971397 81.738 160.5706
272.934968 81.693 160.6382
274.912767 81.647 160.7110
276.904898 81.602 160.7888
278.911465 81.557 160.8708
280.932573 81.511 160.9567
282.968326 81.465 161.0470
285.018831 81.419 161.1443
287.084195 81.373 161.2513
289.164526 81.327 161.3671
291.259931 81.282 161.4887
293.370520 81.237 161.6152
295.496404 81.193 161.7481
297.637693 81.149 161.8875
299.794498 81.105 162.0308
301.966933 81.061 162.1773
304.155110 81.017 162.3280
306.359143 80.974 162.4817
308.579148 80.932 162.6357
310.815239 80.890 162.7877
313.067535 80.848 162.9393
315.336151 80.805 163.0962
317.621207 80.761 163.2635
319.922821 80.719 163.4412
322.241114 80.677 163.6247
324.576206 80.637 163.8109
326.928219 80.596 163.9994
329.297275 80.556 164.1926
331.683499 80.515 164.3934
334.087014 80.475 164.6026
336.507947 80.436 164.8171
338.946422 80.398 165.0331
341.402567 80.360 165.2498
343.876511 80.323 165.4677
346.368382 80.286 165.6862
348.878310 80.250 165.9039
351.406426 80.213 166.1240
353.952862 80.175 166.3517
356.517750 80.138 166.5861
359.101225 80.101 166.8229
361.703421 80.064 167.0634
364.324473 80.027 167.3127
366.964518 79.991 167.5734
