* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:26:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDA Balanced
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.308 45.5364
20.140070 89.329 45.0656
20.286013 89.349 44.5954
20.433014 89.368 44.1257
20.581080 89.387 43.6566
20.730219 89.406 43.1882
20.880438 89.424 42.7206
21.031747 89.442 42.2538
21.184151 89.459 41.7879
21.337660 89.475 41.3231
21.492282 89.491 40.8594
21.648024 89.507 40.3969
21.804894 89.522 39.9358
21.962902 89.537 39.4761
22.122054 89.552 39.0179
22.282359 89.566 38.5613
22.443827 89.580 38.1063
22.606464 89.593 37.6529
22.770280 89.606 37.2011
22.935282 89.618 36.7510
23.101481 89.630 36.3025
23.268884 89.642 35.8555
23.437500 89.653 35.4101
23.607337 89.664 34.9662
23.778406 89.675 34.5236
23.950714 89.685 34.0825
24.124271 89.695 33.6427
24.299085 89.705 33.2042
24.475166 89.714 32.7670
24.652524 89.723 32.3311
24.831166 89.732 31.8964
25.011103 89.740 31.4630
25.192344 89.748 31.0308
25.374898 89.755 30.5999
25.558775 89.762 30.1702
25.743984 89.769 29.7417
25.930536 89.776 29.3145
26.118439 89.782 28.8886
26.307704 89.788 28.4638
26.498340 89.794 28.0403
26.690358 89.800 27.6179
26.883768 89.805 27.1967
27.078578 89.810 26.7765
27.274801 89.814 26.3574
27.472445 89.818 25.9394
27.671522 89.821 25.5225
27.872041 89.824 25.1066
28.074014 89.826 24.6919
28.277450 89.828 24.2783
28.482360 89.830 23.8658
28.688755 89.832 23.4547
28.896645 89.833 23.0448
29.106042 89.834 22.6362
29.316956 89.834 22.2291
29.529399 89.834 21.8233
29.743381 89.834 21.4189
29.958914 89.834 21.0160
30.176009 89.833 20.6144
30.394677 89.832 20.2141
30.614929 89.830 19.8149
30.836777 89.828 19.4170
31.060233 89.826 19.0200
31.285309 89.823 18.6241
31.512015 89.821 18.2294
31.740364 89.818 17.8355
31.970368 89.814 17.4428
32.202038 89.811 17.0513
32.435387 89.806 16.6612
32.670428 89.802 16.2725
32.907171 89.797 15.8855
33.145630 89.792 15.5002
33.385817 89.786 15.1168
33.627744 89.780 14.7352
33.871425 89.774 14.3553
34.116871 89.768 13.9774
34.364096 89.762 13.6010
34.613112 89.755 13.2260
34.863933 89.747 12.8523
35.116572 89.740 12.4798
35.371041 89.732 12.1083
35.627354 89.723 11.7378
35.885524 89.715 11.3683
36.145566 89.707 10.9999
36.407491 89.698 10.6327
36.671315 89.688 10.2670
36.937051 89.678 9.9027
37.204712 89.668 9.5402
37.474312 89.658 9.1796
37.745867 89.647 8.8209
38.019389 89.636 8.4644
38.294893 89.625 8.1097
38.572393 89.614 7.7571
38.851905 89.602 7.4064
39.133442 89.591 7.0574
39.417019 89.579 6.7101
39.702651 89.567 6.3642
39.990353 89.555 6.0197
40.280139 89.542 5.6765
40.572026 89.529 5.3344
40.866027 89.515 4.9933
41.162159 89.502 4.6533
41.460437 89.488 4.3143
41.760877 89.474 3.9763
42.063493 89.460 3.6394
42.368303 89.446 3.3037
42.675321 89.431 2.9694
42.984564 89.416 2.6365
43.296048 89.401 2.3053
43.609789 89.385 1.9758
43.925803 89.369 1.6481
44.244108 89.353 1.3224
44.564719 89.336 0.9988
44.887653 89.320 0.6771
45.212928 89.303 0.3575
45.540559 89.285 0.0401
45.870565 89.268 -0.2753
46.202962 89.250 -0.5888
46.537767 89.233 -0.9004
46.874999 89.215 -1.2102
47.214675 89.197 -1.5183
47.556812 89.179 -1.8250
47.901428 89.160 -2.1302
48.248542 89.141 -2.4343
48.598170 89.122 -2.7373
48.950333 89.103 -3.0393
49.305047 89.083 -3.3402
49.662332 89.063 -3.6401
50.022206 89.043 -3.9390
50.384687 89.022 -4.2367
50.749795 89.001 -4.5330
51.117549 88.981 -4.8278
51.487968 88.959 -5.1210
51.861071 88.938 -5.4122
52.236878 88.917 -5.7016
52.615408 88.895 -5.9889
52.996681 88.874 -6.2743
53.380716 88.853 -6.5577
53.767535 88.831 -6.8393
54.157157 88.810 -7.1193
54.549602 88.788 -7.3979
54.944891 88.765 -7.6752
55.343044 88.742 -7.9515
55.744083 88.719 -8.2268
56.148027 88.696 -8.5013
56.554899 88.674 -8.7751
56.964719 88.652 -9.0481
57.377509 88.629 -9.3199
57.793290 88.606 -9.5902
58.212084 88.582 -9.8582
58.633913 88.556 -10.1232
59.058798 88.531 -10.3842
59.486763 88.504 -10.6404
59.917828 88.477 -10.8914
60.352018 88.450 -11.1371
60.789353 88.422 -11.3780
61.229858 88.394 -11.6152
61.673555 88.366 -11.8505
62.120467 88.337 -12.0851
62.570617 88.309 -12.3204
63.024030 88.281 -12.5570
63.480728 88.256 -12.7946
63.940735 88.231 -13.0326
64.404076 88.206 -13.2697
64.870775 88.180 -13.5049
65.340855 88.152 -13.7377
65.814342 88.122 -13.9675
66.291260 88.092 -14.1948
66.771634 88.062 -14.4203
67.255488 88.032 -14.6446
67.742849 88.003 -14.8683
68.233742 87.974 -15.0915
68.728192 87.945 -15.3140
69.226225 87.915 -15.5350
69.727866 87.886 -15.7538
70.233143 87.856 -15.9697
70.742082 87.827 -16.1823
71.254708 87.798 -16.3915
71.771049 87.770 -16.5975
72.291131 87.741 -16.8007
72.814983 87.713 -17.0013
73.342630 87.684 -17.2000
73.874101 87.654 -17.3973
74.409423 87.623 -17.5938
74.948625 87.592 -17.7900
75.491733 87.562 -17.9863
76.038777 87.531 -18.1824
76.589786 87.499 -18.3779
77.144787 87.467 -18.5722
77.703810 87.434 -18.7644
78.266884 87.401 -18.9541
78.834038 87.367 -19.1407
79.405302 87.333 -19.3243
79.980705 87.300 -19.5046
80.560278 87.267 -19.6816
81.144051 87.235 -19.8552
81.732055 87.203 -20.0255
82.324319 87.171 -20.1929
82.920875 87.139 -20.3575
83.521754 87.106 -20.5200
84.126987 87.074 -20.6805
84.736605 87.041 -20.8397
85.350642 87.008 -20.9980
85.969128 86.975 -21.1562
86.592096 86.942 -21.3141
87.219578 86.909 -21.4716
87.851607 86.877 -21.6277
88.488216 86.845 -21.7821
89.129438 86.812 -21.9346
89.775306 86.779 -22.0851
90.425855 86.745 -22.2336
91.081118 86.710 -22.3801
91.741129 86.674 -22.5240
92.405924 86.638 -22.6649
93.075535 86.603 -22.8025
93.749999 86.569 -22.9367
94.429350 86.534 -23.0680
95.113624 86.499 -23.1971
95.802856 86.463 -23.3248
96.497083 86.426 -23.4515
97.196341 86.389 -23.5769
97.900666 86.351 -23.7004
98.610094 86.314 -23.8211
99.324664 86.277 -23.9382
100.044411 86.240 -24.0516
100.769374 86.204 -24.1616
101.499591 86.168 -24.2687
102.235098 86.132 -24.3736
102.975936 86.096 -24.4766
103.722142 86.059 -24.5781
104.473756 86.022 -24.6784
105.230815 85.985 -24.7776
105.993361 85.947 -24.8756
106.761433 85.908 -24.9718
107.535070 85.869 -25.0654
108.314314 85.830 -25.1561
109.099204 85.791 -25.2440
109.889782 85.752 -25.3298
110.686088 85.714 -25.4147
111.488165 85.676 -25.4990
112.296055 85.637 -25.5825
113.109798 85.598 -25.6641
113.929438 85.559 -25.7429
114.755018 85.519 -25.8187
115.586580 85.478 -25.8921
116.424168 85.437 -25.9636
117.267826 85.395 -26.0333
118.117597 85.353 -26.0997
118.973525 85.310 -26.1598
119.835657 85.267 -26.2107
120.704035 85.223 -26.2512
121.578706 85.180 -26.2826
122.459716 85.137 -26.3077
123.347109 85.093 -26.3285
124.240933 85.049 -26.3446
125.141234 85.005 -26.3536
126.048059 84.961 -26.3531
126.961456 84.916 -26.3407
127.881471 84.872 -26.3129
128.808153 84.828 -26.2651
129.741550 84.785 -26.1927
130.681710 84.745 -26.0950
131.628684 84.709 -25.9788
132.582520 84.678 -25.8588
133.543267 84.652 -25.7535
134.510977 84.627 -25.6734
135.485699 84.602 -25.6114
136.467484 84.575 -25.5462
137.456384 84.549 -25.4615
138.452449 84.527 -25.3633
139.455733 84.508 -25.2741
140.466286 84.491 -25.2064
141.484163 84.475 -25.1517
142.509416 84.460 -25.0976
143.542098 84.446 -25.0468
144.582263 84.435 -25.0123
145.629965 84.424 -25.0015
146.685260 84.413 -25.0107
147.748202 84.400 -25.0338
148.818846 84.387 -25.0674
149.897249 84.373 -25.1121
150.983466 84.357 -25.1682
152.077555 84.340 -25.2343
153.179572 84.321 -25.3076
154.289574 84.300 -25.3854
155.407620 84.276 -25.4648
156.533767 84.251 -25.5430
157.668076 84.224 -25.6193
158.810603 84.197 -25.6957
159.961411 84.169 -25.7737
161.120557 84.140 -25.8505
162.288103 84.111 -25.9191
163.464109 84.084 -25.9748
164.648638 84.061 -26.0205
165.841750 84.042 -26.0664
167.043507 84.024 -26.1213
168.253973 84.004 -26.1791
169.473211 83.977 -26.2126
170.701284 83.942 -26.1887
171.938256 83.905 -26.1016
173.184191 83.870 -25.9949
174.439155 83.837 -25.9355
175.703213 83.795 -25.9552
176.976431 83.739 -26.0208
178.258875 83.671 -26.0677
179.550613 83.600 -26.0627
180.851710 83.534 -26.0203
182.162236 83.477 -25.9673
183.482259 83.429 -25.9161
184.811847 83.387 -25.8677
186.151070 83.353 -25.8207
187.499997 83.324 -25.7729
188.858700 83.300 -25.7240
190.227248 83.279 -25.6761
191.605713 83.259 -25.6332
192.994167 83.241 -25.5973
194.392682 83.223 -25.5671
195.801331 83.205 -25.5394
197.220189 83.187 -25.5114
198.649327 83.168 -25.4820
200.088822 83.149 -25.4529
201.538748 83.128 -25.4266
202.999181 83.105 -25.4022
204.470197 83.080 -25.3730
205.951872 83.053 -25.3298
207.444284 83.026 -25.2679
208.947511 83.001 -25.1965
210.461631 82.980 -25.1417
211.986723 82.959 -25.1296
213.522866 82.933 -25.1543
215.070141 82.900 -25.1750
216.628627 82.864 -25.1609
218.198408 82.827 -25.1178
219.779563 82.792 -25.0637
221.372177 82.758 -25.0068
222.976331 82.726 -24.9482
224.592109 82.693 -24.8890
226.219596 82.661 -24.8305
227.858877 82.629 -24.7703
229.510036 82.597 -24.7031
231.173160 82.564 -24.6255
232.848336 82.530 -24.5375
234.535651 82.496 -24.4383
236.235193 82.462 -24.3254
237.947051 82.429 -24.2013
239.671313 82.396 -24.0785
241.408071 82.365 -23.9720
243.157413 82.332 -23.8836
244.919432 82.298 -23.7991
246.694219 82.263 -23.7035
248.481867 82.231 -23.5974
250.282469 82.202 -23.4973
252.096119 82.176 -23.4169
253.922911 82.149 -23.3488
255.762941 82.120 -23.2748
257.616305 82.092 -23.1866
259.483099 82.063 -23.0873
261.363421 82.035 -22.9822
263.257368 82.007 -22.8737
265.165039 81.979 -22.7601
267.086534 81.950 -22.6403
269.021953 81.923 -22.5143
270.971397 81.897 -22.3857
272.934968 81.872 -22.2600
274.912767 81.849 -22.1415
276.904898 81.824 -22.0289
278.911465 81.800 -21.9166
280.932573 81.775 -21.8015
282.968326 81.750 -21.6859
285.018831 81.725 -21.5726
287.084195 81.700 -21.4617
289.164526 81.674 -21.3518
291.259931 81.648 -21.2407
293.370520 81.621 -21.1265
295.496404 81.595 -21.0093
297.637693 81.569 -20.8907
299.794498 81.542 -20.7710
301.966933 81.516 -20.6485
304.155110 81.489 -20.5224
306.359143 81.463 -20.3931
308.579148 81.437 -20.2620
310.815239 81.412 -20.1310
313.067535 81.388 -19.9999
315.336151 81.363 -19.8680
317.621207 81.338 -19.7355
319.922821 81.313 -19.6022
322.241114 81.288 -19.4659
324.576206 81.264 -19.3265
326.928219 81.240 -19.1860
329.297275 81.217 -19.0447
331.683499 81.195 -18.9008
334.087014 81.172 -18.7532
336.507947 81.150 -18.6035
338.946422 81.129 -18.4530
341.402567 81.107 -18.3035
343.876511 81.086 -18.1577
346.368382 81.064 -18.0148
348.878310 81.042 -17.8713
351.406426 81.019 -17.7258
