* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:12:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PRX L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 82.364 45.7813
20.140070 82.389 45.3279
20.286013 82.413 44.8755
20.433014 82.437 44.4243
20.581080 82.460 43.9741
20.730219 82.483 43.5249
20.880438 82.505 43.0767
21.031747 82.527 42.6294
21.184151 82.549 42.1829
21.337660 82.570 41.7373
21.492282 82.591 41.2925
21.648024 82.612 40.8484
21.804894 82.633 40.4052
21.962902 82.653 39.9628
22.122054 82.673 39.5212
22.282359 82.692 39.0806
22.443827 82.711 38.6409
22.606464 82.729 38.2023
22.770280 82.748 37.7648
22.935282 82.765 37.3286
23.101481 82.783 36.8936
23.268884 82.799 36.4599
23.437500 82.816 36.0276
23.607337 82.832 35.5966
23.778406 82.848 35.1670
23.950714 82.864 34.7386
24.124271 82.879 34.3112
24.299085 82.894 33.8849
24.475166 82.909 33.4592
24.652524 82.924 33.0341
24.831166 82.939 32.6094
25.011103 82.953 32.1847
25.192344 82.967 31.7599
25.374898 82.981 31.3348
25.558775 82.994 30.9092
25.743984 83.007 30.4831
25.930536 83.020 30.0563
26.118439 83.032 29.6290
26.307704 83.044 29.2011
26.498340 83.056 28.7729
26.690358 83.067 28.3445
26.883768 83.077 27.9161
27.078578 83.087 27.4881
27.274801 83.095 27.0607
27.472445 83.103 26.6342
27.671522 83.110 26.2089
27.872041 83.117 25.7852
28.074014 83.123 25.3631
28.277450 83.128 24.9430
28.482360 83.133 24.5251
28.688755 83.138 24.1094
28.896645 83.142 23.6960
29.106042 83.145 23.2850
29.316956 83.148 22.8762
29.529399 83.151 22.4696
29.743381 83.154 22.0651
29.958914 83.156 21.6625
30.176009 83.158 21.2618
30.394677 83.159 20.8628
30.614929 83.160 20.4653
30.836777 83.161 20.0693
31.060233 83.161 19.6748
31.285309 83.161 19.2816
31.512015 83.161 18.8898
31.740364 83.161 18.4994
31.970368 83.160 18.1104
32.202038 83.159 17.7228
32.435387 83.158 17.3365
32.670428 83.156 16.9517
32.907171 83.154 16.5682
33.145630 83.151 16.1860
33.385817 83.149 15.8051
33.627744 83.146 15.4255
33.871425 83.143 15.0472
34.116871 83.139 14.6702
34.364096 83.135 14.2946
34.613112 83.131 13.9203
34.863933 83.126 13.5477
35.116572 83.121 13.1765
35.371041 83.115 12.8071
35.627354 83.109 12.4392
35.885524 83.103 12.0730
36.145566 83.097 11.7081
36.407491 83.091 11.3446
36.671315 83.085 10.9821
36.937051 83.078 10.6202
37.204712 83.071 10.2589
37.474312 83.064 9.8978
37.745867 83.057 9.5366
38.019389 83.049 9.1752
38.294893 83.041 8.8136
38.572393 83.033 8.4519
38.851905 83.025 8.0901
39.133442 83.016 7.7286
39.417019 83.006 7.3677
39.702651 82.996 7.0077
39.990353 82.985 6.6490
40.280139 82.973 6.2921
40.572026 82.961 5.9371
40.866027 82.948 5.5846
41.162159 82.934 5.2347
41.460437 82.921 4.8876
41.760877 82.907 4.5434
42.063493 82.893 4.2021
42.368303 82.878 3.8638
42.675321 82.863 3.5283
42.984564 82.848 3.1953
43.296048 82.833 2.8646
43.609789 82.818 2.5360
43.925803 82.803 2.2090
44.244108 82.787 1.8834
44.564719 82.772 1.5588
44.887653 82.756 1.2350
45.212928 82.740 0.9117
45.540559 82.724 0.5889
45.870565 82.707 0.2666
46.202962 82.690 -0.0549
46.537767 82.672 -0.3752
46.874999 82.653 -0.6939
47.214675 82.634 -1.0104
47.556812 82.615 -1.3240
47.901428 82.594 -1.6343
48.248542 82.574 -1.9408
48.598170 82.552 -2.2430
48.950333 82.530 -2.5410
49.305047 82.508 -2.8347
49.662332 82.485 -3.1243
50.022206 82.463 -3.4100
50.384687 82.441 -3.6924
50.749795 82.418 -3.9719
51.117549 82.396 -4.2490
51.487968 82.374 -4.5241
51.861071 82.351 -4.7974
52.236878 82.329 -5.0691
52.615408 82.307 -5.3395
52.996681 82.285 -5.6086
53.380716 82.264 -5.8768
53.767535 82.242 -6.1444
54.157157 82.220 -6.4116
54.549602 82.198 -6.6787
54.944891 82.175 -6.9458
55.343044 82.151 -7.2126
55.744083 82.127 -7.4790
56.148027 82.103 -7.7448
56.554899 82.079 -8.0095
56.964719 82.056 -8.2733
57.377509 82.032 -8.5359
57.793290 82.007 -8.7972
58.212084 81.982 -9.0571
58.633913 81.955 -9.3153
59.058798 81.928 -9.5715
59.486763 81.900 -9.8254
59.917828 81.871 -10.0763
60.352018 81.842 -10.3239
60.789353 81.811 -10.5675
61.229858 81.780 -10.8069
61.673555 81.747 -11.0418
62.120467 81.714 -11.2722
62.570617 81.681 -11.4984
63.024030 81.649 -11.7209
63.480728 81.620 -11.9404
63.940735 81.591 -12.1578
64.404076 81.564 -12.3744
64.870775 81.536 -12.5911
65.340855 81.506 -12.8086
65.814342 81.475 -13.0276
66.291260 81.443 -13.2478
66.771634 81.410 -13.4684
67.255488 81.377 -13.6882
67.742849 81.345 -13.9058
68.233742 81.312 -14.1198
68.728192 81.278 -14.3292
69.226225 81.245 -14.5336
69.727866 81.212 -14.7333
70.233143 81.179 -14.9287
70.742082 81.146 -15.1208
71.254708 81.114 -15.3105
71.771049 81.082 -15.4983
72.291131 81.051 -15.6843
72.814983 81.018 -15.8679
73.342630 80.985 -16.0480
73.874101 80.950 -16.2233
74.409423 80.915 -16.3931
74.948625 80.879 -16.5574
75.491733 80.844 -16.7175
76.038777 80.810 -16.8755
76.589786 80.776 -17.0339
77.144787 80.741 -17.1946
77.703810 80.707 -17.3585
78.266884 80.672 -17.5251
78.834038 80.636 -17.6931
79.405302 80.599 -17.8600
79.980705 80.562 -18.0238
80.560278 80.525 -18.1828
81.144051 80.489 -18.3364
81.732055 80.452 -18.4846
82.324319 80.415 -18.6284
82.920875 80.378 -18.7686
83.521754 80.340 -18.9056
84.126987 80.302 -19.0400
84.736605 80.263 -19.1716
85.350642 80.223 -19.2998
85.969128 80.183 -19.4237
86.592096 80.143 -19.5419
87.219578 80.103 -19.6533
87.851607 80.063 -19.7573
88.488216 80.023 -19.8536
89.129438 79.983 -19.9423
89.775306 79.943 -20.0230
90.425855 79.901 -20.0944
91.081118 79.859 -20.1544
91.741129 79.816 -20.2012
92.405924 79.775 -20.2343
93.075535 79.735 -20.2546
93.749999 79.697 -20.2649
94.429350 79.661 -20.2676
95.113624 79.626 -20.2645
95.802856 79.591 -20.2556
96.497083 79.557 -20.2404
97.196341 79.525 -20.2181
97.900666 79.495 -20.1898
98.610094 79.468 -20.1589
99.324664 79.445 -20.1313
100.044411 79.425 -20.1150
100.769374 79.408 -20.1171
101.499591 79.392 -20.1414
102.235098 79.375 -20.1858
102.975936 79.356 -20.2421
103.722142 79.335 -20.2995
104.473756 79.314 -20.3505
105.230815 79.293 -20.3950
105.993361 79.273 -20.4412
106.761433 79.255 -20.5001
107.535070 79.238 -20.5808
108.314314 79.220 -20.6851
109.099204 79.199 -20.8081
109.889782 79.176 -20.9409
110.686088 79.150 -21.0739
111.488165 79.122 -21.1997
112.296055 79.091 -21.3142
113.109798 79.059 -21.4163
113.929438 79.027 -21.5070
114.755018 78.993 -21.5876
115.586580 78.960 -21.6591
116.424168 78.927 -21.7211
117.267826 78.894 -21.7743
118.117597 78.863 -21.8217
118.973525 78.834 -21.8685
119.835657 78.807 -21.9215
120.704035 78.781 -21.9866
121.578706 78.755 -22.0658
122.459716 78.727 -22.1569
123.347109 78.698 -22.2548
124.240933 78.666 -22.3550
125.141234 78.634 -22.4542
126.048059 78.600 -22.5502
126.961456 78.565 -22.6409
127.881471 78.530 -22.7240
128.808153 78.494 -22.7985
129.741550 78.458 -22.8657
130.681710 78.422 -22.9279
131.628684 78.386 -22.9865
132.582520 78.350 -23.0410
133.543267 78.313 -23.0897
134.510977 78.276 -23.1316
135.485699 78.239 -23.1661
136.467484 78.203 -23.1940
137.456384 78.166 -23.2151
138.452449 78.130 -23.2296
139.455733 78.094 -23.2375
140.466286 78.059 -23.2399
141.484163 78.024 -23.2382
142.509416 77.991 -23.2340
143.542098 77.958 -23.2288
144.582263 77.925 -23.2239
145.629965 77.892 -23.2208
146.685260 77.859 -23.2206
147.748202 77.826 -23.2213
148.818846 77.791 -23.2179
149.897249 77.756 -23.2062
150.983466 77.722 -23.1853
152.077555 77.688 -23.1578
153.179572 77.656 -23.1272
154.289574 77.624 -23.0964
155.407620 77.594 -23.0680
156.533767 77.564 -23.0433
157.668076 77.535 -23.0214
158.810603 77.506 -22.9985
159.961411 77.478 -22.9714
161.120557 77.452 -22.9396
162.288103 77.429 -22.9056
163.464109 77.408 -22.8709
164.648638 77.391 -22.8340
165.841750 77.377 -22.7933
167.043507 77.366 -22.7499
168.253973 77.355 -22.7063
169.473211 77.340 -22.6638
170.701284 77.318 -22.6216
171.938256 77.287 -22.5781
173.184191 77.248 -22.5311
174.439155 77.202 -22.4786
175.703213 77.147 -22.4205
176.976431 77.086 -22.3602
178.258875 77.022 -22.3024
179.550613 76.960 -22.2487
180.851710 76.902 -22.1961
182.162236 76.850 -22.1406
183.482259 76.805 -22.0825
184.811847 76.768 -22.0283
186.151070 76.737 -21.9838
187.499997 76.710 -21.9478
188.858700 76.686 -21.9123
190.227248 76.662 -21.8709
191.605713 76.639 -21.8237
192.994167 76.617 -21.7760
194.392682 76.596 -21.7319
195.801331 76.574 -21.6898
197.220189 76.552 -21.6439
198.649327 76.529 -21.5892
200.088822 76.506 -21.5250
201.538748 76.482 -21.4541
202.999181 76.459 -21.3821
204.470197 76.435 -21.3126
205.951872 76.409 -21.2434
207.444284 76.382 -21.1677
208.947511 76.354 -21.0819
210.461631 76.325 -20.9891
211.986723 76.297 -20.8962
213.522866 76.269 -20.8063
215.070141 76.239 -20.7170
216.628627 76.209 -20.6242
218.198408 76.179 -20.5247
219.779563 76.148 -20.4163
221.372177 76.118 -20.2985
222.976331 76.089 -20.1730
224.592109 76.061 -20.0427
226.219596 76.034 -19.9100
227.858877 76.008 -19.7751
229.510036 75.983 -19.6393
231.173160 75.959 -19.5057
232.848336 75.936 -19.3759
234.535651 75.913 -19.2486
236.235193 75.890 -19.1251
237.947051 75.868 -19.0090
239.671313 75.846 -18.9033
241.408071 75.824 -18.8079
243.157413 75.800 -18.7167
244.919432 75.776 -18.6217
246.694219 75.751 -18.5211
248.481867 75.728 -18.4209
250.282469 75.705 -18.3260
252.096119 75.681 -18.2343
253.922911 75.658 -18.1400
255.762941 75.635 -18.0405
257.616305 75.612 -17.9379
259.483099 75.589 -17.8358
261.363421 75.566 -17.7356
263.257368 75.542 -17.6345
265.165039 75.517 -17.5272
267.086534 75.492 -17.4102
269.021953 75.466 -17.2845
270.971397 75.442 -17.1555
272.934968 75.418 -17.0278
274.912767 75.394 -16.9020
276.904898 75.371 -16.7767
278.911465 75.348 -16.6523
280.932573 75.326 -16.5293
282.968326 75.303 -16.4071
285.018831 75.281 -16.2845
287.084195 75.258 -16.1595
289.164526 75.236 -16.0317
291.259931 75.212 -15.9014
293.370520 75.188 -15.7670
295.496404 75.164 -15.6270
297.637693 75.139 -15.4781
299.794498 75.115 -15.3196
301.966933 75.091 -15.1565
304.155110 75.070 -14.9958
306.359143 75.049 -14.8420
308.579148 75.028 -14.6966
310.815239 75.007 -14.5558
313.067535 74.985 -14.4135
315.336151 74.963 -14.2659
317.621207 74.941 -14.1132
319.922821 74.919 -13.9583
322.241114 74.898 -13.8052
324.576206 74.877 -13.6564
326.928219 74.856 -13.5093
329.297275 74.836 -13.3585
331.683499 74.815 -13.2026
334.087014 74.795 -13.0433
336.507947 74.776 -12.8810
338.946422 74.757 -12.7196
341.402567 74.738 -12.5641
343.876511 74.720 -12.4118
346.368382 74.701 -12.2560
348.878310 74.683 -12.0963
351.406426 74.665 -11.9329
