* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:13:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PRX R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 81.994 41.3149
20.140070 82.014 40.8589
20.286013 82.033 40.4058
20.433014 82.052 39.9556
20.581080 82.071 39.5083
20.730219 82.089 39.0640
20.880438 82.107 38.6223
21.031747 82.124 38.1832
21.184151 82.142 37.7464
21.337660 82.160 37.3115
21.492282 82.177 36.8783
21.648024 82.195 36.4463
21.804894 82.213 36.0151
21.962902 82.231 35.5843
22.122054 82.249 35.1534
22.282359 82.267 34.7221
22.443827 82.285 34.2898
22.606464 82.303 33.8563
22.770280 82.321 33.4210
22.935282 82.339 32.9839
23.101481 82.357 32.5444
23.268884 82.374 32.1026
23.437500 82.391 31.6581
23.607337 82.407 31.2111
23.778406 82.423 30.7614
23.950714 82.439 30.3091
24.124271 82.454 29.8544
24.299085 82.468 29.3974
24.475166 82.482 28.9385
24.652524 82.494 28.4779
24.831166 82.506 28.0161
25.011103 82.517 27.5534
25.192344 82.527 27.0903
25.374898 82.536 26.6272
25.558775 82.544 26.1646
25.743984 82.551 25.7028
25.930536 82.557 25.2425
26.118439 82.562 24.7839
26.307704 82.567 24.3276
26.498340 82.570 23.8739
26.690358 82.573 23.4231
26.883768 82.574 22.9756
27.078578 82.575 22.5317
27.274801 82.575 22.0919
27.472445 82.573 21.6565
27.671522 82.571 21.2258
27.872041 82.568 20.8003
28.074014 82.564 20.3804
28.277450 82.560 19.9664
28.482360 82.555 19.5590
28.688755 82.550 19.1583
28.896645 82.544 18.7646
29.106042 82.538 18.3782
29.316956 82.532 17.9990
29.529399 82.526 17.6271
29.743381 82.520 17.2620
29.958914 82.514 16.9034
30.176009 82.509 16.5506
30.394677 82.504 16.2028
30.614929 82.500 15.8591
30.836777 82.496 15.5184
31.060233 82.493 15.1796
31.285309 82.491 14.8416
31.512015 82.489 14.5032
31.740364 82.488 14.1637
31.970368 82.488 13.8220
32.202038 82.488 13.4775
32.435387 82.488 13.1298
32.670428 82.488 12.7784
32.907171 82.488 12.4234
33.145630 82.487 12.0646
33.385817 82.486 11.7024
33.627744 82.485 11.3369
33.871425 82.484 10.9685
34.116871 82.482 10.5977
34.364096 82.479 10.2250
34.613112 82.475 9.8508
34.863933 82.470 9.4757
35.116572 82.464 9.1001
35.371041 82.458 8.7247
35.627354 82.451 8.3499
35.885524 82.443 7.9762
36.145566 82.434 7.6041
36.407491 82.425 7.2341
36.671315 82.414 6.8665
36.937051 82.404 6.5017
37.204712 82.392 6.1400
37.474312 82.380 5.7815
37.745867 82.368 5.4263
38.019389 82.355 5.0746
38.294893 82.342 4.7261
38.572393 82.329 4.3807
38.851905 82.316 4.0383
39.133442 82.303 3.6982
39.417019 82.289 3.3602
39.702651 82.276 3.0236
39.990353 82.262 2.6880
40.280139 82.248 2.3528
40.572026 82.233 2.0178
40.866027 82.218 1.6827
41.162159 82.203 1.3477
41.460437 82.188 1.0129
41.760877 82.172 0.6790
42.063493 82.156 0.3460
42.368303 82.139 0.0147
42.675321 82.122 -0.3147
42.984564 82.105 -0.6420
43.296048 82.087 -0.9673
43.609789 82.068 -1.2908
43.925803 82.050 -1.6127
44.244108 82.031 -1.9333
44.564719 82.011 -2.2524
44.887653 81.991 -2.5698
45.212928 81.971 -2.8849
45.540559 81.949 -3.1965
45.870565 81.927 -3.5038
46.202962 81.905 -3.8055
46.537767 81.882 -4.1010
46.874999 81.860 -4.3900
47.214675 81.837 -4.6728
47.556812 81.815 -4.9504
47.901428 81.793 -5.2247
48.248542 81.772 -5.4979
48.598170 81.751 -5.7722
48.950333 81.731 -6.0499
49.305047 81.711 -6.3330
49.662332 81.691 -6.6223
50.022206 81.670 -6.9178
50.384687 81.647 -7.2184
50.749795 81.624 -7.5216
51.117549 81.599 -7.8242
51.487968 81.572 -8.1227
51.861071 81.544 -8.4135
52.236878 81.514 -8.6940
52.615408 81.485 -8.9629
52.996681 81.455 -9.2202
53.380716 81.427 -9.4673
53.767535 81.399 -9.7066
54.157157 81.373 -9.9413
54.549602 81.347 -10.1747
54.944891 81.322 -10.4098
55.343044 81.297 -10.6493
55.744083 81.273 -10.8953
56.148027 81.250 -11.1492
56.554899 81.227 -11.4113
56.964719 81.203 -11.6810
57.377509 81.178 -11.9564
57.793290 81.151 -12.2346
58.212084 81.122 -12.5118
58.633913 81.090 -12.7843
59.058798 81.057 -13.0488
59.486763 81.022 -13.3031
59.917828 80.986 -13.5460
60.352018 80.950 -13.7777
60.789353 80.914 -13.9993
61.229858 80.877 -14.2124
61.673555 80.841 -14.4189
62.120467 80.804 -14.6208
62.570617 80.769 -14.8199
63.024030 80.736 -15.0182
63.480728 80.705 -15.2173
63.940735 80.676 -15.4188
64.404076 80.648 -15.6237
64.870775 80.619 -15.8328
65.340855 80.589 -16.0459
65.814342 80.556 -16.2623
66.291260 80.523 -16.4804
66.771634 80.488 -16.6985
67.255488 80.453 -16.9146
67.742849 80.418 -17.1268
68.233742 80.382 -17.3336
68.728192 80.347 -17.5341
69.226225 80.311 -17.7274
69.727866 80.275 -17.9135
70.233143 80.239 -18.0923
70.742082 80.204 -18.2648
71.254708 80.170 -18.4312
71.771049 80.136 -18.5922
72.291131 80.104 -18.7485
72.814983 80.071 -18.9011
73.342630 80.039 -19.0517
73.874101 80.006 -19.2029
74.409423 79.974 -19.3579
74.948625 79.941 -19.5196
75.491733 79.908 -19.6886
76.038777 79.873 -19.8629
76.589786 79.837 -20.0378
77.144787 79.799 -20.2082
77.703810 79.760 -20.3705
78.266884 79.720 -20.5240
78.834038 79.680 -20.6716
79.405302 79.641 -20.8167
79.980705 79.602 -20.9622
80.560278 79.563 -21.1085
81.144051 79.524 -21.2531
81.732055 79.485 -21.3923
82.324319 79.445 -21.5229
82.920875 79.405 -21.6439
83.521754 79.364 -21.7567
84.126987 79.325 -21.8645
84.736605 79.285 -21.9711
85.350642 79.247 -22.0793
85.969128 79.208 -22.1904
86.592096 79.168 -22.3036
87.219578 79.128 -22.4159
87.851607 79.086 -22.5231
88.488216 79.043 -22.6201
89.129438 78.999 -22.7021
89.775306 78.953 -22.7650
90.425855 78.905 -22.8049
91.081118 78.856 -22.8187
91.741129 78.807 -22.8044
92.405924 78.760 -22.7635
93.075535 78.717 -22.7009
93.749999 78.677 -22.6240
94.429350 78.639 -22.5385
95.113624 78.602 -22.4449
95.802856 78.566 -22.3378
96.497083 78.531 -22.2096
97.196341 78.499 -22.0566
97.900666 78.475 -21.8852
98.610094 78.458 -21.7122
99.324664 78.451 -21.5615
100.044411 78.451 -21.4565
100.769374 78.455 -21.4117
101.499591 78.460 -21.4292
102.235098 78.462 -21.5007
102.975936 78.461 -21.6129
103.722142 78.455 -21.7523
104.473756 78.445 -21.9091
105.230815 78.430 -22.0760
105.993361 78.412 -22.2479
106.761433 78.391 -22.4205
107.535070 78.368 -22.5922
108.314314 78.343 -22.7639
109.099204 78.318 -22.9387
109.889782 78.292 -23.1186
110.686088 78.265 -23.3030
111.488165 78.235 -23.4890
112.296055 78.204 -23.6735
113.109798 78.171 -23.8541
113.929438 78.135 -24.0297
114.755018 78.098 -24.1970
115.586580 78.057 -24.3516
116.424168 78.015 -24.4884
117.267826 77.972 -24.6055
118.117597 77.929 -24.7039
118.973525 77.886 -24.7857
119.835657 77.845 -24.8519
120.704035 77.804 -24.9038
121.578706 77.765 -24.9449
122.459716 77.728 -24.9805
123.347109 77.692 -25.0159
124.240933 77.657 -25.0559
125.141234 77.624 -25.1058
126.048059 77.591 -25.1730
126.961456 77.557 -25.2643
127.881471 77.519 -25.3784
128.808153 77.475 -25.4987
129.741550 77.425 -25.5981
130.681710 77.371 -25.6548
131.628684 77.317 -25.6655
132.582520 77.266 -25.6442
133.543267 77.219 -25.6101
134.510977 77.176 -25.5778
135.485699 77.134 -25.5533
136.467484 77.094 -25.5358
137.456384 77.054 -25.5212
138.452449 77.014 -25.5059
139.455733 76.975 -25.4875
140.466286 76.937 -25.4659
141.484163 76.899 -25.4412
142.509416 76.861 -25.4126
143.542098 76.824 -25.3790
144.582263 76.787 -25.3394
145.629965 76.750 -25.2930
146.685260 76.714 -25.2400
147.748202 76.679 -25.1820
148.818846 76.645 -25.1224
149.897249 76.612 -25.0646
150.983466 76.581 -25.0112
152.077555 76.550 -24.9637
153.179572 76.520 -24.9223
154.289574 76.489 -24.8835
155.407620 76.458 -24.8396
156.533767 76.428 -24.7828
157.668076 76.401 -24.7148
158.810603 76.378 -24.6499
159.961411 76.359 -24.6057
161.120557 76.341 -24.5870
162.288103 76.322 -24.5811
163.464109 76.304 -24.5708
164.648638 76.287 -24.5511
165.841750 76.273 -24.5260
167.043507 76.261 -24.4974
168.253973 76.248 -24.4652
169.473211 76.231 -24.4308
170.701284 76.206 -24.3966
171.938256 76.172 -24.3616
173.184191 76.129 -24.3214
174.439155 76.078 -24.2723
175.703213 76.018 -24.2145
176.976431 75.952 -24.1509
178.258875 75.883 -24.0839
179.550613 75.815 -24.0142
180.851710 75.752 -23.9402
182.162236 75.695 -23.8596
183.482259 75.645 -23.7687
184.811847 75.602 -23.6656
186.151070 75.566 -23.5527
187.499997 75.538 -23.4361
188.858700 75.513 -23.3198
190.227248 75.491 -23.2018
191.605713 75.469 -23.0753
192.994167 75.450 -22.9372
194.392682 75.435 -22.7997
195.801331 75.423 -22.6837
197.220189 75.412 -22.5985
198.649327 75.401 -22.5382
200.088822 75.388 -22.4932
201.538748 75.372 -22.4557
202.999181 75.354 -22.4203
204.470197 75.334 -22.3827
205.951872 75.313 -22.3412
207.444284 75.291 -22.2970
208.947511 75.267 -22.2520
210.461631 75.242 -22.2057
211.986723 75.216 -22.1573
213.522866 75.188 -22.1060
215.070141 75.159 -22.0519
216.628627 75.129 -21.9977
218.198408 75.095 -21.9429
219.779563 75.058 -21.8798
221.372177 75.018 -21.7971
222.976331 74.977 -21.6807
224.592109 74.938 -21.5137
226.219596 74.908 -21.3058
227.858877 74.889 -21.1189
229.510036 74.875 -21.0179
231.173160 74.858 -20.9926
232.848336 74.832 -20.9756
234.535651 74.802 -20.9222
236.235193 74.771 -20.8353
237.947051 74.742 -20.7352
239.671313 74.712 -20.6298
241.408071 74.683 -20.5133
243.157413 74.654 -20.3854
244.919432 74.626 -20.2559
246.694219 74.598 -20.1300
248.481867 74.569 -20.0040
250.282469 74.541 -19.8746
252.096119 74.514 -19.7446
253.922911 74.488 -19.6201
255.762941 74.461 -19.5044
257.616305 74.434 -19.3950
259.483099 74.406 -19.2827
261.363421 74.378 -19.1600
263.257368 74.351 -19.0305
265.165039 74.325 -18.9023
267.086534 74.298 -18.7766
269.021953 74.271 -18.6465
270.971397 74.243 -18.5051
272.934968 74.216 -18.3533
274.912767 74.190 -18.1981
276.904898 74.165 -18.0447
278.911465 74.141 -17.8909
280.932573 74.118 -17.7318
282.968326 74.096 -17.5707
285.018831 74.077 -17.4170
287.084195 74.058 -17.2783
289.164526 74.038 -17.1555
291.259931 74.015 -17.0392
293.370520 73.990 -16.9131
295.496404 73.964 -16.7648
297.637693 73.938 -16.6008
299.794498 73.913 -16.4358
301.966933 73.889 -16.2717
304.155110 73.864 -16.1044
306.359143 73.841 -15.9363
308.579148 73.819 -15.7711
310.815239 73.797 -15.6093
313.067535 73.775 -15.4489
315.336151 73.753 -15.2855
317.621207 73.731 -15.1166
319.922821 73.709 -14.9438
322.241114 73.686 -14.7708
324.576206 73.664 -14.5938
326.928219 73.644 -14.4106
329.297275 73.625 -14.2338
331.683499 73.607 -14.0745
334.087014 73.588 -13.9270
336.507947 73.567 -13.7782
338.946422 73.545 -13.6188
341.402567 73.522 -13.4456
343.876511 73.501 -13.2617
346.368382 73.481 -13.0763
348.878310 73.463 -12.8972
