* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:23:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZAX 200 Mesh + Tri Clarion
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.781 57.5275
20.140070 90.809 57.0754
20.286013 90.835 56.6247
20.433014 90.862 56.1750
20.581080 90.888 55.7266
20.730219 90.913 55.2792
20.880438 90.938 54.8327
21.031747 90.963 54.3871
21.184151 90.988 53.9424
21.337660 91.012 53.4984
21.492282 91.036 53.0550
21.648024 91.060 52.6123
21.804894 91.084 52.1702
21.962902 91.107 51.7286
22.122054 91.131 51.2875
22.282359 91.153 50.8470
22.443827 91.176 50.4070
22.606464 91.198 49.9675
22.770280 91.219 49.5287
22.935282 91.241 49.0904
23.101481 91.261 48.6527
23.268884 91.282 48.2158
23.437500 91.301 47.7797
23.607337 91.321 47.3443
23.778406 91.340 46.9099
23.950714 91.358 46.4764
24.124271 91.377 46.0439
24.299085 91.395 45.6124
24.475166 91.412 45.1820
24.652524 91.430 44.7527
24.831166 91.446 44.3245
25.011103 91.463 43.8975
25.192344 91.478 43.4717
25.374898 91.494 43.0471
25.558775 91.509 42.6237
25.743984 91.523 42.2015
25.930536 91.538 41.7806
26.118439 91.552 41.3611
26.307704 91.566 40.9429
26.498340 91.579 40.5261
26.690358 91.593 40.1108
26.883768 91.606 39.6969
27.078578 91.618 39.2844
27.274801 91.630 38.8734
27.472445 91.641 38.4638
27.671522 91.652 38.0555
27.872041 91.663 37.6484
28.074014 91.673 37.2426
28.277450 91.684 36.8377
28.482360 91.693 36.4338
28.688755 91.703 36.0307
28.896645 91.712 35.6285
29.106042 91.721 35.2271
29.316956 91.730 34.8264
29.529399 91.738 34.4268
29.743381 91.746 34.0283
29.958914 91.754 33.6311
30.176009 91.761 33.2355
30.394677 91.767 32.8418
30.614929 91.773 32.4502
30.836777 91.778 32.0610
31.060233 91.784 31.6743
31.285309 91.789 31.2904
31.512015 91.793 30.9090
31.740364 91.798 30.5303
31.970368 91.803 30.1539
32.202038 91.808 29.7796
32.435387 91.813 29.4070
32.670428 91.817 29.0358
32.907171 91.822 28.6655
33.145630 91.827 28.2957
33.385817 91.831 27.9261
33.627744 91.836 27.5564
33.871425 91.841 27.1863
34.116871 91.845 26.8157
34.364096 91.849 26.4444
34.613112 91.853 26.0726
34.863933 91.856 25.7003
35.116572 91.859 25.3278
35.371041 91.861 24.9552
35.627354 91.863 24.5830
35.885524 91.865 24.2115
36.145566 91.866 23.8412
36.407491 91.867 23.4723
36.671315 91.867 23.1053
36.937051 91.866 22.7406
37.204712 91.865 22.3784
37.474312 91.864 22.0188
37.745867 91.863 21.6619
38.019389 91.862 21.3077
38.294893 91.860 20.9561
38.572393 91.859 20.6068
38.851905 91.857 20.2595
39.133442 91.856 19.9138
39.417019 91.854 19.5695
39.702651 91.852 19.2262
39.990353 91.850 18.8836
40.280139 91.848 18.5415
40.572026 91.846 18.1998
40.866027 91.843 17.8583
41.162159 91.840 17.5171
41.460437 91.837 17.1763
41.760877 91.834 16.8358
42.063493 91.831 16.4960
42.368303 91.827 16.1568
42.675321 91.823 15.8185
42.984564 91.819 15.4813
43.296048 91.814 15.1451
43.609789 91.810 14.8102
43.925803 91.805 14.4766
44.244108 91.799 14.1444
44.564719 91.794 13.8135
44.887653 91.788 13.4841
45.212928 91.782 13.1559
45.540559 91.776 12.8291
45.870565 91.770 12.5034
46.202962 91.763 12.1790
46.537767 91.756 11.8556
46.874999 91.749 11.5333
47.214675 91.742 11.2120
47.556812 91.735 10.8918
47.901428 91.727 10.5728
48.248542 91.719 10.2546
48.598170 91.710 9.9376
48.950333 91.702 9.6215
49.305047 91.692 9.3063
49.662332 91.683 8.9919
50.022206 91.674 8.6781
50.384687 91.664 8.3650
50.749795 91.654 8.0524
51.117549 91.644 7.7404
51.487968 91.634 7.4290
51.861071 91.623 7.1185
52.236878 91.613 6.8090
52.615408 91.602 6.5007
52.996681 91.591 6.1938
53.380716 91.580 5.8884
53.767535 91.570 5.5845
54.157157 91.558 5.2820
54.549602 91.547 4.9808
54.944891 91.534 4.6811
55.343044 91.521 4.3827
55.744083 91.508 4.0858
56.148027 91.496 3.7905
56.554899 91.484 3.4968
56.964719 91.472 3.2050
57.377509 91.460 2.9149
57.793290 91.447 2.6262
58.212084 91.435 2.3389
58.633913 91.422 2.0526
59.058798 91.408 1.7668
59.486763 91.394 1.4818
59.917828 91.380 1.1971
60.352018 91.365 0.9131
60.789353 91.349 0.6299
61.229858 91.333 0.3477
61.673555 91.315 0.0664
62.120467 91.297 -0.2137
62.570617 91.278 -0.4928
63.024030 91.261 -0.7706
63.480728 91.245 -1.0471
63.940735 91.229 -1.3219
64.404076 91.214 -1.5945
64.870775 91.198 -1.8649
65.340855 91.181 -2.1327
65.814342 91.162 -2.3984
66.291260 91.143 -2.6627
66.771634 91.124 -2.9264
67.255488 91.105 -3.1904
67.742849 91.087 -3.4551
68.233742 91.069 -3.7204
68.728192 91.051 -3.9858
69.226225 91.032 -4.2506
69.727866 91.014 -4.5142
70.233143 90.996 -4.7764
70.742082 90.978 -5.0371
71.254708 90.960 -5.2968
71.771049 90.943 -5.5557
72.291131 90.926 -5.8144
72.814983 90.908 -6.0730
73.342630 90.889 -6.3312
73.874101 90.868 -6.5887
74.409423 90.847 -6.8446
74.948625 90.825 -7.0983
75.491733 90.802 -7.3489
76.038777 90.779 -7.5963
76.589786 90.756 -7.8402
77.144787 90.733 -8.0809
77.703810 90.709 -8.3191
78.266884 90.686 -8.5552
78.834038 90.662 -8.7903
79.405302 90.639 -9.0256
79.980705 90.617 -9.2627
80.560278 90.595 -9.5027
81.144051 90.574 -9.7465
81.732055 90.552 -9.9935
82.324319 90.528 -10.2420
82.920875 90.503 -10.4890
83.521754 90.477 -10.7311
84.126987 90.449 -10.9659
84.736605 90.421 -11.1930
85.350642 90.392 -11.4136
85.969128 90.364 -11.6307
86.592096 90.336 -11.8474
87.219578 90.309 -12.0659
87.851607 90.281 -12.2870
88.488216 90.253 -12.5095
89.129438 90.225 -12.7316
89.775306 90.194 -12.9512
90.425855 90.162 -13.1673
91.081118 90.128 -13.3800
91.741129 90.093 -13.5898
92.405924 90.058 -13.7970
93.075535 90.022 -14.0012
93.749999 89.986 -14.2021
94.429350 89.948 -14.3986
95.113624 89.909 -14.5897
95.802856 89.866 -14.7732
96.497083 89.821 -14.9462
97.196341 89.774 -15.1050
97.900666 89.726 -15.2455
98.610094 89.678 -15.3654
99.324664 89.628 -15.4632
100.044411 89.579 -15.5389
100.769374 89.530 -15.5913
101.499591 89.481 -15.6167
102.235098 89.432 -15.6077
102.975936 89.383 -15.5554
103.722142 89.338 -15.4531
104.473756 89.297 -15.3001
105.230815 89.265 -15.1047
105.993361 89.243 -14.8842
106.761433 89.234 -14.6628
107.535070 89.235 -14.4677
108.314314 89.247 -14.3230
109.099204 89.265 -14.2452
109.889782 89.287 -14.2399
110.686088 89.308 -14.3026
111.488165 89.326 -14.4214
112.296055 89.340 -14.5813
113.109798 89.348 -14.7664
113.929438 89.351 -14.9628
114.755018 89.350 -15.1594
115.586580 89.345 -15.3507
116.424168 89.339 -15.5364
117.267826 89.332 -15.7203
118.117597 89.325 -15.9086
118.973525 89.319 -16.1068
119.835657 89.313 -16.3190
120.704035 89.305 -16.5474
121.578706 89.295 -16.7913
122.459716 89.282 -17.0473
123.347109 89.266 -17.3096
124.240933 89.246 -17.5726
125.141234 89.223 -17.8325
126.048059 89.199 -18.0875
126.961456 89.173 -18.3368
127.881471 89.145 -18.5797
128.808153 89.116 -18.8159
129.741550 89.085 -19.0443
130.681710 89.053 -19.2629
131.628684 89.019 -19.4691
132.582520 88.985 -19.6617
133.543267 88.951 -19.8419
134.510977 88.916 -20.0124
135.485699 88.882 -20.1755
136.467484 88.848 -20.3321
137.456384 88.814 -20.4826
138.452449 88.780 -20.6272
139.455733 88.746 -20.7660
140.466286 88.713 -20.8989
141.484163 88.679 -21.0260
142.509416 88.645 -21.1472
143.542098 88.612 -21.2637
144.582263 88.578 -21.3767
145.629965 88.545 -21.4872
146.685260 88.511 -21.5953
147.748202 88.477 -21.7006
148.818846 88.442 -21.8027
149.897249 88.407 -21.9010
150.983466 88.372 -21.9949
152.077555 88.336 -22.0839
153.179572 88.301 -22.1677
154.289574 88.265 -22.2461
155.407620 88.230 -22.3183
156.533767 88.194 -22.3840
157.668076 88.159 -22.4435
158.810603 88.125 -22.4971
159.961411 88.092 -22.5432
161.120557 88.061 -22.5787
162.288103 88.033 -22.6012
163.464109 88.009 -22.6119
164.648638 87.989 -22.6162
165.841750 87.975 -22.6195
167.043507 87.964 -22.6238
168.253973 87.953 -22.6276
169.473211 87.938 -22.6281
170.701284 87.918 -22.6245
171.938256 87.891 -22.6188
173.184191 87.858 -22.6155
174.439155 87.819 -22.6188
175.703213 87.772 -22.6313
176.976431 87.718 -22.6542
178.258875 87.661 -22.6874
179.550613 87.605 -22.7303
180.851710 87.554 -22.7820
182.162236 87.508 -22.8425
183.482259 87.467 -22.9126
184.811847 87.432 -22.9916
186.151070 87.401 -23.0758
187.499997 87.374 -23.1608
188.858700 87.348 -23.2426
190.227248 87.323 -23.3203
191.605713 87.298 -23.3945
192.994167 87.273 -23.4666
194.392682 87.247 -23.5376
195.801331 87.221 -23.6074
197.220189 87.193 -23.6733
198.649327 87.164 -23.7310
200.088822 87.134 -23.7773
201.538748 87.103 -23.8126
202.999181 87.071 -23.8408
204.470197 87.040 -23.8663
205.951872 87.008 -23.8920
207.444284 86.975 -23.9176
208.947511 86.941 -23.9410
210.461631 86.905 -23.9602
211.986723 86.868 -23.9732
213.522866 86.829 -23.9781
215.070141 86.789 -23.9725
216.628627 86.748 -23.9550
218.198408 86.705 -23.9257
219.779563 86.663 -23.8850
221.372177 86.619 -23.8323
222.976331 86.576 -23.7660
224.592109 86.533 -23.6846
226.219596 86.490 -23.5862
227.858877 86.448 -23.4684
229.510036 86.408 -23.3287
231.173160 86.371 -23.1664
232.848336 86.337 -22.9840
234.535651 86.308 -22.7881
236.235193 86.286 -22.5892
237.947051 86.270 -22.4011
239.671313 86.260 -22.2394
241.408071 86.254 -22.1195
243.157413 86.251 -22.0526
244.919432 86.247 -22.0405
246.694219 86.240 -22.0746
248.481867 86.228 -22.1414
250.282469 86.210 -22.2252
252.096119 86.187 -22.3110
253.922911 86.159 -22.3881
255.762941 86.128 -22.4496
257.616305 86.093 -22.4938
259.483099 86.057 -22.5209
261.363421 86.020 -22.5323
263.257368 85.982 -22.5304
265.165039 85.944 -22.5193
267.086534 85.906 -22.5010
269.021953 85.867 -22.4752
270.971397 85.829 -22.4432
272.934968 85.792 -22.4060
274.912767 85.754 -22.3627
276.904898 85.716 -22.3116
278.911465 85.678 -22.2519
280.932573 85.641 -22.1841
282.968326 85.604 -22.1104
285.018831 85.568 -22.0321
287.084195 85.531 -21.9493
289.164526 85.496 -21.8619
291.259931 85.460 -21.7717
293.370520 85.424 -21.6793
295.496404 85.388 -21.5836
297.637693 85.351 -21.4838
299.794498 85.313 -21.3790
301.966933 85.276 -21.2687
304.155110 85.238 -21.1560
306.359143 85.201 -21.0438
308.579148 85.165 -20.9308
310.815239 85.129 -20.8155
313.067535 85.094 -20.6974
315.336151 85.060 -20.5759
317.621207 85.026 -20.4501
319.922821 84.992 -20.3208
322.241114 84.958 -20.1894
324.576206 84.924 -20.0565
326.928219 84.891 -19.9229
329.297275 84.857 -19.7881
331.683499 84.824 -19.6505
334.087014 84.790 -19.5101
336.507947 84.757 -19.3661
338.946422 84.724 -19.2175
341.402567 84.691 -19.0641
343.876511 84.658 -18.9051
346.368382 84.626 -18.7414
348.878310 84.595 -18.5759
351.406426 84.563 -18.4114
353.952862 84.532 -18.2477
356.517750 84.501 -18.0825
