* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZAX L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.911 62.5718
20.140070 90.941 62.0984
20.286013 90.972 61.6262
20.433014 91.001 61.1552
20.581080 91.031 60.6854
20.730219 91.059 60.2169
20.880438 91.087 59.7498
21.031747 91.115 59.2840
21.184151 91.142 58.8195
21.337660 91.169 58.3566
21.492282 91.196 57.8949
21.648024 91.222 57.4347
21.804894 91.248 56.9757
21.962902 91.274 56.5180
22.122054 91.300 56.0614
22.282359 91.325 55.6060
22.443827 91.350 55.1515
22.606464 91.374 54.6978
22.770280 91.398 54.2450
22.935282 91.422 53.7928
23.101481 91.445 53.3413
23.268884 91.468 52.8903
23.437500 91.491 52.4398
23.607337 91.513 51.9899
23.778406 91.535 51.5404
23.950714 91.556 51.0916
24.124271 91.577 50.6434
24.299085 91.597 50.1960
24.475166 91.617 49.7495
24.652524 91.637 49.3039
24.831166 91.656 48.8596
25.011103 91.674 48.4165
25.192344 91.692 47.9749
25.374898 91.709 47.5349
25.558775 91.726 47.0965
25.743984 91.743 46.6599
25.930536 91.759 46.2252
26.118439 91.775 45.7923
26.307704 91.791 45.3613
26.498340 91.806 44.9323
26.690358 91.821 44.5050
26.883768 91.836 44.0796
27.078578 91.850 43.6559
27.274801 91.864 43.2339
27.472445 91.877 42.8136
27.671522 91.890 42.3947
27.872041 91.903 41.9774
28.074014 91.915 41.5614
28.277450 91.927 41.1468
28.482360 91.939 40.7336
28.688755 91.951 40.3216
28.896645 91.962 39.9110
29.106042 91.973 39.5017
29.316956 91.984 39.0937
29.529399 91.994 38.6871
29.743381 92.004 38.2820
29.958914 92.014 37.8782
30.176009 92.024 37.4759
30.394677 92.033 37.0752
30.614929 92.042 36.6759
30.836777 92.050 36.2781
31.060233 92.059 35.8818
31.285309 92.067 35.4869
31.512015 92.075 35.0934
31.740364 92.083 34.7012
31.970368 92.090 34.3102
32.202038 92.098 33.9202
32.435387 92.105 33.5312
32.670428 92.112 33.1431
32.907171 92.119 32.7558
33.145630 92.126 32.3693
33.385817 92.132 31.9834
33.627744 92.138 31.5983
33.871425 92.144 31.2139
34.116871 92.150 30.8304
34.364096 92.155 30.4476
34.613112 92.160 30.0658
34.863933 92.164 29.6851
35.116572 92.168 29.3054
35.371041 92.171 28.9269
35.627354 92.175 28.5496
35.885524 92.178 28.1736
36.145566 92.181 27.7990
36.407491 92.184 27.4257
36.671315 92.186 27.0539
36.937051 92.188 26.6835
37.204712 92.189 26.3147
37.474312 92.191 25.9473
37.745867 92.192 25.5814
38.019389 92.193 25.2170
38.294893 92.194 24.8542
38.572393 92.195 24.4927
38.851905 92.195 24.1326
39.133442 92.196 23.7736
39.417019 92.196 23.4158
39.702651 92.196 23.0591
39.990353 92.195 22.7032
40.280139 92.194 22.3481
40.572026 92.193 21.9939
40.866027 92.192 21.6404
41.162159 92.190 21.2877
41.460437 92.188 20.9360
41.760877 92.186 20.5853
42.063493 92.184 20.2358
42.368303 92.181 19.8879
42.675321 92.178 19.5417
42.984564 92.175 19.1974
43.296048 92.172 18.8549
43.609789 92.168 18.5143
43.925803 92.165 18.1755
44.244108 92.161 17.8381
44.564719 92.158 17.5019
44.887653 92.154 17.1665
45.212928 92.150 16.8318
45.540559 92.146 16.4974
45.870565 92.142 16.1633
46.202962 92.137 15.8296
46.537767 92.133 15.4964
46.874999 92.128 15.1639
47.214675 92.122 14.8325
47.556812 92.116 14.5023
47.901428 92.110 14.1739
48.248542 92.103 13.8474
48.598170 92.096 13.5231
48.950333 92.089 13.2010
49.305047 92.081 12.8813
49.662332 92.074 12.5637
50.022206 92.066 12.2479
50.384687 92.058 11.9335
50.749795 92.050 11.6199
51.117549 92.043 11.3069
51.487968 92.035 10.9939
51.861071 92.027 10.6810
52.236878 92.019 10.3683
52.615408 92.011 10.0559
52.996681 92.003 9.7443
53.380716 91.995 9.4339
53.767535 91.987 9.1250
54.157157 91.978 8.8180
54.549602 91.969 8.5129
54.944891 91.959 8.2097
55.343044 91.949 7.9084
55.744083 91.939 7.6086
56.148027 91.929 7.3100
56.554899 91.920 7.0121
56.964719 91.911 6.7145
57.377509 91.902 6.4172
57.793290 91.893 6.1200
58.212084 91.883 5.8232
58.633913 91.873 5.5272
59.058798 91.861 5.2323
59.486763 91.850 4.9391
59.917828 91.838 4.6476
60.352018 91.825 4.3578
60.789353 91.812 4.0696
61.229858 91.798 3.7827
61.673555 91.783 3.4967
62.120467 91.767 3.2114
62.570617 91.751 2.9268
63.024030 91.737 2.6428
63.480728 91.724 2.3593
63.940735 91.712 2.0765
64.404076 91.700 1.7946
64.870775 91.687 1.5137
65.340855 91.673 1.2337
65.814342 91.657 0.9548
66.291260 91.640 0.6769
66.771634 91.623 0.3998
67.255488 91.607 0.1234
67.742849 91.591 -0.1527
68.233742 91.575 -0.4282
68.728192 91.559 -0.7031
69.226225 91.543 -0.9768
69.727866 91.526 -1.2488
70.233143 91.510 -1.5186
70.742082 91.493 -1.7856
71.254708 91.478 -2.0500
71.771049 91.462 -2.3120
72.291131 91.447 -2.5720
72.814983 91.431 -2.8303
73.342630 91.414 -3.0873
73.874101 91.397 -3.3430
74.409423 91.379 -3.5977
74.948625 91.360 -3.8513
75.491733 91.342 -4.1044
76.038777 91.323 -4.3572
76.589786 91.304 -4.6100
77.144787 91.285 -4.8633
77.703810 91.265 -5.1171
78.266884 91.245 -5.3715
78.834038 91.224 -5.6257
79.405302 91.203 -5.8790
79.980705 91.182 -6.1302
80.560278 91.162 -6.3787
81.144051 91.142 -6.6245
81.732055 91.122 -6.8689
82.324319 91.102 -7.1133
82.920875 91.081 -7.3582
83.521754 91.060 -7.6028
84.126987 91.037 -7.8453
84.736605 91.014 -8.0833
85.350642 90.990 -8.3154
85.969128 90.966 -8.5424
86.592096 90.943 -8.7664
87.219578 90.920 -8.9900
87.851607 90.899 -9.2155
88.488216 90.877 -9.4431
89.129438 90.855 -9.6718
89.775306 90.831 -9.8996
90.425855 90.806 -10.1246
91.081118 90.780 -10.3459
91.741129 90.753 -10.5640
92.405924 90.726 -10.7800
93.075535 90.700 -10.9952
93.749999 90.674 -11.2106
94.429350 90.647 -11.4258
95.113624 90.618 -11.6403
95.802856 90.588 -11.8528
96.497083 90.556 -12.0620
97.196341 90.523 -12.2667
97.900666 90.489 -12.4653
98.610094 90.454 -12.6566
99.324664 90.419 -12.8392
100.044411 90.384 -13.0126
100.769374 90.349 -13.1769
101.499591 90.313 -13.3322
102.235098 90.277 -13.4788
102.975936 90.241 -13.6158
103.722142 90.204 -13.7418
104.473756 90.166 -13.8541
105.230815 90.128 -13.9509
105.993361 90.090 -14.0312
106.761433 90.052 -14.0963
107.535070 90.016 -14.1486
108.314314 89.981 -14.1909
109.099204 89.947 -14.2249
109.889782 89.914 -14.2495
110.686088 89.882 -14.2614
111.488165 89.851 -14.2549
112.296055 89.822 -14.2226
113.109798 89.796 -14.1583
113.929438 89.774 -14.0610
114.755018 89.761 -13.9390
115.586580 89.758 -13.8107
116.424168 89.765 -13.7020
117.267826 89.782 -13.6399
118.117597 89.806 -13.6461
118.973525 89.833 -13.7324
119.835657 89.860 -13.8993
120.704035 89.883 -14.1365
121.578706 89.899 -14.4268
122.459716 89.905 -14.7495
123.347109 89.904 -15.0857
124.240933 89.894 -15.4208
125.141234 89.879 -15.7451
126.048059 89.859 -16.0532
126.961456 89.836 -16.3427
127.881471 89.811 -16.6139
128.808153 89.784 -16.8699
129.741550 89.757 -17.1151
130.681710 89.728 -17.3523
131.628684 89.698 -17.5812
132.582520 89.667 -17.7991
133.543267 89.636 -18.0043
134.510977 89.604 -18.1979
135.485699 89.573 -18.3837
136.467484 89.541 -18.5649
137.456384 89.510 -18.7422
138.452449 89.479 -18.9138
139.455733 89.448 -19.0781
140.466286 89.417 -19.2353
141.484163 89.386 -19.3869
142.509416 89.355 -19.5342
143.542098 89.325 -19.6774
144.582263 89.294 -19.8164
145.629965 89.264 -19.9513
146.685260 89.233 -20.0823
147.748202 89.202 -20.2102
148.818846 89.171 -20.3361
149.897249 89.140 -20.4613
150.983466 89.108 -20.5861
152.077555 89.076 -20.7086
153.179572 89.043 -20.8252
154.289574 89.011 -20.9348
155.407620 88.979 -21.0406
156.533767 88.947 -21.1464
157.668076 88.915 -21.2502
158.810603 88.884 -21.3472
159.961411 88.855 -21.4364
161.120557 88.829 -21.5226
162.288103 88.805 -21.6099
163.464109 88.784 -21.6980
164.648638 88.766 -21.7823
165.841750 88.751 -21.8593
167.043507 88.739 -21.9303
168.253973 88.728 -22.0016
169.473211 88.713 -22.0786
170.701284 88.690 -22.1613
171.938256 88.659 -22.2455
173.184191 88.618 -22.3263
174.439155 88.568 -22.3988
175.703213 88.509 -22.4608
176.976431 88.443 -22.5156
178.258875 88.374 -22.5693
179.550613 88.307 -22.6251
180.851710 88.244 -22.6808
182.162236 88.186 -22.7328
183.482259 88.134 -22.7802
184.811847 88.089 -22.8231
186.151070 88.049 -22.8613
187.499997 88.015 -22.8929
188.858700 87.985 -22.9172
190.227248 87.958 -22.9362
191.605713 87.932 -22.9532
192.994167 87.907 -22.9692
194.392682 87.884 -22.9839
195.801331 87.862 -22.9984
197.220189 87.841 -23.0146
198.649327 87.820 -23.0343
200.088822 87.799 -23.0577
201.538748 87.777 -23.0841
202.999181 87.754 -23.1127
204.470197 87.729 -23.1434
205.951872 87.704 -23.1768
207.444284 87.677 -23.2122
208.947511 87.648 -23.2477
210.461631 87.618 -23.2810
211.986723 87.587 -23.3101
213.522866 87.554 -23.3338
215.070141 87.522 -23.3534
216.628627 87.488 -23.3707
218.198408 87.454 -23.3856
219.779563 87.420 -23.3969
221.372177 87.384 -23.4043
222.976331 87.349 -23.4080
224.592109 87.313 -23.4077
226.219596 87.277 -23.4024
227.858877 87.241 -23.3914
229.510036 87.205 -23.3754
231.173160 87.169 -23.3574
232.848336 87.134 -23.3412
234.535651 87.099 -23.3271
236.235193 87.063 -23.3102
237.947051 87.027 -23.2850
239.671313 86.991 -23.2513
241.408071 86.956 -23.2134
243.157413 86.922 -23.1751
244.919432 86.888 -23.1390
246.694219 86.855 -23.1058
248.481867 86.821 -23.0743
250.282469 86.786 -23.0430
252.096119 86.751 -23.0107
253.922911 86.715 -22.9763
255.762941 86.679 -22.9373
257.616305 86.643 -22.8921
259.483099 86.607 -22.8411
261.363421 86.572 -22.7865
263.257368 86.537 -22.7310
265.165039 86.502 -22.6747
267.086534 86.467 -22.6166
269.021953 86.432 -22.5562
270.971397 86.396 -22.4933
272.934968 86.361 -22.4283
274.912767 86.326 -22.3608
276.904898 86.291 -22.2899
278.911465 86.256 -22.2161
280.932573 86.221 -22.1403
282.968326 86.185 -22.0620
285.018831 86.150 -21.9800
287.084195 86.114 -21.8943
289.164526 86.079 -21.8053
291.259931 86.044 -21.7125
293.370520 86.009 -21.6163
295.496404 85.974 -21.5173
297.637693 85.940 -21.4163
299.794498 85.905 -21.3139
301.966933 85.869 -21.2096
304.155110 85.834 -21.1021
306.359143 85.798 -20.9908
308.579148 85.764 -20.8777
310.815239 85.730 -20.7642
313.067535 85.696 -20.6498
315.336151 85.662 -20.5321
317.621207 85.629 -20.4097
319.922821 85.595 -20.2827
322.241114 85.562 -20.1522
324.576206 85.529 -20.0201
326.928219 85.495 -19.8875
329.297275 85.462 -19.7542
331.683499 85.428 -19.6198
334.087014 85.395 -19.4846
336.507947 85.362 -19.3481
338.946422 85.329 -19.2087
341.402567 85.296 -19.0651
343.876511 85.263 -18.9164
346.368382 85.231 -18.7637
348.878310 85.200 -18.6095
351.406426 85.168 -18.4553
353.952862 85.136 -18.3002
356.517750 85.105 -18.1413
359.101225 85.073 -17.9780
