* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 19, 2025 9:22:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZAX R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.840 57.9286
20.140070 90.867 57.4716
20.286013 90.894 57.0157
20.433014 90.921 56.5609
20.581080 90.947 56.1074
20.730219 90.972 55.6550
20.880438 90.997 55.2037
21.031747 91.022 54.7536
21.184151 91.046 54.3047
21.337660 91.070 53.8569
21.492282 91.094 53.4104
21.648024 91.117 52.9650
21.804894 91.140 52.5209
21.962902 91.163 52.0779
22.122054 91.186 51.6362
22.282359 91.208 51.1957
22.443827 91.230 50.7564
22.606464 91.251 50.3183
22.770280 91.272 49.8813
22.935282 91.293 49.4454
23.101481 91.313 49.0106
23.268884 91.333 48.5768
23.437500 91.352 48.1440
23.607337 91.371 47.7121
23.778406 91.390 47.2811
23.950714 91.409 46.8509
24.124271 91.427 46.4214
24.299085 91.445 45.9927
24.475166 91.463 45.5647
24.652524 91.480 45.1375
24.831166 91.497 44.7110
25.011103 91.513 44.2853
25.192344 91.529 43.8604
25.374898 91.544 43.4366
25.558775 91.559 43.0137
25.743984 91.574 42.5920
25.930536 91.588 42.1716
26.118439 91.602 41.7525
26.307704 91.616 41.3348
26.498340 91.629 40.9188
26.690358 91.642 40.5043
26.883768 91.655 40.0915
27.078578 91.667 39.6804
27.274801 91.678 39.2710
27.472445 91.689 38.8633
27.671522 91.700 38.4573
27.872041 91.710 38.0529
28.074014 91.720 37.6501
28.277450 91.730 37.2488
28.482360 91.739 36.8488
28.688755 91.748 36.4503
28.896645 91.757 36.0530
29.106042 91.766 35.6569
29.316956 91.775 35.2621
29.529399 91.783 34.8685
29.743381 91.791 34.4760
29.958914 91.799 34.0847
30.176009 91.806 33.6946
30.394677 91.813 33.3058
30.614929 91.820 32.9181
30.836777 91.826 32.5316
31.060233 91.832 32.1463
31.285309 91.838 31.7621
31.512015 91.844 31.3790
31.740364 91.849 30.9970
31.970368 91.855 30.6159
32.202038 91.860 30.2357
32.435387 91.865 29.8564
32.670428 91.870 29.4777
32.907171 91.874 29.0996
33.145630 91.878 28.7222
33.385817 91.882 28.3453
33.627744 91.886 27.9689
33.871425 91.889 27.5931
34.116871 91.892 27.2180
34.364096 91.895 26.8436
34.613112 91.897 26.4703
34.863933 91.898 26.0984
35.116572 91.899 25.7281
35.371041 91.899 25.3598
35.627354 91.899 24.9940
35.885524 91.899 24.6310
36.145566 91.898 24.2711
36.407491 91.898 23.9147
36.671315 91.897 23.5617
36.937051 91.896 23.2121
37.204712 91.895 22.8656
37.474312 91.894 22.5216
37.745867 91.893 22.1797
38.019389 91.893 21.8391
38.294893 91.893 21.4990
38.572393 91.893 21.1588
38.851905 91.893 20.8180
39.133442 91.893 20.4762
39.417019 91.893 20.1334
39.702651 91.893 19.7896
39.990353 91.892 19.4451
40.280139 91.891 19.1001
40.572026 91.890 18.7551
40.866027 91.887 18.4105
41.162159 91.885 18.0666
41.460437 91.882 17.7235
41.760877 91.879 17.3815
42.063493 91.876 17.0406
42.368303 91.873 16.7009
42.675321 91.869 16.3625
42.984564 91.865 16.0256
43.296048 91.860 15.6899
43.609789 91.856 15.3558
43.925803 91.851 15.0232
44.244108 91.845 14.6921
44.564719 91.840 14.3628
44.887653 91.834 14.0350
45.212928 91.828 13.7089
45.540559 91.821 13.3846
45.870565 91.815 13.0623
46.202962 91.808 12.7419
46.537767 91.801 12.4237
46.874999 91.793 12.1077
47.214675 91.786 11.7939
47.556812 91.778 11.4822
47.901428 91.771 11.1722
48.248542 91.763 10.8636
48.598170 91.755 10.5557
48.950333 91.746 10.2479
49.305047 91.738 9.9399
49.662332 91.729 9.6315
50.022206 91.720 9.3227
50.384687 91.711 9.0140
50.749795 91.702 8.7061
51.117549 91.692 8.3995
51.487968 91.681 8.0951
51.861071 91.671 7.7932
52.236878 91.660 7.4939
52.615408 91.650 7.1969
52.996681 91.640 6.9015
53.380716 91.630 6.6072
53.767535 91.621 6.3132
54.157157 91.612 6.0190
54.549602 91.602 5.7244
54.944891 91.591 5.4291
55.343044 91.580 5.1329
55.744083 91.569 4.8362
56.148027 91.558 4.5389
56.554899 91.548 4.2415
56.964719 91.537 3.9444
57.377509 91.526 3.6481
57.793290 91.515 3.3531
58.212084 91.502 3.0602
58.633913 91.489 2.7695
59.058798 91.476 2.4813
59.486763 91.462 2.1956
59.917828 91.447 1.9121
60.352018 91.433 1.6308
60.789353 91.418 1.3513
61.229858 91.402 1.0735
61.673555 91.385 0.7971
62.120467 91.367 0.5221
62.570617 91.350 0.2482
63.024030 91.333 -0.0248
63.480728 91.319 -0.2971
63.940735 91.306 -0.5690
64.404076 91.292 -0.8406
64.870775 91.278 -1.1117
65.340855 91.262 -1.3824
65.814342 91.245 -1.6522
66.291260 91.227 -1.9208
66.771634 91.208 -2.1876
67.255488 91.190 -2.4526
67.742849 91.172 -2.7156
68.233742 91.154 -2.9769
68.728192 91.137 -3.2365
69.226225 91.120 -3.4946
69.727866 91.102 -3.7515
70.233143 91.085 -4.0071
70.742082 91.069 -4.2615
71.254708 91.052 -4.5148
71.771049 91.036 -4.7671
72.291131 91.020 -5.0187
72.814983 91.004 -5.2698
73.342630 90.986 -5.5203
73.874101 90.968 -5.7701
74.409423 90.948 -6.0195
74.948625 90.928 -6.2687
75.491733 90.908 -6.5181
76.038777 90.887 -6.7681
76.589786 90.866 -7.0182
77.144787 90.844 -7.2675
77.703810 90.820 -7.5139
78.266884 90.795 -7.7560
78.834038 90.770 -7.9927
79.405302 90.745 -8.2244
79.980705 90.721 -8.4517
80.560278 90.697 -8.6761
81.144051 90.675 -8.8990
81.732055 90.652 -9.1213
82.324319 90.630 -9.3438
82.920875 90.606 -9.5668
83.521754 90.583 -9.7904
84.126987 90.558 -10.0139
84.736605 90.533 -10.2362
85.350642 90.507 -10.4565
85.969128 90.480 -10.6742
86.592096 90.453 -10.8893
87.219578 90.427 -11.1018
87.851607 90.401 -11.3120
88.488216 90.375 -11.5198
89.129438 90.348 -11.7250
89.775306 90.321 -11.9276
90.425855 90.292 -12.1277
91.081118 90.262 -12.3253
91.741129 90.231 -12.5206
92.405924 90.200 -12.7131
93.075535 90.168 -12.9014
93.749999 90.136 -13.0836
94.429350 90.102 -13.2570
95.113624 90.067 -13.4180
95.802856 90.029 -13.5623
96.497083 89.991 -13.6858
97.196341 89.953 -13.7852
97.900666 89.916 -13.8596
98.610094 89.883 -13.9120
99.324664 89.854 -13.9496
100.044411 89.829 -13.9825
100.769374 89.809 -14.0208
101.499591 89.792 -14.0699
102.235098 89.777 -14.1312
102.975936 89.764 -14.2030
103.722142 89.751 -14.2849
104.473756 89.740 -14.3790
105.230815 89.729 -14.4892
105.993361 89.718 -14.6178
106.761433 89.706 -14.7648
107.535070 89.692 -14.9271
108.314314 89.677 -15.0994
109.099204 89.659 -15.2755
109.889782 89.639 -15.4496
110.686088 89.618 -15.6175
111.488165 89.597 -15.7767
112.296055 89.575 -15.9270
113.109798 89.553 -16.0702
113.929438 89.532 -16.2091
114.755018 89.512 -16.3472
115.586580 89.492 -16.4871
116.424168 89.472 -16.6306
117.267826 89.452 -16.7783
118.117597 89.432 -16.9310
118.973525 89.412 -17.0886
119.835657 89.393 -17.2512
120.704035 89.372 -17.4175
121.578706 89.351 -17.5866
122.459716 89.329 -17.7582
123.347109 89.305 -17.9318
124.240933 89.280 -18.1062
125.141234 89.253 -18.2784
126.048059 89.226 -18.4445
126.961456 89.198 -18.6019
127.881471 89.170 -18.7515
128.808153 89.143 -18.8971
129.741550 89.116 -19.0427
130.681710 89.089 -19.1904
131.628684 89.061 -19.3398
132.582520 89.033 -19.4890
133.543267 89.004 -19.6360
134.510977 88.975 -19.7795
135.485699 88.945 -19.9200
136.467484 88.915 -20.0581
137.456384 88.886 -20.1946
138.452449 88.856 -20.3291
139.455733 88.826 -20.4596
140.466286 88.795 -20.5847
141.484163 88.765 -20.7045
142.509416 88.736 -20.8211
143.542098 88.707 -20.9365
144.582263 88.677 -21.0515
145.629965 88.648 -21.1653
146.685260 88.617 -21.2773
147.748202 88.587 -21.3875
148.818846 88.556 -21.4962
149.897249 88.526 -21.6041
150.983466 88.494 -21.7108
152.077555 88.463 -21.8165
153.179572 88.430 -21.9208
154.289574 88.397 -22.0215
155.407620 88.363 -22.1149
156.533767 88.328 -22.1977
157.668076 88.295 -22.2703
158.810603 88.263 -22.3362
159.961411 88.233 -22.3997
161.120557 88.206 -22.4628
162.288103 88.181 -22.5255
163.464109 88.159 -22.5864
164.648638 88.140 -22.6448
165.841750 88.125 -22.7002
167.043507 88.112 -22.7526
168.253973 88.099 -22.8024
169.473211 88.082 -22.8503
170.701284 88.058 -22.8964
171.938256 88.026 -22.9397
173.184191 87.986 -22.9808
174.439155 87.938 -23.0220
175.703213 87.881 -23.0649
176.976431 87.816 -23.1075
178.258875 87.747 -23.1458
179.550613 87.678 -23.1775
180.851710 87.614 -23.2032
182.162236 87.557 -23.2244
183.482259 87.506 -23.2426
184.811847 87.462 -23.2590
186.151070 87.425 -23.2750
187.499997 87.394 -23.2914
188.858700 87.367 -23.3104
190.227248 87.342 -23.3369
191.605713 87.318 -23.3734
192.994167 87.292 -23.4152
194.392682 87.264 -23.4527
195.801331 87.236 -23.4794
197.220189 87.208 -23.4946
198.649327 87.181 -23.5032
200.088822 87.153 -23.5118
201.538748 87.125 -23.5239
202.999181 87.095 -23.5361
204.470197 87.063 -23.5422
205.951872 87.029 -23.5380
207.444284 86.995 -23.5238
208.947511 86.961 -23.5032
210.461631 86.926 -23.4793
211.986723 86.891 -23.4524
213.522866 86.854 -23.4197
215.070141 86.817 -23.3769
216.628627 86.779 -23.3221
218.198408 86.742 -23.2563
219.779563 86.705 -23.1797
221.372177 86.667 -23.0885
222.976331 86.631 -22.9736
224.592109 86.598 -22.8267
226.219596 86.571 -22.6617
227.858877 86.551 -22.5173
229.510036 86.533 -22.4180
231.173160 86.515 -22.3507
232.848336 86.495 -22.2948
234.535651 86.475 -22.2505
236.235193 86.454 -22.2260
237.947051 86.432 -22.2203
239.671313 86.409 -22.2274
241.408071 86.383 -22.2428
243.157413 86.356 -22.2623
244.919432 86.327 -22.2822
246.694219 86.296 -22.2996
248.481867 86.263 -22.3110
250.282469 86.229 -22.3143
252.096119 86.195 -22.3104
253.922911 86.159 -22.2997
255.762941 86.123 -22.2798
257.616305 86.087 -22.2492
259.483099 86.050 -22.2104
261.363421 86.014 -22.1681
263.257368 85.977 -22.1234
265.165039 85.940 -22.0728
267.086534 85.903 -22.0126
269.021953 85.865 -21.9427
270.971397 85.829 -21.8661
272.934968 85.794 -21.7866
274.912767 85.758 -21.7058
276.904898 85.723 -21.6223
278.911465 85.688 -21.5339
280.932573 85.653 -21.4398
282.968326 85.619 -21.3431
285.018831 85.584 -21.2462
287.084195 85.549 -21.1478
289.164526 85.514 -21.0452
291.259931 85.480 -20.9377
293.370520 85.446 -20.8278
295.496404 85.413 -20.7188
297.637693 85.379 -20.6118
299.794498 85.346 -20.5045
301.966933 85.311 -20.3936
304.155110 85.276 -20.2770
306.359143 85.241 -20.1542
308.579148 85.206 -20.0262
310.815239 85.172 -19.8939
313.067535 85.138 -19.7580
315.336151 85.104 -19.6196
317.621207 85.071 -19.4812
319.922821 85.038 -19.3440
322.241114 85.004 -19.2059
324.576206 84.971 -19.0641
326.928219 84.938 -18.9185
329.297275 84.906 -18.7713
331.683499 84.874 -18.6237
334.087014 84.842 -18.4748
336.507947 84.810 -18.3240
338.946422 84.779 -18.1719
341.402567 84.747 -18.0154
343.876511 84.716 -17.8503
346.368382 84.685 -17.6781
348.878310 84.655 -17.5045
351.406426 84.624 -17.3309
353.952862 84.594 -17.1561
356.517750 84.564 -16.9796
359.101225 84.534 -16.8011
