* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 27, 2025 1:16:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ZVX Pro L (Sample 1)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 91.782 47.2392
20.140070 91.801 46.7558
20.286013 91.818 46.2733
20.433014 91.836 45.7919
20.581080 91.852 45.3115
20.730219 91.869 44.8320
20.880438 91.885 44.3534
21.031747 91.900 43.8757
21.184151 91.916 43.3989
21.337660 91.931 42.9229
21.492282 91.945 42.4479
21.648024 91.959 41.9737
21.804894 91.973 41.5004
21.962902 91.986 41.0280
22.122054 91.999 40.5565
22.282359 92.011 40.0859
22.443827 92.023 39.6163
22.606464 92.035 39.1476
22.770280 92.046 38.6800
22.935282 92.057 38.2133
23.101481 92.067 37.7477
23.268884 92.078 37.2832
23.437500 92.087 36.8198
23.607337 92.096 36.3575
23.778406 92.105 35.8964
23.950714 92.114 35.4364
24.124271 92.122 34.9776
24.299085 92.129 34.5200
24.475166 92.137 34.0635
24.652524 92.144 33.6083
24.831166 92.150 33.1543
25.011103 92.156 32.7015
25.192344 92.162 32.2499
25.374898 92.167 31.7995
25.558775 92.172 31.3503
25.743984 92.176 30.9024
25.930536 92.181 30.4556
26.118439 92.184 30.0100
26.307704 92.188 29.5656
26.498340 92.191 29.1222
26.690358 92.194 28.6801
26.883768 92.196 28.2390
27.078578 92.198 27.7991
27.274801 92.200 27.3602
27.472445 92.201 26.9224
27.671522 92.202 26.4857
27.872041 92.203 26.0502
28.074014 92.203 25.6157
28.277450 92.203 25.1824
28.482360 92.203 24.7502
28.688755 92.202 24.3192
28.896645 92.201 23.8895
29.106042 92.200 23.4611
29.316956 92.198 23.0339
29.529399 92.196 22.6082
29.743381 92.193 22.1839
29.958914 92.190 21.7610
30.176009 92.187 21.3397
30.394677 92.183 20.9200
30.614929 92.180 20.5019
30.836777 92.175 20.0854
31.060233 92.171 19.6705
31.285309 92.166 19.2572
31.512015 92.160 18.8456
31.740364 92.155 18.4354
31.970368 92.149 18.0269
32.202038 92.142 17.6198
32.435387 92.136 17.2141
32.670428 92.129 16.8098
32.907171 92.121 16.4069
33.145630 92.114 16.0051
33.385817 92.106 15.6046
33.627744 92.098 15.2052
33.871425 92.090 14.8071
34.116871 92.081 14.4102
34.364096 92.072 14.0145
34.613112 92.063 13.6202
34.863933 92.053 13.2273
35.116572 92.043 12.8358
35.371041 92.033 12.4459
35.627354 92.023 12.0576
35.885524 92.012 11.6709
36.145566 92.001 11.2859
36.407491 91.989 10.9025
36.671315 91.978 10.5208
36.937051 91.966 10.1406
37.204712 91.954 9.7621
37.474312 91.941 9.3851
37.745867 91.929 9.0096
38.019389 91.916 8.6357
38.294893 91.902 8.2636
38.572393 91.889 7.8932
38.851905 91.875 7.5245
39.133442 91.861 7.1577
39.417019 91.847 6.7927
39.702651 91.833 6.4294
39.990353 91.818 6.0677
40.280139 91.803 5.7076
40.572026 91.788 5.3489
40.866027 91.773 4.9915
41.162159 91.758 4.6354
41.460437 91.742 4.2806
41.760877 91.726 3.9272
42.063493 91.710 3.5754
42.368303 91.693 3.2252
42.675321 91.677 2.8766
42.984564 91.660 2.5300
43.296048 91.642 2.1852
43.609789 91.625 1.8422
43.925803 91.607 1.5011
44.244108 91.589 1.1619
44.564719 91.571 0.8246
44.887653 91.552 0.4893
45.212928 91.533 0.1559
45.540559 91.514 -0.1754
45.870565 91.495 -0.5043
46.202962 91.475 -0.8311
46.537767 91.456 -1.1554
46.874999 91.436 -1.4775
47.214675 91.416 -1.7972
47.556812 91.395 -2.1149
47.901428 91.375 -2.4304
48.248542 91.355 -2.7441
48.598170 91.334 -3.0560
48.950333 91.313 -3.3662
49.305047 91.292 -3.6749
49.662332 91.271 -3.9821
50.022206 91.250 -4.2878
50.384687 91.228 -4.5920
50.749795 91.206 -4.8947
51.117549 91.183 -5.1957
51.487968 91.161 -5.4951
51.861071 91.138 -5.7926
52.236878 91.115 -6.0883
52.615408 91.092 -6.3820
52.996681 91.068 -6.6736
53.380716 91.044 -6.9633
53.767535 91.021 -7.2510
54.157157 90.997 -7.5371
54.549602 90.973 -7.8217
54.944891 90.948 -8.1052
55.343044 90.924 -8.3879
55.744083 90.899 -8.6700
56.148027 90.874 -8.9516
56.554899 90.849 -9.2321
56.964719 90.823 -9.5109
57.377509 90.796 -9.7870
57.793290 90.769 -10.0593
58.212084 90.741 -10.3270
58.633913 90.713 -10.5895
59.058798 90.685 -10.8466
59.486763 90.656 -11.0989
59.917828 90.628 -11.3472
60.352018 90.601 -11.5924
60.789353 90.573 -11.8354
61.229858 90.545 -12.0770
61.673555 90.518 -12.3174
62.120467 90.490 -12.5565
62.570617 90.462 -12.7941
63.024030 90.434 -13.0298
63.480728 90.407 -13.2632
63.940735 90.379 -13.4941
64.404076 90.351 -13.7222
64.870775 90.323 -13.9476
65.340855 90.295 -14.1702
65.814342 90.267 -14.3904
66.291260 90.240 -14.6084
66.771634 90.212 -14.8248
67.255488 90.185 -15.0405
67.742849 90.158 -15.2562
68.233742 90.130 -15.4728
68.728192 90.103 -15.6908
69.226225 90.076 -15.9103
69.727866 90.048 -16.1306
70.233143 90.019 -16.3510
70.742082 89.990 -16.5698
71.254708 89.960 -16.7859
71.771049 89.930 -16.9985
72.291131 89.899 -17.2073
72.814983 89.868 -17.4124
73.342630 89.838 -17.6141
73.874101 89.807 -17.8129
74.409423 89.776 -18.0094
74.948625 89.745 -18.2039
75.491733 89.715 -18.3971
76.038777 89.684 -18.5891
76.589786 89.653 -18.7805
77.144787 89.622 -18.9709
77.703810 89.591 -19.1603
78.266884 89.559 -19.3480
78.834038 89.527 -19.5332
79.405302 89.494 -19.7152
79.980705 89.462 -19.8937
80.560278 89.429 -20.0684
81.144051 89.396 -20.2390
81.732055 89.363 -20.4056
82.324319 89.330 -20.5686
82.920875 89.297 -20.7283
83.521754 89.265 -20.8856
84.126987 89.232 -21.0415
84.736605 89.200 -21.1965
85.350642 89.168 -21.3509
85.969128 89.135 -21.5043
86.592096 89.103 -21.6562
87.219578 89.070 -21.8061
87.851607 89.037 -21.9537
88.488216 89.005 -22.0991
89.129438 88.972 -22.2426
89.775306 88.940 -22.3845
90.425855 88.907 -22.5255
91.081118 88.875 -22.6660
91.741129 88.842 -22.8070
92.405924 88.810 -22.9491
93.075535 88.776 -23.0919
93.749999 88.742 -23.2336
94.429350 88.707 -23.3711
95.113624 88.671 -23.5004
95.802856 88.635 -23.6199
96.497083 88.599 -23.7306
97.196341 88.564 -23.8358
97.900666 88.529 -23.9390
98.610094 88.495 -24.0420
99.324664 88.460 -24.1447
100.044411 88.425 -24.2454
100.769374 88.390 -24.3427
101.499591 88.354 -24.4362
102.235098 88.318 -24.5256
102.975936 88.283 -24.6112
103.722142 88.247 -24.6930
104.473756 88.212 -24.7719
105.230815 88.178 -24.8499
105.993361 88.144 -24.9296
106.761433 88.110 -25.0123
107.535070 88.076 -25.0975
108.314314 88.041 -25.1828
109.099204 88.006 -25.2657
109.889782 87.971 -25.3446
110.686088 87.935 -25.4188
111.488165 87.900 -25.4882
112.296055 87.865 -25.5532
113.109798 87.830 -25.6147
113.929438 87.796 -25.6738
114.755018 87.763 -25.7317
115.586580 87.731 -25.7903
116.424168 87.699 -25.8525
117.267826 87.667 -25.9216
118.117597 87.635 -25.9996
118.973525 87.602 -26.0847
119.835657 87.567 -26.1703
120.704035 87.529 -26.2480
121.578706 87.491 -26.3123
122.459716 87.453 -26.3632
123.347109 87.415 -26.4047
124.240933 87.379 -26.4420
125.141234 87.345 -26.4783
126.048059 87.312 -26.5153
126.961456 87.279 -26.5536
127.881471 87.247 -26.5928
128.808153 87.215 -26.6315
129.741550 87.183 -26.6686
130.681710 87.150 -26.7034
131.628684 87.117 -26.7351
132.582520 87.085 -26.7633
133.543267 87.052 -26.7876
134.510977 87.019 -26.8081
135.485699 86.987 -26.8259
136.467484 86.954 -26.8422
137.456384 86.922 -26.8575
138.452449 86.891 -26.8726
139.455733 86.859 -26.8879
140.466286 86.827 -26.9037
141.484163 86.794 -26.9189
142.509416 86.762 -26.9313
143.542098 86.728 -26.9387
144.582263 86.695 -26.9406
145.629965 86.662 -26.9384
146.685260 86.630 -26.9344
147.748202 86.598 -26.9305
148.818846 86.566 -26.9270
149.897249 86.533 -26.9225
150.983466 86.501 -26.9155
152.077555 86.468 -26.9052
153.179572 86.435 -26.8918
154.289574 86.402 -26.8763
155.407620 86.368 -26.8585
156.533767 86.334 -26.8376
157.668076 86.300 -26.8124
158.810603 86.264 -26.7825
159.961411 86.228 -26.7484
161.120557 86.190 -26.7117
162.288103 86.150 -26.6737
163.464109 86.110 -26.6350
164.648638 86.070 -26.5953
165.841750 86.029 -26.5537
167.043507 85.987 -26.5085
168.253973 85.945 -26.4594
169.473211 85.903 -26.4067
170.701284 85.861 -26.3512
171.938256 85.819 -26.2919
173.184191 85.776 -26.2274
174.439155 85.733 -26.1567
175.703213 85.690 -26.0798
176.976431 85.646 -25.9962
178.258875 85.602 -25.9056
179.550613 85.558 -25.8079
180.851710 85.513 -25.7017
182.162236 85.467 -25.5852
183.482259 85.421 -25.4554
184.811847 85.374 -25.3083
186.151070 85.327 -25.1409
187.499997 85.281 -24.9506
188.858700 85.236 -24.7345
190.227248 85.193 -24.4902
191.605713 85.154 -24.2189
192.994167 85.120 -23.9265
194.392682 85.093 -23.6221
195.801331 85.073 -23.3166
197.220189 85.061 -23.0200
198.649327 85.056 -22.7424
200.088822 85.060 -22.4971
201.538748 85.070 -22.2993
202.999181 85.084 -22.1604
204.470197 85.099 -22.0823
205.951872 85.111 -22.0596
207.444284 85.120 -22.0842
208.947511 85.122 -22.1451
210.461631 85.118 -22.2283
211.986723 85.107 -22.3190
213.522866 85.091 -22.4063
215.070141 85.069 -22.4844
216.628627 85.044 -22.5496
218.198408 85.015 -22.5990
219.779563 84.984 -22.6301
221.372177 84.951 -22.6422
222.976331 84.917 -22.6351
224.592109 84.883 -22.6099
226.219596 84.849 -22.5696
227.858877 84.816 -22.5189
229.510036 84.782 -22.4614
231.173160 84.749 -22.3975
232.848336 84.716 -22.3257
234.535651 84.683 -22.2447
236.235193 84.651 -22.1555
237.947051 84.619 -22.0603
239.671313 84.588 -21.9611
241.408071 84.557 -21.8590
243.157413 84.527 -21.7538
244.919432 84.496 -21.6444
246.694219 84.466 -21.5294
248.481867 84.435 -21.4095
250.282469 84.404 -21.2867
252.096119 84.374 -21.1620
253.922911 84.344 -21.0353
255.762941 84.314 -20.9074
257.616305 84.284 -20.7793
259.483099 84.254 -20.6492
261.363421 84.225 -20.5144
263.257368 84.196 -20.3746
265.165039 84.167 -20.2308
267.086534 84.139 -20.0848
269.021953 84.111 -19.9386
270.971397 84.083 -19.7933
272.934968 84.055 -19.6471
274.912767 84.026 -19.4973
276.904898 83.998 -19.3438
278.911465 83.970 -19.1887
280.932573 83.943 -19.0334
282.968326 83.916 -18.8767
285.018831 83.889 -18.7174
287.084195 83.862 -18.5559
289.164526 83.836 -18.3936
291.259931 83.810 -18.2297
293.370520 83.784 -18.0645
295.496404 83.759 -17.8993
297.637693 83.734 -17.7355
299.794498 83.708 -17.5712
301.966933 83.683 -17.4044
304.155110 83.658 -17.2350
306.359143 83.633 -17.0638
308.579148 83.608 -16.8905
310.815239 83.583 -16.7141
313.067535 83.559 -16.5339
315.336151 83.535 -16.3488
317.621207 83.512 -16.1596
319.922821 83.490 -15.9700
322.241114 83.467 -15.7830
324.576206 83.445 -15.5977
326.928219 83.422 -15.4124
329.297275 83.399 -15.2262
331.683499 83.376 -15.0399
334.087014 83.353 -14.8538
336.507947 83.331 -14.6664
338.946422 83.309 -14.4767
341.402567 83.287 -14.2844
343.876511 83.265 -14.0900
346.368382 83.244 -13.8937
348.878310 83.223 -13.6948
