* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 27, 2025 1:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ZVX Pro L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.838 55.0285
20.140070 89.865 54.5213
20.286013 89.892 54.0150
20.433014 89.918 53.5096
20.581080 89.944 53.0048
20.730219 89.969 52.5008
20.880438 89.994 51.9973
21.031747 90.019 51.4944
21.184151 90.043 50.9919
21.337660 90.067 50.4897
21.492282 90.090 49.9880
21.648024 90.113 49.4867
21.804894 90.135 48.9857
21.962902 90.157 48.4852
22.122054 90.179 47.9852
22.282359 90.200 47.4857
22.443827 90.220 46.9870
22.606464 90.240 46.4890
22.770280 90.259 45.9920
22.935282 90.278 45.4960
23.101481 90.296 45.0013
23.268884 90.314 44.5077
23.437500 90.331 44.0156
23.607337 90.347 43.5249
23.778406 90.363 43.0358
23.950714 90.379 42.5483
24.124271 90.394 42.0624
24.299085 90.408 41.5782
24.475166 90.423 41.0959
24.652524 90.436 40.6154
24.831166 90.449 40.1368
25.011103 90.462 39.6602
25.192344 90.474 39.1856
25.374898 90.486 38.7132
25.558775 90.497 38.2429
25.743984 90.507 37.7749
25.930536 90.518 37.3091
26.118439 90.528 36.8455
26.307704 90.538 36.3839
26.498340 90.548 35.9243
26.690358 90.557 35.4664
26.883768 90.566 35.0099
27.078578 90.575 34.5547
27.274801 90.584 34.1002
27.472445 90.593 33.6462
27.671522 90.601 33.1924
27.872041 90.609 32.7386
28.074014 90.617 32.2845
28.277450 90.625 31.8301
28.482360 90.632 31.3752
28.688755 90.638 30.9202
28.896645 90.644 30.4649
29.106042 90.650 30.0099
29.316956 90.655 29.5554
29.529399 90.659 29.1017
29.743381 90.662 28.6493
29.958914 90.665 28.1985
30.176009 90.667 27.7497
30.394677 90.669 27.3032
30.614929 90.670 26.8592
30.836777 90.671 26.4178
31.060233 90.671 25.9791
31.285309 90.671 25.5432
31.512015 90.670 25.1097
31.740364 90.669 24.6788
31.970368 90.667 24.2501
32.202038 90.665 23.8235
32.435387 90.663 23.3988
32.670428 90.661 22.9758
32.907171 90.658 22.5544
33.145630 90.655 22.1345
33.385817 90.651 21.7159
33.627744 90.647 21.2988
33.871425 90.643 20.8831
34.116871 90.638 20.4689
34.364096 90.633 20.0562
34.613112 90.628 19.6453
34.863933 90.622 19.2363
35.116572 90.615 18.8292
35.371041 90.609 18.4244
35.627354 90.601 18.0219
35.885524 90.594 17.6216
36.145566 90.586 17.2238
36.407491 90.578 16.8282
36.671315 90.569 16.4351
36.937051 90.560 16.0443
37.204712 90.551 15.6555
37.474312 90.542 15.2689
37.745867 90.532 14.8843
38.019389 90.522 14.5015
38.294893 90.512 14.1206
38.572393 90.502 13.7416
38.851905 90.491 13.3644
39.133442 90.480 12.9893
39.417019 90.468 12.6161
39.702651 90.457 12.2451
39.990353 90.445 11.8763
40.280139 90.433 11.5097
40.572026 90.420 11.1454
40.866027 90.408 10.7833
41.162159 90.395 10.4235
41.460437 90.382 10.0657
41.760877 90.369 9.7097
42.063493 90.356 9.3553
42.368303 90.342 9.0024
42.675321 90.329 8.6506
42.984564 90.315 8.2998
43.296048 90.302 7.9497
43.609789 90.288 7.6001
43.925803 90.274 7.2512
44.244108 90.259 6.9028
44.564719 90.245 6.5554
44.887653 90.230 6.2089
45.212928 90.214 5.8638
45.540559 90.199 5.5201
45.870565 90.183 5.1781
46.202962 90.166 4.8378
46.537767 90.150 4.4992
46.874999 90.133 4.1622
47.214675 90.116 3.8268
47.556812 90.098 3.4929
47.901428 90.080 3.1609
48.248542 90.062 2.8306
48.598170 90.044 2.5026
48.950333 90.025 2.1768
49.305047 90.006 1.8536
49.662332 89.986 1.5330
50.022206 89.966 1.2150
50.384687 89.946 0.8996
50.749795 89.925 0.5865
51.117549 89.904 0.2759
51.487968 89.883 -0.0325
51.861071 89.862 -0.3387
52.236878 89.841 -0.6425
52.615408 89.819 -0.9437
52.996681 89.797 -1.2425
53.380716 89.775 -1.5386
53.767535 89.752 -1.8322
54.157157 89.730 -2.1234
54.549602 89.707 -2.4124
54.944891 89.685 -2.6996
55.343044 89.662 -2.9852
55.744083 89.639 -3.2697
56.148027 89.616 -3.5532
56.554899 89.592 -3.8354
56.964719 89.568 -4.1163
57.377509 89.544 -4.3951
57.793290 89.519 -4.6712
58.212084 89.493 -4.9437
58.633913 89.468 -5.2120
59.058798 89.442 -5.4759
59.486763 89.416 -5.7355
59.917828 89.390 -5.9913
60.352018 89.364 -6.2441
60.789353 89.338 -6.4948
61.229858 89.312 -6.7438
61.673555 89.287 -6.9916
62.120467 89.261 -7.2380
62.570617 89.234 -7.4827
63.024030 89.208 -7.7252
63.480728 89.182 -7.9653
63.940735 89.156 -8.2026
64.404076 89.130 -8.4373
64.870775 89.104 -8.6694
65.340855 89.078 -8.8996
65.814342 89.052 -9.1279
66.291260 89.026 -9.3549
66.771634 89.000 -9.5806
67.255488 88.974 -9.8055
67.742849 88.948 -10.0298
68.233742 88.921 -10.2535
68.728192 88.895 -10.4769
69.226225 88.868 -10.6998
69.727866 88.841 -10.9219
70.233143 88.814 -11.1430
70.742082 88.787 -11.3627
71.254708 88.759 -11.5808
71.771049 88.730 -11.7969
72.291131 88.702 -12.0106
72.814983 88.673 -12.2213
73.342630 88.643 -12.4286
73.874101 88.614 -12.6320
74.409423 88.584 -12.8313
74.948625 88.555 -13.0269
75.491733 88.525 -13.2192
76.038777 88.496 -13.4093
76.589786 88.466 -13.5978
77.144787 88.437 -13.7854
77.703810 88.408 -13.9720
78.266884 88.378 -14.1576
78.834038 88.349 -14.3415
79.405302 88.318 -14.5231
79.980705 88.288 -14.7020
80.560278 88.258 -14.8784
81.144051 88.228 -15.0525
81.732055 88.197 -15.2249
82.324319 88.166 -15.3958
82.920875 88.136 -15.5652
83.521754 88.105 -15.7330
84.126987 88.073 -15.8987
84.736605 88.041 -16.0621
85.350642 88.009 -16.2229
85.969128 87.977 -16.3807
86.592096 87.944 -16.5350
87.219578 87.911 -16.6854
87.851607 87.878 -16.8314
88.488216 87.845 -16.9733
89.129438 87.812 -17.1113
89.775306 87.779 -17.2466
90.425855 87.746 -17.3802
91.081118 87.713 -17.5128
91.741129 87.680 -17.6445
92.405924 87.647 -17.7744
93.075535 87.613 -17.9011
93.749999 87.580 -18.0236
94.429350 87.546 -18.1417
95.113624 87.513 -18.2570
95.802856 87.480 -18.3713
96.497083 87.447 -18.4857
97.196341 87.414 -18.6005
97.900666 87.380 -18.7147
98.610094 87.347 -18.8277
99.324664 87.313 -18.9395
100.044411 87.279 -19.0507
100.769374 87.245 -19.1622
101.499591 87.210 -19.2743
102.235098 87.174 -19.3857
102.975936 87.137 -19.4942
103.722142 87.099 -19.5974
104.473756 87.061 -19.6934
105.230815 87.023 -19.7817
105.993361 86.984 -19.8632
106.761433 86.946 -19.9386
107.535070 86.907 -20.0086
108.314314 86.869 -20.0732
109.099204 86.830 -20.1318
109.889782 86.791 -20.1838
110.686088 86.753 -20.2286
111.488165 86.715 -20.2664
112.296055 86.677 -20.2976
113.109798 86.640 -20.3226
113.929438 86.603 -20.3419
114.755018 86.567 -20.3559
115.586580 86.532 -20.3659
116.424168 86.496 -20.3730
117.267826 86.461 -20.3746
118.117597 86.424 -20.3616
118.973525 86.388 -20.3198
119.835657 86.355 -20.2405
120.704035 86.327 -20.1311
121.578706 86.308 -20.0156
122.459716 86.297 -19.9237
123.347109 86.292 -19.8762
124.240933 86.288 -19.8788
125.141234 86.284 -19.9243
126.048059 86.278 -19.9998
126.961456 86.269 -20.0946
127.881471 86.258 -20.2030
128.808153 86.242 -20.3210
129.741550 86.224 -20.4431
130.681710 86.201 -20.5618
131.628684 86.176 -20.6713
132.582520 86.148 -20.7691
133.543267 86.119 -20.8550
134.510977 86.089 -20.9301
135.485699 86.058 -20.9950
136.467484 86.027 -21.0508
137.456384 85.996 -21.0989
138.452449 85.966 -21.1406
139.455733 85.935 -21.1766
140.466286 85.905 -21.2073
141.484163 85.876 -21.2347
142.509416 85.846 -21.2626
143.542098 85.817 -21.2942
144.582263 85.787 -21.3295
145.629965 85.756 -21.3639
146.685260 85.724 -21.3911
147.748202 85.691 -21.4071
148.818846 85.658 -21.4137
149.897249 85.626 -21.4149
150.983466 85.595 -21.4137
152.077555 85.564 -21.4106
153.179572 85.532 -21.4062
154.289574 85.501 -21.4002
155.407620 85.470 -21.3909
156.533767 85.438 -21.3765
157.668076 85.406 -21.3572
158.810603 85.373 -21.3333
159.961411 85.339 -21.3033
161.120557 85.304 -21.2671
162.288103 85.268 -21.2274
163.464109 85.231 -21.1866
164.648638 85.193 -21.1436
165.841750 85.156 -21.0955
167.043507 85.118 -21.0424
168.253973 85.081 -20.9855
169.473211 85.043 -20.9236
170.701284 85.006 -20.8546
171.938256 84.969 -20.7781
173.184191 84.932 -20.6951
174.439155 84.895 -20.6041
175.703213 84.859 -20.5012
176.976431 84.823 -20.3848
178.258875 84.789 -20.2572
179.550613 84.757 -20.1207
180.851710 84.726 -19.9756
182.162236 84.698 -19.8224
183.482259 84.674 -19.6666
184.811847 84.653 -19.5199
186.151070 84.635 -19.3932
187.499997 84.619 -19.2899
188.858700 84.603 -19.2087
190.227248 84.587 -19.1508
191.605713 84.569 -19.1167
192.994167 84.550 -19.1003
194.392682 84.527 -19.0906
195.801331 84.503 -19.0798
197.220189 84.477 -19.0665
198.649327 84.451 -19.0519
200.088822 84.425 -19.0361
201.538748 84.399 -19.0167
202.999181 84.373 -18.9910
204.470197 84.346 -18.9578
205.951872 84.320 -18.9178
207.444284 84.293 -18.8708
208.947511 84.266 -18.8152
210.461631 84.240 -18.7510
211.986723 84.214 -18.6809
213.522866 84.190 -18.6097
215.070141 84.165 -18.5422
216.628627 84.141 -18.4796
218.198408 84.115 -18.4176
219.779563 84.088 -18.3495
221.372177 84.061 -18.2700
222.976331 84.034 -18.1788
224.592109 84.008 -18.0797
226.219596 83.983 -17.9770
227.858877 83.959 -17.8737
229.510036 83.935 -17.7714
231.173160 83.912 -17.6709
232.848336 83.889 -17.5723
234.535651 83.866 -17.4746
236.235193 83.843 -17.3766
237.947051 83.820 -17.2786
239.671313 83.797 -17.1836
241.408071 83.774 -17.0928
243.157413 83.749 -17.0012
244.919432 83.724 -16.9019
246.694219 83.699 -16.7921
248.481867 83.675 -16.6731
250.282469 83.650 -16.5484
252.096119 83.626 -16.4208
253.922911 83.602 -16.2911
255.762941 83.577 -16.1584
257.616305 83.551 -16.0209
259.483099 83.526 -15.8785
261.363421 83.500 -15.7333
263.257368 83.475 -15.5880
265.165039 83.451 -15.4460
267.086534 83.427 -15.3105
269.021953 83.403 -15.1820
270.971397 83.380 -15.0577
272.934968 83.358 -14.9335
274.912767 83.336 -14.8068
276.904898 83.315 -14.6777
278.911465 83.294 -14.5466
280.932573 83.273 -14.4133
282.968326 83.252 -14.2762
285.018831 83.231 -14.1335
287.084195 83.209 -13.9843
289.164526 83.187 -13.8306
291.259931 83.165 -13.6760
293.370520 83.143 -13.5238
295.496404 83.121 -13.3731
297.637693 83.098 -13.2202
299.794498 83.075 -13.0626
301.966933 83.053 -12.9019
304.155110 83.030 -12.7412
306.359143 83.008 -12.5815
308.579148 82.985 -12.4199
310.815239 82.963 -12.2540
313.067535 82.941 -12.0845
315.336151 82.919 -11.9137
317.621207 82.899 -11.7443
319.922821 82.879 -11.5771
322.241114 82.859 -11.4102
324.576206 82.840 -11.2419
326.928219 82.821 -11.0729
329.297275 82.803 -10.9036
331.683499 82.785 -10.7345
334.087014 82.768 -10.5660
336.507947 82.750 -10.3987
338.946422 82.733 -10.2319
341.402567 82.716 -10.0629
343.876511 82.698 -9.8889
346.368382 82.681 -9.7097
348.878310 82.664 -9.5287
351.406426 82.647 -9.3470
