* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 27, 2025 1:15:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ZVX Pro R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.816 47.1941
20.140070 90.836 46.7203
20.286013 90.855 46.2473
20.433014 90.874 45.7751
20.581080 90.892 45.3036
20.730219 90.910 44.8330
20.880438 90.927 44.3632
21.031747 90.944 43.8942
21.184151 90.961 43.4261
21.337660 90.977 42.9589
21.492282 90.993 42.4926
21.648024 91.008 42.0273
21.804894 91.023 41.5630
21.962902 91.037 41.0995
22.122054 91.051 40.6371
22.282359 91.065 40.1758
22.443827 91.078 39.7154
22.606464 91.091 39.2561
22.770280 91.104 38.7979
22.935282 91.116 38.3406
23.101481 91.127 37.8845
23.268884 91.138 37.4295
23.437500 91.149 36.9756
23.607337 91.160 36.5227
23.778406 91.170 36.0710
23.950714 91.179 35.6205
24.124271 91.188 35.1710
24.299085 91.197 34.7228
24.475166 91.205 34.2757
24.652524 91.213 33.8299
24.831166 91.221 33.3852
25.011103 91.228 32.9419
25.192344 91.235 32.4998
25.374898 91.241 32.0591
25.558775 91.247 31.6197
25.743984 91.252 31.1817
25.930536 91.257 30.7451
26.118439 91.261 30.3100
26.307704 91.265 29.8765
26.498340 91.269 29.4445
26.690358 91.273 29.0140
26.883768 91.276 28.5851
27.078578 91.279 28.1579
27.274801 91.281 27.7323
27.472445 91.283 27.3083
27.671522 91.285 26.8860
27.872041 91.287 26.4653
28.074014 91.288 26.0461
28.277450 91.289 25.6284
28.482360 91.290 25.2123
28.688755 91.290 24.7974
28.896645 91.290 24.3839
29.106042 91.290 23.9717
29.316956 91.290 23.5605
29.529399 91.289 23.1505
29.743381 91.288 22.7416
29.958914 91.287 22.3335
30.176009 91.286 21.9264
30.394677 91.284 21.5201
30.614929 91.282 21.1149
30.836777 91.280 20.7104
31.060233 91.277 20.3069
31.285309 91.274 19.9044
31.512015 91.270 19.5029
31.740364 91.266 19.1026
31.970368 91.262 18.7035
32.202038 91.257 18.3057
32.435387 91.252 17.9094
32.670428 91.246 17.5145
32.907171 91.240 17.1213
33.145630 91.234 16.7297
33.385817 91.227 16.3400
33.627744 91.220 15.9521
33.871425 91.212 15.5662
34.116871 91.205 15.1821
34.364096 91.197 14.8000
34.613112 91.188 14.4199
34.863933 91.180 14.0417
35.116572 91.171 13.6655
35.371041 91.162 13.2911
35.627354 91.153 12.9186
35.885524 91.144 12.5476
36.145566 91.134 12.1783
36.407491 91.124 11.8105
36.671315 91.114 11.4442
36.937051 91.104 11.0792
37.204712 91.093 10.7156
37.474312 91.082 10.3532
37.745867 91.071 9.9922
38.019389 91.060 9.6324
38.294893 91.049 9.2740
38.572393 91.037 8.9170
38.851905 91.025 8.5612
39.133442 91.012 8.2068
39.417019 91.000 7.8538
39.702651 90.987 7.5021
39.990353 90.973 7.1519
40.280139 90.960 6.8031
40.572026 90.946 6.4559
40.866027 90.931 6.1104
41.162159 90.917 5.7665
41.460437 90.902 5.4245
41.760877 90.887 5.0844
42.063493 90.871 4.7462
42.368303 90.855 4.4100
42.675321 90.839 4.0759
42.984564 90.823 3.7438
43.296048 90.806 3.4136
43.609789 90.790 3.0854
43.925803 90.772 2.7592
44.244108 90.755 2.4348
44.564719 90.738 2.1124
44.887653 90.720 1.7919
45.212928 90.702 1.4733
45.540559 90.683 1.1567
45.870565 90.665 0.8420
46.202962 90.646 0.5294
46.537767 90.627 0.2187
46.874999 90.607 -0.0900
47.214675 90.588 -0.3966
47.556812 90.568 -0.7012
47.901428 90.547 -1.0037
48.248542 90.527 -1.3038
48.598170 90.506 -1.6013
48.950333 90.485 -1.8962
49.305047 90.463 -2.1879
49.662332 90.442 -2.4763
50.022206 90.420 -2.7612
50.384687 90.398 -3.0425
50.749795 90.375 -3.3202
51.117549 90.353 -3.5947
51.487968 90.331 -3.8662
51.861071 90.308 -4.1354
52.236878 90.286 -4.4028
52.615408 90.265 -4.6690
52.996681 90.243 -4.9344
53.380716 90.221 -5.1997
53.767535 90.199 -5.4648
54.157157 90.177 -5.7300
54.549602 90.155 -5.9951
54.944891 90.133 -6.2601
55.343044 90.110 -6.5245
55.744083 90.087 -6.7881
56.148027 90.064 -7.0503
56.554899 90.040 -7.3107
56.964719 90.015 -7.5690
57.377509 89.991 -7.8246
57.793290 89.966 -8.0771
58.212084 89.940 -8.3265
58.633913 89.915 -8.5722
59.058798 89.889 -8.8142
59.486763 89.863 -9.0526
59.917828 89.838 -9.2878
60.352018 89.812 -9.5204
60.789353 89.787 -9.7515
61.229858 89.762 -9.9819
61.673555 89.737 -10.2124
62.120467 89.712 -10.4434
62.570617 89.686 -10.6746
63.024030 89.661 -10.9053
63.480728 89.635 -11.1349
63.940735 89.610 -11.3624
64.404076 89.584 -11.5876
64.870775 89.558 -11.8105
65.340855 89.532 -12.0315
65.814342 89.505 -12.2512
66.291260 89.479 -12.4701
66.771634 89.453 -12.6884
67.255488 89.426 -12.9056
67.742849 89.399 -13.1216
68.233742 89.371 -13.3356
68.728192 89.343 -13.5471
69.226225 89.315 -13.7560
69.727866 89.287 -13.9622
70.233143 89.259 -14.1660
70.742082 89.231 -14.3679
71.254708 89.202 -14.5682
71.771049 89.173 -14.7672
72.291131 89.145 -14.9649
72.814983 89.115 -15.1609
73.342630 89.086 -15.3546
73.874101 89.056 -15.5454
74.409423 89.026 -15.7328
74.948625 88.995 -15.9166
75.491733 88.965 -16.0974
76.038777 88.934 -16.2755
76.589786 88.904 -16.4514
77.144787 88.873 -16.6254
77.703810 88.842 -16.7971
78.266884 88.811 -16.9666
78.834038 88.780 -17.1335
79.405302 88.749 -17.2980
79.980705 88.718 -17.4597
80.560278 88.686 -17.6190
81.144051 88.655 -17.7758
81.732055 88.624 -17.9301
82.324319 88.592 -18.0818
82.920875 88.560 -18.2312
83.521754 88.529 -18.3782
84.126987 88.497 -18.5231
84.736605 88.465 -18.6659
85.350642 88.433 -18.8066
85.969128 88.401 -18.9451
86.592096 88.369 -19.0810
87.219578 88.337 -19.2140
87.851607 88.304 -19.3438
88.488216 88.271 -19.4696
89.129438 88.238 -19.5912
89.775306 88.204 -19.7081
90.425855 88.171 -19.8195
91.081118 88.137 -19.9244
91.741129 88.104 -20.0221
92.405924 88.072 -20.1135
93.075535 88.042 -20.2023
93.749999 88.013 -20.2958
94.429350 87.985 -20.4025
95.113624 87.956 -20.5273
95.802856 87.926 -20.6682
96.497083 87.892 -20.8154
97.196341 87.855 -20.9565
97.900666 87.816 -21.0824
98.610094 87.775 -21.1903
99.324664 87.735 -21.2834
100.044411 87.695 -21.3671
100.769374 87.656 -21.4460
101.499591 87.617 -21.5223
102.235098 87.577 -21.5959
102.975936 87.538 -21.6659
103.722142 87.498 -21.7312
104.473756 87.458 -21.7913
105.230815 87.418 -21.8461
105.993361 87.378 -21.8953
106.761433 87.337 -21.9372
107.535070 87.296 -21.9695
108.314314 87.254 -21.9888
109.099204 87.212 -21.9913
109.889782 87.171 -21.9739
110.686088 87.132 -21.9341
111.488165 87.094 -21.8716
112.296055 87.061 -21.7885
113.109798 87.032 -21.6902
113.929438 87.009 -21.5853
114.755018 86.992 -21.4843
115.586580 86.981 -21.4006
116.424168 86.976 -21.3502
117.267826 86.974 -21.3486
118.117597 86.971 -21.4037
118.973525 86.964 -21.5076
119.835657 86.951 -21.6363
120.704035 86.930 -21.7610
121.578706 86.906 -21.8645
122.459716 86.881 -21.9474
123.347109 86.856 -22.0225
124.240933 86.832 -22.1019
125.141234 86.808 -22.1904
126.048059 86.783 -22.2855
126.961456 86.756 -22.3812
127.881471 86.728 -22.4719
128.808153 86.698 -22.5546
129.741550 86.668 -22.6287
130.681710 86.637 -22.6951
131.628684 86.606 -22.7552
132.582520 86.575 -22.8096
133.543267 86.543 -22.8584
134.510977 86.511 -22.9012
135.485699 86.479 -22.9376
136.467484 86.448 -22.9673
137.456384 86.416 -22.9907
138.452449 86.385 -23.0089
139.455733 86.354 -23.0231
140.466286 86.324 -23.0338
141.484163 86.294 -23.0418
142.509416 86.264 -23.0483
143.542098 86.234 -23.0549
144.582263 86.205 -23.0619
145.629965 86.174 -23.0668
146.685260 86.144 -23.0670
147.748202 86.114 -23.0623
148.818846 86.083 -23.0544
149.897249 86.053 -23.0448
150.983466 86.023 -23.0330
152.077555 85.993 -23.0176
153.179572 85.962 -22.9977
154.289574 85.933 -22.9742
155.407620 85.903 -22.9490
156.533767 85.873 -22.9230
157.668076 85.843 -22.8966
158.810603 85.812 -22.8688
159.961411 85.780 -22.8387
161.120557 85.746 -22.8057
162.288103 85.710 -22.7693
163.464109 85.674 -22.7295
164.648638 85.638 -22.6870
165.841750 85.601 -22.6428
167.043507 85.565 -22.5973
168.253973 85.528 -22.5505
169.473211 85.492 -22.5023
170.701284 85.455 -22.4512
171.938256 85.417 -22.3954
173.184191 85.380 -22.3339
174.439155 85.343 -22.2667
175.703213 85.306 -22.1942
176.976431 85.269 -22.1155
178.258875 85.232 -22.0300
179.550613 85.196 -21.9377
180.851710 85.160 -21.8389
182.162236 85.124 -21.7328
183.482259 85.090 -21.6187
184.811847 85.057 -21.4960
186.151070 85.025 -21.3657
187.499997 84.995 -21.2308
188.858700 84.968 -21.0954
190.227248 84.944 -20.9653
191.605713 84.921 -20.8477
192.994167 84.901 -20.7484
194.392682 84.880 -20.6705
195.801331 84.859 -20.6113
197.220189 84.836 -20.5639
198.649327 84.812 -20.5205
200.088822 84.787 -20.4761
201.538748 84.762 -20.4290
202.999181 84.737 -20.3785
204.470197 84.713 -20.3248
205.951872 84.688 -20.2683
207.444284 84.662 -20.2095
208.947511 84.637 -20.1478
210.461631 84.610 -20.0811
211.986723 84.584 -20.0074
213.522866 84.557 -19.9272
215.070141 84.530 -19.8433
216.628627 84.504 -19.7573
218.198408 84.477 -19.6694
219.779563 84.450 -19.5784
221.372177 84.423 -19.4836
222.976331 84.396 -19.3853
224.592109 84.369 -19.2828
226.219596 84.343 -19.1752
227.858877 84.316 -19.0623
229.510036 84.290 -18.9445
231.173160 84.264 -18.8234
232.848336 84.239 -18.7009
234.535651 84.214 -18.5785
236.235193 84.189 -18.4562
237.947051 84.164 -18.3323
239.671313 84.139 -18.2060
241.408071 84.115 -18.0796
243.157413 84.091 -17.9553
244.919432 84.067 -17.8328
246.694219 84.043 -17.7102
248.481867 84.018 -17.5857
250.282469 83.994 -17.4581
252.096119 83.969 -17.3264
253.922911 83.944 -17.1906
255.762941 83.919 -17.0520
257.616305 83.895 -16.9130
259.483099 83.871 -16.7745
261.363421 83.846 -16.6349
263.257368 83.822 -16.4924
265.165039 83.797 -16.3459
267.086534 83.773 -16.1962
269.021953 83.748 -16.0440
270.971397 83.725 -15.8909
272.934968 83.701 -15.7371
274.912767 83.678 -15.5815
276.904898 83.654 -15.4242
278.911465 83.632 -15.2664
280.932573 83.610 -15.1089
282.968326 83.588 -14.9507
285.018831 83.566 -14.7915
287.084195 83.544 -14.6328
289.164526 83.523 -14.4751
291.259931 83.501 -14.3160
293.370520 83.479 -14.1537
295.496404 83.458 -13.9885
297.637693 83.436 -13.8220
299.794498 83.416 -13.6555
301.966933 83.395 -13.4890
304.155110 83.374 -13.3199
306.359143 83.353 -13.1467
308.579148 83.332 -12.9708
310.815239 83.312 -12.7941
313.067535 83.292 -12.6173
315.336151 83.272 -12.4402
317.621207 83.252 -12.2611
319.922821 83.233 -12.0789
322.241114 83.214 -11.8957
324.576206 83.195 -11.7134
326.928219 83.176 -11.5310
329.297275 83.158 -11.3464
331.683499 83.139 -11.1597
334.087014 83.121 -10.9719
336.507947 83.104 -10.7854
338.946422 83.086 -10.6004
341.402567 83.068 -10.4148
343.876511 83.051 -10.2268
346.368382 83.033 -10.0369
348.878310 83.016 -9.8452
351.406426 82.999 -9.6502
