* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:34:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Random M8 L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.749 62.1483
20.140070 92.777 61.6894
20.286013 92.804 61.2314
20.433014 92.831 60.7741
20.581080 92.858 60.3177
20.730219 92.884 59.8623
20.880438 92.910 59.4077
21.031747 92.935 58.9542
21.184151 92.960 58.5016
21.337660 92.984 58.0500
21.492282 93.008 57.5995
21.648024 93.032 57.1501
21.804894 93.055 56.7017
21.962902 93.078 56.2545
22.122054 93.101 55.8083
22.282359 93.123 55.3633
22.443827 93.145 54.9193
22.606464 93.167 54.4763
22.770280 93.188 54.0344
22.935282 93.209 53.5934
23.101481 93.229 53.1534
23.268884 93.250 52.7141
23.437500 93.270 52.2756
23.607337 93.289 51.8378
23.778406 93.309 51.4006
23.950714 93.328 50.9639
24.124271 93.347 50.5276
24.299085 93.365 50.0918
24.475166 93.383 49.6562
24.652524 93.401 49.2209
24.831166 93.419 48.7859
25.011103 93.436 48.3511
25.192344 93.452 47.9166
25.374898 93.469 47.4824
25.558775 93.484 47.0486
25.743984 93.500 46.6152
25.930536 93.515 46.1825
26.118439 93.529 45.7504
26.307704 93.543 45.3192
26.498340 93.557 44.8889
26.690358 93.570 44.4599
26.883768 93.583 44.0321
27.078578 93.595 43.6057
27.274801 93.607 43.1810
27.472445 93.619 42.7578
27.671522 93.630 42.3365
27.872041 93.640 41.9169
28.074014 93.651 41.4991
28.277450 93.661 41.0832
28.482360 93.671 40.6690
28.688755 93.680 40.2566
28.896645 93.690 39.8459
29.106042 93.699 39.4367
29.316956 93.708 39.0289
29.529399 93.717 38.6225
29.743381 93.726 38.2173
29.958914 93.734 37.8132
30.176009 93.742 37.4100
30.394677 93.751 37.0077
30.614929 93.759 36.6060
30.836777 93.766 36.2051
31.060233 93.774 35.8047
31.285309 93.781 35.4048
31.512015 93.789 35.0054
31.740364 93.796 34.6063
31.970368 93.802 34.2077
32.202038 93.809 33.8094
32.435387 93.815 33.4116
32.670428 93.821 33.0141
32.907171 93.827 32.6170
33.145630 93.833 32.2203
33.385817 93.838 31.8242
33.627744 93.843 31.4286
33.871425 93.847 31.0336
34.116871 93.852 30.6393
34.364096 93.856 30.2457
34.613112 93.859 29.8529
34.863933 93.863 29.4610
35.116572 93.866 29.0701
35.371041 93.869 28.6801
35.627354 93.871 28.2911
35.885524 93.873 27.9032
36.145566 93.875 27.5162
36.407491 93.877 27.1302
36.671315 93.879 26.7452
36.937051 93.880 26.3611
37.204712 93.881 25.9780
37.474312 93.882 25.5957
37.745867 93.882 25.2144
38.019389 93.882 24.8340
38.294893 93.882 24.4547
38.572393 93.882 24.0764
38.851905 93.881 23.6992
39.133442 93.881 23.3232
39.417019 93.879 22.9485
39.702651 93.878 22.5752
39.990353 93.876 22.2031
40.280139 93.874 21.8325
40.572026 93.872 21.4634
40.866027 93.870 21.0957
41.162159 93.867 20.7294
41.460437 93.865 20.3644
41.760877 93.862 20.0007
42.063493 93.859 19.6382
42.368303 93.856 19.2768
42.675321 93.852 18.9164
42.984564 93.849 18.5568
43.296048 93.845 18.1981
43.609789 93.842 17.8400
43.925803 93.838 17.4824
44.244108 93.834 17.1253
44.564719 93.830 16.7687
44.887653 93.825 16.4125
45.212928 93.821 16.0568
45.540559 93.816 15.7016
45.870565 93.811 15.3469
46.202962 93.805 14.9928
46.537767 93.800 14.6393
46.874999 93.794 14.2865
47.214675 93.788 13.9344
47.556812 93.781 13.5832
47.901428 93.775 13.2328
48.248542 93.768 12.8835
48.598170 93.761 12.5352
48.950333 93.753 12.1881
49.305047 93.746 11.8424
49.662332 93.738 11.4980
50.022206 93.730 11.1554
50.384687 93.722 10.8143
50.749795 93.713 10.4751
51.117549 93.705 10.1376
51.487968 93.696 9.8019
51.861071 93.687 9.4678
52.236878 93.678 9.1353
52.615408 93.670 8.8041
52.996681 93.661 8.4744
53.380716 93.652 8.1459
53.767535 93.643 7.8184
54.157157 93.634 7.4919
54.549602 93.625 7.1662
54.944891 93.616 6.8411
55.343044 93.607 6.5164
55.744083 93.598 6.1920
56.148027 93.589 5.8677
56.554899 93.580 5.5436
56.964719 93.571 5.2195
57.377509 93.562 4.8953
57.793290 93.552 4.5712
58.212084 93.543 4.2469
58.633913 93.533 3.9225
59.058798 93.523 3.5981
59.486763 93.513 3.2737
59.917828 93.502 2.9492
60.352018 93.492 2.6249
60.789353 93.481 2.3009
61.229858 93.470 1.9773
61.673555 93.458 1.6543
62.120467 93.446 1.3320
62.570617 93.434 1.0106
63.024030 93.421 0.6903
63.480728 93.408 0.3713
63.940735 93.395 0.0540
64.404076 93.381 -0.2617
64.870775 93.367 -0.5753
65.340855 93.352 -0.8868
65.814342 93.338 -1.1962
66.291260 93.323 -1.5034
66.771634 93.307 -1.8085
67.255488 93.292 -2.1115
67.742849 93.276 -2.4125
68.233742 93.260 -2.7114
68.728192 93.244 -3.0082
69.226225 93.228 -3.3027
69.727866 93.211 -3.5952
70.233143 93.194 -3.8856
70.742082 93.177 -4.1743
71.254708 93.161 -4.4614
71.771049 93.144 -4.7474
72.291131 93.127 -5.0326
72.814983 93.109 -5.3171
73.342630 93.092 -5.6014
73.874101 93.075 -5.8855
74.409423 93.058 -6.1694
74.948625 93.040 -6.4534
75.491733 93.022 -6.7372
76.038777 93.004 -7.0210
76.589786 92.986 -7.3047
77.144787 92.968 -7.5884
77.703810 92.950 -7.8719
78.266884 92.931 -8.1553
78.834038 92.913 -8.4380
79.405302 92.894 -8.7200
79.980705 92.875 -9.0009
80.560278 92.855 -9.2805
81.144051 92.836 -9.5590
81.732055 92.817 -9.8361
82.324319 92.797 -10.1119
82.920875 92.778 -10.3867
83.521754 92.758 -10.6606
84.126987 92.739 -10.9340
84.736605 92.719 -11.2069
85.350642 92.699 -11.4794
85.969128 92.678 -11.7509
86.592096 92.658 -12.0206
87.219578 92.637 -12.2879
87.851607 92.616 -12.5523
88.488216 92.594 -12.8138
89.129438 92.573 -13.0729
89.775306 92.552 -13.3302
90.425855 92.530 -13.5862
91.081118 92.509 -13.8416
91.741129 92.487 -14.0961
92.405924 92.466 -14.3500
93.075535 92.444 -14.6029
93.749999 92.422 -14.8547
94.429350 92.399 -15.1053
95.113624 92.377 -15.3546
95.802856 92.354 -15.6025
96.497083 92.331 -15.8491
97.196341 92.308 -16.0945
97.900666 92.285 -16.3386
98.610094 92.262 -16.5815
99.324664 92.239 -16.8237
100.044411 92.216 -17.0650
100.769374 92.192 -17.3057
101.499591 92.169 -17.5457
102.235098 92.145 -17.7847
102.975936 92.121 -18.0225
103.722142 92.097 -18.2587
104.473756 92.072 -18.4930
105.230815 92.048 -18.7260
105.993361 92.023 -18.9575
106.761433 91.998 -19.1879
107.535070 91.973 -19.4172
108.314314 91.948 -19.6456
109.099204 91.923 -19.8728
109.889782 91.897 -20.0986
110.686088 91.871 -20.3229
111.488165 91.844 -20.5454
112.296055 91.817 -20.7661
113.109798 91.791 -20.9846
113.929438 91.763 -21.2008
114.755018 91.736 -21.4147
115.586580 91.709 -21.6266
116.424168 91.681 -21.8374
117.267826 91.653 -22.0482
118.117597 91.626 -22.2595
118.973525 91.597 -22.4711
119.835657 91.568 -22.6814
120.704035 91.539 -22.8889
121.578706 91.509 -23.0922
122.459716 91.479 -23.2908
123.347109 91.449 -23.4855
124.240933 91.418 -23.6772
125.141234 91.389 -23.8672
126.048059 91.359 -24.0559
126.961456 91.329 -24.2440
127.881471 91.299 -24.4316
128.808153 91.269 -24.6189
129.741550 91.239 -24.8055
130.681710 91.209 -24.9916
131.628684 91.179 -25.1775
132.582520 91.149 -25.3633
133.543267 91.119 -25.5487
134.510977 91.089 -25.7330
135.485699 91.058 -25.9156
136.467484 91.027 -26.0959
137.456384 90.997 -26.2740
138.452449 90.966 -26.4507
139.455733 90.935 -26.6262
140.466286 90.905 -26.8008
141.484163 90.874 -26.9745
142.509416 90.843 -27.1468
143.542098 90.812 -27.3174
144.582263 90.781 -27.4859
145.629965 90.749 -27.6522
146.685260 90.717 -27.8162
147.748202 90.685 -27.9779
148.818846 90.653 -28.1375
149.897249 90.621 -28.2948
150.983466 90.588 -28.4496
152.077555 90.555 -28.6014
153.179572 90.523 -28.7504
154.289574 90.490 -28.8968
155.407620 90.457 -29.0415
156.533767 90.424 -29.1855
157.668076 90.391 -29.3295
158.810603 90.357 -29.4728
159.961411 90.323 -29.6144
161.120557 90.289 -29.7529
162.288103 90.255 -29.8879
163.464109 90.221 -30.0200
164.648638 90.187 -30.1499
165.841750 90.153 -30.2784
167.043507 90.119 -30.4058
168.253973 90.085 -30.5320
169.473211 90.051 -30.6572
170.701284 90.017 -30.7819
171.938256 89.984 -30.9062
173.184191 89.950 -31.0297
174.439155 89.916 -31.1516
175.703213 89.881 -31.2712
176.976431 89.847 -31.3884
178.258875 89.813 -31.5029
179.550613 89.779 -31.6154
180.851710 89.745 -31.7262
182.162236 89.711 -31.8361
183.482259 89.677 -31.9449
184.811847 89.642 -32.0524
186.151070 89.608 -32.1586
187.499997 89.573 -32.2631
188.858700 89.539 -32.3661
190.227248 89.504 -32.4670
191.605713 89.468 -32.5656
192.994167 89.433 -32.6617
194.392682 89.398 -32.7561
195.801331 89.362 -32.8492
197.220189 89.326 -32.9404
198.649327 89.289 -33.0285
200.088822 89.252 -33.1129
201.538748 89.215 -33.1938
202.999181 89.178 -33.2725
204.470197 89.141 -33.3494
205.951872 89.103 -33.4242
207.444284 89.066 -33.4964
208.947511 89.028 -33.5660
210.461631 88.990 -33.6338
211.986723 88.953 -33.7009
213.522866 88.915 -33.7676
215.070141 88.877 -33.8334
216.628627 88.839 -33.8977
218.198408 88.801 -33.9600
219.779563 88.763 -34.0203
221.372177 88.725 -34.0789
222.976331 88.687 -34.1364
224.592109 88.648 -34.1925
226.219596 88.610 -34.2465
227.858877 88.572 -34.2981
229.510036 88.534 -34.3478
231.173160 88.496 -34.3962
232.848336 88.458 -34.4436
234.535651 88.419 -34.4897
236.235193 88.381 -34.5337
237.947051 88.342 -34.5746
239.671313 88.304 -34.6119
241.408071 88.266 -34.6460
243.157413 88.227 -34.6780
244.919432 88.189 -34.7087
246.694219 88.151 -34.7383
248.481867 88.112 -34.7656
250.282469 88.073 -34.7898
252.096119 88.035 -34.8112
253.922911 87.996 -34.8305
255.762941 87.957 -34.8483
257.616305 87.919 -34.8646
259.483099 87.880 -34.8797
261.363421 87.841 -34.8939
263.257368 87.802 -34.9064
265.165039 87.764 -34.9160
267.086534 87.725 -34.9221
269.021953 87.686 -34.9250
270.971397 87.647 -34.9258
272.934968 87.609 -34.9242
274.912767 87.570 -34.9200
276.904898 87.532 -34.9137
278.911465 87.493 -34.9058
280.932573 87.455 -34.8967
282.968326 87.417 -34.8866
285.018831 87.379 -34.8748
287.084195 87.340 -34.8604
289.164526 87.302 -34.8434
291.259931 87.263 -34.8239
293.370520 87.225 -34.8005
295.496404 87.186 -34.7738
297.637693 87.148 -34.7454
299.794498 87.111 -34.7169
301.966933 87.073 -34.6884
304.155110 87.035 -34.6592
306.359143 86.998 -34.6287
308.579148 86.960 -34.5962
310.815239 86.923 -34.5615
313.067535 86.886 -34.5242
315.336151 86.849 -34.4836
317.621207 86.811 -34.4392
319.922821 86.774 -34.3912
322.241114 86.737 -34.3405
324.576206 86.701 -34.2888
326.928219 86.664 -34.2374
329.297275 86.626 -34.1855
331.683499 86.589 -34.1313
334.087014 86.551 -34.0739
336.507947 86.513 -34.0136
338.946422 86.474 -33.9508
341.402567 86.436 -33.8850
343.876511 86.398 -33.8160
346.368382 86.359 -33.7438
348.878310 86.321 -33.6689
351.406426 86.282 -33.5925
353.952862 86.244 -33.5157
356.517750 86.205 -33.4384
359.101225 86.166 -33.3582
