* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:31:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Random M8 R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 92.814 -112.0888
20.140070 92.845 -112.5294
20.286013 92.876 -112.9692
20.433014 92.907 -113.4082
20.581080 92.937 -113.8463
20.730219 92.967 -114.2834
20.880438 92.996 -114.7197
21.031747 93.025 -115.1550
21.184151 93.054 -115.5893
21.337660 93.082 -116.0227
21.492282 93.110 -116.4551
21.648024 93.137 -116.8865
21.804894 93.164 -117.3169
21.962902 93.191 -117.7463
22.122054 93.217 -118.1748
22.282359 93.243 -118.6023
22.443827 93.269 -119.0290
22.606464 93.294 -119.4547
22.770280 93.319 -119.8797
22.935282 93.344 -120.3039
23.101481 93.368 -120.7273
23.268884 93.392 -121.1501
23.437500 93.416 -121.5722
23.607337 93.439 -121.9937
23.778406 93.462 -122.4146
23.950714 93.484 -122.8350
24.124271 93.507 -123.2548
24.299085 93.529 -123.6740
24.475166 93.550 -124.0926
24.652524 93.571 -124.5106
24.831166 93.592 -124.9278
25.011103 93.612 -125.3442
25.192344 93.632 -125.7597
25.374898 93.651 -126.1742
25.558775 93.670 -126.5877
25.743984 93.689 -126.9999
25.930536 93.707 -127.4109
26.118439 93.725 -127.8206
26.307704 93.742 -128.2289
26.498340 93.759 -128.6357
26.690358 93.776 -129.0411
26.883768 93.792 -129.4449
27.078578 93.808 -129.8474
27.274801 93.824 -130.2483
27.472445 93.840 -130.6479
27.671522 93.855 -131.0462
27.872041 93.870 -131.4432
28.074014 93.885 -131.8390
28.277450 93.899 -132.2336
28.482360 93.914 -132.6271
28.688755 93.928 -133.0196
28.896645 93.941 -133.4111
29.106042 93.955 -133.8017
29.316956 93.968 -134.1913
29.529399 93.981 -134.5801
29.743381 93.994 -134.9680
29.958914 94.007 -135.3550
30.176009 94.019 -135.7412
30.394677 94.031 -136.1266
30.614929 94.043 -136.5111
30.836777 94.054 -136.8947
31.060233 94.065 -137.2775
31.285309 94.076 -137.6594
31.512015 94.087 -138.0405
31.740364 94.097 -138.4206
31.970368 94.107 -138.7998
32.202038 94.117 -139.1780
32.435387 94.127 -139.5552
32.670428 94.136 -139.9315
32.907171 94.145 -140.3067
33.145630 94.154 -140.6808
33.385817 94.163 -141.0539
33.627744 94.171 -141.4259
33.871425 94.179 -141.7969
34.116871 94.187 -142.1667
34.364096 94.195 -142.5355
34.613112 94.202 -142.9032
34.863933 94.210 -143.2697
35.116572 94.217 -143.6352
35.371041 94.223 -143.9995
35.627354 94.230 -144.3627
35.885524 94.236 -144.7248
36.145566 94.243 -145.0858
36.407491 94.249 -145.4457
36.671315 94.255 -145.8047
36.937051 94.260 -146.1626
37.204712 94.266 -146.5197
37.474312 94.272 -146.8759
37.745867 94.277 -147.2315
38.019389 94.282 -147.5863
38.294893 94.287 -147.9406
38.572393 94.292 -148.2943
38.851905 94.296 -148.6474
39.133442 94.301 -149.0001
39.417019 94.305 -149.3522
39.702651 94.309 -149.7037
39.990353 94.313 -150.0546
40.280139 94.317 -150.4048
40.572026 94.320 -150.7542
40.866027 94.323 -151.1026
41.162159 94.326 -151.4501
41.460437 94.329 -151.7966
41.760877 94.331 -152.1419
42.063493 94.333 -152.4862
42.368303 94.336 -152.8294
42.675321 94.338 -153.1715
42.984564 94.339 -153.5126
43.296048 94.341 -153.8529
43.609789 94.343 -154.1922
43.925803 94.344 -154.5307
44.244108 94.345 -154.8683
44.564719 94.346 -155.2052
44.887653 94.347 -155.5412
45.212928 94.348 -155.8762
45.540559 94.348 -156.2103
45.870565 94.349 -156.5435
46.202962 94.349 -156.8756
46.537767 94.349 -157.2067
46.874999 94.349 -157.5367
47.214675 94.349 -157.8658
47.556812 94.348 -158.1938
47.901428 94.348 -158.5210
48.248542 94.348 -158.8473
48.598170 94.347 -159.1730
48.950333 94.346 -159.4980
49.305047 94.345 -159.8226
49.662332 94.345 -160.1466
50.022206 94.343 -160.4703
50.384687 94.342 -160.7934
50.749795 94.341 -161.1158
51.117549 94.339 -161.4375
51.487968 94.337 -161.7582
51.861071 94.335 -162.0777
52.236878 94.333 -162.3960
52.615408 94.331 -162.7130
52.996681 94.328 -163.0289
53.380716 94.326 -163.3436
53.767535 94.323 -163.6575
54.157157 94.320 -163.9707
54.549602 94.318 -164.2833
54.944891 94.315 -164.5956
55.343044 94.312 -164.9075
55.744083 94.309 -165.2191
56.148027 94.306 -165.5305
56.554899 94.303 -165.8417
56.964719 94.299 -166.1526
57.377509 94.296 -166.4631
57.793290 94.292 -166.7729
58.212084 94.288 -167.0820
58.633913 94.284 -167.3899
59.058798 94.279 -167.6966
59.486763 94.275 -168.0018
59.917828 94.270 -168.3055
60.352018 94.265 -168.6079
60.789353 94.261 -168.9094
61.229858 94.256 -169.2104
61.673555 94.252 -169.5116
62.120467 94.247 -169.8132
62.570617 94.242 -170.1156
63.024030 94.238 -170.4188
63.480728 94.233 -170.7224
63.940735 94.227 -171.0261
64.404076 94.222 -171.3294
64.870775 94.216 -171.6320
65.340855 94.210 -171.9336
65.814342 94.204 -172.2343
66.291260 94.197 -172.5342
66.771634 94.191 -172.8334
67.255488 94.184 -173.1320
67.742849 94.178 -173.4298
68.233742 94.171 -173.7268
68.728192 94.163 -174.0225
69.226225 94.156 -174.3169
69.727866 94.149 -174.6099
70.233143 94.142 -174.9019
70.742082 94.134 -175.1931
71.254708 94.127 -175.4840
71.771049 94.120 -175.7748
72.291131 94.113 -176.0657
72.814983 94.105 -176.3566
73.342630 94.098 -176.6475
73.874101 94.090 -176.9384
74.409423 94.082 -177.2293
74.948625 94.074 -177.5202
75.491733 94.066 -177.8109
76.038777 94.057 -178.1010
76.589786 94.049 -178.3902
77.144787 94.040 -178.6783
77.703810 94.031 -178.9651
78.266884 94.022 -179.2508
78.834038 94.013 -179.5357
79.405302 94.003 -179.8201
79.980705 93.994 179.8959
80.560278 93.985 179.6118
81.144051 93.975 179.3278
81.732055 93.966 179.0438
82.324319 93.956 178.7598
82.920875 93.946 178.4761
83.521754 93.936 178.1929
84.126987 93.926 177.9103
84.736605 93.916 177.6283
85.350642 93.905 177.3466
85.969128 93.894 177.0653
86.592096 93.884 176.7842
87.219578 93.873 176.5037
87.851607 93.862 176.2237
88.488216 93.850 175.9445
89.129438 93.839 175.6661
89.775306 93.827 175.3882
90.425855 93.816 175.1108
91.081118 93.804 174.8338
91.741129 93.792 174.5571
92.405924 93.780 174.2809
93.075535 93.768 174.0054
93.749999 93.756 173.7305
94.429350 93.743 173.4562
95.113624 93.731 173.1824
95.802856 93.718 172.9088
96.497083 93.706 172.6354
97.196341 93.693 172.3622
97.900666 93.680 172.0891
98.610094 93.667 171.8162
99.324664 93.654 171.5437
100.044411 93.640 171.2715
100.769374 93.627 170.9997
101.499591 93.613 170.7280
102.235098 93.600 170.4562
102.975936 93.586 170.1843
103.722142 93.571 169.9125
104.473756 93.557 169.6410
105.230815 93.542 169.3703
105.993361 93.527 169.1007
106.761433 93.512 168.8323
107.535070 93.497 168.5653
108.314314 93.481 168.2993
109.099204 93.466 168.0341
109.889782 93.450 167.7696
110.686088 93.434 167.5056
111.488165 93.418 167.2422
112.296055 93.402 166.9792
113.109798 93.386 166.7166
113.929438 93.370 166.4542
114.755018 93.354 166.1918
115.586580 93.337 165.9297
116.424168 93.321 165.6679
117.267826 93.304 165.4065
118.117597 93.287 165.1455
118.973525 93.270 164.8848
119.835657 93.253 164.6239
120.704035 93.236 164.3627
121.578706 93.218 164.1010
122.459716 93.200 163.8397
123.347109 93.182 163.5797
124.240933 93.163 163.3213
125.141234 93.145 163.0645
126.048059 93.126 162.8084
126.961456 93.108 162.5522
127.881471 93.089 162.2957
128.808153 93.070 162.0392
129.741550 93.050 161.7837
130.681710 93.030 161.5297
131.628684 93.011 161.2769
132.582520 92.991 161.0250
133.543267 92.971 160.7734
134.510977 92.950 160.5222
135.485699 92.930 160.2709
136.467484 92.910 160.0193
137.456384 92.889 159.7673
138.452449 92.868 159.5152
139.455733 92.846 159.2641
140.466286 92.825 159.0150
141.484163 92.803 158.7680
142.509416 92.781 158.5222
143.542098 92.760 158.2764
144.582263 92.738 158.0301
145.629965 92.716 157.7839
146.685260 92.694 157.5388
147.748202 92.671 157.2946
148.818846 92.649 157.0511
149.897249 92.626 156.8078
150.983466 92.603 156.5652
152.077555 92.580 156.3239
153.179572 92.557 156.0841
154.289574 92.533 155.8449
155.407620 92.510 155.6059
156.533767 92.486 155.3676
157.668076 92.461 155.1311
158.810603 92.437 154.8975
159.961411 92.412 154.6659
161.120557 92.387 154.4349
162.288103 92.363 154.2032
163.464109 92.338 153.9709
164.648638 92.313 153.7389
165.841750 92.287 153.5085
167.043507 92.261 153.2807
168.253973 92.235 153.0561
169.473211 92.209 152.8345
170.701284 92.183 152.6154
171.938256 92.157 152.3972
173.184191 92.132 152.1777
174.439155 92.106 151.9542
175.703213 92.081 151.7243
176.976431 92.055 151.4892
178.258875 92.027 151.2532
179.550613 91.999 151.0208
180.851710 91.970 150.7934
182.162236 91.941 150.5701
183.482259 91.912 150.3493
184.811847 91.883 150.1301
186.151070 91.854 149.9122
187.499997 91.825 149.6959
188.858700 91.796 149.4814
190.227248 91.767 149.2684
191.605713 91.738 149.0557
192.994167 91.709 148.8424
194.392682 91.679 148.6282
195.801331 91.650 148.4134
197.220189 91.620 148.1992
198.649327 91.589 147.9870
200.088822 91.558 147.7770
201.538748 91.528 147.5685
202.999181 91.496 147.3609
204.470197 91.465 147.1546
205.951872 91.434 146.9501
207.444284 91.402 146.7471
208.947511 91.370 146.5454
210.461631 91.338 146.3455
211.986723 91.306 146.1480
213.522866 91.274 145.9523
215.070141 91.242 145.7571
216.628627 91.209 145.5623
218.198408 91.176 145.3683
219.779563 91.143 145.1758
221.372177 91.109 144.9860
222.976331 91.075 144.7989
224.592109 91.042 144.6128
226.219596 91.008 144.4258
227.858877 90.974 144.2383
229.510036 90.940 144.0519
231.173160 90.906 143.8671
232.848336 90.871 143.6836
234.535651 90.836 143.5015
236.235193 90.801 143.3215
237.947051 90.766 143.1438
239.671313 90.731 142.9669
241.408071 90.696 142.7891
243.157413 90.660 142.6108
244.919432 90.623 142.4347
246.694219 90.587 142.2628
248.481867 90.550 142.0944
250.282469 90.514 141.9276
252.096119 90.477 141.7612
253.922911 90.440 141.5959
255.762941 90.404 141.4325
257.616305 90.367 141.2708
259.483099 90.329 141.1102
261.363421 90.292 140.9500
263.257368 90.254 140.7899
265.165039 90.216 140.6302
267.086534 90.178 140.4716
269.021953 90.139 140.3141
270.971397 90.100 140.1584
272.934968 90.060 140.0054
274.912767 90.021 139.8560
276.904898 89.981 139.7099
278.911465 89.942 139.5654
280.932573 89.902 139.4214
282.968326 89.863 139.2786
285.018831 89.823 139.1376
287.084195 89.783 138.9979
289.164526 89.743 138.8586
291.259931 89.703 138.7204
293.370520 89.662 138.5852
295.496404 89.621 138.4538
297.637693 89.580 138.3242
299.794498 89.538 138.1942
301.966933 89.497 138.0644
304.155110 89.455 137.9379
306.359143 89.413 137.8161
308.579148 89.371 137.6973
310.815239 89.329 137.5793
313.067535 89.287 137.4613
315.336151 89.245 137.3441
317.621207 89.203 137.2288
319.922821 89.160 137.1151
322.241114 89.117 137.0021
324.576206 89.073 136.8896
326.928219 89.029 136.7791
329.297275 88.985 136.6725
331.683499 88.941 136.5704
334.087014 88.897 136.4717
336.507947 88.853 136.3759
338.946422 88.809 136.2835
341.402567 88.765 136.1949
343.876511 88.721 136.1080
346.368382 88.677 136.0201
348.878310 88.632 135.9307
351.406426 88.587 135.8409
353.952862 88.542 135.7519
356.517750 88.496 135.6650
359.101225 88.450 135.5815
361.703421 88.404 135.5015
364.324473 88.359 135.4240
366.964518 88.313 135.3493
