* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:27:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L Brown Damper + AET 06 Tips
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.219 -139.2857
20.140070 90.234 -139.7231
20.286013 90.250 -140.1596
20.433014 90.265 -140.5954
20.581080 90.279 -141.0304
20.730219 90.294 -141.4647
20.880438 90.308 -141.8984
21.031747 90.321 -142.3314
21.184151 90.335 -142.7638
21.337660 90.348 -143.1956
21.492282 90.360 -143.6268
21.648024 90.373 -144.0574
21.804894 90.385 -144.4875
21.962902 90.396 -144.9170
22.122054 90.408 -145.3459
22.282359 90.418 -145.7742
22.443827 90.429 -146.2018
22.606464 90.439 -146.6286
22.770280 90.448 -147.0547
22.935282 90.458 -147.4800
23.101481 90.467 -147.9044
23.268884 90.475 -148.3278
23.437500 90.483 -148.7501
23.607337 90.491 -149.1713
23.778406 90.498 -149.5913
23.950714 90.505 -150.0100
24.124271 90.511 -150.4275
24.299085 90.517 -150.8436
24.475166 90.523 -151.2583
24.652524 90.528 -151.6716
24.831166 90.533 -152.0835
25.011103 90.538 -152.4941
25.192344 90.542 -152.9032
25.374898 90.546 -153.3110
25.558775 90.550 -153.7174
25.743984 90.553 -154.1225
25.930536 90.556 -154.5263
26.118439 90.559 -154.9289
26.307704 90.561 -155.3303
26.498340 90.563 -155.7306
26.690358 90.565 -156.1296
26.883768 90.567 -156.5276
27.078578 90.568 -156.9245
27.274801 90.569 -157.3203
27.472445 90.570 -157.7150
27.671522 90.570 -158.1086
27.872041 90.570 -158.5013
28.074014 90.570 -158.8928
28.277450 90.569 -159.2833
28.482360 90.568 -159.6727
28.688755 90.567 -160.0610
28.896645 90.566 -160.4481
29.106042 90.564 -160.8341
29.316956 90.561 -161.2189
29.529399 90.559 -161.6024
29.743381 90.556 -161.9846
29.958914 90.553 -162.3655
30.176009 90.549 -162.7451
30.394677 90.545 -163.1232
30.614929 90.541 -163.4999
30.836777 90.537 -163.8752
31.060233 90.532 -164.2491
31.285309 90.527 -164.6215
31.512015 90.521 -164.9926
31.740364 90.516 -165.3623
31.970368 90.510 -165.7307
32.202038 90.504 -166.0978
32.435387 90.497 -166.4637
32.670428 90.491 -166.8284
32.907171 90.484 -167.1919
33.145630 90.476 -167.5543
33.385817 90.469 -167.9155
33.627744 90.461 -168.2755
33.871425 90.453 -168.6343
34.116871 90.444 -168.9920
34.364096 90.435 -169.3483
34.613112 90.426 -169.7034
34.863933 90.417 -170.0572
35.116572 90.407 -170.4095
35.371041 90.397 -170.7604
35.627354 90.386 -171.1097
35.885524 90.376 -171.4574
36.145566 90.365 -171.8034
36.407491 90.353 -172.1476
36.671315 90.341 -172.4899
36.937051 90.329 -172.8303
37.204712 90.317 -173.1686
37.474312 90.305 -173.5050
37.745867 90.292 -173.8393
38.019389 90.279 -174.1718
38.294893 90.266 -174.5025
38.572393 90.253 -174.8316
38.851905 90.239 -175.1592
39.133442 90.226 -175.4855
39.417019 90.212 -175.8105
39.702651 90.198 -176.1344
39.990353 90.184 -176.4571
40.280139 90.169 -176.7786
40.572026 90.154 -177.0988
40.866027 90.139 -177.4177
41.162159 90.124 -177.7350
41.460437 90.108 -178.0508
41.760877 90.092 -178.3649
42.063493 90.076 -178.6772
42.368303 90.060 -178.9878
42.675321 90.043 -179.2968
42.984564 90.027 -179.6040
43.296048 90.010 -179.9096
43.609789 89.992 179.7864
43.925803 89.975 179.4838
44.244108 89.958 179.1825
44.564719 89.940 178.8825
44.887653 89.922 178.5836
45.212928 89.904 178.2858
45.540559 89.885 177.9889
45.870565 89.867 177.6929
46.202962 89.848 177.3979
46.537767 89.828 177.1041
46.874999 89.809 176.8116
47.214675 89.789 176.5209
47.556812 89.768 176.2323
47.901428 89.747 175.9462
48.248542 89.726 175.6628
48.598170 89.705 175.3821
48.950333 89.683 175.1043
49.305047 89.661 174.8292
49.662332 89.640 174.5565
50.022206 89.618 174.2859
50.384687 89.595 174.0173
50.749795 89.573 173.7502
51.117549 89.551 173.4847
51.487968 89.528 173.2207
51.861071 89.506 172.9581
52.236878 89.483 172.6969
52.615408 89.460 172.4372
52.996681 89.437 172.1789
53.380716 89.413 171.9221
53.767535 89.390 171.6668
54.157157 89.366 171.4130
54.549602 89.342 171.1608
54.944891 89.317 170.9102
55.343044 89.292 170.6615
55.744083 89.267 170.4147
56.148027 89.242 170.1701
56.554899 89.217 169.9277
56.964719 89.191 169.6877
57.377509 89.165 169.4501
57.793290 89.139 169.2147
58.212084 89.113 168.9816
58.633913 89.087 168.7503
59.058798 89.061 168.5209
59.486763 89.034 168.2932
59.917828 89.007 168.0671
60.352018 88.980 167.8427
60.789353 88.953 167.6202
61.229858 88.926 167.3996
61.673555 88.898 167.1810
62.120467 88.871 166.9646
62.570617 88.843 166.7504
63.024030 88.815 166.5384
63.480728 88.787 166.3286
63.940735 88.758 166.1208
64.404076 88.730 165.9151
64.870775 88.701 165.7113
65.340855 88.672 165.5094
65.814342 88.644 165.3092
66.291260 88.614 165.1107
66.771634 88.585 164.9138
67.255488 88.556 164.7186
67.742849 88.526 164.5249
68.233742 88.497 164.3328
68.728192 88.467 164.1425
69.226225 88.436 163.9540
69.727866 88.406 163.7675
70.233143 88.375 163.5832
70.742082 88.344 163.4016
71.254708 88.313 163.2227
71.771049 88.281 163.0468
72.291131 88.250 162.8738
72.814983 88.218 162.7035
73.342630 88.186 162.5359
73.874101 88.154 162.3712
74.409423 88.122 162.2095
74.948625 88.090 162.0509
75.491733 88.058 161.8953
76.038777 88.026 161.7424
76.589786 87.994 161.5913
77.144787 87.962 161.4413
77.703810 87.931 161.2916
78.266884 87.899 161.1417
78.834038 87.867 160.9917
79.405302 87.835 160.8418
79.980705 87.803 160.6931
80.560278 87.770 160.5463
81.144051 87.736 160.4027
81.732055 87.703 160.2629
82.324319 87.669 160.1273
82.920875 87.635 159.9955
83.521754 87.601 159.8668
84.126987 87.568 159.7403
84.736605 87.534 159.6149
85.350642 87.501 159.4901
85.969128 87.467 159.3659
86.592096 87.433 159.2430
87.219578 87.398 159.1224
87.851607 87.364 159.0057
88.488216 87.328 158.8936
89.129438 87.293 158.7864
89.775306 87.258 158.6837
90.425855 87.223 158.5843
91.081118 87.188 158.4874
91.741129 87.154 158.3926
92.405924 87.119 158.2992
93.075535 87.085 158.2068
93.749999 87.051 158.1146
94.429350 87.017 158.0220
95.113624 86.982 157.9294
95.802856 86.947 157.8375
96.497083 86.912 157.7477
97.196341 86.876 157.6609
97.900666 86.839 157.5779
98.610094 86.803 157.4988
99.324664 86.766 157.4234
100.044411 86.730 157.3516
100.769374 86.693 157.2831
101.499591 86.656 157.2178
102.235098 86.619 157.1556
102.975936 86.583 157.0964
103.722142 86.546 157.0403
104.473756 86.509 156.9873
105.230815 86.472 156.9377
105.993361 86.436 156.8913
106.761433 86.400 156.8473
107.535070 86.364 156.8048
108.314314 86.328 156.7632
109.099204 86.292 156.7220
109.889782 86.256 156.6817
110.686088 86.220 156.6430
111.488165 86.184 156.6064
112.296055 86.147 156.5724
113.109798 86.111 156.5412
113.929438 86.074 156.5130
114.755018 86.038 156.4878
115.586580 86.001 156.4656
116.424168 85.965 156.4464
117.267826 85.929 156.4302
118.117597 85.892 156.4172
118.973525 85.856 156.4073
119.835657 85.820 156.4002
120.704035 85.784 156.3951
121.578706 85.748 156.3913
122.459716 85.713 156.3885
123.347109 85.677 156.3870
124.240933 85.641 156.3875
125.141234 85.605 156.3906
126.048059 85.568 156.3971
126.961456 85.532 156.4072
127.881471 85.496 156.4208
128.808153 85.460 156.4373
129.741550 85.423 156.4559
130.681710 85.387 156.4760
131.628684 85.351 156.4978
132.582520 85.315 156.5221
133.543267 85.279 156.5500
134.510977 85.243 156.5821
135.485699 85.207 156.6180
136.467484 85.172 156.6563
137.456384 85.137 156.6958
138.452449 85.103 156.7352
139.455733 85.068 156.7742
140.466286 85.034 156.8143
141.484163 84.999 156.8575
142.509416 84.964 156.9053
143.542098 84.929 156.9575
144.582263 84.895 157.0129
145.629965 84.861 157.0708
146.685260 84.827 157.1310
147.748202 84.793 157.1938
148.818846 84.759 157.2595
149.897249 84.725 157.3281
150.983466 84.691 157.3998
152.077555 84.658 157.4747
153.179572 84.624 157.5527
154.289574 84.591 157.6331
155.407620 84.558 157.7151
156.533767 84.526 157.7986
157.668076 84.493 157.8840
158.810603 84.460 157.9720
159.961411 84.427 158.0632
161.120557 84.395 158.1582
162.288103 84.363 158.2570
163.464109 84.331 158.3589
164.648638 84.299 158.4626
165.841750 84.268 158.5670
167.043507 84.238 158.6718
168.253973 84.207 158.7779
169.473211 84.176 158.8862
170.701284 84.145 158.9972
171.938256 84.115 159.1107
173.184191 84.085 159.2266
174.439155 84.054 159.3448
175.703213 84.024 159.4665
176.976431 83.994 159.5920
178.258875 83.965 159.7205
179.550613 83.936 159.8506
180.851710 83.908 159.9815
182.162236 83.880 160.1127
183.482259 83.852 160.2435
184.811847 83.825 160.3737
186.151070 83.797 160.5046
187.499997 83.769 160.6384
188.858700 83.742 160.7762
190.227248 83.714 160.9173
191.605713 83.687 161.0607
192.994167 83.660 161.2062
194.392682 83.633 161.3540
195.801331 83.607 161.5040
197.220189 83.581 161.6560
198.649327 83.554 161.8099
200.088822 83.529 161.9664
201.538748 83.503 162.1257
202.999181 83.478 162.2875
204.470197 83.453 162.4517
205.951872 83.428 162.6185
207.444284 83.404 162.7888
208.947511 83.380 162.9632
210.461631 83.357 163.1416
211.986723 83.334 163.3240
213.522866 83.312 163.5109
215.070141 83.291 163.7011
216.628627 83.271 163.8924
218.198408 83.252 164.0847
219.779563 83.233 164.2806
221.372177 83.215 164.4813
222.976331 83.199 164.6820
224.592109 83.183 164.8771
226.219596 83.169 165.0668
227.858877 83.154 165.2543
229.510036 83.140 165.4392
231.173160 83.127 165.6194
232.848336 83.114 165.7955
234.535651 83.101 165.9692
236.235193 83.088 166.1409
237.947051 83.076 166.3095
239.671313 83.063 166.4742
241.408071 83.051 166.6349
243.157413 83.038 166.7929
244.919432 83.024 166.9514
246.694219 83.011 167.1132
248.481867 82.997 167.2785
250.282469 82.984 167.4453
252.096119 82.971 167.6124
253.922911 82.957 167.7811
255.762941 82.944 167.9531
257.616305 82.931 168.1281
259.483099 82.919 168.3038
261.363421 82.906 168.4808
263.257368 82.894 168.6611
265.165039 82.882 168.8441
267.086534 82.870 169.0275
269.021953 82.859 169.2104
270.971397 82.848 169.3935
272.934968 82.837 169.5764
274.912767 82.827 169.7579
276.904898 82.817 169.9366
278.911465 82.808 170.1132
280.932573 82.798 170.2896
282.968326 82.789 170.4675
285.018831 82.779 170.6483
287.084195 82.771 170.8320
289.164526 82.763 171.0157
291.259931 82.755 171.1965
293.370520 82.747 171.3760
295.496404 82.739 171.5573
297.637693 82.731 171.7416
299.794498 82.724 171.9271
301.966933 82.717 172.1120
304.155110 82.711 172.2950
306.359143 82.705 172.4758
308.579148 82.699 172.6557
310.815239 82.694 172.8369
313.067535 82.688 173.0206
315.336151 82.683 173.2062
317.621207 82.679 173.3915
319.922821 82.675 173.5740
322.241114 82.671 173.7520
324.576206 82.668 173.9274
326.928219 82.664 174.1037
329.297275 82.661 174.2819
331.683499 82.658 174.4604
334.087014 82.655 174.6376
336.507947 82.651 174.8137
338.946422 82.648 174.9902
341.402567 82.646 175.1667
343.876511 82.643 175.3406
346.368382 82.641 175.5117
348.878310 82.639 175.6812
351.406426 82.638 175.8503
353.952862 82.636 176.0191
356.517750 82.635 176.1874
359.101225 82.633 176.3553
361.703421 82.632 176.5224
364.324473 82.631 176.6898
366.964518 82.630 176.8587
369.623694 82.630 177.0285
372.302140 82.629 177.1968
374.999995 82.629 177.3633
377.717399 82.629 177.5285
380.454495 82.629 177.6941
