* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:29:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R Brown Damper + AET 06 Tips
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 90.180 -140.6640
20.140070 90.194 -141.0999
20.286013 90.209 -141.5347
20.433014 90.222 -141.9686
20.581080 90.236 -142.4014
20.730219 90.249 -142.8331
20.880438 90.261 -143.2639
21.031747 90.274 -143.6936
21.184151 90.286 -144.1224
21.337660 90.297 -144.5501
21.492282 90.309 -144.9770
21.648024 90.320 -145.4029
21.804894 90.330 -145.8279
21.962902 90.341 -146.2521
22.122054 90.351 -146.6753
22.282359 90.360 -147.0977
22.443827 90.370 -147.5192
22.606464 90.379 -147.9398
22.770280 90.387 -148.3595
22.935282 90.396 -148.7783
23.101481 90.404 -149.1962
23.268884 90.411 -149.6132
23.437500 90.419 -150.0292
23.607337 90.425 -150.4443
23.778406 90.432 -150.8584
23.950714 90.438 -151.2715
24.124271 90.444 -151.6836
24.299085 90.450 -152.0948
24.475166 90.455 -152.5050
24.652524 90.460 -152.9142
24.831166 90.465 -153.3225
25.011103 90.469 -153.7299
25.192344 90.473 -154.1364
25.374898 90.476 -154.5419
25.558775 90.479 -154.9465
25.743984 90.482 -155.3502
25.930536 90.485 -155.7530
26.118439 90.487 -156.1547
26.307704 90.489 -156.5554
26.498340 90.490 -156.9551
26.690358 90.491 -157.3536
26.883768 90.492 -157.7510
27.078578 90.493 -158.1471
27.274801 90.493 -158.5419
27.472445 90.492 -158.9354
27.671522 90.492 -159.3276
27.872041 90.491 -159.7184
28.074014 90.490 -160.1079
28.277450 90.488 -160.4960
28.482360 90.486 -160.8828
28.688755 90.484 -161.2683
28.896645 90.482 -161.6526
29.106042 90.479 -162.0357
29.316956 90.476 -162.4176
29.529399 90.472 -162.7983
29.743381 90.469 -163.1778
29.958914 90.465 -163.5561
30.176009 90.461 -163.9333
30.394677 90.456 -164.3091
30.614929 90.451 -164.6837
30.836777 90.446 -165.0570
31.060233 90.440 -165.4289
31.285309 90.434 -165.7994
31.512015 90.428 -166.1685
31.740364 90.422 -166.5362
31.970368 90.415 -166.9025
32.202038 90.408 -167.2673
32.435387 90.401 -167.6308
32.670428 90.393 -167.9929
32.907171 90.386 -168.3536
33.145630 90.377 -168.7129
33.385817 90.369 -169.0709
33.627744 90.360 -169.4275
33.871425 90.351 -169.7826
34.116871 90.342 -170.1364
34.364096 90.333 -170.4887
34.613112 90.323 -170.8396
34.863933 90.313 -171.1891
35.116572 90.303 -171.5372
35.371041 90.292 -171.8839
35.627354 90.281 -172.2292
35.885524 90.270 -172.5732
36.145566 90.259 -172.9158
36.407491 90.247 -173.2570
36.671315 90.235 -173.5969
36.937051 90.223 -173.9354
37.204712 90.211 -174.2725
37.474312 90.198 -174.6082
37.745867 90.185 -174.9424
38.019389 90.172 -175.2752
38.294893 90.158 -175.6065
38.572393 90.145 -175.9362
38.851905 90.131 -176.2646
39.133442 90.116 -176.5915
39.417019 90.102 -176.9170
39.702651 90.087 -177.2413
39.990353 90.072 -177.5643
40.280139 90.057 -177.8862
40.572026 90.042 -178.2068
40.866027 90.026 -178.5263
41.162159 90.010 -178.8443
41.460437 89.993 -179.1608
41.760877 89.976 -179.4756
42.063493 89.959 -179.7883
42.368303 89.942 179.9011
42.675321 89.924 179.5929
42.984564 89.906 179.2871
43.296048 89.888 178.9838
43.609789 89.870 178.6827
43.925803 89.851 178.3837
44.244108 89.833 178.0863
44.564719 89.814 177.7903
44.887653 89.796 177.4952
45.212928 89.777 177.2009
45.540559 89.758 176.9071
45.870565 89.739 176.6138
46.202962 89.719 176.3212
46.537767 89.700 176.0294
46.874999 89.679 175.7387
47.214675 89.659 175.4496
47.556812 89.638 175.1624
47.901428 89.616 174.8773
48.248542 89.595 174.5945
48.598170 89.573 174.3141
48.950333 89.551 174.0363
49.305047 89.528 173.7609
49.662332 89.506 173.4879
50.022206 89.483 173.2172
50.384687 89.460 172.9488
50.749795 89.437 172.6823
51.117549 89.414 172.4177
51.487968 89.390 172.1545
51.861071 89.367 171.8926
52.236878 89.343 171.6317
52.615408 89.320 171.3718
52.996681 89.296 171.1129
53.380716 89.271 170.8553
53.767535 89.246 170.5996
54.157157 89.221 170.3459
54.549602 89.196 170.0946
54.944891 89.170 169.8459
55.343044 89.144 169.5999
55.744083 89.118 169.3563
56.148027 89.092 169.1151
56.554899 89.066 168.8761
56.964719 89.039 168.6392
57.377509 89.013 168.4044
57.793290 88.986 168.1713
58.212084 88.960 167.9400
58.633913 88.933 167.7101
59.058798 88.906 167.4816
59.486763 88.879 167.2542
59.917828 88.852 167.0275
60.352018 88.824 166.8017
60.789353 88.797 166.5768
61.229858 88.769 166.3529
61.673555 88.741 166.1305
62.120467 88.712 165.9100
62.570617 88.683 165.6921
63.024030 88.653 165.4771
63.480728 88.624 165.2654
63.940735 88.594 165.0569
64.404076 88.564 164.8514
64.870775 88.535 164.6484
65.340855 88.505 164.4473
65.814342 88.475 164.2472
66.291260 88.446 164.0477
66.771634 88.416 163.8486
67.255488 88.385 163.6500
67.742849 88.355 163.4525
68.233742 88.324 163.2566
68.728192 88.292 163.0630
69.226225 88.261 162.8726
69.727866 88.228 162.6857
70.233143 88.196 162.5028
70.742082 88.163 162.3242
71.254708 88.131 162.1498
71.771049 88.098 161.9794
72.291131 88.066 161.8120
72.814983 88.034 161.6466
73.342630 88.002 161.4821
73.874101 87.970 161.3174
74.409423 87.938 161.1519
74.948625 87.906 160.9861
75.491733 87.874 160.8205
76.038777 87.841 160.6564
76.589786 87.807 160.4948
77.144787 87.773 160.3364
77.703810 87.739 160.1815
78.266884 87.705 160.0300
78.834038 87.670 159.8818
79.405302 87.636 159.7367
79.980705 87.601 159.5945
80.560278 87.566 159.4551
81.144051 87.531 159.3186
81.732055 87.495 159.1849
82.324319 87.460 159.0542
82.920875 87.424 158.9268
83.521754 87.388 158.8031
84.126987 87.353 158.6834
84.736605 87.317 158.5677
85.350642 87.282 158.4553
85.969128 87.246 158.3452
86.592096 87.212 158.2361
87.219578 87.177 158.1271
87.851607 87.143 158.0176
88.488216 87.108 157.9077
89.129438 87.073 157.7979
89.775306 87.038 157.6887
90.425855 87.003 157.5806
91.081118 86.967 157.4743
91.741129 86.931 157.3703
92.405924 86.895 157.2692
93.075535 86.858 157.1713
93.749999 86.822 157.0764
94.429350 86.785 156.9844
95.113624 86.748 156.8951
95.802856 86.711 156.8085
96.497083 86.674 156.7248
97.196341 86.637 156.6440
97.900666 86.600 156.5662
98.610094 86.562 156.4911
99.324664 86.525 156.4191
100.044411 86.487 156.3505
100.769374 86.449 156.2859
101.499591 86.411 156.2253
102.235098 86.373 156.1684
102.975936 86.335 156.1145
103.722142 86.298 156.0630
104.473756 86.260 156.0139
105.230815 86.222 155.9669
105.993361 86.185 155.9219
106.761433 86.147 155.8785
107.535070 86.109 155.8363
108.314314 86.071 155.7959
109.099204 86.033 155.7581
109.889782 85.995 155.7242
110.686088 85.956 155.6951
111.488165 85.918 155.6711
112.296055 85.880 155.6512
113.109798 85.842 155.6341
113.929438 85.805 155.6176
114.755018 85.769 155.6002
115.586580 85.732 155.5814
116.424168 85.695 155.5627
117.267826 85.657 155.5458
118.117597 85.620 155.5317
118.973525 85.582 155.5201
119.835657 85.545 155.5107
120.704035 85.507 155.5040
121.578706 85.468 155.5011
122.459716 85.430 155.5029
123.347109 85.392 155.5089
124.240933 85.355 155.5177
125.141234 85.317 155.5284
126.048059 85.279 155.5411
126.961456 85.242 155.5562
127.881471 85.204 155.5739
128.808153 85.167 155.5939
129.741550 85.129 155.6165
130.681710 85.091 155.6423
131.628684 85.054 155.6719
132.582520 85.016 155.7048
133.543267 84.979 155.7400
134.510977 84.941 155.7775
135.485699 84.904 155.8181
136.467484 84.866 155.8632
137.456384 84.828 155.9131
138.452449 84.791 155.9672
139.455733 84.754 156.0243
140.466286 84.718 156.0835
141.484163 84.682 156.1443
142.509416 84.646 156.2065
143.542098 84.610 156.2695
144.582263 84.574 156.3334
145.629965 84.538 156.3983
146.685260 84.503 156.4652
147.748202 84.467 156.5351
148.818846 84.431 156.6083
149.897249 84.395 156.6848
150.983466 84.360 156.7646
152.077555 84.324 156.8481
153.179572 84.289 156.9353
154.289574 84.254 157.0259
155.407620 84.219 157.1190
156.533767 84.185 157.2139
157.668076 84.151 157.3105
158.810603 84.117 157.4088
159.961411 84.083 157.5085
161.120557 84.049 157.6104
162.288103 84.015 157.7156
163.464109 83.981 157.8250
164.648638 83.947 157.9379
165.841750 83.914 158.0532
167.043507 83.882 158.1695
168.253973 83.849 158.2862
169.473211 83.817 158.4036
170.701284 83.785 158.5234
171.938256 83.752 158.6482
173.184191 83.719 158.7803
174.439155 83.687 158.9199
175.703213 83.656 159.0632
176.976431 83.626 159.2066
178.258875 83.596 159.3498
179.550613 83.566 159.4941
180.851710 83.536 159.6396
182.162236 83.507 159.7854
183.482259 83.477 159.9323
184.811847 83.447 160.0825
186.151070 83.417 160.2368
187.499997 83.388 160.3941
188.858700 83.359 160.5531
190.227248 83.330 160.7139
191.605713 83.302 160.8776
192.994167 83.273 161.0452
194.392682 83.245 161.2160
195.801331 83.218 161.3893
197.220189 83.190 161.5663
198.649327 83.163 161.7493
200.088822 83.137 161.9385
201.538748 83.111 162.1316
202.999181 83.087 162.3253
204.470197 83.063 162.5177
205.951872 83.040 162.7098
207.444284 83.017 162.9050
208.947511 82.994 163.1048
210.461631 82.973 163.3082
211.986723 82.952 163.5129
213.522866 82.933 163.7173
215.070141 82.915 163.9196
216.628627 82.898 164.1177
218.198408 82.881 164.3109
219.779563 82.865 164.5004
221.372177 82.848 164.6894
222.976331 82.831 164.8804
224.592109 82.814 165.0744
226.219596 82.797 165.2719
227.858877 82.780 165.4721
229.510036 82.765 165.6735
231.173160 82.750 165.8737
232.848336 82.735 166.0707
234.535651 82.721 166.2638
236.235193 82.708 166.4552
237.947051 82.694 166.6481
239.671313 82.682 166.8423
241.408071 82.670 167.0353
243.157413 82.659 167.2256
244.919432 82.648 167.4123
246.694219 82.637 167.5957
248.481867 82.626 167.7771
250.282469 82.614 167.9590
252.096119 82.602 168.1426
253.922911 82.589 168.3274
255.762941 82.577 168.5132
257.616305 82.565 168.7016
259.483099 82.552 168.8932
261.363421 82.540 169.0869
263.257368 82.529 169.2807
265.165039 82.518 169.4735
267.086534 82.507 169.6659
269.021953 82.497 169.8593
270.971397 82.487 170.0539
272.934968 82.478 170.2491
274.912767 82.469 170.4445
276.904898 82.460 170.6402
278.911465 82.451 170.8374
280.932573 82.443 171.0368
282.968326 82.436 171.2368
285.018831 82.429 171.4360
287.084195 82.422 171.6340
289.164526 82.416 171.8311
291.259931 82.409 172.0267
293.370520 82.403 172.2220
295.496404 82.396 172.4199
297.637693 82.390 172.6217
299.794498 82.385 172.8250
301.966933 82.380 173.0254
304.155110 82.376 173.2212
306.359143 82.372 173.4144
308.579148 82.368 173.6079
310.815239 82.364 173.8022
313.067535 82.360 173.9966
315.336151 82.357 174.1909
317.621207 82.354 174.3864
319.922821 82.351 174.5829
322.241114 82.349 174.7786
324.576206 82.347 174.9711
326.928219 82.346 175.1599
329.297275 82.344 175.3465
331.683499 82.343 175.5317
334.087014 82.341 175.7170
336.507947 82.340 175.9032
338.946422 82.340 176.0892
341.402567 82.340 176.2739
343.876511 82.340 176.4581
346.368382 82.340 176.6426
348.878310 82.341 176.8260
351.406426 82.342 177.0073
353.952862 82.343 177.1873
356.517750 82.344 177.3671
359.101225 82.346 177.5464
361.703421 82.347 177.7245
364.324473 82.349 177.9012
366.964518 82.351 178.0770
369.623694 82.353 178.2532
372.302140 82.355 178.4297
374.999995 82.357 178.6052
377.717399 82.359 178.7795
380.454495 82.361 178.9531
