* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:19:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L Green Damper
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.639 -141.9913
20.140070 89.653 -142.4357
20.286013 89.666 -142.8789
20.433014 89.679 -143.3208
20.581080 89.691 -143.7615
20.730219 89.704 -144.2009
20.880438 89.716 -144.6392
21.031747 89.728 -145.0764
21.184151 89.739 -145.5125
21.337660 89.750 -145.9476
21.492282 89.761 -146.3818
21.648024 89.772 -146.8152
21.804894 89.782 -147.2478
21.962902 89.792 -147.6798
22.122054 89.802 -148.1113
22.282359 89.812 -148.5424
22.443827 89.822 -148.9730
22.606464 89.831 -149.4033
22.770280 89.839 -149.8333
22.935282 89.848 -150.2631
23.101481 89.856 -150.6926
23.268884 89.864 -151.1218
23.437500 89.872 -151.5508
23.607337 89.879 -151.9796
23.778406 89.886 -152.4081
23.950714 89.892 -152.8363
24.124271 89.898 -153.2643
24.299085 89.904 -153.6921
24.475166 89.909 -154.1196
24.652524 89.914 -154.5470
24.831166 89.919 -154.9740
25.011103 89.923 -155.4009
25.192344 89.926 -155.8274
25.374898 89.929 -156.2536
25.558775 89.932 -156.6793
25.743984 89.934 -157.1043
25.930536 89.935 -157.5284
26.118439 89.936 -157.9515
26.307704 89.936 -158.3730
26.498340 89.936 -158.7928
26.690358 89.935 -159.2105
26.883768 89.933 -159.6257
27.078578 89.931 -160.0381
27.274801 89.928 -160.4474
27.472445 89.925 -160.8533
27.671522 89.922 -161.2557
27.872041 89.918 -161.6544
28.074014 89.914 -162.0496
28.277450 89.909 -162.4413
28.482360 89.905 -162.8297
28.688755 89.900 -163.2151
28.896645 89.895 -163.5977
29.106042 89.890 -163.9779
29.316956 89.885 -164.3560
29.529399 89.880 -164.7324
29.743381 89.875 -165.1073
29.958914 89.870 -165.4811
30.176009 89.865 -165.8540
30.394677 89.860 -166.2260
30.614929 89.854 -166.5975
30.836777 89.849 -166.9684
31.060233 89.843 -167.3388
31.285309 89.837 -167.7087
31.512015 89.830 -168.0781
31.740364 89.824 -168.4469
31.970368 89.817 -168.8151
32.202038 89.809 -169.1827
32.435387 89.802 -169.5495
32.670428 89.794 -169.9154
32.907171 89.785 -170.2804
33.145630 89.777 -170.6444
33.385817 89.767 -171.0074
33.627744 89.758 -171.3691
33.871425 89.748 -171.7297
34.116871 89.738 -172.0890
34.364096 89.727 -172.4470
34.613112 89.716 -172.8036
34.863933 89.705 -173.1589
35.116572 89.693 -173.5128
35.371041 89.681 -173.8653
35.627354 89.669 -174.2164
35.885524 89.656 -174.5659
36.145566 89.643 -174.9137
36.407491 89.629 -175.2599
36.671315 89.615 -175.6042
36.937051 89.601 -175.9466
37.204712 89.586 -176.2869
37.474312 89.571 -176.6251
37.745867 89.556 -176.9610
38.019389 89.541 -177.2946
38.294893 89.525 -177.6260
38.572393 89.509 -177.9551
38.851905 89.492 -178.2821
39.133442 89.476 -178.6071
39.417019 89.459 -178.9302
39.702651 89.443 -179.2518
39.990353 89.426 -179.5719
40.280139 89.409 -179.8907
40.572026 89.392 179.7916
40.866027 89.374 179.4749
41.162159 89.357 179.1590
41.460437 89.339 178.8439
41.760877 89.321 178.5295
42.063493 89.302 178.2161
42.368303 89.283 177.9037
42.675321 89.264 177.5925
42.984564 89.244 177.2828
43.296048 89.224 176.9750
43.609789 89.204 176.6692
43.925803 89.183 176.3659
44.244108 89.162 176.0653
44.564719 89.141 175.7676
44.887653 89.119 175.4731
45.212928 89.097 175.1816
45.540559 89.075 174.8933
45.870565 89.053 174.6081
46.202962 89.031 174.3258
46.537767 89.009 174.0461
46.874999 88.987 173.7687
47.214675 88.965 173.4933
47.556812 88.943 173.2194
47.901428 88.921 172.9466
48.248542 88.899 172.6744
48.598170 88.877 172.4027
48.950333 88.855 172.1313
49.305047 88.832 171.8601
49.662332 88.810 171.5893
50.022206 88.787 171.3191
50.384687 88.764 171.0496
50.749795 88.741 170.7810
51.117549 88.718 170.5134
51.487968 88.694 170.2468
51.861071 88.670 169.9811
52.236878 88.646 169.7163
52.615408 88.621 169.4524
52.996681 88.597 169.1895
53.380716 88.571 168.9278
53.767535 88.546 168.6675
54.157157 88.520 168.4088
54.549602 88.494 168.1520
54.944891 88.467 167.8969
55.343044 88.440 167.6436
55.744083 88.413 167.3918
56.148027 88.386 167.1414
56.554899 88.358 166.8921
56.964719 88.330 166.6441
57.377509 88.301 166.3977
57.793290 88.272 166.1536
58.212084 88.242 165.9125
58.633913 88.212 165.6750
59.058798 88.182 165.4416
59.486763 88.151 165.2122
59.917828 88.120 164.9866
60.352018 88.089 164.7642
60.789353 88.059 164.5442
61.229858 88.028 164.3263
61.673555 87.997 164.1100
62.120467 87.966 163.8954
62.570617 87.934 163.6826
63.024030 87.903 163.4716
63.480728 87.871 163.2626
63.940735 87.839 163.0556
64.404076 87.807 162.8506
64.870775 87.775 162.6475
65.340855 87.743 162.4463
65.814342 87.710 162.2470
66.291260 87.677 162.0497
66.771634 87.644 161.8543
67.255488 87.611 161.6610
67.742849 87.577 161.4699
68.233742 87.544 161.2811
68.728192 87.510 161.0949
69.226225 87.475 160.9118
69.727866 87.441 160.7322
70.233143 87.406 160.5563
70.742082 87.371 160.3838
71.254708 87.337 160.2140
71.771049 87.302 160.0460
72.291131 87.268 159.8788
72.814983 87.233 159.7120
73.342630 87.199 159.5453
73.874101 87.164 159.3794
74.409423 87.128 159.2148
74.948625 87.093 159.0527
75.491733 87.056 158.8937
76.038777 87.020 158.7386
76.589786 86.983 158.5877
77.144787 86.946 158.4413
77.703810 86.909 158.2990
78.266884 86.872 158.1606
78.834038 86.835 158.0256
79.405302 86.798 157.8933
79.980705 86.761 157.7634
80.560278 86.724 157.6359
81.144051 86.687 157.5110
81.732055 86.650 157.3889
82.324319 86.613 157.2698
82.920875 86.576 157.1537
83.521754 86.539 157.0403
84.126987 86.501 156.9293
84.736605 86.464 156.8208
85.350642 86.426 156.7151
85.969128 86.387 156.6131
86.592096 86.348 156.5155
87.219578 86.309 156.4230
87.851607 86.269 156.3361
88.488216 86.228 156.2544
89.129438 86.187 156.1775
89.775306 86.146 156.1049
90.425855 86.103 156.0374
91.081118 86.059 155.9777
91.741129 86.014 155.9313
92.405924 85.967 155.9064
93.075535 85.921 155.9117
93.749999 85.878 155.9506
94.429350 85.842 156.0140
95.113624 85.814 156.0760
95.802856 85.795 156.1003
96.497083 85.781 156.0560
97.196341 85.765 155.9340
97.900666 85.743 155.7530
98.610094 85.712 155.5480
99.324664 85.673 155.3524
100.044411 85.629 155.1853
100.769374 85.583 155.0492
101.499591 85.537 154.9374
102.235098 85.492 154.8414
102.975936 85.448 154.7547
103.722142 85.404 154.6742
104.473756 85.362 154.5985
105.230815 85.319 154.5275
105.993361 85.277 154.4611
106.761433 85.234 154.3999
107.535070 85.191 154.3449
108.314314 85.148 154.2975
109.099204 85.105 154.2585
109.889782 85.061 154.2277
110.686088 85.018 154.2031
111.488165 84.976 154.1825
112.296055 84.933 154.1644
113.109798 84.889 154.1488
113.929438 84.845 154.1371
114.755018 84.800 154.1314
115.586580 84.755 154.1330
116.424168 84.709 154.1422
117.267826 84.664 154.1578
118.117597 84.618 154.1781
118.973525 84.572 154.2015
119.835657 84.525 154.2286
120.704035 84.477 154.2620
121.578706 84.428 154.3058
122.459716 84.378 154.3629
123.347109 84.327 154.4341
124.240933 84.277 154.5189
125.141234 84.225 154.6174
126.048059 84.173 154.7312
126.961456 84.121 154.8650
127.881471 84.068 155.0250
128.808153 84.015 155.2160
129.741550 83.964 155.4396
130.681710 83.916 155.6935
131.628684 83.872 155.9738
132.582520 83.832 156.2781
133.543267 83.798 156.6041
134.510977 83.770 156.9467
135.485699 83.751 157.2940
136.467484 83.741 157.6284
137.456384 83.739 157.9299
138.452449 83.743 158.1812
139.455733 83.750 158.3724
140.466286 83.758 158.5087
141.484163 83.762 158.6151
142.509416 83.765 158.7265
143.542098 83.772 158.8578
144.582263 83.788 158.9810
145.629965 83.811 159.0447
146.685260 83.835 159.0195
147.748202 83.856 158.9160
148.818846 83.868 158.7648
149.897249 83.871 158.5937
150.983466 83.866 158.4218
152.077555 83.853 158.2608
153.179572 83.835 158.1168
154.289574 83.813 157.9909
155.407620 83.787 157.8827
156.533767 83.757 157.7935
157.668076 83.725 157.7256
158.810603 83.692 157.6797
159.961411 83.659 157.6521
161.120557 83.627 157.6352
162.288103 83.594 157.6223
163.464109 83.561 157.6118
164.648638 83.528 157.6067
165.841750 83.493 157.6107
167.043507 83.458 157.6257
168.253973 83.423 157.6518
169.473211 83.389 157.6879
170.701284 83.355 157.7321
171.938256 83.322 157.7818
173.184191 83.290 157.8333
174.439155 83.259 157.8831
175.703213 83.227 157.9304
176.976431 83.195 157.9775
178.258875 83.163 158.0279
179.550613 83.130 158.0833
180.851710 83.096 158.1432
182.162236 83.063 158.2072
183.482259 83.029 158.2765
184.811847 82.995 158.3529
186.151070 82.961 158.4365
187.499997 82.927 158.5258
188.858700 82.893 158.6193
190.227248 82.860 158.7166
191.605713 82.827 158.8184
192.994167 82.794 158.9240
194.392682 82.762 159.0315
195.801331 82.730 159.1405
197.220189 82.698 159.2534
198.649327 82.666 159.3720
200.088822 82.634 159.4959
201.538748 82.604 159.6229
202.999181 82.573 159.7515
204.470197 82.543 159.8824
205.951872 82.513 160.0176
207.444284 82.483 160.1591
208.947511 82.453 160.3063
210.461631 82.425 160.4568
211.986723 82.397 160.6097
213.522866 82.369 160.7650
215.070141 82.342 160.9222
216.628627 82.315 161.0814
218.198408 82.288 161.2434
219.779563 82.262 161.4083
221.372177 82.236 161.5764
222.976331 82.210 161.7481
224.592109 82.184 161.9231
226.219596 82.158 162.1013
227.858877 82.132 162.2851
229.510036 82.107 162.4762
231.173160 82.082 162.6736
232.848336 82.058 162.8762
234.535651 82.035 163.0852
236.235193 82.012 163.3009
237.947051 81.991 163.5211
239.671313 81.970 163.7458
241.408071 81.950 163.9781
243.157413 81.931 164.2198
244.919432 81.915 164.4697
246.694219 81.900 164.7254
248.481867 81.888 164.9836
250.282469 81.879 165.2407
252.096119 81.872 165.4948
253.922911 81.868 165.7440
255.762941 81.867 165.9830
257.616305 81.868 166.2066
259.483099 81.871 166.4119
261.363421 81.875 166.5975
263.257368 81.879 166.7625
265.165039 81.884 166.9080
267.086534 81.887 167.0362
269.021953 81.890 167.1488
270.971397 81.891 167.2487
272.934968 81.890 167.3391
274.912767 81.887 167.4229
276.904898 81.882 167.5032
278.911465 81.875 167.5840
280.932573 81.867 167.6671
282.968326 81.856 167.7542
285.018831 81.845 167.8483
287.084195 81.833 167.9514
289.164526 81.820 168.0609
291.259931 81.808 168.1738
293.370520 81.795 168.2903
295.496404 81.782 168.4134
297.637693 81.770 168.5444
299.794498 81.758 168.6807
301.966933 81.746 168.8187
304.155110 81.734 168.9583
306.359143 81.722 169.1015
308.579148 81.710 169.2492
310.815239 81.699 169.4005
313.067535 81.689 169.5548
315.336151 81.679 169.7106
317.621207 81.670 169.8648
319.922821 81.661 170.0164
322.241114 81.652 170.1678
324.576206 81.643 170.3220
326.928219 81.635 170.4800
329.297275 81.627 170.6406
331.683499 81.619 170.8002
334.087014 81.613 170.9571
336.507947 81.606 171.1127
338.946422 81.599 171.2686
341.402567 81.593 171.4246
343.876511 81.587 171.5805
346.368382 81.582 171.7359
348.878310 81.577 171.8900
351.406426 81.572 172.0420
353.952862 81.568 172.1923
356.517750 81.563 172.3416
359.101225 81.559 172.4910
361.703421 81.554 172.6415
364.324473 81.550 172.7924
366.964518 81.546 172.9432
369.623694 81.542 173.0954
372.302140 81.539 173.2484
374.999995 81.537 173.3999
377.717399 81.534 173.5487
380.454495 81.532 173.6952
383.211425 81.529 173.8409
