* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:19:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R Green Damper
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.684 -143.7326
20.140070 89.697 -144.1713
20.286013 89.709 -144.6089
20.433014 89.721 -145.0454
20.581080 89.732 -145.4810
20.730219 89.743 -145.9155
20.880438 89.754 -146.3491
21.031747 89.764 -146.7818
21.184151 89.774 -147.2136
21.337660 89.784 -147.6446
21.492282 89.793 -148.0747
21.648024 89.802 -148.5040
21.804894 89.811 -148.9325
21.962902 89.820 -149.3603
22.122054 89.828 -149.7873
22.282359 89.836 -150.2135
22.443827 89.843 -150.6390
22.606464 89.850 -151.0638
22.770280 89.857 -151.4878
22.935282 89.863 -151.9111
23.101481 89.869 -152.3335
23.268884 89.875 -152.7552
23.437500 89.880 -153.1761
23.607337 89.885 -153.5961
23.778406 89.889 -154.0152
23.950714 89.894 -154.4334
24.124271 89.897 -154.8507
24.299085 89.901 -155.2670
24.475166 89.904 -155.6823
24.652524 89.906 -156.0964
24.831166 89.908 -156.5094
25.011103 89.910 -156.9211
25.192344 89.912 -157.3316
25.374898 89.913 -157.7407
25.558775 89.913 -158.1484
25.743984 89.914 -158.5546
25.930536 89.914 -158.9593
26.118439 89.913 -159.3624
26.307704 89.913 -159.7639
26.498340 89.912 -160.1639
26.690358 89.910 -160.5623
26.883768 89.909 -160.9592
27.078578 89.907 -161.3546
27.274801 89.905 -161.7485
27.472445 89.903 -162.1412
27.671522 89.900 -162.5325
27.872041 89.897 -162.9227
28.074014 89.894 -163.3118
28.277450 89.891 -163.6999
28.482360 89.887 -164.0871
28.688755 89.883 -164.4734
28.896645 89.879 -164.8589
29.106042 89.875 -165.2436
29.316956 89.870 -165.6276
29.529399 89.865 -166.0108
29.743381 89.860 -166.3933
29.958914 89.854 -166.7751
30.176009 89.848 -167.1560
30.394677 89.842 -167.5361
30.614929 89.835 -167.9154
30.836777 89.828 -168.2937
31.060233 89.820 -168.6709
31.285309 89.813 -169.0471
31.512015 89.804 -169.4220
31.740364 89.796 -169.7956
31.970368 89.787 -170.1679
32.202038 89.777 -170.5386
32.435387 89.767 -170.9076
32.670428 89.757 -171.2750
32.907171 89.747 -171.6406
33.145630 89.736 -172.0043
33.385817 89.725 -172.3662
33.627744 89.713 -172.7262
33.871425 89.702 -173.0843
34.116871 89.689 -173.4405
34.364096 89.677 -173.7950
34.613112 89.665 -174.1477
34.863933 89.652 -174.4987
35.116572 89.639 -174.8481
35.371041 89.625 -175.1959
35.627354 89.612 -175.5421
35.885524 89.598 -175.8868
36.145566 89.583 -176.2299
36.407491 89.569 -176.5715
36.671315 89.554 -176.9113
36.937051 89.539 -177.2495
37.204712 89.524 -177.5860
37.474312 89.508 -177.9207
37.745867 89.493 -178.2537
38.019389 89.477 -178.5849
38.294893 89.460 -178.9143
38.572393 89.444 -179.2421
38.851905 89.427 -179.5684
39.133442 89.410 -179.8932
39.417019 89.393 179.7834
39.702651 89.376 179.4611
39.990353 89.359 179.1401
40.280139 89.341 178.8201
40.572026 89.323 178.5012
40.866027 89.304 178.1835
41.162159 89.286 177.8672
41.460437 89.267 177.5523
41.760877 89.247 177.2392
42.063493 89.227 176.9279
42.368303 89.207 176.6185
42.675321 89.187 176.3113
42.984564 89.166 176.0064
43.296048 89.145 175.7037
43.609789 89.124 175.4034
43.925803 89.102 175.1053
44.244108 89.081 174.8097
44.564719 89.059 174.5165
44.887653 89.037 174.2257
45.212928 89.015 173.9373
45.540559 88.992 173.6509
45.870565 88.970 173.3666
46.202962 88.947 173.0840
46.537767 88.925 172.8027
46.874999 88.902 172.5225
47.214675 88.880 172.2432
47.556812 88.857 171.9647
47.901428 88.834 171.6870
48.248542 88.810 171.4101
48.598170 88.787 171.1340
48.950333 88.763 170.8589
49.305047 88.739 170.5848
49.662332 88.715 170.3117
50.022206 88.690 170.0396
50.384687 88.665 169.7686
50.749795 88.640 169.4988
51.117549 88.614 169.2307
51.487968 88.588 168.9644
51.861071 88.562 168.7003
52.236878 88.535 168.4387
52.615408 88.508 168.1796
52.996681 88.481 167.9229
53.380716 88.454 167.6686
53.767535 88.427 167.4164
54.157157 88.399 167.1662
54.549602 88.371 166.9178
54.944891 88.343 166.6712
55.343044 88.315 166.4266
55.744083 88.286 166.1838
56.148027 88.258 165.9431
56.554899 88.229 165.7040
56.964719 88.200 165.4666
57.377509 88.171 165.2303
57.793290 88.142 164.9950
58.212084 88.112 164.7608
58.633913 88.082 164.5279
59.058798 88.052 164.2968
59.486763 88.021 164.0683
59.917828 87.990 163.8428
60.352018 87.958 163.6210
60.789353 87.926 163.4030
61.229858 87.894 163.1885
61.673555 87.862 162.9774
62.120467 87.830 162.7689
62.570617 87.798 162.5625
63.024030 87.766 162.3577
63.480728 87.734 162.1541
63.940735 87.701 161.9515
64.404076 87.669 161.7501
64.870775 87.636 161.5498
65.340855 87.603 161.3511
65.814342 87.569 161.1544
66.291260 87.535 160.9601
66.771634 87.501 160.7685
67.255488 87.467 160.5799
67.742849 87.432 160.3945
68.233742 87.398 160.2125
68.728192 87.363 160.0336
69.226225 87.328 159.8579
69.727866 87.293 159.6850
70.233143 87.259 159.5143
70.742082 87.224 159.3454
71.254708 87.189 159.1776
71.771049 87.155 159.0106
72.291131 87.120 158.8443
72.814983 87.085 158.6789
73.342630 87.049 158.5150
73.874101 87.014 158.3529
74.409423 86.978 158.1933
74.948625 86.942 158.0363
75.491733 86.905 157.8820
76.038777 86.869 157.7303
76.589786 86.833 157.5811
77.144787 86.796 157.4341
77.703810 86.759 157.2893
78.266884 86.722 157.1464
78.834038 86.685 157.0053
79.405302 86.648 156.8663
79.980705 86.611 156.7292
80.560278 86.574 156.5943
81.144051 86.536 156.4612
81.732055 86.499 156.3295
82.324319 86.461 156.1990
82.920875 86.423 156.0697
83.521754 86.385 155.9420
84.126987 86.346 155.8168
84.736605 86.307 155.6949
85.350642 86.267 155.5770
85.969128 86.228 155.4637
86.592096 86.188 155.3555
87.219578 86.148 155.2524
87.851607 86.109 155.1546
88.488216 86.069 155.0620
89.129438 86.030 154.9747
89.775306 85.991 154.8927
90.425855 85.953 154.8162
91.081118 85.915 154.7455
91.741129 85.878 154.6802
92.405924 85.843 154.6177
93.075535 85.810 154.5519
93.749999 85.778 154.4724
94.429350 85.746 154.3681
95.113624 85.712 154.2350
95.802856 85.673 154.0822
96.497083 85.627 153.9318
97.196341 85.575 153.8091
97.900666 85.520 153.7298
98.610094 85.466 153.6927
99.324664 85.414 153.6833
100.044411 85.365 153.6835
100.769374 85.319 153.6811
101.499591 85.274 153.6716
102.235098 85.229 153.6565
102.975936 85.184 153.6390
103.722142 85.139 153.6223
104.473756 85.093 153.6082
105.230815 85.048 153.5966
105.993361 85.003 153.5850
106.761433 84.957 153.5706
107.535070 84.912 153.5519
108.314314 84.865 153.5306
109.099204 84.816 153.5117
109.889782 84.766 153.5011
110.686088 84.714 153.5028
111.488165 84.662 153.5185
112.296055 84.609 153.5478
113.109798 84.556 153.5905
113.929438 84.502 153.6474
114.755018 84.448 153.7205
115.586580 84.395 153.8120
116.424168 84.341 153.9240
117.267826 84.289 154.0574
118.117597 84.238 154.2125
118.973525 84.190 154.3871
119.835657 84.146 154.5767
120.704035 84.104 154.7744
121.578706 84.066 154.9742
122.459716 84.031 155.1718
123.347109 83.998 155.3652
124.240933 83.966 155.5541
125.141234 83.934 155.7410
126.048059 83.903 155.9309
126.961456 83.872 156.1302
127.881471 83.841 156.3436
128.808153 83.812 156.5740
129.741550 83.786 156.8249
130.681710 83.764 157.0986
131.628684 83.747 157.3929
132.582520 83.740 157.6966
133.543267 83.742 157.9878
134.510977 83.754 158.2389
135.485699 83.773 158.4257
136.467484 83.797 158.5369
137.456384 83.821 158.5760
138.452449 83.844 158.5511
139.455733 83.864 158.4652
140.466286 83.879 158.3198
141.484163 83.885 158.1326
142.509416 83.882 157.9447
143.542098 83.871 157.7996
144.582263 83.860 157.7069
145.629965 83.853 157.6339
146.685260 83.850 157.5374
147.748202 83.845 157.3990
148.818846 83.835 157.2296
149.897249 83.817 157.0519
150.983466 83.792 156.8851
152.077555 83.760 156.7398
153.179572 83.724 156.6212
154.289574 83.684 156.5340
155.407620 83.643 156.4814
156.533767 83.602 156.4588
157.668076 83.564 156.4507
158.810603 83.529 156.4371
159.961411 83.493 156.4075
161.120557 83.455 156.3698
162.288103 83.414 156.3432
163.464109 83.373 156.3394
164.648638 83.332 156.3541
165.841750 83.292 156.3774
167.043507 83.251 156.4084
168.253973 83.211 156.4533
169.473211 83.171 156.5155
170.701284 83.131 156.5911
171.938256 83.094 156.6735
173.184191 83.057 156.7585
174.439155 83.020 156.8458
175.703213 82.984 156.9356
176.976431 82.947 157.0263
178.258875 82.910 157.1173
179.550613 82.873 157.2125
180.851710 82.835 157.3178
182.162236 82.797 157.4347
183.482259 82.761 157.5584
184.811847 82.726 157.6827
186.151070 82.691 157.8050
187.499997 82.657 157.9266
188.858700 82.624 158.0504
190.227248 82.591 158.1779
191.605713 82.558 158.3088
192.994167 82.526 158.4421
194.392682 82.495 158.5767
195.801331 82.465 158.7116
197.220189 82.434 158.8472
198.649327 82.403 158.9857
200.088822 82.373 159.1289
201.538748 82.343 159.2773
202.999181 82.313 159.4302
204.470197 82.285 159.5858
205.951872 82.256 159.7431
207.444284 82.228 159.9028
208.947511 82.201 160.0656
210.461631 82.174 160.2303
211.986723 82.147 160.3951
213.522866 82.122 160.5596
215.070141 82.096 160.7243
216.628627 82.070 160.8897
218.198408 82.045 161.0571
219.779563 82.020 161.2275
221.372177 81.995 161.4012
222.976331 81.971 161.5767
224.592109 81.948 161.7528
226.219596 81.925 161.9293
227.858877 81.902 162.1070
229.510036 81.879 162.2864
231.173160 81.856 162.4686
232.848336 81.834 162.6546
234.535651 81.813 162.8440
236.235193 81.792 163.0354
237.947051 81.771 163.2280
239.671313 81.750 163.4221
241.408071 81.730 163.6188
243.157413 81.709 163.8192
244.919432 81.689 164.0240
246.694219 81.668 164.2353
248.481867 81.648 164.4546
250.282469 81.629 164.6805
252.096119 81.611 164.9103
253.922911 81.593 165.1444
255.762941 81.576 165.3867
257.616305 81.560 165.6405
259.483099 81.546 165.9065
261.363421 81.534 166.1823
263.257368 81.525 166.4637
265.165039 81.518 166.7480
267.086534 81.515 167.0350
269.021953 81.515 167.3226
270.971397 81.519 167.6038
272.934968 81.528 167.8684
274.912767 81.540 168.1053
276.904898 81.554 168.3052
278.911465 81.568 168.4642
280.932573 81.580 168.5878
282.968326 81.590 168.6875
285.018831 81.597 168.7728
287.084195 81.601 168.8468
289.164526 81.602 168.9095
291.259931 81.601 168.9659
293.370520 81.596 169.0261
295.496404 81.588 169.0972
297.637693 81.579 169.1814
299.794498 81.568 169.2787
301.966933 81.558 169.3889
304.155110 81.547 169.5095
306.359143 81.537 169.6356
308.579148 81.527 169.7632
310.815239 81.518 169.8918
313.067535 81.509 170.0216
315.336151 81.500 170.1536
317.621207 81.492 170.2894
319.922821 81.484 170.4291
322.241114 81.476 170.5710
324.576206 81.469 170.7146
326.928219 81.462 170.8613
329.297275 81.455 171.0121
331.683499 81.448 171.1674
334.087014 81.442 171.3258
336.507947 81.436 171.4834
338.946422 81.431 171.6389
341.402567 81.426 171.7936
343.876511 81.421 171.9471
346.368382 81.416 172.0986
348.878310 81.411 172.2487
351.406426 81.406 172.3997
353.952862 81.402 172.5531
356.517750 81.398 172.7079
359.101225 81.395 172.8614
361.703421 81.392 173.0138
364.324473 81.389 173.1675
366.964518 81.387 173.3232
369.623694 81.385 173.4784
372.302140 81.383 173.6309
374.999995 81.381 173.7801
377.717399 81.378 173.9267
380.454495 81.375 174.0729
383.211425 81.373 174.2209
385.988333 81.372 174.3686
