* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:22:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L Brown Damper
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.675 -141.9538
20.140070 89.689 -142.4026
20.286013 89.704 -142.8510
20.433014 89.717 -143.2990
20.581080 89.730 -143.7465
20.730219 89.743 -144.1936
20.880438 89.755 -144.6400
21.031747 89.767 -145.0857
21.184151 89.779 -145.5306
21.337660 89.789 -145.9746
21.492282 89.800 -146.4177
21.648024 89.810 -146.8597
21.804894 89.819 -147.3006
21.962902 89.828 -147.7403
22.122054 89.837 -148.1786
22.282359 89.845 -148.6157
22.443827 89.853 -149.0515
22.606464 89.860 -149.4858
22.770280 89.868 -149.9187
22.935282 89.874 -150.3502
23.101481 89.880 -150.7803
23.268884 89.886 -151.2091
23.437500 89.892 -151.6366
23.607337 89.897 -152.0627
23.778406 89.902 -152.4877
23.950714 89.907 -152.9114
24.124271 89.911 -153.3340
24.299085 89.915 -153.7555
24.475166 89.919 -154.1759
24.652524 89.922 -154.5953
24.831166 89.925 -155.0137
25.011103 89.927 -155.4311
25.192344 89.930 -155.8475
25.374898 89.931 -156.2628
25.558775 89.933 -156.6771
25.743984 89.934 -157.0903
25.930536 89.935 -157.5023
26.118439 89.935 -157.9131
26.307704 89.935 -158.3225
26.498340 89.935 -158.7306
26.690358 89.934 -159.1372
26.883768 89.933 -159.5422
27.078578 89.931 -159.9456
27.274801 89.929 -160.3472
27.472445 89.927 -160.7471
27.671522 89.925 -161.1451
27.872041 89.922 -161.5412
28.074014 89.919 -161.9355
28.277450 89.915 -162.3279
28.482360 89.911 -162.7185
28.688755 89.907 -163.1074
28.896645 89.903 -163.4945
29.106042 89.899 -163.8801
29.316956 89.894 -164.2642
29.529399 89.889 -164.6470
29.743381 89.884 -165.0285
29.958914 89.879 -165.4090
30.176009 89.874 -165.7884
30.394677 89.868 -166.1669
30.614929 89.862 -166.5446
30.836777 89.856 -166.9214
31.060233 89.849 -167.2973
31.285309 89.842 -167.6723
31.512015 89.835 -168.0465
31.740364 89.828 -168.4196
31.970368 89.820 -168.7916
32.202038 89.812 -169.1625
32.435387 89.803 -169.5322
32.670428 89.795 -169.9005
32.907171 89.785 -170.2675
33.145630 89.776 -170.6330
33.385817 89.766 -170.9971
33.627744 89.756 -171.3598
33.871425 89.745 -171.7210
34.116871 89.735 -172.0808
34.364096 89.724 -172.4392
34.613112 89.712 -172.7961
34.863933 89.700 -173.1516
35.116572 89.688 -173.5057
35.371041 89.676 -173.8582
35.627354 89.663 -174.2092
35.885524 89.650 -174.5585
36.145566 89.637 -174.9061
36.407491 89.623 -175.2518
36.671315 89.609 -175.5956
36.937051 89.595 -175.9374
37.204712 89.580 -176.2771
37.474312 89.565 -176.6147
37.745867 89.550 -176.9502
38.019389 89.534 -177.2838
38.294893 89.519 -177.6154
38.572393 89.503 -177.9452
38.851905 89.487 -178.2735
39.133442 89.471 -178.6003
39.417019 89.454 -178.9259
39.702651 89.438 -179.2505
39.990353 89.421 -179.5740
40.280139 89.404 -179.8966
40.572026 89.387 179.7817
40.866027 89.369 179.4609
41.162159 89.351 179.1414
41.460437 89.333 178.8231
41.760877 89.314 178.5062
42.063493 89.295 178.1911
42.368303 89.276 177.8778
42.675321 89.256 177.5667
42.984564 89.236 177.2576
43.296048 89.215 176.9508
43.609789 89.195 176.6462
43.925803 89.174 176.3439
44.244108 89.153 176.0436
44.564719 89.131 175.7453
44.887653 89.110 175.4487
45.212928 89.088 175.1537
45.540559 89.067 174.8603
45.870565 89.044 174.5681
46.202962 89.022 174.2773
46.537767 89.000 173.9879
46.874999 88.977 173.6999
47.214675 88.953 173.4135
47.556812 88.930 173.1289
47.901428 88.906 172.8463
48.248542 88.882 172.5658
48.598170 88.857 172.2877
48.950333 88.833 172.0121
49.305047 88.808 171.7390
49.662332 88.782 171.4683
50.022206 88.757 171.2000
50.384687 88.731 170.9341
50.749795 88.706 170.6705
51.117549 88.679 170.4092
51.487968 88.653 170.1501
51.861071 88.627 169.8932
52.236878 88.600 169.6388
52.615408 88.573 169.3870
52.996681 88.546 169.1380
53.380716 88.518 168.8921
53.767535 88.491 168.6497
54.157157 88.463 168.4106
54.549602 88.436 168.1750
54.944891 88.408 167.9424
55.343044 88.381 167.7122
55.744083 88.353 167.4838
56.148027 88.326 167.2565
56.554899 88.298 167.0300
56.964719 88.271 166.8043
57.377509 88.243 166.5797
57.793290 88.216 166.3566
58.212084 88.188 166.1356
58.633913 88.160 165.9167
59.058798 88.131 165.6995
59.486763 88.103 165.4833
59.917828 88.076 165.2674
60.352018 88.047 165.0511
60.789353 88.019 164.8341
61.229858 87.991 164.6168
61.673555 87.962 164.3995
62.120467 87.932 164.1831
62.570617 87.902 163.9682
63.024030 87.872 163.7550
63.480728 87.841 163.5438
63.940735 87.810 163.3345
64.404076 87.779 163.1274
64.870775 87.747 162.9228
65.340855 87.715 162.7208
65.814342 87.682 162.5219
66.291260 87.649 162.3263
66.771634 87.617 162.1340
67.255488 87.584 161.9449
67.742849 87.551 161.7585
68.233742 87.518 161.5746
68.728192 87.485 161.3924
69.226225 87.452 161.2117
69.727866 87.419 161.0321
70.233143 87.385 160.8537
70.742082 87.352 160.6764
71.254708 87.318 160.5003
71.771049 87.285 160.3255
72.291131 87.250 160.1523
72.814983 87.216 159.9808
73.342630 87.181 159.8112
73.874101 87.146 159.6438
74.409423 87.110 159.4791
74.948625 87.075 159.3171
75.491733 87.038 159.1582
76.038777 87.002 159.0023
76.589786 86.966 158.8491
77.144787 86.929 158.6985
77.703810 86.892 158.5505
78.266884 86.855 158.4052
78.834038 86.817 158.2628
79.405302 86.780 158.1236
79.980705 86.742 157.9876
80.560278 86.704 157.8549
81.144051 86.666 157.7252
81.732055 86.627 157.5984
82.324319 86.589 157.4742
82.920875 86.550 157.3527
83.521754 86.511 157.2342
84.126987 86.472 157.1189
84.736605 86.433 157.0073
85.350642 86.393 156.8997
85.969128 86.354 156.7964
86.592096 86.314 156.6972
87.219578 86.274 156.6022
87.851607 86.235 156.5110
88.488216 86.195 156.4237
89.129438 86.156 156.3401
89.775306 86.116 156.2606
90.425855 86.077 156.1848
91.081118 86.038 156.1124
91.741129 85.999 156.0428
92.405924 85.961 155.9751
93.075535 85.923 155.9085
93.749999 85.885 155.8425
94.429350 85.847 155.7770
95.113624 85.809 155.7126
95.802856 85.771 155.6501
96.497083 85.732 155.5906
97.196341 85.694 155.5349
97.900666 85.655 155.4833
98.610094 85.617 155.4351
99.324664 85.579 155.3891
100.044411 85.542 155.3440
100.769374 85.505 155.2984
101.499591 85.468 155.2518
102.235098 85.431 155.2039
102.975936 85.394 155.1547
103.722142 85.357 155.1044
104.473756 85.319 155.0532
105.230815 85.281 155.0014
105.993361 85.242 154.9499
106.761433 85.203 154.8996
107.535070 85.163 154.8519
108.314314 85.122 154.8079
109.099204 85.081 154.7681
109.889782 85.039 154.7322
110.686088 84.997 154.7000
111.488165 84.955 154.6708
112.296055 84.912 154.6445
113.109798 84.868 154.6213
113.929438 84.824 154.6017
114.755018 84.779 154.5869
115.586580 84.733 154.5782
116.424168 84.687 154.5775
117.267826 84.640 154.5854
118.117597 84.593 154.6022
118.973525 84.545 154.6272
119.835657 84.498 154.6588
120.704035 84.451 154.6957
121.578706 84.404 154.7376
122.459716 84.356 154.7854
123.347109 84.307 154.8415
124.240933 84.258 154.9087
125.141234 84.209 154.9891
126.048059 84.159 155.0844
126.961456 84.110 155.1954
127.881471 84.062 155.3221
128.808153 84.016 155.4631
129.741550 83.971 155.6162
130.681710 83.927 155.7789
131.628684 83.885 155.9489
132.582520 83.845 156.1243
133.543267 83.807 156.3029
134.510977 83.769 156.4829
135.485699 83.732 156.6642
136.467484 83.695 156.8498
137.456384 83.657 157.0445
138.452449 83.620 157.2544
139.455733 83.582 157.4850
140.466286 83.546 157.7422
141.484163 83.511 158.0317
142.509416 83.481 158.3567
143.542098 83.458 158.7141
144.582263 83.443 159.0918
145.629965 83.439 159.4713
146.685260 83.446 159.8314
147.748202 83.463 160.1511
148.818846 83.488 160.4112
149.897249 83.519 160.5959
150.983466 83.553 160.6970
152.077555 83.585 160.7151
153.179572 83.613 160.6595
154.289574 83.634 160.5447
155.407620 83.646 160.3888
156.533767 83.649 160.2111
157.668076 83.644 160.0289
158.810603 83.631 159.8541
159.961411 83.612 159.6932
161.120557 83.587 159.5500
162.288103 83.558 159.4276
163.464109 83.526 159.3277
164.648638 83.490 159.2507
165.841750 83.454 159.1952
167.043507 83.416 159.1590
168.253973 83.377 159.1414
169.473211 83.337 159.1431
170.701284 83.297 159.1646
171.938256 83.258 159.2044
173.184191 83.219 159.2596
174.439155 83.182 159.3278
175.703213 83.146 159.4076
176.976431 83.112 159.4973
178.258875 83.079 159.5925
179.550613 83.048 159.6882
180.851710 83.019 159.7811
182.162236 82.990 159.8705
183.482259 82.961 159.9573
184.811847 82.932 160.0428
186.151070 82.903 160.1281
187.499997 82.874 160.2132
188.858700 82.844 160.2988
190.227248 82.814 160.3867
191.605713 82.783 160.4789
192.994167 82.752 160.5764
194.392682 82.721 160.6786
195.801331 82.690 160.7855
197.220189 82.658 160.8980
198.649327 82.627 161.0171
200.088822 82.595 161.1428
201.538748 82.565 161.2740
202.999181 82.534 161.4089
204.470197 82.504 161.5463
205.951872 82.475 161.6860
207.444284 82.445 161.8290
208.947511 82.415 161.9777
210.461631 82.385 162.1339
211.986723 82.356 162.2976
213.522866 82.327 162.4662
215.070141 82.300 162.6367
216.628627 82.273 162.8071
218.198408 82.246 162.9775
219.779563 82.220 163.1501
221.372177 82.193 163.3275
222.976331 82.167 163.5106
224.592109 82.141 163.6987
226.219596 82.116 163.8915
227.858877 82.091 164.0884
229.510036 82.067 164.2890
231.173160 82.044 164.4933
232.848336 82.021 164.7018
234.535651 81.998 164.9155
236.235193 81.976 165.1350
237.947051 81.955 165.3614
239.671313 81.934 165.5960
241.408071 81.915 165.8408
243.157413 81.897 166.0960
244.919432 81.881 166.3604
246.694219 81.867 166.6306
248.481867 81.856 166.9033
250.282469 81.848 167.1763
252.096119 81.843 167.4465
253.922911 81.840 167.7076
255.762941 81.841 167.9527
257.616305 81.844 168.1761
259.483099 81.848 168.3748
261.363421 81.851 168.5506
263.257368 81.854 168.7085
265.165039 81.856 168.8528
267.086534 81.857 168.9853
269.021953 81.856 169.1073
270.971397 81.854 169.2212
272.934968 81.850 169.3298
274.912767 81.844 169.4369
276.904898 81.835 169.5462
278.911465 81.826 169.6608
280.932573 81.815 169.7823
282.968326 81.804 169.9106
285.018831 81.792 170.0453
287.084195 81.781 170.1852
289.164526 81.770 170.3295
291.259931 81.760 170.4770
293.370520 81.749 170.6272
295.496404 81.738 170.7805
297.637693 81.727 170.9384
299.794498 81.716 171.1018
301.966933 81.705 171.2700
304.155110 81.695 171.4402
306.359143 81.686 171.6101
308.579148 81.677 171.7789
310.815239 81.668 171.9469
313.067535 81.659 172.1151
315.336151 81.651 172.2852
317.621207 81.642 172.4589
319.922821 81.634 172.6345
322.241114 81.627 172.8110
324.576206 81.619 172.9896
326.928219 81.613 173.1710
329.297275 81.607 173.3534
331.683499 81.603 173.5328
334.087014 81.598 173.7081
336.507947 81.594 173.8804
338.946422 81.590 174.0499
341.402567 81.586 174.2167
343.876511 81.582 174.3819
346.368382 81.577 174.5482
348.878310 81.573 174.7183
351.406426 81.570 174.8929
353.952862 81.567 175.0698
356.517750 81.565 175.2457
359.101225 81.562 175.4189
361.703421 81.560 175.5909
364.324473 81.557 175.7641
366.964518 81.555 175.9380
369.623694 81.552 176.1111
372.302140 81.550 176.2825
374.999995 81.548 176.4516
377.717399 81.546 176.6186
380.454495 81.544 176.7849
383.211425 81.543 176.9520
