* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:12:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.716 -143.4209
20.140070 89.728 -143.8581
20.286013 89.739 -144.2937
20.433014 89.750 -144.7276
20.581080 89.760 -145.1601
20.730219 89.771 -145.5911
20.880438 89.781 -146.0207
21.031747 89.790 -146.4492
21.184151 89.800 -146.8766
21.337660 89.809 -147.3032
21.492282 89.819 -147.7291
21.648024 89.828 -148.1545
21.804894 89.836 -148.5796
21.962902 89.845 -149.0045
22.122054 89.853 -149.4293
22.282359 89.861 -149.8541
22.443827 89.868 -150.2789
22.606464 89.876 -150.7037
22.770280 89.882 -151.1284
22.935282 89.889 -151.5528
23.101481 89.895 -151.9767
23.268884 89.900 -152.4000
23.437500 89.905 -152.8223
23.607337 89.909 -153.2433
23.778406 89.913 -153.6627
23.950714 89.916 -154.0802
24.124271 89.919 -154.4955
24.299085 89.922 -154.9084
24.475166 89.924 -155.3188
24.652524 89.926 -155.7266
24.831166 89.927 -156.1316
25.011103 89.929 -156.5342
25.192344 89.930 -156.9343
25.374898 89.931 -157.3323
25.558775 89.932 -157.7285
25.743984 89.934 -158.1233
25.930536 89.935 -158.5170
26.118439 89.936 -158.9101
26.307704 89.937 -159.3030
26.498340 89.938 -159.6961
26.690358 89.939 -160.0897
26.883768 89.940 -160.4840
27.078578 89.940 -160.8791
27.274801 89.940 -161.2752
27.472445 89.940 -161.6721
27.671522 89.940 -162.0697
27.872041 89.938 -162.4679
28.074014 89.937 -162.8662
28.277450 89.935 -163.2643
28.482360 89.932 -163.6620
28.688755 89.929 -164.0586
28.896645 89.925 -164.4539
29.106042 89.920 -164.8476
29.316956 89.915 -165.2393
29.529399 89.910 -165.6287
29.743381 89.904 -166.0158
29.958914 89.897 -166.4004
30.176009 89.891 -166.7824
30.394677 89.883 -167.1620
30.614929 89.876 -167.5392
30.836777 89.868 -167.9141
31.060233 89.860 -168.2868
31.285309 89.852 -168.6575
31.512015 89.844 -169.0263
31.740364 89.835 -169.3933
31.970368 89.826 -169.7587
32.202038 89.817 -170.1224
32.435387 89.808 -170.4847
32.670428 89.798 -170.8455
32.907171 89.789 -171.2048
33.145630 89.779 -171.5628
33.385817 89.768 -171.9196
33.627744 89.758 -172.2751
33.871425 89.747 -172.6295
34.116871 89.736 -172.9828
34.364096 89.725 -173.3353
34.613112 89.714 -173.6870
34.863933 89.702 -174.0379
35.116572 89.690 -174.3881
35.371041 89.677 -174.7376
35.627354 89.665 -175.0865
35.885524 89.652 -175.4347
36.145566 89.638 -175.7822
36.407491 89.624 -176.1287
36.671315 89.610 -176.4742
36.937051 89.595 -176.8184
37.204712 89.580 -177.1613
37.474312 89.564 -177.5024
37.745867 89.548 -177.8417
38.019389 89.531 -178.1788
38.294893 89.514 -178.5135
38.572393 89.497 -178.8455
38.851905 89.479 -179.1748
39.133442 89.461 -179.5011
39.417019 89.442 -179.8244
39.702651 89.423 179.8555
39.990353 89.404 179.5383
40.280139 89.385 179.2239
40.572026 89.366 178.9121
40.866027 89.347 178.6027
41.162159 89.327 178.2952
41.460437 89.308 177.9893
41.760877 89.289 177.6847
42.063493 89.269 177.3811
42.368303 89.249 177.0782
42.675321 89.230 176.7760
42.984564 89.209 176.4742
43.296048 89.189 176.1730
43.609789 89.169 175.8724
43.925803 89.148 175.5727
44.244108 89.126 175.2739
44.564719 89.105 174.9763
44.887653 89.083 174.6803
45.212928 89.060 174.3859
45.540559 89.038 174.0935
45.870565 89.015 173.8033
46.202962 88.991 173.5152
46.537767 88.968 173.2295
46.874999 88.944 172.9460
47.214675 88.920 172.6647
47.556812 88.895 172.3856
47.901428 88.871 172.1083
48.248542 88.846 171.8328
48.598170 88.821 171.5591
48.950333 88.796 171.2871
49.305047 88.771 171.0168
49.662332 88.745 170.7485
50.022206 88.720 170.4823
50.384687 88.694 170.2184
50.749795 88.667 169.9569
51.117549 88.641 169.6981
51.487968 88.614 169.4419
51.861071 88.587 169.1884
52.236878 88.560 168.9373
52.615408 88.533 168.6886
52.996681 88.506 168.4421
53.380716 88.479 168.1974
53.767535 88.452 167.9546
54.157157 88.424 167.7133
54.549602 88.397 167.4735
54.944891 88.369 167.2350
55.343044 88.341 166.9978
55.744083 88.313 166.7618
56.148027 88.284 166.5273
56.554899 88.255 166.2944
56.964719 88.226 166.0638
57.377509 88.196 165.8361
57.793290 88.165 165.6122
58.212084 88.135 165.3929
58.633913 88.104 165.1786
59.058798 88.073 164.9696
59.486763 88.042 164.7654
59.917828 88.011 164.5654
60.352018 87.981 164.3685
60.789353 87.951 164.1738
61.229858 87.922 163.9799
61.673555 87.893 163.7858
62.120467 87.865 163.5902
62.570617 87.836 163.3922
63.024030 87.808 163.1912
63.480728 87.779 162.9869
63.940735 87.749 162.7798
64.404076 87.720 162.5707
64.870775 87.689 162.3611
65.340855 87.657 162.1525
65.814342 87.625 161.9464
66.291260 87.591 161.7437
66.771634 87.558 161.5453
67.255488 87.523 161.3513
67.742849 87.489 161.1618
68.233742 87.454 160.9767
68.728192 87.419 160.7959
69.226225 87.384 160.6193
69.727866 87.349 160.4466
70.233143 87.314 160.2774
70.742082 87.279 160.1112
71.254708 87.244 159.9474
71.771049 87.209 159.7852
72.291131 87.173 159.6245
72.814983 87.138 159.4652
73.342630 87.103 159.3077
73.874101 87.067 159.1524
74.409423 87.031 158.9996
74.948625 86.994 158.8495
75.491733 86.958 158.7021
76.038777 86.922 158.5571
76.589786 86.885 158.4144
77.144787 86.849 158.2735
77.703810 86.812 158.1339
78.266884 86.776 157.9950
78.834038 86.739 157.8560
79.405302 86.702 157.7165
79.980705 86.666 157.5766
80.560278 86.628 157.4369
81.144051 86.590 157.2985
81.732055 86.552 157.1622
82.324319 86.514 157.0289
82.920875 86.475 156.8987
83.521754 86.437 156.7710
84.126987 86.398 156.6453
84.736605 86.359 156.5208
85.350642 86.320 156.3975
85.969128 86.281 156.2754
86.592096 86.242 156.1553
87.219578 86.202 156.0382
87.851607 86.162 155.9250
88.488216 86.122 155.8165
89.129438 86.081 155.7126
89.775306 86.041 155.6131
90.425855 86.001 155.5173
91.081118 85.961 155.4238
91.741129 85.922 155.3300
92.405924 85.883 155.2324
93.075535 85.844 155.1268
93.749999 85.803 155.0120
94.429350 85.759 154.8924
95.113624 85.712 154.7801
95.802856 85.660 154.6907
96.497083 85.608 154.6360
97.196341 85.556 154.6168
97.900666 85.508 154.6222
98.610094 85.463 154.6355
99.324664 85.422 154.6430
100.044411 85.383 154.6387
100.769374 85.343 154.6233
101.499591 85.304 154.6006
102.235098 85.264 154.5745
102.975936 85.223 154.5475
103.722142 85.182 154.5205
104.473756 85.140 154.4936
105.230815 85.098 154.4668
105.993361 85.055 154.4407
106.761433 85.012 154.4164
107.535070 84.968 154.3949
108.314314 84.924 154.3771
109.099204 84.879 154.3638
109.889782 84.834 154.3554
110.686088 84.788 154.3527
111.488165 84.742 154.3561
112.296055 84.696 154.3663
113.109798 84.649 154.3830
113.929438 84.603 154.4061
114.755018 84.556 154.4357
115.586580 84.509 154.4720
116.424168 84.462 154.5160
117.267826 84.415 154.5683
118.117597 84.367 154.6293
118.973525 84.320 154.6984
119.835657 84.273 154.7744
120.704035 84.226 154.8566
121.578706 84.179 154.9451
122.459716 84.132 155.0402
123.347109 84.085 155.1418
124.240933 84.038 155.2499
125.141234 83.991 155.3647
126.048059 83.944 155.4876
126.961456 83.896 155.6207
127.881471 83.849 155.7663
128.808153 83.801 155.9260
129.741550 83.755 156.1004
130.681710 83.709 156.2906
131.628684 83.664 156.4998
132.582520 83.620 156.7333
133.543267 83.580 156.9944
134.510977 83.544 157.2798
135.485699 83.513 157.5809
136.467484 83.488 157.8896
137.456384 83.467 158.2046
138.452449 83.452 158.5284
139.455733 83.444 158.8593
140.466286 83.445 159.1842
141.484163 83.455 159.4802
142.509416 83.472 159.7214
143.542098 83.492 159.8906
144.582263 83.513 159.9860
145.629965 83.530 160.0197
146.685260 83.543 160.0084
147.748202 83.550 159.9656
148.818846 83.553 159.8987
149.897249 83.551 159.8093
150.983466 83.544 159.6982
152.077555 83.530 159.5728
153.179572 83.509 159.4496
154.289574 83.482 159.3487
155.407620 83.451 159.2834
156.533767 83.419 159.2536
157.668076 83.388 159.2473
158.810603 83.357 159.2487
159.961411 83.327 159.2487
161.120557 83.294 159.2495
162.288103 83.260 159.2581
163.464109 83.224 159.2798
164.648638 83.186 159.3166
165.841750 83.149 159.3702
167.043507 83.112 159.4375
168.253973 83.078 159.5068
169.473211 83.044 159.5681
170.701284 83.009 159.6233
171.938256 82.974 159.6832
173.184191 82.937 159.7555
174.439155 82.902 159.8394
175.703213 82.867 159.9280
176.976431 82.832 160.0162
178.258875 82.797 160.1057
179.550613 82.761 160.2032
180.851710 82.725 160.3141
182.162236 82.689 160.4372
183.482259 82.655 160.5678
184.811847 82.622 160.7018
186.151070 82.590 160.8381
187.499997 82.558 160.9774
188.858700 82.527 161.1191
190.227248 82.496 161.2610
191.605713 82.465 161.4030
192.994167 82.433 161.5499
194.392682 82.401 161.7061
195.801331 82.370 161.8717
197.220189 82.338 162.0444
198.649327 82.307 162.2223
200.088822 82.277 162.4044
201.538748 82.248 162.5897
202.999181 82.219 162.7763
204.470197 82.191 162.9626
205.951872 82.162 163.1487
207.444284 82.134 163.3359
208.947511 82.105 163.5260
210.461631 82.077 163.7201
211.986723 82.049 163.9187
213.522866 82.022 164.1209
215.070141 81.995 164.3252
216.628627 81.970 164.5297
218.198408 81.944 164.7345
219.779563 81.920 164.9418
221.372177 81.897 165.1521
222.976331 81.875 165.3618
224.592109 81.855 165.5674
226.219596 81.834 165.7703
227.858877 81.814 165.9742
229.510036 81.794 166.1811
231.173160 81.775 166.3904
232.848336 81.755 166.6010
234.535651 81.735 166.8138
236.235193 81.715 167.0311
237.947051 81.695 167.2560
239.671313 81.675 167.4894
241.408071 81.656 167.7278
243.157413 81.637 167.9666
244.919432 81.619 168.2035
246.694219 81.601 168.4399
248.481867 81.582 168.6791
250.282469 81.565 168.9235
252.096119 81.547 169.1730
253.922911 81.531 169.4250
255.762941 81.516 169.6768
257.616305 81.501 169.9282
259.483099 81.487 170.1810
261.363421 81.472 170.4377
263.257368 81.459 170.7010
265.165039 81.446 170.9713
267.086534 81.434 171.2467
269.021953 81.424 171.5261
270.971397 81.414 171.8097
272.934968 81.406 172.0974
274.912767 81.399 172.3903
276.904898 81.393 172.6892
278.911465 81.389 172.9931
280.932573 81.386 173.3001
282.968326 81.387 173.6094
285.018831 81.390 173.9188
287.084195 81.398 174.2224
289.164526 81.409 174.5121
291.259931 81.424 174.7773
293.370520 81.441 175.0085
295.496404 81.459 175.2036
297.637693 81.475 175.3670
299.794498 81.489 175.5068
301.966933 81.499 175.6329
304.155110 81.506 175.7537
306.359143 81.511 175.8738
308.579148 81.513 175.9968
310.815239 81.513 176.1262
313.067535 81.512 176.2645
315.336151 81.511 176.4104
317.621207 81.509 176.5605
319.922821 81.507 176.7139
322.241114 81.504 176.8723
324.576206 81.501 177.0354
326.928219 81.498 177.2017
329.297275 81.495 177.3701
331.683499 81.492 177.5406
334.087014 81.488 177.7152
336.507947 81.485 177.8961
338.946422 81.483 178.0833
341.402567 81.481 178.2747
343.876511 81.480 178.4668
346.368382 81.478 178.6587
348.878310 81.476 178.8506
351.406426 81.473 179.0443
353.952862 81.470 179.2420
356.517750 81.468 179.4430
359.101225 81.466 179.6432
361.703421 81.466 179.8397
364.324473 81.466 -179.9680
366.964518 81.467 -179.7790
369.623694 81.469 -179.5908
372.302140 81.471 -179.4026
374.999995 81.473 -179.2142
377.717399 81.475 -179.0246
380.454495 81.478 -178.8343
383.211425 81.482 -178.6455
