* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:21:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R Brown Damper
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.682 -143.4021
20.140070 89.695 -143.8412
20.286013 89.707 -144.2797
20.433014 89.720 -144.7176
20.581080 89.731 -145.1548
20.730219 89.743 -145.5914
20.880438 89.754 -146.0275
21.031747 89.765 -146.4629
21.184151 89.775 -146.8978
21.337660 89.785 -147.3321
21.492282 89.795 -147.7657
21.648024 89.804 -148.1987
21.804894 89.813 -148.6310
21.962902 89.821 -149.0626
22.122054 89.829 -149.4934
22.282359 89.837 -149.9234
22.443827 89.844 -150.3525
22.606464 89.851 -150.7807
22.770280 89.857 -151.2079
22.935282 89.863 -151.6341
23.101481 89.869 -152.0592
23.268884 89.874 -152.4832
23.437500 89.879 -152.9062
23.607337 89.883 -153.3280
23.778406 89.888 -153.7486
23.950714 89.891 -154.1680
24.124271 89.894 -154.5863
24.299085 89.897 -155.0034
24.475166 89.900 -155.4193
24.652524 89.902 -155.8340
24.831166 89.904 -156.2475
25.011103 89.905 -156.6597
25.192344 89.906 -157.0706
25.374898 89.907 -157.4801
25.558775 89.907 -157.8882
25.743984 89.907 -158.2949
25.930536 89.907 -158.6999
26.118439 89.906 -159.1033
26.307704 89.905 -159.5050
26.498340 89.903 -159.9048
26.690358 89.901 -160.3027
26.883768 89.899 -160.6987
27.078578 89.896 -161.0927
27.274801 89.894 -161.4846
27.472445 89.891 -161.8746
27.671522 89.887 -162.2626
27.872041 89.884 -162.6487
28.074014 89.880 -163.0329
28.277450 89.877 -163.4156
28.482360 89.873 -163.7968
28.688755 89.869 -164.1769
28.896645 89.865 -164.5559
29.106042 89.860 -164.9341
29.316956 89.856 -165.3119
29.529399 89.851 -165.6893
29.743381 89.847 -166.0666
29.958914 89.842 -166.4439
30.176009 89.836 -166.8214
30.394677 89.831 -167.1989
30.614929 89.825 -167.5766
30.836777 89.819 -167.9542
31.060233 89.812 -168.3316
31.285309 89.805 -168.7086
31.512015 89.797 -169.0850
31.740364 89.789 -169.4605
31.970368 89.781 -169.8348
32.202038 89.772 -170.2077
32.435387 89.762 -170.5789
32.670428 89.752 -170.9482
32.907171 89.742 -171.3153
33.145630 89.731 -171.6802
33.385817 89.720 -172.0428
33.627744 89.708 -172.4029
33.871425 89.696 -172.7605
34.116871 89.684 -173.1157
34.364096 89.672 -173.4686
34.613112 89.660 -173.8191
34.863933 89.647 -174.1675
35.116572 89.634 -174.5139
35.371041 89.621 -174.8586
35.627354 89.608 -175.2016
35.885524 89.595 -175.5432
36.145566 89.581 -175.8837
36.407491 89.568 -176.2231
36.671315 89.554 -176.5618
36.937051 89.540 -176.8997
37.204712 89.526 -177.2370
37.474312 89.511 -177.5736
37.745867 89.497 -177.9096
38.019389 89.482 -178.2448
38.294893 89.466 -178.5791
38.572393 89.451 -178.9124
38.851905 89.435 -179.2444
39.133442 89.418 -179.5750
39.417019 89.401 -179.9040
39.702651 89.384 179.7686
39.990353 89.367 179.4429
40.280139 89.349 179.1190
40.572026 89.331 178.7968
40.866027 89.313 178.4762
41.162159 89.294 178.1570
41.460437 89.276 177.8393
41.760877 89.257 177.5229
42.063493 89.237 177.2077
42.368303 89.218 176.8938
42.675321 89.198 176.5812
42.984564 89.177 176.2702
43.296048 89.156 175.9608
43.609789 89.135 175.6534
43.925803 89.114 175.3480
44.244108 89.092 175.0451
44.564719 89.069 174.7448
44.887653 89.047 174.4473
45.212928 89.024 174.1526
45.540559 89.001 173.8608
45.870565 88.978 173.5719
46.202962 88.954 173.2857
46.537767 88.931 173.0020
46.874999 88.907 172.7204
47.214675 88.883 172.4409
47.556812 88.859 172.1630
47.901428 88.835 171.8866
48.248542 88.811 171.6117
48.598170 88.787 171.3382
48.950333 88.762 171.0662
49.305047 88.737 170.7958
49.662332 88.712 170.5270
50.022206 88.687 170.2602
50.384687 88.661 169.9952
50.749795 88.636 169.7321
51.117549 88.610 169.4710
51.487968 88.584 169.2118
51.861071 88.557 168.9545
52.236878 88.531 168.6990
52.615408 88.504 168.4453
52.996681 88.477 168.1933
53.380716 88.450 167.9428
53.767535 88.422 167.6938
54.157157 88.394 167.4464
54.549602 88.366 167.2004
54.944891 88.338 166.9562
55.343044 88.310 166.7139
55.744083 88.281 166.4739
56.148027 88.251 166.2365
56.554899 88.222 166.0018
56.964719 88.192 165.7700
57.377509 88.162 165.5409
57.793290 88.132 165.3144
58.212084 88.102 165.0900
58.633913 88.072 164.8674
59.058798 88.042 164.6462
59.486763 88.012 164.4261
59.917828 87.982 164.2066
60.352018 87.951 163.9877
60.789353 87.921 163.7693
61.229858 87.890 163.5517
61.673555 87.858 163.3353
62.120467 87.826 163.1206
62.570617 87.794 162.9083
63.024030 87.761 162.6987
63.480728 87.728 162.4921
63.940735 87.695 162.2885
64.404076 87.661 162.0877
64.870775 87.628 161.8893
65.340855 87.594 161.6932
65.814342 87.561 161.4990
66.291260 87.527 161.3065
66.771634 87.492 161.1160
67.255488 87.458 160.9275
67.742849 87.423 160.7410
68.233742 87.389 160.5568
68.728192 87.354 160.3749
69.226225 87.318 160.1955
69.727866 87.283 160.0188
70.233143 87.247 159.8449
70.742082 87.211 159.6743
71.254708 87.175 159.5071
71.771049 87.139 159.3434
72.291131 87.102 159.1831
72.814983 87.066 159.0258
73.342630 87.030 158.8708
73.874101 86.994 158.7175
74.409423 86.958 158.5654
74.948625 86.922 158.4144
75.491733 86.885 158.2646
76.038777 86.848 158.1163
76.589786 86.811 157.9703
77.144787 86.774 157.8269
77.703810 86.737 157.6863
78.266884 86.699 157.5485
78.834038 86.661 157.4131
79.405302 86.623 157.2799
79.980705 86.584 157.1488
80.560278 86.546 157.0198
81.144051 86.507 156.8932
81.732055 86.467 156.7696
82.324319 86.427 156.6495
82.920875 86.387 156.5332
83.521754 86.347 156.4203
84.126987 86.306 156.3102
84.736605 86.266 156.2020
85.350642 86.225 156.0949
85.969128 86.184 155.9885
86.592096 86.143 155.8825
87.219578 86.101 155.7770
87.851607 86.060 155.6714
88.488216 86.018 155.5646
89.129438 85.976 155.4550
89.775306 85.934 155.3405
90.425855 85.891 155.2187
91.081118 85.847 155.0879
91.741129 85.802 154.9467
92.405924 85.754 154.7960
93.075535 85.702 154.6413
93.749999 85.645 154.4964
94.429350 85.583 154.3834
95.113624 85.518 154.3279
95.802856 85.455 154.3445
96.497083 85.399 154.4235
97.196341 85.356 154.5281
97.900666 85.324 154.6106
98.610094 85.299 154.6365
99.324664 85.276 154.6000
100.044411 85.249 154.5195
100.769374 85.217 154.4220
101.499591 85.180 154.3284
102.235098 85.140 154.2488
102.975936 85.098 154.1853
103.722142 85.054 154.1362
104.473756 85.009 154.0998
105.230815 84.964 154.0746
105.993361 84.917 154.0605
106.761433 84.869 154.0573
107.535070 84.821 154.0655
108.314314 84.772 154.0854
109.099204 84.722 154.1172
109.889782 84.673 154.1598
110.686088 84.623 154.2116
111.488165 84.573 154.2718
112.296055 84.522 154.3410
113.109798 84.471 154.4221
113.929438 84.420 154.5187
114.755018 84.369 154.6333
115.586580 84.318 154.7664
116.424168 84.270 154.9164
117.267826 84.224 155.0793
118.117597 84.180 155.2498
118.973525 84.138 155.4222
119.835657 84.097 155.5935
120.704035 84.056 155.7652
121.578706 84.015 155.9439
122.459716 83.973 156.1390
123.347109 83.931 156.3602
124.240933 83.890 156.6155
125.141234 83.852 156.9093
126.048059 83.821 157.2395
126.961456 83.797 157.5964
127.881471 83.784 157.9627
128.808153 83.781 158.3167
129.741550 83.787 158.6366
130.681710 83.801 158.9044
131.628684 83.821 159.1086
132.582520 83.841 159.2455
133.543267 83.861 159.3197
134.510977 83.878 159.3420
135.485699 83.891 159.3247
136.467484 83.900 159.2777
137.456384 83.905 159.2068
138.452449 83.905 159.1154
139.455733 83.900 159.0080
140.466286 83.890 158.8929
141.484163 83.876 158.7830
142.509416 83.858 158.6914
143.542098 83.839 158.6238
144.582263 83.822 158.5704
145.629965 83.806 158.5111
146.685260 83.792 158.4299
147.748202 83.776 158.3254
148.818846 83.756 158.2075
149.897249 83.732 158.0874
150.983466 83.703 157.9733
152.077555 83.672 157.8701
153.179572 83.637 157.7822
154.289574 83.599 157.7133
155.407620 83.560 157.6651
156.533767 83.519 157.6363
157.668076 83.479 157.6227
158.810603 83.438 157.6206
159.961411 83.398 157.6281
161.120557 83.357 157.6450
162.288103 83.316 157.6718
163.464109 83.276 157.7076
164.648638 83.235 157.7504
165.841750 83.195 157.7995
167.043507 83.154 157.8566
168.253973 83.113 157.9243
169.473211 83.073 158.0040
170.701284 83.033 158.0942
171.938256 82.995 158.1915
173.184191 82.957 158.2925
174.439155 82.920 158.3951
175.703213 82.884 158.4990
176.976431 82.847 158.6053
178.258875 82.811 158.7157
179.550613 82.775 158.8309
180.851710 82.739 158.9507
182.162236 82.704 159.0748
183.482259 82.669 159.2039
184.811847 82.634 159.3385
186.151070 82.600 159.4783
187.499997 82.567 159.6220
188.858700 82.534 159.7685
190.227248 82.502 159.9169
191.605713 82.470 160.0667
192.994167 82.438 160.2188
194.392682 82.407 160.3754
195.801331 82.376 160.5377
197.220189 82.345 160.7038
198.649327 82.315 160.8713
200.088822 82.286 161.0391
201.538748 82.256 161.2075
202.999181 82.227 161.3776
204.470197 82.198 161.5513
205.951872 82.170 161.7297
207.444284 82.142 161.9122
208.947511 82.114 162.0974
210.461631 82.088 162.2839
211.986723 82.061 162.4721
213.522866 82.035 162.6632
215.070141 82.010 162.8571
216.628627 81.986 163.0509
218.198408 81.962 163.2421
219.779563 81.938 163.4313
221.372177 81.914 163.6226
222.976331 81.890 163.8190
224.592109 81.866 164.0197
226.219596 81.843 164.2226
227.858877 81.820 164.4264
229.510036 81.797 164.6314
231.173160 81.775 164.8393
232.848336 81.753 165.0515
234.535651 81.731 165.2684
236.235193 81.709 165.4895
237.947051 81.689 165.7125
239.671313 81.669 165.9343
241.408071 81.649 166.1552
243.157413 81.629 166.3790
244.919432 81.608 166.6089
246.694219 81.588 166.8463
248.481867 81.569 167.0920
250.282469 81.550 167.3472
252.096119 81.532 167.6112
253.922911 81.515 167.8831
255.762941 81.499 168.1642
257.616305 81.484 168.4562
259.483099 81.472 168.7576
261.363421 81.462 169.0645
263.257368 81.454 169.3749
265.165039 81.449 169.6899
267.086534 81.447 170.0106
269.021953 81.449 170.3348
270.971397 81.456 170.6549
272.934968 81.468 170.9598
274.912767 81.484 171.2376
276.904898 81.502 171.4788
278.911465 81.522 171.6791
280.932573 81.540 171.8405
282.968326 81.556 171.9689
285.018831 81.569 172.0703
287.084195 81.578 172.1521
289.164526 81.582 172.2249
291.259931 81.582 172.2975
293.370520 81.579 172.3757
295.496404 81.573 172.4642
297.637693 81.566 172.5642
299.794498 81.559 172.6735
301.966933 81.551 172.7914
304.155110 81.543 172.9195
306.359143 81.534 173.0585
308.579148 81.526 173.2063
310.815239 81.518 173.3590
313.067535 81.511 173.5139
315.336151 81.503 173.6719
317.621207 81.495 173.8362
319.922821 81.487 174.0073
322.241114 81.479 174.1830
324.576206 81.473 174.3617
326.928219 81.467 174.5411
329.297275 81.463 174.7182
331.683499 81.458 174.8922
334.087014 81.454 175.0657
336.507947 81.450 175.2398
338.946422 81.446 175.4155
341.402567 81.443 175.5934
343.876511 81.441 175.7723
346.368382 81.440 175.9515
348.878310 81.439 176.1306
351.406426 81.438 176.3084
353.952862 81.438 176.4854
356.517750 81.437 176.6617
359.101225 81.438 176.8356
361.703421 81.438 177.0054
364.324473 81.438 177.1727
366.964518 81.438 177.3402
369.623694 81.437 177.5082
372.302140 81.437 177.6768
374.999995 81.437 177.8480
377.717399 81.437 178.0231
380.454495 81.437 178.1998
383.211425 81.439 178.3741
385.988333 81.440 178.5431
