* Measurement data measured by REW V5.40 beta 105
* Source: Microphone (USB Multi-Channel Audio Device), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 20, 2025 10:12:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.995176 89.744 -141.6094
20.140070 89.757 -142.0539
20.286013 89.770 -142.4968
20.433014 89.783 -142.9380
20.581080 89.795 -143.3775
20.730219 89.807 -143.8153
20.880438 89.818 -144.2515
21.031747 89.829 -144.6860
21.184151 89.840 -145.1190
21.337660 89.851 -145.5505
21.492282 89.861 -145.9806
21.648024 89.871 -146.4093
21.804894 89.881 -146.8369
21.962902 89.891 -147.2632
22.122054 89.900 -147.6885
22.282359 89.909 -148.1129
22.443827 89.918 -148.5365
22.606464 89.927 -148.9593
22.770280 89.936 -149.3815
22.935282 89.944 -149.8033
23.101481 89.952 -150.2246
23.268884 89.960 -150.6456
23.437500 89.968 -151.0664
23.607337 89.975 -151.4871
23.778406 89.982 -151.9077
23.950714 89.989 -152.3282
24.124271 89.995 -152.7487
24.299085 90.001 -153.1691
24.475166 90.006 -153.5895
24.652524 90.012 -154.0097
24.831166 90.016 -154.4297
25.011103 90.021 -154.8493
25.192344 90.024 -155.2685
25.374898 90.028 -155.6870
25.558775 90.031 -156.1047
25.743984 90.033 -156.5213
25.930536 90.035 -156.9368
26.118439 90.036 -157.3510
26.307704 90.037 -157.7637
26.498340 90.038 -158.1748
26.690358 90.038 -158.5842
26.883768 90.038 -158.9919
27.078578 90.037 -159.3978
27.274801 90.036 -159.8018
27.472445 90.034 -160.2041
27.671522 90.033 -160.6046
27.872041 90.031 -161.0035
28.074014 90.028 -161.4007
28.277450 90.026 -161.7964
28.482360 90.023 -162.1906
28.688755 90.020 -162.5833
28.896645 90.016 -162.9747
29.106042 90.012 -163.3647
29.316956 90.008 -163.7535
29.529399 90.004 -164.1411
29.743381 89.999 -164.5273
29.958914 89.994 -164.9124
30.176009 89.989 -165.2962
30.394677 89.983 -165.6789
30.614929 89.977 -166.0602
30.836777 89.971 -166.4404
31.060233 89.965 -166.8192
31.285309 89.958 -167.1966
31.512015 89.950 -167.5727
31.740364 89.943 -167.9473
31.970368 89.935 -168.3205
32.202038 89.927 -168.6921
32.435387 89.918 -169.0622
32.670428 89.909 -169.4306
32.907171 89.900 -169.7975
33.145630 89.890 -170.1627
33.385817 89.880 -170.5262
33.627744 89.870 -170.8882
33.871425 89.860 -171.2486
34.116871 89.849 -171.6075
34.364096 89.838 -171.9648
34.613112 89.827 -172.3207
34.863933 89.816 -172.6752
35.116572 89.804 -173.0282
35.371041 89.792 -173.3799
35.627354 89.779 -173.7301
35.885524 89.767 -174.0790
36.145566 89.754 -174.4265
36.407491 89.741 -174.7726
36.671315 89.727 -175.1171
36.937051 89.713 -175.4602
37.204712 89.699 -175.8017
37.474312 89.685 -176.1416
37.745867 89.670 -176.4798
38.019389 89.655 -176.8164
38.294893 89.640 -177.1512
38.572393 89.624 -177.4843
38.851905 89.608 -177.8156
39.133442 89.592 -178.1451
39.417019 89.576 -178.4729
39.702651 89.559 -178.7990
39.990353 89.542 -179.1234
40.280139 89.525 -179.4462
40.572026 89.507 -179.7673
40.866027 89.490 179.9133
41.162159 89.472 179.5956
41.460437 89.453 179.2795
41.760877 89.435 178.9653
42.063493 89.416 178.6528
42.368303 89.397 178.3421
42.675321 89.378 178.0332
42.984564 89.358 177.7262
43.296048 89.339 177.4210
43.609789 89.319 177.1175
43.925803 89.298 176.8159
44.244108 89.278 176.5159
44.564719 89.257 176.2177
44.887653 89.236 175.9211
45.212928 89.215 175.6263
45.540559 89.194 175.3333
45.870565 89.172 175.0418
46.202962 89.150 174.7522
46.537767 89.128 174.4642
46.874999 89.106 174.1778
47.214675 89.083 173.8930
47.556812 89.061 173.6097
47.901428 89.038 173.3279
48.248542 89.015 173.0475
48.598170 88.991 172.7684
48.950333 88.967 172.4908
49.305047 88.943 172.2145
49.662332 88.919 171.9399
50.022206 88.894 171.6669
50.384687 88.869 171.3958
50.749795 88.844 171.1266
51.117549 88.819 170.8594
51.487968 88.793 170.5942
51.861071 88.767 170.3312
52.236878 88.740 170.0703
52.615408 88.714 169.8113
52.996681 88.687 169.5543
53.380716 88.660 169.2992
53.767535 88.632 169.0459
54.157157 88.604 168.7946
54.549602 88.576 168.5453
54.944891 88.548 168.2986
55.343044 88.519 168.0547
55.744083 88.490 167.8145
56.148027 88.460 167.5785
56.554899 88.431 167.3470
56.964719 88.401 167.1202
57.377509 88.371 166.8975
57.793290 88.342 166.6781
58.212084 88.313 166.4609
58.633913 88.284 166.2449
59.058798 88.255 166.0293
59.486763 88.226 165.8139
59.917828 88.198 165.5989
60.352018 88.168 165.3847
60.789353 88.139 165.1721
61.229858 88.109 164.9616
61.673555 88.079 164.7537
62.120467 88.049 164.5484
62.570617 88.019 164.3457
63.024030 87.989 164.1454
63.480728 87.959 163.9473
63.940735 87.929 163.7508
64.404076 87.899 163.5558
64.870775 87.869 163.3618
65.340855 87.839 163.1685
65.814342 87.809 162.9759
66.291260 87.778 162.7836
66.771634 87.748 162.5919
67.255488 87.717 162.4009
67.742849 87.685 162.2114
68.233742 87.653 162.0237
68.728192 87.621 161.8383
69.226225 87.588 161.6558
69.727866 87.555 161.4762
70.233143 87.522 161.2998
70.742082 87.489 161.1267
71.254708 87.455 160.9568
71.771049 87.421 160.7905
72.291131 87.387 160.6279
72.814983 87.353 160.4689
73.342630 87.318 160.3135
73.874101 87.284 160.1614
74.409423 87.250 160.0121
74.948625 87.217 159.8651
75.491733 87.183 159.7195
76.038777 87.150 159.5750
76.589786 87.116 159.4308
77.144787 87.083 159.2869
77.703810 87.049 159.1430
78.266884 87.015 158.9993
78.834038 86.981 158.8560
79.405302 86.947 158.7135
79.980705 86.912 158.5724
80.560278 86.877 158.4334
81.144051 86.842 158.2966
81.732055 86.806 158.1623
82.324319 86.771 158.0303
82.920875 86.735 157.9005
83.521754 86.699 157.7728
84.126987 86.662 157.6474
84.736605 86.626 157.5243
85.350642 86.589 157.4038
85.969128 86.552 157.2859
86.592096 86.515 157.1705
87.219578 86.478 157.0576
87.851607 86.440 156.9470
88.488216 86.403 156.8386
89.129438 86.364 156.7329
89.775306 86.326 156.6302
90.425855 86.287 156.5316
91.081118 86.248 156.4378
91.741129 86.208 156.3501
92.405924 86.168 156.2695
93.075535 86.129 156.1965
93.749999 86.090 156.1304
94.429350 86.052 156.0685
95.113624 86.015 156.0057
95.802856 85.979 155.9364
96.497083 85.944 155.8567
97.196341 85.907 155.7673
97.900666 85.869 155.6729
98.610094 85.829 155.5803
99.324664 85.788 155.4947
100.044411 85.745 155.4182
100.769374 85.703 155.3504
101.499591 85.660 155.2895
102.235098 85.618 155.2342
102.975936 85.576 155.1835
103.722142 85.534 155.1367
104.473756 85.493 155.0931
105.230815 85.451 155.0521
105.993361 85.410 155.0130
106.761433 85.369 154.9757
107.535070 85.328 154.9406
108.314314 85.286 154.9079
109.099204 85.245 154.8782
109.889782 85.203 154.8519
110.686088 85.161 154.8295
111.488165 85.119 154.8114
112.296055 85.077 154.7977
113.109798 85.035 154.7878
113.929438 84.993 154.7811
114.755018 84.951 154.7771
115.586580 84.909 154.7762
116.424168 84.867 154.7787
117.267826 84.824 154.7848
118.117597 84.782 154.7943
118.973525 84.739 154.8074
119.835657 84.696 154.8244
120.704035 84.653 154.8461
121.578706 84.609 154.8726
122.459716 84.565 154.9040
123.347109 84.521 154.9407
124.240933 84.477 154.9838
125.141234 84.432 155.0349
126.048059 84.387 155.0956
126.961456 84.342 155.1671
127.881471 84.297 155.2495
128.808153 84.254 155.3422
129.741550 84.211 155.4440
130.681710 84.170 155.5536
131.628684 84.130 155.6698
132.582520 84.091 155.7906
133.543267 84.054 155.9133
134.510977 84.019 156.0344
135.485699 83.985 156.1503
136.467484 83.952 156.2593
137.456384 83.919 156.3615
138.452449 83.886 156.4586
139.455733 83.852 156.5529
140.466286 83.816 156.6462
141.484163 83.780 156.7404
142.509416 83.742 156.8405
143.542098 83.702 156.9553
144.582263 83.661 157.0934
145.629965 83.621 157.2567
146.685260 83.583 157.4388
147.748202 83.547 157.6317
148.818846 83.513 157.8304
149.897249 83.481 158.0355
150.983466 83.451 158.2488
152.077555 83.423 158.4713
153.179572 83.397 158.7017
154.289574 83.375 158.9374
155.407620 83.356 159.1749
156.533767 83.340 159.4103
157.668076 83.329 159.6384
158.810603 83.322 159.8524
159.961411 83.319 160.0433
161.120557 83.318 160.2020
162.288103 83.318 160.3239
163.464109 83.318 160.4109
164.648638 83.315 160.4705
165.841750 83.309 160.5120
167.043507 83.300 160.5428
168.253973 83.289 160.5684
169.473211 83.274 160.5934
170.701284 83.258 160.6219
171.938256 83.239 160.6559
173.184191 83.220 160.6959
174.439155 83.200 160.7405
175.703213 83.179 160.7888
176.976431 83.158 160.8396
178.258875 83.136 160.8917
179.550613 83.115 160.9431
180.851710 83.093 160.9917
182.162236 83.070 161.0371
183.482259 83.046 161.0809
184.811847 83.020 161.1254
186.151070 82.994 161.1723
187.499997 82.966 161.2234
188.858700 82.938 161.2809
190.227248 82.908 161.3469
191.605713 82.878 161.4226
192.994167 82.848 161.5084
194.392682 82.817 161.6052
195.801331 82.788 161.7124
197.220189 82.758 161.8275
198.649327 82.730 161.9470
200.088822 82.702 162.0688
201.538748 82.674 162.1926
202.999181 82.646 162.3185
204.470197 82.619 162.4468
205.951872 82.591 162.5781
207.444284 82.564 162.7127
208.947511 82.536 162.8512
210.461631 82.509 162.9944
211.986723 82.482 163.1432
213.522866 82.456 163.2963
215.070141 82.430 163.4501
216.628627 82.404 163.6033
218.198408 82.378 163.7591
219.779563 82.352 163.9210
221.372177 82.325 164.0888
222.976331 82.300 164.2605
224.592109 82.274 164.4351
226.219596 82.249 164.6127
227.858877 82.225 164.7934
229.510036 82.201 164.9764
231.173160 82.177 165.1612
232.848336 82.154 165.3472
234.535651 82.131 165.5354
236.235193 82.109 165.7267
237.947051 82.086 165.9217
239.671313 82.064 166.1212
241.408071 82.042 166.3267
243.157413 82.021 166.5375
244.919432 82.001 166.7504
246.694219 81.981 166.9644
248.481867 81.961 167.1816
250.282469 81.942 167.4047
252.096119 81.922 167.6334
253.922911 81.904 167.8680
255.762941 81.885 168.1104
257.616305 81.867 168.3635
259.483099 81.851 168.6279
261.363421 81.837 168.9007
263.257368 81.825 169.1775
265.165039 81.814 169.4566
267.086534 81.806 169.7393
269.021953 81.800 170.0267
270.971397 81.798 170.3164
272.934968 81.799 170.6002
274.912767 81.803 170.8694
276.904898 81.809 171.1195
278.911465 81.818 171.3480
280.932573 81.827 171.5530
282.968326 81.836 171.7338
285.018831 81.844 171.8915
287.084195 81.851 172.0280
289.164526 81.855 172.1480
291.259931 81.857 172.2591
293.370520 81.857 172.3689
295.496404 81.854 172.4816
297.637693 81.850 172.5989
299.794498 81.845 172.7224
301.966933 81.840 172.8531
304.155110 81.834 172.9915
306.359143 81.827 173.1355
308.579148 81.821 173.2827
310.815239 81.814 173.4324
313.067535 81.807 173.5850
315.336151 81.800 173.7397
317.621207 81.793 173.8951
319.922821 81.787 174.0509
322.241114 81.780 174.2083
324.576206 81.773 174.3692
326.928219 81.766 174.5358
329.297275 81.760 174.7089
331.683499 81.754 174.8873
334.087014 81.749 175.0688
336.507947 81.744 175.2511
338.946422 81.740 175.4319
341.402567 81.736 175.6102
343.876511 81.733 175.7875
346.368382 81.729 175.9648
348.878310 81.726 176.1426
351.406426 81.723 176.3207
353.952862 81.720 176.4974
356.517750 81.718 176.6714
359.101225 81.716 176.8430
361.703421 81.715 177.0126
364.324473 81.713 177.1818
366.964518 81.712 177.3532
369.623694 81.712 177.5278
372.302140 81.712 177.7030
374.999995 81.713 177.8762
377.717399 81.714 178.0460
380.454495 81.714 178.2127
383.211425 81.714 178.3777
385.988333 81.714 178.5418
